# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.002165 0.007811 0.010416 -0.002096 -0.002905 -0.001593 0.999992
1305031102.243211 -0.003515 0.008479 0.023355 -0.008051 -0.005544 -0.001112 0.999952
1305031102.275326 -0.003820 0.009802 0.035517 -0.012643 -0.008410 -0.000880 0.999884
1305031102.311267 -0.003608 0.007028 0.049551 -0.017838 -0.010621 -0.000139 0.999784
1305031102.343233 -0.004874 0.008584 0.060828 -0.019454 -0.012182 0.001488 0.999735
1305031102.375329 -0.004712 0.010010 0.073139 -0.021296 -0.014282 0.001620 0.999670
1305031102.411258 -0.009331 0.013106 0.081770 -0.022554 -0.015500 0.000081 0.999625
1305031102.443271 -0.011076 0.021540 0.092464 -0.025549 -0.018390 -0.000187 0.999504
1305031102.475318 -0.007212 0.021938 0.108071 -0.032769 -0.022078 -0.000117 0.999219
1305031102.511219 -0.006981 0.022004 0.121146 -0.037699 -0.021238 -0.001811 0.999062
1305031102.543220 -0.008224 0.021315 0.134071 -0.042560 -0.019507 -0.003806 0.998896
1305031102.575286 -0.007119 0.015457 0.147269 -0.046042 -0.018491 -0.005097 0.998755
1305031102.611233 -0.008898 0.013089 0.159221 -0.043960 -0.015255 -0.004089 0.998908
1305031102.643265 -0.015073 0.021001 0.168067 -0.040073 -0.012532 -0.003515 0.999112
1305031102.675285 -0.014614 0.023490 0.181299 -0.041641 -0.014359 -0.002535 0.999026
1305031102.711263 -0.014963 0.022812 0.194932 -0.042952 -0.014707 -0.001307 0.998968
1305031102.743234 -0.014188 0.031034 0.206647 -0.042141 -0.015285 0.000416 0.998995
1305031102.775472 -0.010946 0.031121 0.220871 -0.044804 -0.014546 -0.000890 0.998890
1305031102.811232 -0.012533 0.034873 0.232552 -0.045472 -0.010941 -0.001905 0.998904
1305031102.843290 -0.011554 0.035221 0.246718 -0.047570 -0.007989 -0.002763 0.998832
1305031102.875363 -0.014891 0.038643 0.258357 -0.046302 -0.004094 -0.005283 0.998905
1305031102.911185 -0.015837 0.041476 0.269585 -0.045822 -0.002550 -0.006555 0.998925
1305031102.943229 -0.022687 0.042964 0.279123 -0.046065 -0.000174 -0.008279 0.998904
1305031102.975203 -0.030727 0.045353 0.285924 -0.046564 -0.003748 -0.009279 0.998865
1305031103.011215 -0.030601 0.048323 0.296848 -0.047711 -0.009992 -0.006154 0.998792
1305031103.043227 -0.031704 0.051782 0.307872 -0.049141 -0.015615 -0.003531 0.998664
1305031103.075319 -0.026686 0.050353 0.318539 -0.050288 -0.020357 -0.000866 0.998527
1305031103.111240 -0.027818 0.058592 0.325712 -0.047208 -0.019583 -0.000055 0.998693
1305031103.143318 -0.026624 0.059829 0.335937 -0.049435 -0.020181 0.001620 0.998572
1305031103.175452 -0.026777 0.066649 0.343227 -0.048535 -0.018792 0.001995 0.998643
1305031103.211220 -0.028441 0.073968 0.351798 -0.051594 -0.018266 0.002848 0.998497
1305031103.243216 -0.027955 0.077191 0.359197 -0.058345 -0.018371 0.006724 0.998105
1305031103.275370 -0.033281 0.079975 0.364257 -0.066857 -0.019162 0.011046 0.997517
1305031103.311210 -0.032623 0.073167 0.371565 -0.075932 -0.029142 0.010701 0.996630
1305031103.343223 -0.026986 0.074808 0.373234 -0.076168 -0.035073 0.010330 0.996424
1305031103.375327 -0.025450 0.074184 0.373939 -0.079632 -0.034064 0.012080 0.996169
1305031103.411260 -0.026473 0.068342 0.373007 -0.083252 -0.033195 0.013924 0.995878
1305031103.443280 -0.027945 0.066890 0.369030 -0.083015 -0.035016 0.013514 0.995841
1305031103.475274 -0.027579 0.062773 0.364441 -0.083211 -0.037807 0.011766 0.995745
1305031103.511333 -0.027562 0.058392 0.358474 -0.081245 -0.039314 0.009682 0.995871
1305031103.543444 -0.027754 0.049660 0.350219 -0.079030 -0.040245 0.006549 0.996038
1305031103.575474 -0.029518 0.048977 0.340373 -0.073563 -0.040926 0.006704 0.996428
1305031103.611223 -0.031709 0.043727 0.330417 -0.071789 -0.043079 0.007566 0.996460
1305031103.643445 -0.030884 0.038994 0.320085 -0.069461 -0.047322 0.008082 0.996429
1305031103.675523 -0.028421 0.035081 0.309419 -0.066948 -0.050522 0.008230 0.996443
1305031103.711610 -0.026511 0.031617 0.298287 -0.064536 -0.051898 0.008044 0.996532
1305031103.743326 -0.024913 0.024890 0.286896 -0.063011 -0.051920 0.007056 0.996636
1305031103.775342 -0.024255 0.023274 0.271595 -0.059287 -0.051355 0.003785 0.996912
1305031103.811242 -0.023498 0.022436 0.257984 -0.058901 -0.050309 0.000722 0.996995
1305031103.843251 -0.027041 0.022773 0.242178 -0.061059 -0.048671 -0.001921 0.996945
1305031103.875361 -0.027834 0.011186 0.231896 -0.069585 -0.051564 -0.004822 0.996231
1305031103.911221 -0.026563 0.002739 0.218810 -0.069935 -0.055805 -0.006266 0.995970
1305031103.943211 -0.024900 0.000121 0.204149 -0.067678 -0.058718 -0.007126 0.995952
1305031103.975373 -0.022493 -0.006109 0.191724 -0.066568 -0.061083 -0.008169 0.995877
1305031104.011232 -0.017657 -0.011456 0.181567 -0.062769 -0.062649 -0.009062 0.996019
1305031104.043249 -0.014640 -0.013000 0.165713 -0.054941 -0.059895 -0.011451 0.996626
1305031104.075425 -0.012089 -0.012570 0.151277 -0.050284 -0.055682 -0.013981 0.997084
1305031104.111235 -0.008788 -0.019096 0.140642 -0.048293 -0.050615 -0.014963 0.997438
1305031104.143230 -0.009580 -0.025320 0.125555 -0.044481 -0.044493 -0.016216 0.997887
1305031104.175424 -0.010473 -0.028554 0.110511 -0.040565 -0.040829 -0.017216 0.998194
1305031104.211283 -0.009052 -0.033805 0.098414 -0.037224 -0.038669 -0.016867 0.998416
1305031104.243196 -0.008318 -0.036246 0.085491 -0.032623 -0.036445 -0.016947 0.998659
1305031104.275546 -0.007017 -0.037777 0.073471 -0.028106 -0.034145 -0.017714 0.998865
1305031104.311219 -0.005807 -0.039641 0.061875 -0.024462 -0.031098 -0.017806 0.999058
1305031104.343342 -0.004496 -0.039375 0.050067 -0.020850 -0.027136 -0.018187 0.999249
1305031104.375837 -0.005060 -0.040470 0.039427 -0.019034 -0.022066 -0.017864 0.999416
1305031104.411509 -0.007708 -0.041470 0.028183 -0.017622 -0.017575 -0.017469 0.999538
1305031104.443288 -0.012440 -0.041077 0.016728 -0.016826 -0.014939 -0.017100 0.999601
1305031104.475456 -0.016009 -0.042556 0.007332 -0.017248 -0.015514 -0.016442 0.999596
1305031104.511329 -0.016586 -0.046578 -0.000783 -0.017087 -0.018144 -0.014998 0.999577
1305031104.543368 -0.013768 -0.049046 -0.009877 -0.014087 -0.020950 -0.014204 0.999580
1305031104.575343 -0.008426 -0.051283 -0.014353 -0.009710 -0.022297 -0.013202 0.999617
1305031104.611336 -0.002769 -0.057101 -0.022384 -0.000855 -0.018924 -0.011423 0.999755
1305031104.643243 -0.001044 -0.054128 -0.034531 0.012105 -0.011544 -0.011671 0.999792
1305031104.675525 0.000639 -0.058467 -0.043407 0.022780 -0.003695 -0.010145 0.999682
1305031104.711277 0.001649 -0.060626 -0.053722 0.036027 0.003498 -0.007797 0.999314
1305031104.743280 0.004192 -0.059587 -0.064297 0.049112 0.010028 -0.006066 0.998725
1305031104.775327 0.005087 -0.058358 -0.073280 0.061491 0.017033 -0.004155 0.997954
1305031104.811465 0.008244 -0.055979 -0.082707 0.072031 0.022717 -0.002208 0.997141
1305031104.843258 0.007565 -0.052540 -0.089067 0.080620 0.029442 0.000209 0.996310
1305031104.875350 0.003448 -0.046878 -0.094868 0.086688 0.033234 0.002118 0.995679
1305031104.911534 0.005675 -0.046661 -0.096535 0.088193 0.033501 0.003889 0.995532
1305031104.943262 0.006350 -0.047622 -0.097594 0.088148 0.034059 0.004134 0.995516
1305031104.975202 0.002713 -0.036624 -0.094060 0.089503 0.034212 0.004772 0.995387
1305031105.011290 0.002333 -0.036756 -0.092033 0.084101 0.034113 0.004457 0.995863
1305031105.043373 0.003363 -0.032180 -0.083699 0.079415 0.033392 0.003969 0.996274
