# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.000406 -0.006197 -0.003708 -0.005206 0.001214 0.000083 0.999986
1341845948.979787 -0.000067 -0.007058 0.006494 -0.010803 0.001437 -0.000063 0.999941
1341845949.011787 0.003531 -0.009948 0.018531 -0.016985 0.003445 -0.000108 0.999850
1341845949.047774 0.003993 -0.031536 0.013825 -0.022968 0.006000 0.000829 0.999718
1341845949.079745 0.002637 -0.039600 0.020091 -0.023732 0.005827 0.005673 0.999685
1341845949.115941 0.001072 -0.043878 0.022646 -0.024354 0.007470 0.007990 0.999644
1341845949.147691 -0.000244 -0.047771 0.029414 -0.026571 0.010910 0.009713 0.999540
1341845949.179815 0.004465 -0.060420 0.029377 -0.029695 0.014108 0.011251 0.999396
1341845949.215795 0.004658 -0.065942 0.031479 -0.031090 0.016131 0.012712 0.999306
1341845949.247763 0.004236 -0.064600 0.033567 -0.033342 0.019197 0.014234 0.999158
1341845949.283892 0.011668 -0.067821 0.048388 -0.036598 0.022932 0.015327 0.998949
1341845949.315792 0.017766 -0.090127 0.045819 -0.039341 0.027589 0.013746 0.998750
1341845949.347811 0.018880 -0.094545 0.049745 -0.037982 0.030333 0.013795 0.998723
1341845949.383752 0.012583 -0.096883 0.044215 -0.038017 0.034382 0.011954 0.998614
1341845949.415733 0.022306 -0.111016 0.044497 -0.040431 0.036996 0.007721 0.998467
1341845949.451907 0.018562 -0.113277 0.043694 -0.042800 0.037138 0.007848 0.998362
1341845949.483823 0.013517 -0.118267 0.039667 -0.047082 0.038709 0.004576 0.998130
1341845949.515817 0.022166 -0.080375 0.079091 -0.047395 0.038015 0.006673 0.998130
1341845949.551896 0.028511 0.025778 0.109259 -0.031811 0.033565 0.008300 0.998896
1341845949.583736 0.022217 0.127211 0.160804 -0.017461 0.029142 0.015749 0.999299
1341845949.619753 -0.002389 0.148768 0.173922 -0.017057 0.034253 0.014474 0.999163
1341845949.651764 -0.014644 0.130130 0.180097 -0.022062 0.034836 0.013565 0.999057
1341845949.683707 -0.012145 0.132870 0.182800 -0.020524 0.030442 0.013124 0.999240
1341845949.719890 0.006310 0.142082 0.184069 -0.023168 0.028243 0.007281 0.999306
1341845949.751778 0.006310 0.142082 0.184069 -0.023168 0.028243 0.007281 0.999306
1341845949.787857 -0.002466 0.135916 0.181986 -0.028759 0.027490 0.009648 0.999162
1341845949.819784 -0.000627 0.138943 0.190364 -0.034012 0.024478 0.008753 0.999083
1341845949.851908 -0.000627 0.138943 0.190364 -0.034012 0.024478 0.008753 0.999083
1341845949.887758 -0.004060 0.150792 0.226614 -0.040915 0.020909 0.007481 0.998916
1341845949.920013 -0.006386 0.136594 0.233232 -0.046612 0.017169 0.005434 0.998751
1341845949.955673 -0.014332 0.136724 0.247409 -0.049770 0.015358 0.005897 0.998625
1341845949.987737 -0.014332 0.136724 0.247409 -0.049770 0.015358 0.005897 0.998625
1341845950.019789 -0.018260 0.126397 0.252440 -0.053634 0.013468 0.003718 0.998463
1341845950.055847 -0.006804 0.129805 0.250278 -0.055218 0.009848 0.003127 0.998421
1341845950.087728 0.006964 0.140502 0.256025 -0.058207 0.007787 0.003528 0.998268
1341845950.124078 0.006964 0.140502 0.256025 -0.058207 0.007787 0.003528 0.998268
1341845950.155757 0.009790 0.132462 0.261724 -0.061352 0.006381 0.002087 0.998094
1341845950.187677 0.025383 0.129837 0.254673 -0.064606 0.006166 0.000107 0.997892
1341845950.223782 0.024765 0.143324 0.257615 -0.070783 0.007837 0.005359 0.997447
1341845950.255885 0.010733 0.115006 0.235478 -0.081709 0.010498 0.008309 0.996566
1341845950.287784 0.010733 0.115006 0.235478 -0.081709 0.010498 0.008309 0.996566
1341845950.323864 -0.007484 0.100079 0.285896 -0.093342 0.012912 0.009920 0.995501
1341845950.355780 -0.007484 0.100079 0.285896 -0.093342 0.012912 0.009920 0.995501
1341845950.387911 -0.007484 0.100079 0.285896 -0.093342 0.012912 0.009920 0.995501
1341845950.424265 -0.085524 0.211667 0.333335 -0.075897 0.030396 0.005139 0.996639
1341845950.455762 -0.085524 0.211667 0.333335 -0.075897 0.030396 0.005139 0.996639
1341845950.487870 -0.089812 0.387609 0.375213 -0.041671 0.030329 -0.007341 0.998644
1341845950.523880 -0.107538 0.464683 0.399303 -0.029921 0.034229 -0.016972 0.998822
1341845950.555793 -0.107538 0.464683 0.399303 -0.029921 0.034229 -0.016972 0.998822
1341845950.587742 -0.129212 0.556593 0.422450 -0.020829 0.038769 -0.017881 0.998871
1341845950.623823 -0.129212 0.556593 0.422450 -0.020829 0.038769 -0.017881 0.998871
1341845950.655770 -0.129212 0.556593 0.422450 -0.020829 0.038769 -0.017881 0.998871
1341845950.691815 -0.149084 0.639494 0.453143 -0.009232 0.042997 -0.027416 0.998656
1341845950.756034 -0.161049 0.732564 0.518829 0.010658 0.044049 -0.067742 0.996673
1341845950.817895 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845950.853851 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845950.885881 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845950.917771 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845950.953822 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845950.985908 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.017817 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.053777 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.085819 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.121819 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.153788 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.185690 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.221846 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.253677 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.289833 -0.160919 0.829738 0.572743 0.031511 0.043979 -0.115772 0.991801
1341845951.321746 -0.104763 0.948939 0.431477 0.047215 0.057920 -0.164548 0.983534
1341845951.353781 -0.062805 1.018486 0.272616 0.053496 0.065501 -0.222744 0.971202
1341845951.389710 -0.045196 1.032384 0.050258 0.054819 0.079184 -0.298242 0.949619
1341845951.421759 -0.045196 1.032384 0.050258 0.054819 0.079184 -0.298242 0.949619
1341845951.453714 -0.020345 1.048391 -0.134519 0.065075 0.086106 -0.375572 0.920487
1341845951.489750 0.030546 1.107384 -0.358914 0.068166 0.092674 -0.429310 0.895800
1341845951.521791 0.249584 1.238721 -0.632965 0.101059 0.088078 -0.490970 0.860801
1341845951.557734 0.573274 1.416695 -0.852608 0.151930 0.078900 -0.545841 0.820213
1341845951.621927 0.980829 1.401772 -1.082817 0.192988 0.061679 -0.606873 0.768542
1341845951.657740 1.359657 1.401134 -1.111272 0.206351 0.028985 -0.618274 0.757837
1341845951.689997 1.786746 1.366800 -1.164533 0.226977 -0.007312 -0.638796 0.735097
1341845951.721802 2.281219 1.319471 -1.138216 0.271434 -0.055712 -0.657580 0.700578
1341845951.757837 2.887743 1.116520 -1.032572 0.309822 -0.129605 -0.670144 0.661906
1341845951.789992 3.734707 0.990605 -1.120740 0.399554 -0.115091 -0.715502 0.561399
1341845951.825880 4.447856 0.774051 -1.094693 -0.462608 0.100958 0.755044 -0.453552
1341845951.857655 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845951.889934 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845951.925973 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845951.957775 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845951.989866 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.026044 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.057894 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.125827 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.157796 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.193712 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.225758 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.261888 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.293773 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.325830 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.361889 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.393746 5.111832 0.432497 -1.077519 -0.518420 0.083839 0.781832 -0.336082
1341845952.425943 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.461990 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.493879 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.529859 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.561728 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.593773 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.629782 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.661822 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.694133 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.729992 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.761932 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.835955 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.897807 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.929858 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.962152 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845952.997732 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845953.029881 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845953.065883 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
1341845953.097744 6.150578 -0.078182 -0.757235 -0.630103 0.059953 0.759723 -0.148988
