# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.002074 0.002225 -0.002783 -0.000551 0.000027 -0.001106 0.999999
1341845820.955790 -0.002880 0.001058 -0.003422 -0.002054 -0.000871 -0.001215 0.999997
1341845820.987817 -0.000878 -0.000553 -0.003584 -0.002985 -0.001305 -0.001453 0.999994
1341845821.019783 -0.001749 -0.000996 -0.001317 -0.003086 -0.001380 -0.001681 0.999993
1341845821.055706 -0.002494 -0.001692 0.002401 -0.002604 -0.001633 -0.001168 0.999995
1341845821.087831 -0.002519 -0.003894 0.001233 -0.001880 -0.003216 0.001562 0.999992
1341845821.119871 0.001789 -0.001373 0.006813 0.000440 -0.002933 0.004024 0.999988
1341845821.155881 0.005389 0.001221 0.000254 0.000737 -0.000402 0.005031 0.999987
1341845821.188556 0.000236 -0.002628 0.007219 0.000156 0.002190 0.006660 0.999975
1341845821.223751 0.004349 -0.008722 0.001676 0.002470 0.002040 0.009580 0.999949
1341845821.256005 0.005797 0.002251 -0.001289 0.004652 0.003263 0.009201 0.999942
1341845821.287883 0.007210 -0.000174 -0.001966 0.002564 0.005704 0.008135 0.999947
1341845821.323879 0.010260 -0.003138 0.002138 0.002509 0.007556 0.006816 0.999945
1341845821.355690 0.006101 -0.001558 0.004134 0.003487 0.010264 0.006244 0.999922
1341845821.388161 0.003482 -0.003510 0.004728 0.003205 0.011175 0.007710 0.999903
1341845821.424470 0.009595 -0.006619 0.007912 0.004643 0.011780 0.008799 0.999881
1341845821.455778 0.007632 -0.001358 0.004951 0.005626 0.014500 0.007948 0.999847
1341845821.488014 0.005278 -0.005402 0.007892 0.004977 0.015799 0.007967 0.999831
1341845821.524370 0.006786 -0.008159 0.008329 0.006446 0.016261 0.008688 0.999809
1341845821.555644 0.006209 -0.005869 0.007380 0.008444 0.017716 0.008529 0.999771
1341845821.587677 0.002853 -0.002144 0.001045 0.008801 0.017810 0.007816 0.999772
1341845821.623761 0.001963 -0.002772 0.003778 0.008176 0.017056 0.007169 0.999795
1341845821.655725 0.003122 -0.001744 0.003062 0.008189 0.016916 0.005968 0.999806
1341845821.691884 0.001384 -0.001507 0.002264 0.007147 0.017145 0.004810 0.999816
1341845821.724228 0.001017 -0.006281 0.002051 0.006489 0.016437 0.004988 0.999831
1341845821.755681 0.000650 -0.005449 0.002125 0.007526 0.015319 0.005752 0.999838
1341845821.791636 0.001778 -0.006516 0.004253 0.008374 0.014551 0.006562 0.999838
1341845821.823697 0.002771 -0.003654 0.002659 0.009421 0.015039 0.005450 0.999828
1341845821.855574 0.001517 -0.004071 0.002148 0.008344 0.015960 0.003503 0.999832
1341845821.891741 -0.000926 -0.009166 0.004249 0.008303 0.016031 0.003156 0.999832
1341845821.923730 0.000637 -0.010120 0.005262 0.009807 0.015860 0.003648 0.999819
1341845821.955750 -0.000504 -0.006982 0.001297 0.010823 0.016327 0.003847 0.999801
1341845821.991786 -0.000014 -0.006252 -0.000782 0.010300 0.016608 0.003093 0.999804
1341845822.023863 -0.002473 -0.009237 -0.000120 0.009914 0.017435 0.002905 0.999795
1341845822.059759 -0.004244 -0.006998 -0.001903 0.010126 0.017521 0.002737 0.999791
1341845822.091719 -0.004242 -0.012614 0.003561 0.009460 0.017718 0.003053 0.999794
1341845822.123689 -0.004688 -0.012546 0.003808 0.011311 0.018667 0.002640 0.999758
1341845822.185916 -0.015919 -0.013324 0.000286 0.010342 0.019620 0.002903 0.999750
1341845822.221838 -0.016039 -0.013413 0.000263 0.012023 0.017847 0.003886 0.999761
1341845822.254004 -0.017292 -0.008358 -0.004213 0.012136 0.017137 0.003756 0.999772
1341845822.289876 -0.021403 -0.013831 0.000905 0.010717 0.016765 0.003008 0.999798
1341845822.321804 -0.023449 -0.013625 0.001812 0.011720 0.016315 0.002007 0.999796
1341845822.353784 -0.026270 -0.013721 0.002924 0.012372 0.016561 0.001300 0.999785
1341845822.391662 -0.029772 -0.015406 0.004604 0.013075 0.017213 0.001240 0.999766
1341845822.428074 -0.035160 -0.014110 -0.001595 0.013725 0.017341 0.001239 0.999755
1341845822.459970 -0.038602 -0.014082 -0.002789 0.013038 0.016881 0.001190 0.999772
1341845822.495728 -0.044163 -0.015944 0.003674 0.012937 0.016674 0.001292 0.999776
1341845822.527724 -0.047561 -0.014849 -0.003399 0.013142 0.016162 0.001286 0.999782
1341845822.559648 -0.050910 -0.014146 -0.001885 0.012181 0.015335 0.002158 0.999806
1341845822.595852 -0.052350 -0.016368 0.000762 0.011739 0.015030 0.002587 0.999815
1341845822.627724 -0.059332 -0.015145 -0.004272 0.011090 0.015887 0.002168 0.999810
1341845822.663716 -0.068624 -0.021221 0.007844 0.010380 0.015477 0.005268 0.999812
1341845822.695601 -0.067227 -0.028703 -0.003718 0.013744 0.012281 0.009383 0.999786
1341845822.731816 -0.070316 -0.022121 -0.002316 0.016694 0.011940 0.009977 0.999740
1341845822.789911 -0.075312 -0.021967 -0.004476 0.017704 0.012780 0.010306 0.999708
1341845822.825897 -0.084652 -0.022629 -0.001445 0.016763 0.014540 0.009710 0.999707
1341845822.859721 -0.091116 -0.031423 -0.005152 0.016902 0.014228 0.011852 0.999686
1341845822.889712 -0.093204 -0.031463 -0.007915 0.019278 0.012527 0.013768 0.999641
1341845822.925900 -0.093539 -0.030039 -0.009766 0.020396 0.011397 0.013646 0.999634
1341845822.957708 -0.092060 -0.031583 -0.010766 0.020427 0.011749 0.012019 0.999650
1341845822.989939 -0.100726 -0.035013 -0.010102 0.021280 0.012726 0.011150 0.999630
1341845823.025889 -0.101817 -0.035753 -0.011287 0.023255 0.012378 0.011509 0.999587
1341845823.057775 -0.096789 -0.035820 -0.013674 0.024687 0.013263 0.011645 0.999539
1341845823.093671 -0.105099 -0.036376 -0.011310 0.025957 0.016381 0.011029 0.999468
1341845823.125951 -0.110114 -0.033997 -0.013078 0.026911 0.017396 0.011819 0.999417
1341845823.157773 -0.113007 -0.037856 -0.011578 0.027236 0.018871 0.012198 0.999376
1341845823.193885 -0.120754 -0.033176 -0.018888 0.028044 0.019597 0.011488 0.999349
1341845823.225800 -0.125216 -0.034264 -0.020101 0.026021 0.018295 0.011291 0.999430
1341845823.261842 -0.126556 -0.036498 -0.016509 0.025417 0.017038 0.010487 0.999477
1341845823.293622 -0.127363 -0.033785 -0.032237 0.024435 0.017012 0.009319 0.999513
1341845823.325746 -0.125984 -0.035257 -0.023084 0.020638 0.018881 0.008688 0.999571
1341845823.361852 -0.131533 -0.041318 -0.004910 0.020501 0.022799 0.009533 0.999484
1341845823.394013 -0.139469 -0.041282 -0.007985 0.022840 0.026138 0.011784 0.999328
1341845823.426028 -0.150105 -0.040902 -0.011409 0.024294 0.028195 0.015226 0.999191
1341845823.461869 -0.152306 -0.041934 -0.012404 0.025053 0.027403 0.016885 0.999168
1341845823.493758 -0.150606 -0.041272 -0.011918 0.025423 0.028010 0.017102 0.999138
1341845823.529780 -0.159775 -0.044656 -0.018198 0.025194 0.030348 0.017456 0.999069
1341845823.561916 -0.175062 -0.046873 -0.016251 0.025272 0.030502 0.018015 0.999053
1341845823.593678 -0.176696 -0.047272 -0.017290 0.025680 0.027181 0.019533 0.999110
1341845823.629815 -0.170864 -0.047065 -0.017792 0.025411 0.026394 0.020302 0.999122
1341845823.661750 -0.182588 -0.050102 -0.015111 0.024591 0.028266 0.019430 0.999109
1341845823.695523 -0.194516 -0.061022 -0.006654 0.025380 0.027054 0.020818 0.999095
1341845823.729635 -0.194413 -0.062865 -0.014058 0.029235 0.023672 0.022817 0.999032
1341845823.761810 -0.198770 -0.059594 -0.018328 0.031938 0.021934 0.023464 0.998974
1341845823.797871 -0.209429 -0.058950 -0.024038 0.032218 0.019714 0.023028 0.999021
1341845823.829660 -0.209661 -0.059455 -0.012791 0.031677 0.015550 0.020496 0.999167
1341845823.861808 -0.215779 -0.063880 -0.017923 0.032074 0.012612 0.018120 0.999242
1341845823.929826 -0.220318 -0.065763 -0.021864 0.032102 0.005302 0.014849 0.999360
1341845823.961797 -0.227771 -0.064545 -0.025986 0.030869 0.004785 0.011127 0.999450
1341845823.998070 -0.233426 -0.069773 -0.015953 0.029247 0.004759 0.008983 0.999521
1341845824.029656 -0.238888 -0.070203 -0.020310 0.029996 0.004649 0.009443 0.999495
1341845824.065768 -0.234194 -0.068530 -0.019718 0.030158 0.005610 0.011899 0.999459
1341845824.097956 -0.214918 -0.061540 -0.029999 0.029231 0.008622 0.011645 0.999468
1341845824.130299 -0.213512 -0.059702 -0.036315 0.024407 0.024508 0.011157 0.999339
1341845824.165751 -0.233963 -0.040213 0.015612 0.020947 0.038712 0.009767 0.998983
1341845824.197930 -0.241078 -0.056497 0.018822 0.018317 0.041822 0.012076 0.998884
1341845824.229907 -0.248754 -0.065688 0.006268 0.021654 0.042089 0.011985 0.998807
1341845824.265800 -0.263142 -0.063318 -0.003412 0.024356 0.039780 0.013045 0.998826
1341845824.298080 -0.267617 -0.064716 -0.006345 0.025808 0.030861 0.013192 0.999103
1341845824.333783 -0.259628 -0.071093 0.000221 0.027974 0.026233 0.012724 0.999183
1341845824.365821 -0.263380 -0.066471 -0.011911 0.030674 0.027322 0.011728 0.999087
1341845824.398039 -0.273787 -0.066209 -0.020263 0.029870 0.027129 0.010697 0.999128
1341845824.433843 -0.283896 -0.068232 -0.011601 0.029539 0.024305 0.010592 0.999212
1341845824.465921 -0.285638 -0.070424 -0.015311 0.030722 0.019877 0.014604 0.999224
1341845824.501802 -0.289510 -0.068613 -0.028583 0.030622 0.017807 0.019724 0.999178
1341845824.533723 -0.297338 -0.069145 -0.027998 0.028575 0.015813 0.023777 0.999184
1341845824.565735 -0.303175 -0.068817 -0.020531 0.026666 0.013291 0.027101 0.999189
1341845824.601758 -0.308530 -0.073627 -0.022886 0.025832 0.011313 0.030528 0.999136
1341845824.633861 -0.317158 -0.072727 -0.028901 0.025341 0.009819 0.034096 0.999049
1341845824.665789 -0.321213 -0.074899 -0.024462 0.024854 0.007858 0.037733 0.998948
1341845824.701769 -0.327194 -0.076247 -0.019756 0.025339 0.005255 0.040053 0.998862
1341845824.733585 -0.329896 -0.075660 -0.021203 0.026777 0.002691 0.041922 0.998758
1341845824.769643 -0.343316 -0.068741 -0.044046 0.025813 0.002343 0.041593 0.998798
1341845824.801632 -0.347013 -0.072295 -0.032419 0.021800 -0.001291 0.042266 0.998868
1341845824.833654 -0.343189 -0.087757 -0.028848 0.021952 -0.004282 0.042482 0.998847
1341845824.869926 -0.352730 -0.077377 -0.033744 0.026489 -0.003726 0.042700 0.998730
1341845824.902071 -0.360159 -0.073955 -0.037445 0.025863 -0.004203 0.042416 0.998756
1341845824.933752 -0.359537 -0.082947 -0.034582 0.025204 -0.004815 0.039552 0.998888
1341845824.969855 -0.362517 -0.072718 -0.030399 0.026562 -0.003121 0.037323 0.998945
1341845825.001907 -0.365512 -0.074939 -0.034072 0.024675 -0.000340 0.037423 0.998995
1341845825.037975 -0.376359 -0.080513 -0.032912 0.024026 0.003506 0.036084 0.999054
1341845825.075793 -0.386361 -0.090611 -0.038538 0.025980 0.002982 0.038021 0.998935
1341845825.107881 -0.381436 -0.090231 -0.030519 0.031592 0.002115 0.040532 0.998676
1341845825.143675 -0.386085 -0.085282 -0.036774 0.034969 0.004342 0.038271 0.998646
1341845825.175707 -0.393931 -0.090252 -0.039503 0.034976 0.006095 0.035076 0.998754
1341845825.211865 -0.398693 -0.087499 -0.038228 0.036608 0.006569 0.034457 0.998714
1341845825.243814 -0.396732 -0.096344 -0.036822 0.037760 0.007796 0.036293 0.998597
1341845825.275795 -0.410029 -0.092235 -0.043674 0.040812 0.010229 0.036111 0.998462
1341845825.311665 -0.419653 -0.093440 -0.045421 0.041218 0.009230 0.037015 0.998422
1341845825.343650 -0.422132 -0.088246 -0.054202 0.041629 0.007297 0.038268 0.998373
1341845825.379771 -0.425622 -0.092195 -0.042998 0.038797 0.007360 0.039154 0.998453
1341845825.411924 -0.432865 -0.092110 -0.048873 0.039860 0.006194 0.040762 0.998354
1341845825.443786 -0.443975 -0.079400 -0.057822 0.037720 0.004464 0.040088 0.998474
1341845825.480278 -0.448685 -0.087757 -0.054440 0.033834 0.000560 0.044429 0.998439
1341845825.511636 -0.450239 -0.082722 -0.058835 0.033232 -0.003227 0.044693 0.998443
1341845825.547911 -0.451974 -0.090811 -0.059366 0.029553 -0.005765 0.047526 0.998416
1341845825.579744 -0.447645 -0.093786 -0.047102 0.028421 -0.007668 0.052767 0.998173
1341845825.611784 -0.452171 -0.100748 -0.055165 0.029434 -0.008751 0.056464 0.997932
1341845825.648004 -0.448715 -0.086575 -0.051058 0.032628 -0.009224 0.051654 0.998089
1341845825.679708 -0.460259 -0.087947 -0.046541 0.033833 -0.006189 0.052018 0.998054
1341845825.711937 -0.476518 -0.089614 -0.065844 0.034290 -0.007625 0.050794 0.998091
1341845825.747617 -0.474245 -0.086801 -0.072958 0.032979 -0.010749 0.048647 0.998214
1341845825.779688 -0.487617 -0.088996 -0.070025 0.029932 -0.011675 0.046129 0.998419
1341845825.815954 -0.483664 -0.088292 -0.066778 0.027474 -0.014838 0.043181 0.998579
