# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009538 -0.003148 -0.001845 0.000590 -0.002632 -0.000279 0.999996
1341846313.721918 0.019134 0.003320 -0.001866 0.001206 -0.004343 0.000765 0.999990
1341846313.753994 0.025101 0.001161 0.001989 0.000418 -0.004870 0.002219 0.999986
1341846313.789969 0.032733 -0.001476 0.001700 0.001136 -0.005679 0.000748 0.999983
1341846313.822075 0.045147 0.002413 -0.005208 0.001658 -0.005525 -0.000006 0.999983
1341846313.853928 0.052106 0.000061 -0.003821 0.000627 -0.003217 -0.000709 0.999994
1341846313.890011 0.054711 0.002761 -0.006689 0.000831 -0.001198 -0.000591 0.999999
1341846313.922055 0.065460 0.008528 -0.007135 -0.000657 -0.001789 0.001244 0.999997
1341846313.957927 0.098036 0.009714 0.001242 -0.002514 -0.000953 0.002683 0.999993
1341846313.990058 0.099497 0.008965 -0.001838 -0.003675 0.004993 0.003172 0.999976
1341846314.022042 0.080065 0.014817 0.001088 -0.005236 0.010568 0.004143 0.999922
1341846314.057816 0.102770 0.013869 0.009522 -0.009101 0.011559 0.006239 0.999872
1341846314.089801 0.118622 0.009608 0.011853 -0.008757 0.015255 0.007029 0.999821
1341846314.122037 0.109566 0.019253 0.001336 -0.008656 0.020349 0.009887 0.999707
1341846314.157989 0.129226 0.016754 0.013311 -0.011232 0.022292 0.010677 0.999631
1341846314.190094 0.132692 0.016859 0.008577 -0.010958 0.026134 0.011338 0.999534
1341846314.225969 0.138874 0.022541 -0.001233 -0.012765 0.027962 0.014748 0.999419
1341846314.257923 0.143753 0.018866 0.023182 -0.015120 0.030107 0.014058 0.999333
1341846314.290052 0.143581 0.014808 0.010011 -0.014268 0.032269 0.012790 0.999296
1341846314.325981 0.154152 0.021678 0.006614 -0.014512 0.032632 0.011172 0.999300
1341846314.357905 0.165042 0.018469 0.020788 -0.015689 0.034903 0.010392 0.999213
1341846314.389899 0.164520 0.015934 0.017267 -0.014380 0.038252 0.009190 0.999122
1341846314.427905 0.175997 0.020118 0.004700 -0.014134 0.039482 0.008131 0.999087
1341846314.493987 0.184521 0.014902 0.013144 -0.013114 0.049290 -0.000557 0.998698
1341846314.526085 0.191986 0.018295 0.004724 -0.012701 0.051013 -0.001822 0.998616
1341846314.558292 0.200558 0.017572 0.013691 -0.014058 0.053647 -0.000373 0.998461
1341846314.594085 0.207483 0.009411 0.015112 -0.013637 0.058166 -0.000557 0.998214
1341846314.626096 0.210021 0.016783 0.001871 -0.012361 0.062247 0.000284 0.997984
1341846314.658455 0.217187 0.017936 0.004202 -0.014366 0.063899 -0.000714 0.997853
1341846314.694004 0.225464 0.007191 0.021180 -0.015201 0.067834 -0.001673 0.997579
1341846314.725910 0.226304 0.003019 0.024892 -0.011460 0.070757 0.003142 0.997423
1341846314.761942 0.225552 0.003722 0.014236 -0.007718 0.071889 0.006740 0.997360
1341846314.794030 0.240742 0.000494 0.003482 -0.005185 0.073193 0.007445 0.997277
1341846314.826092 0.248780 0.004649 -0.007162 -0.002515 0.076990 0.007832 0.996998
1341846314.862145 0.256928 0.006918 -0.010994 -0.002243 0.080378 0.008737 0.996724
1341846314.894072 0.262087 0.006108 -0.008140 -0.002598 0.084368 0.010338 0.996378
1341846314.925969 0.266803 0.006413 -0.016428 -0.002582 0.086773 0.013613 0.996132
1341846314.961937 0.273196 0.014622 -0.029524 -0.004949 0.087115 0.019420 0.995997
1341846314.994564 0.276104 0.013076 -0.028875 -0.008189 0.088377 0.017445 0.995901
1341846315.029900 0.290081 0.011577 -0.019603 -0.008478 0.091172 0.014731 0.995690
1341846315.061965 0.284594 0.011811 -0.020390 -0.008816 0.094356 0.017229 0.995350
1341846315.094388 0.287754 0.007095 -0.020644 -0.009303 0.093364 0.018034 0.995425
1341846315.129851 0.301378 0.006824 -0.027750 -0.007390 0.092435 0.017387 0.995539
1341846315.161941 0.308850 0.021338 -0.036764 -0.008954 0.091751 0.022466 0.995488
1341846315.197984 0.307639 0.007582 -0.035698 -0.016988 0.090386 0.017449 0.995609
1341846315.230076 0.317696 -0.001471 -0.033418 -0.021549 0.088525 0.014507 0.995735
1341846315.262069 0.322329 0.005369 -0.037209 -0.023780 0.085642 0.018869 0.995863
1341846315.298000 0.328545 -0.010636 -0.041869 -0.027493 0.081613 0.020240 0.996079
1341846315.329931 0.336094 -0.022811 -0.037745 -0.024844 0.080006 0.020267 0.996279
1341846315.361981 0.343570 -0.017972 -0.040665 -0.019287 0.078801 0.024169 0.996411
1341846315.397962 0.348095 -0.017836 -0.036205 -0.016580 0.079118 0.027145 0.996358
1341846315.429923 0.359824 -0.013667 -0.039675 -0.013300 0.079842 0.029957 0.996269
1341846315.466047 0.374903 -0.010133 -0.053153 -0.012176 0.082166 0.032364 0.996019
1341846315.497883 0.368886 -0.009323 -0.051444 -0.012931 0.086402 0.035015 0.995561
1341846315.530008 0.375652 -0.009469 -0.050930 -0.012921 0.087045 0.036425 0.995454
1341846315.566108 0.376695 -0.007282 -0.054254 -0.013454 0.088570 0.036904 0.995295
1341846315.597986 0.378118 -0.009722 -0.049390 -0.013885 0.089902 0.036267 0.995193
1341846315.630109 0.378508 -0.010619 -0.052456 -0.013867 0.091339 0.034889 0.995112
1341846315.666042 0.386913 -0.001759 -0.060268 -0.013711 0.091879 0.035212 0.995053
1341846315.698114 0.389996 0.001479 -0.059750 -0.018560 0.095236 0.033636 0.994713
1341846315.733985 0.381281 -0.008171 -0.055363 -0.022281 0.098814 0.033911 0.994278
1341846315.766041 0.372833 -0.006347 -0.062523 -0.021649 0.097292 0.035061 0.994402
1341846315.798188 0.380654 -0.005026 -0.059496 -0.022462 0.095718 0.034451 0.994559
1341846315.834140 0.379242 -0.015639 -0.052796 -0.022764 0.097921 0.033233 0.994379
1341846315.866751 0.372135 -0.014085 -0.055512 -0.020032 0.100227 0.031844 0.994253
1341846315.898492 0.368127 -0.015094 -0.052235 -0.018946 0.101004 0.031257 0.994214
1341846315.936901 0.365026 -0.020657 -0.045071 -0.016783 0.102412 0.031309 0.994108
1341846315.966572 0.355870 -0.020684 -0.048677 -0.013340 0.104480 0.030516 0.993969
1341846316.034204 0.344577 -0.020952 -0.049081 -0.009485 0.104751 0.028718 0.994039
1341846316.066113 0.333212 -0.023531 -0.049079 -0.007346 0.105635 0.027525 0.993997
1341846316.101867 0.318937 -0.020070 -0.060621 -0.005530 0.105355 0.028225 0.994019
1341846316.134066 0.307260 -0.019030 -0.059922 -0.006349 0.103091 0.025447 0.994326
1341846316.202049 0.297381 -0.025311 -0.052899 -0.006557 0.098163 0.021306 0.994921
1341846316.233979 0.299322 -0.023634 -0.060871 -0.006008 0.096075 0.020536 0.995144
1341846316.270052 0.294768 -0.023599 -0.059275 -0.007335 0.097069 0.017403 0.995098
1341846316.301915 0.287653 -0.030879 -0.053399 -0.007549 0.098293 0.015625 0.995006
1341846316.334208 0.275964 -0.030281 -0.052981 -0.005732 0.098085 0.016994 0.995016
1341846316.370006 0.272395 -0.032571 -0.054566 -0.003933 0.096538 0.017834 0.995162
1341846316.401994 0.265809 -0.029956 -0.057085 -0.001788 0.095837 0.019687 0.995201
1341846316.438069 0.263341 -0.035570 -0.055078 -0.000104 0.095066 0.022658 0.995213
1341846316.470076 0.251156 -0.036237 -0.057677 0.004763 0.095202 0.024951 0.995134
1341846316.502034 0.231083 -0.027669 -0.078539 0.007191 0.093976 0.025292 0.995227
1341846316.537975 0.231121 -0.026467 -0.075582 0.004664 0.090524 0.024096 0.995592
1341846316.570121 0.227812 -0.036624 -0.064949 0.003333 0.089952 0.022301 0.995691
1341846316.601885 0.218552 -0.037445 -0.062452 0.005471 0.089782 0.020413 0.995737
1341846316.638009 0.206898 -0.040130 -0.066946 0.007583 0.088900 0.021458 0.995781
1341846316.669925 0.202869 -0.045716 -0.071006 0.009446 0.087890 0.021935 0.995844
1341846316.705941 0.198638 -0.049955 -0.074456 0.013508 0.087658 0.023203 0.995789
1341846316.738062 0.185982 -0.038596 -0.078953 0.017212 0.087489 0.025221 0.995697
1341846316.770433 0.179159 -0.037157 -0.077160 0.016101 0.086825 0.026210 0.995749
1341846316.805932 0.174247 -0.047926 -0.074797 0.015589 0.086802 0.025123 0.995787
1341846316.838029 0.157743 -0.043641 -0.087000 0.017510 0.086262 0.025864 0.995783
1341846316.870034 0.150663 -0.046424 -0.079991 0.017802 0.083000 0.027764 0.996004
