# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.001762 -0.005287 0.000838 -0.005281 0.000704 0.001093 0.999985
1341845948.979787 -0.000104 -0.009382 0.004966 -0.011404 0.001201 0.000275 0.999934
1341845949.011787 0.003391 -0.014687 0.010379 -0.017653 0.003643 -0.000596 0.999837
1341845949.047774 0.003557 -0.024571 0.015493 -0.022009 0.005254 0.002499 0.999741
1341845949.079745 0.004820 -0.032324 0.020174 -0.022579 0.004910 0.007022 0.999708
1341845949.115941 0.007571 -0.035581 0.021519 -0.023117 0.006391 0.008932 0.999672
1341845949.147691 0.008156 -0.041595 0.025400 -0.025643 0.009957 0.010406 0.999567
1341845949.179815 0.007464 -0.050638 0.030596 -0.028342 0.012938 0.013015 0.999430
1341845949.215795 0.009867 -0.057632 0.032270 -0.029879 0.014829 0.014088 0.999344
1341845949.247763 0.012994 -0.061115 0.035342 -0.032734 0.018339 0.014208 0.999195
1341845949.283892 0.017415 -0.068774 0.046738 -0.036338 0.022401 0.014486 0.998983
1341845949.315792 0.019342 -0.078853 0.055994 -0.037312 0.026448 0.015348 0.998836
1341845949.347811 0.019708 -0.086824 0.055358 -0.036405 0.029572 0.014395 0.998796
1341845949.383752 0.018470 -0.090718 0.056020 -0.036600 0.033560 0.011880 0.998696
1341845949.415733 0.013990 -0.094984 0.057087 -0.038136 0.036161 0.010326 0.998565
1341845949.451907 0.013461 -0.099644 0.061032 -0.040715 0.036304 0.009776 0.998463
1341845949.483823 0.016976 -0.101981 0.068136 -0.044526 0.036681 0.008088 0.998302
1341845949.515817 0.013386 -0.103164 0.073854 -0.050401 0.038254 0.005637 0.997980
1341845949.551896 0.017293 -0.111867 0.080202 -0.058520 0.034674 0.004298 0.997675
1341845949.583736 0.021118 -0.115325 0.086397 -0.062815 0.032181 0.002689 0.997503
1341845949.619753 0.020409 -0.115107 0.088869 -0.067334 0.032931 0.000625 0.997187
1341845949.651764 0.020670 -0.133451 0.088769 -0.072423 0.031330 0.000091 0.996882
1341845949.683707 0.020670 -0.133451 0.088769 -0.072423 0.031330 0.000091 0.996882
1341845949.719890 0.018878 -0.152645 0.081484 -0.079363 0.033609 -0.008613 0.996242
1341845949.751778 0.014757 -0.138962 0.091910 -0.085551 0.034067 -0.004789 0.995740
1341845949.787857 -0.000312 -0.122492 0.105313 -0.092583 0.032262 0.003226 0.995177
1341845949.819784 -0.000312 -0.122492 0.105313 -0.092583 0.032262 0.003226 0.995177
1341845949.851908 -0.003610 -0.044142 0.140903 -0.090749 0.029030 0.009798 0.995402
1341845949.887758 -0.041100 0.035570 0.200020 -0.089421 0.028911 0.020100 0.995371
1341845949.920013 -0.093750 0.049194 0.219647 -0.088577 0.034197 0.019339 0.995294
1341845949.955673 -0.083592 0.056796 0.216375 -0.089638 0.030692 0.018637 0.995327
1341845949.987737 -0.091017 0.043088 0.223901 -0.096018 0.031675 0.016893 0.994732
1341845950.019789 -0.094692 0.031391 0.231035 -0.100636 0.030090 0.015533 0.994347
1341845950.055847 -0.096373 0.024979 0.227963 -0.102968 0.028524 0.013089 0.994189
1341845950.087728 -0.106486 0.042312 0.245194 -0.101822 0.029082 0.010179 0.994325
1341845950.124078 -0.106486 0.042312 0.245194 -0.101822 0.029082 0.010179 0.994325
1341845950.155757 -0.115344 0.041827 0.249159 -0.102676 0.030133 0.007662 0.994229
1341845950.187677 -0.094457 0.044992 0.240172 -0.104927 0.028553 0.006266 0.994050
1341845950.223782 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.255885 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.287784 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.323864 -0.117316 0.008470 0.271922 -0.123774 0.038936 0.000857 0.991546
1341845950.355780 -0.117316 0.008470 0.271922 -0.123774 0.038936 0.000857 0.991546
1341845950.387911 -0.116064 0.002255 0.275992 -0.130390 0.037191 -0.000161 0.990765
1341845950.424265 -0.113229 -0.006581 0.280079 -0.132632 0.037163 -0.001519 0.990467
1341845950.455762 -0.113650 -0.014910 0.283718 -0.131234 0.038292 -0.002891 0.990607
1341845950.487870 -0.113478 -0.025486 0.286094 -0.131236 0.037112 -0.003941 0.990648
1341845950.523880 -0.113513 -0.027528 0.283243 -0.131858 0.036833 -0.004416 0.990574
1341845950.555793 -0.116213 -0.023698 0.283753 -0.138726 0.039972 -0.009528 0.989478
1341845950.587742 -0.117575 -0.022443 0.282811 -0.150670 0.040289 -0.011307 0.987698
1341845950.623823 -0.116017 -0.035055 0.283984 -0.163276 0.038863 -0.009727 0.985767
1341845950.655770 -0.117192 -0.046965 0.285748 -0.173278 0.038166 -0.009972 0.984083
1341845950.691815 -0.117248 -0.063308 0.288247 -0.181726 0.036494 -0.008909 0.982631
1341845950.756034 -0.160203 -0.062221 0.314011 -0.183498 0.043611 -0.002166 0.982050
1341845950.817895 -0.158706 -0.078649 0.319832 -0.188331 0.045171 -0.001609 0.981065
1341845950.853851 -0.156577 -0.085382 0.322086 -0.189747 0.046231 -0.002335 0.980741
1341845950.885881 -0.155125 -0.095234 0.328016 -0.192616 0.047895 -0.004728 0.980093
1341845950.917771 -0.153150 -0.105112 0.334735 -0.192879 0.049188 -0.004275 0.979980
1341845950.953822 -0.153074 -0.112503 0.338811 -0.191553 0.051789 -0.003893 0.980107
1341845950.985908 -0.153704 -0.119653 0.340311 -0.191439 0.054123 -0.005681 0.979995
1341845951.017817 -0.152786 -0.126322 0.342470 -0.194176 0.054943 -0.007583 0.979398
1341845951.053777 -0.149787 -0.132513 0.349276 -0.197840 0.055738 -0.006179 0.978629
1341845951.085819 -0.149114 -0.142273 0.353632 -0.201104 0.057701 -0.001477 0.977868
1341845951.121819 -0.148657 -0.148365 0.357294 -0.204725 0.057893 0.001533 0.977105
1341845951.153788 -0.144202 -0.156215 0.368136 -0.207558 0.057522 0.004483 0.976520
1341845951.185690 -0.144067 -0.165812 0.372286 -0.208317 0.056743 0.007021 0.976389
1341845951.221846 -0.142405 -0.173217 0.377310 -0.207790 0.053779 0.009496 0.976648
1341845951.253677 -0.142655 -0.182105 0.379928 -0.207160 0.049961 0.012070 0.976956
1341845951.289833 -0.134990 -0.191349 0.388587 -0.202125 0.043180 0.020218 0.978199
1341845951.321746 -0.129361 -0.194214 0.391252 -0.199526 0.042166 0.021230 0.978755
1341845951.353781 -0.128739 -0.199978 0.393317 -0.201057 0.041561 0.024674 0.978386
1341845951.389710 -0.131072 -0.207292 0.395065 -0.197777 0.039500 0.026584 0.979090
1341845951.421759 -0.126586 -0.212290 0.398851 -0.192071 0.036275 0.027751 0.980318
1341845951.453714 -0.126610 -0.211483 0.397746 -0.186532 0.035528 0.028596 0.981390
1341845951.489750 -0.125907 -0.215476 0.403200 -0.185651 0.034288 0.029791 0.981565
1341845951.521791 -0.122203 -0.214952 0.405992 -0.183542 0.033573 0.027063 0.982066
1341845951.557734 -0.124445 -0.217960 0.407936 -0.184555 0.035925 0.025021 0.981847
1341845951.621927 -0.123471 -0.232573 0.418189 -0.186359 0.029765 0.024634 0.981722
1341845951.657740 -0.124073 -0.232229 0.422051 -0.187688 0.027600 0.022578 0.981581
1341845951.689997 -0.121825 -0.243130 0.427383 -0.191920 0.024306 0.023754 0.980822
1341845951.721802 -0.122492 -0.251784 0.433072 -0.189870 0.020662 0.024613 0.981283
1341845951.757837 -0.115409 -0.245429 0.429993 -0.186637 0.016202 0.023953 0.982003
1341845951.789992 -0.114480 -0.248251 0.432639 -0.193446 0.017164 0.020023 0.980756
1341845951.825880 -0.110107 -0.258601 0.441689 -0.199199 0.015582 0.021466 0.979600
1341845951.857655 -0.104530 -0.261127 0.446380 -0.200231 0.013059 0.021467 0.979426
1341845951.889934 -0.085657 -0.268558 0.439241 -0.203750 0.010543 0.020555 0.978750
1341845951.925973 -0.096573 -0.270145 0.450452 -0.209073 0.009818 0.021263 0.977620
1341845951.957775 -0.095153 -0.271316 0.458318 -0.211396 0.007325 0.022692 0.977110
1341845951.989866 -0.060207 -0.282713 0.446204 -0.218906 0.000443 0.021475 0.975510
