# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009160 0.001215 0.004049 0.001242 -0.002681 0.000038 0.999996
1341846313.721918 0.014159 0.003246 0.003322 0.001233 -0.003649 0.000821 0.999992
1341846313.753994 0.024850 0.000989 0.002306 0.000405 -0.004882 0.002664 0.999984
1341846313.789969 0.031916 0.000169 0.002352 0.001432 -0.005626 0.001130 0.999983
1341846313.822075 0.028602 0.002368 -0.000342 0.001689 -0.003043 0.000397 0.999994
1341846313.853928 0.023962 0.002477 0.003575 0.001090 0.000978 -0.000434 0.999999
1341846313.890011 0.008573 0.002545 -0.000724 0.000846 0.006416 -0.000428 0.999979
1341846313.922055 -0.007970 0.006387 -0.003923 -0.000873 0.010124 0.001023 0.999948
1341846313.957927 -0.012401 0.005322 0.004679 -0.002899 0.015889 0.002615 0.999866
1341846313.990058 -0.034057 0.006114 0.007516 -0.003918 0.027058 0.002836 0.999622
1341846314.022042 -0.039426 0.008371 0.018356 -0.006078 0.029572 0.003140 0.999539
1341846314.057816 -0.041937 0.010760 0.032729 -0.008845 0.033097 0.004641 0.999402
1341846314.089801 -0.056260 0.009063 0.040204 -0.008191 0.041790 0.005183 0.999079
1341846314.122037 -0.086483 0.010113 0.029612 -0.009499 0.051998 0.007235 0.998576
1341846314.157989 -0.086647 0.009221 0.042491 -0.011648 0.055894 0.008533 0.998332
1341846314.190094 -0.102636 0.008698 0.043283 -0.011525 0.063854 0.009446 0.997848
1341846314.225969 -0.116049 0.013342 0.038275 -0.013247 0.068126 0.011256 0.997525
1341846314.257923 -0.112197 0.007561 0.053580 -0.015846 0.070619 0.011192 0.997315
1341846314.290052 -0.106999 0.005923 0.046153 -0.014847 0.071629 0.009543 0.997275
1341846314.325981 -0.099199 0.011313 0.041969 -0.015292 0.072390 0.008358 0.997224
1341846314.357905 -0.088477 0.008425 0.052792 -0.016385 0.074856 0.007648 0.997030
1341846314.389899 -0.089295 0.005886 0.049331 -0.015114 0.078193 0.006390 0.996803
1341846314.427905 -0.078831 0.009964 0.035877 -0.014905 0.079418 0.005321 0.996716
1341846314.493987 -0.069694 0.004710 0.043628 -0.014201 0.089188 -0.003412 0.995908
1341846314.526085 -0.062903 0.008034 0.034630 -0.013833 0.090904 -0.004694 0.995753
1341846314.558292 -0.053648 0.007273 0.042886 -0.015122 0.093536 -0.003195 0.995496
1341846314.594085 -0.046690 -0.000931 0.043774 -0.014692 0.098041 -0.003401 0.995068
1341846314.626096 -0.045164 0.006394 0.030350 -0.013371 0.102105 -0.002615 0.994680
1341846314.658455 -0.037828 0.007503 0.032099 -0.015408 0.103756 -0.003534 0.994477
1341846314.694004 -0.028292 -0.003259 0.048392 -0.016268 0.107678 -0.004463 0.994043
1341846314.725910 -0.027186 -0.007429 0.052036 -0.012327 0.110586 0.000196 0.993790
1341846314.761942 -0.028781 -0.006749 0.041473 -0.008442 0.111707 0.003639 0.993699
1341846314.794030 -0.014523 -0.010071 0.029671 -0.005874 0.113000 0.004238 0.993569
1341846314.826092 -0.007330 -0.006021 0.018287 -0.003181 0.116774 0.004518 0.993143
1341846314.862145 -0.000650 -0.004348 0.013151 -0.002936 0.120271 0.005458 0.992722
1341846314.894072 0.005713 -0.005090 0.016787 -0.003210 0.124161 0.007270 0.992230
1341846314.925969 0.009506 -0.004838 0.007067 -0.003053 0.126589 0.010365 0.991896
1341846314.961937 0.014925 0.002161 -0.010368 -0.005382 0.126960 0.016371 0.991758
1341846314.994564 0.017867 0.000598 -0.009949 -0.008694 0.128225 0.014526 0.991601
1341846315.029900 0.032531 -0.000963 -0.001815 -0.009082 0.131006 0.011822 0.991269
1341846315.061965 0.027000 -0.000698 -0.002166 -0.009310 0.134179 0.014328 0.990810
1341846315.094388 0.030101 -0.005435 -0.002657 -0.009767 0.133193 0.015153 0.990926
1341846315.129851 0.043111 -0.005811 -0.010829 -0.007885 0.132263 0.014431 0.991078
1341846315.161941 0.049926 0.008630 -0.020459 -0.009247 0.131590 0.019570 0.991068
1341846315.197984 0.048721 -0.005115 -0.019255 -0.017479 0.130248 0.014879 0.991216
1341846315.230076 0.058872 -0.014223 -0.017759 -0.022160 0.128404 0.012125 0.991400
1341846315.262069 0.063229 -0.007424 -0.021931 -0.024223 0.125541 0.016577 0.991654
1341846315.298000 0.068954 -0.023482 -0.027020 -0.027892 0.121538 0.018101 0.992030
1341846315.329931 0.076735 -0.035693 -0.023473 -0.025250 0.119931 0.018023 0.992297
1341846315.361981 0.083982 -0.030910 -0.026998 -0.019545 0.118721 0.021701 0.992498
1341846315.397962 0.088851 -0.030790 -0.022914 -0.016720 0.119032 0.024566 0.992446
1341846315.429923 0.100289 -0.026706 -0.027325 -0.013328 0.119746 0.027243 0.992341
1341846315.466047 0.114262 -0.023305 -0.041978 -0.012100 0.122058 0.029600 0.992008
1341846315.497883 0.108406 -0.022452 -0.039795 -0.012735 0.126279 0.032275 0.991388
1341846315.530008 0.115190 -0.022639 -0.039824 -0.012666 0.126919 0.033682 0.991260
1341846315.566108 0.115986 -0.020468 -0.043232 -0.013175 0.128437 0.034182 0.991041
1341846315.597986 0.117771 -0.022904 -0.038486 -0.013627 0.129766 0.033560 0.990883
1341846315.630109 0.117909 -0.023811 -0.041571 -0.013659 0.131197 0.032180 0.990740
1341846315.666042 0.125715 -0.015026 -0.050058 -0.013489 0.131734 0.032496 0.990660
1341846315.698114 0.128849 -0.011806 -0.049799 -0.018385 0.135087 0.031111 0.990174
1341846315.733985 0.120454 -0.021388 -0.044698 -0.022081 0.138657 0.031532 0.989592
1341846315.766041 0.111472 -0.019531 -0.051165 -0.021408 0.137142 0.032657 0.989781
1341846315.798188 0.119518 -0.018251 -0.048778 -0.022250 0.135576 0.032082 0.989997
1341846315.834140 0.118582 -0.028837 -0.041951 -0.022594 0.137769 0.030874 0.989725
1341846315.866751 0.111290 -0.027245 -0.044096 -0.019912 0.140058 0.029374 0.989507
1341846315.898492 0.107551 -0.028219 -0.040505 -0.018848 0.140828 0.028743 0.989437
1341846315.936901 0.104999 -0.033743 -0.033098 -0.016680 0.142224 0.028707 0.989278
1341846315.966572 0.095583 -0.033722 -0.035960 -0.013265 0.144273 0.027774 0.989059
1341846316.034204 0.084286 -0.033920 -0.035460 -0.009484 0.144533 0.025820 0.989118
1341846316.066113 0.072949 -0.036426 -0.034539 -0.007392 0.145406 0.024544 0.989040
1341846316.101867 0.057819 -0.032906 -0.044912 -0.005550 0.145122 0.025171 0.989078
1341846316.134066 0.046253 -0.031803 -0.043301 -0.006490 0.142869 0.022435 0.989466
1341846316.202049 0.036918 -0.037989 -0.035475 -0.006877 0.137964 0.018307 0.990244
1341846316.233979 0.038225 -0.036347 -0.043582 -0.006366 0.135884 0.017517 0.990549
1341846316.270052 0.033814 -0.036278 -0.041627 -0.007814 0.136875 0.014439 0.990452
1341846316.301915 0.027148 -0.043497 -0.035177 -0.008095 0.138092 0.012669 0.990305
1341846316.334208 0.015533 -0.042823 -0.033828 -0.006226 0.137881 0.013965 0.990331
1341846316.370006 0.011835 -0.045095 -0.035115 -0.004400 0.136337 0.014733 0.990543
1341846316.401994 0.005087 -0.042445 -0.037106 -0.002185 0.135634 0.016500 0.990619
1341846316.438069 0.002754 -0.048037 -0.034890 -0.000386 0.134864 0.019402 0.990674
1341846316.470076 -0.009605 -0.048634 -0.036504 0.004570 0.134985 0.021499 0.990604
1341846316.502034 -0.031229 -0.039996 -0.055721 0.007006 0.133756 0.021744 0.990751
1341846316.537975 -0.030947 -0.038786 -0.052780 0.004422 0.130327 0.020655 0.991246
1341846316.570121 -0.033457 -0.048892 -0.041884 0.003018 0.129761 0.018915 0.991360
1341846316.601885 -0.042491 -0.049648 -0.038652 0.005078 0.129583 0.016943 0.991411
1341846316.638009 -0.054485 -0.052271 -0.042190 0.007228 0.128699 0.017903 0.991496
1341846316.669925 -0.058860 -0.057843 -0.045897 0.009105 0.127687 0.018306 0.991604
1341846316.705941 -0.063379 -0.062064 -0.048984 0.013214 0.127442 0.019412 0.991568
1341846316.738062 -0.076285 -0.050638 -0.052490 0.016995 0.127262 0.021280 0.991495
1341846316.770433 -0.082934 -0.049150 -0.050162 0.015922 0.126605 0.022314 0.991574
1341846316.805932 -0.087700 -0.059875 -0.047375 0.015368 0.126583 0.021247 0.991609
1341846316.838029 -0.105108 -0.055525 -0.058237 0.017315 0.126039 0.021913 0.991632
1341846316.870034 -0.111621 -0.058244 -0.050675 0.017672 0.122790 0.023804 0.991990
1341846316.906344 -0.114407 -0.060024 -0.054239 0.018389 0.119021 0.023313 0.992448
1341846316.937940 -0.118897 -0.058623 -0.059212 0.018277 0.117469 0.020953 0.992687
1341846316.973994 -0.133345 -0.057274 -0.056784 0.017621 0.116463 0.020066 0.992836
1341846317.005913 -0.141300 -0.058211 -0.050600 0.016529 0.114024 0.020823 0.993122
1341846317.037936 -0.145982 -0.063767 -0.044429 0.016463 0.111545 0.020446 0.993413
1341846317.073972 -0.148447 -0.062624 -0.043304 0.017968 0.109353 0.021401 0.993610
1341846317.106113 -0.162876 -0.065943 -0.034445 0.020440 0.108706 0.024844 0.993553
1341846317.137887 -0.177694 -0.063624 -0.036781 0.023906 0.102908 0.028148 0.994005
1341846317.173970 -0.183156 -0.061270 -0.046464 0.025175 0.096143 0.030495 0.994582
1341846317.205887 -0.174465 -0.060618 -0.042194 0.025418 0.090870 0.032016 0.995023
1341846317.248131 -0.184976 -0.062905 -0.033841 0.026464 0.089473 0.033444 0.995076
1341846317.306289 -0.188236 -0.059770 -0.040519 0.028631 0.082322 0.038612 0.995446
1341846317.348137 -0.185168 -0.062975 -0.038070 0.029654 0.082731 0.040442 0.995309
1341846317.410120 -0.208852 -0.057437 -0.031823 0.031917 0.083883 0.044955 0.994949
1341846317.442569 -0.208929 -0.073909 -0.028407 0.033162 0.083723 0.047911 0.994784
1341846317.474010 -0.220393 -0.067448 -0.028981 0.039787 0.084367 0.050359 0.994366
1341846317.509927 -0.238022 -0.058049 -0.034204 0.043292 0.083262 0.052844 0.994183
1341846317.542282 -0.238143 -0.053291 -0.026345 0.042851 0.079952 0.053883 0.994418
1341846317.573943 -0.236693 -0.063207 -0.025788 0.041760 0.080272 0.053152 0.994478
1341846317.610159 -0.246747 -0.067468 -0.018602 0.044239 0.082564 0.053838 0.994147
1341846317.643553 -0.267066 -0.058513 -0.018526 0.047596 0.083207 0.055487 0.993847
1341846317.677993 -0.274429 -0.062300 -0.005686 0.048013 0.080474 0.057479 0.993939
1341846317.709996 -0.281500 -0.063783 -0.011627 0.050458 0.077689 0.056789 0.994079
1341846317.741834 -0.294523 -0.057103 -0.019121 0.050799 0.077101 0.056269 0.994137
1341846317.777923 -0.302320 -0.057029 -0.011636 0.049003 0.076153 0.055435 0.994347
1341846317.810021 -0.310406 -0.059701 -0.009469 0.048479 0.074516 0.053693 0.994592
1341846317.841886 -0.318595 -0.054303 -0.013292 0.048061 0.073455 0.051796 0.994792
1341846317.878017 -0.322547 -0.055314 -0.007999 0.045287 0.073018 0.048192 0.995136
1341846317.909910 -0.322872 -0.060099 -0.007064 0.044049 0.073661 0.045293 0.995280
1341846317.946031 -0.339911 -0.061294 -0.002964 0.045520 0.075587 0.046331 0.995022
1341846317.978041 -0.345541 -0.064658 0.001256 0.047354 0.074126 0.046716 0.995028
1341846318.009897 -0.349778 -0.063581 -0.001753 0.049498 0.074318 0.044269 0.995021
1341846318.045949 -0.362182 -0.057500 -0.003113 0.050205 0.075614 0.043007 0.994943
1341846318.078074 -0.378685 -0.060997 -0.000858 0.048849 0.075156 0.041000 0.995130
