# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.001762 -0.005287 0.000838 -0.005281 0.000704 0.001093 0.999985
1341845948.979787 -0.000104 -0.009382 0.004966 -0.011404 0.001201 0.000275 0.999934
1341845949.011787 0.003391 -0.014687 0.010379 -0.017653 0.003643 -0.000596 0.999837
1341845949.047774 0.003557 -0.024571 0.015493 -0.022009 0.005254 0.002499 0.999741
1341845949.079745 0.004820 -0.032324 0.020174 -0.022579 0.004910 0.007022 0.999708
1341845949.115941 0.007571 -0.035581 0.021519 -0.023117 0.006391 0.008932 0.999672
1341845949.147691 0.008156 -0.041595 0.025400 -0.025643 0.009957 0.010406 0.999567
1341845949.179815 0.007464 -0.050638 0.030596 -0.028342 0.012938 0.013015 0.999430
1341845949.215795 0.009867 -0.057632 0.032270 -0.029879 0.014829 0.014088 0.999344
1341845949.247763 0.012994 -0.061115 0.035342 -0.032734 0.018339 0.014208 0.999195
1341845949.283892 0.017415 -0.068774 0.046738 -0.036338 0.022401 0.014486 0.998983
1341845949.315792 0.019342 -0.078853 0.055994 -0.037312 0.026448 0.015348 0.998836
1341845949.347811 0.019708 -0.086824 0.055358 -0.036405 0.029572 0.014395 0.998796
1341845949.383752 0.018470 -0.090718 0.056020 -0.036600 0.033560 0.011880 0.998696
1341845949.415733 0.013990 -0.094984 0.057087 -0.038136 0.036161 0.010326 0.998565
1341845949.451907 0.013461 -0.099644 0.061032 -0.040715 0.036304 0.009776 0.998463
1341845949.483823 0.016976 -0.101981 0.068136 -0.044526 0.036681 0.008088 0.998302
1341845949.515817 0.013386 -0.103164 0.073854 -0.050401 0.038254 0.005637 0.997980
1341845949.551896 0.017293 -0.111867 0.080202 -0.058520 0.034674 0.004298 0.997675
1341845949.583736 0.021118 -0.115325 0.086397 -0.062815 0.032181 0.002689 0.997503
1341845949.619753 0.020409 -0.115107 0.088869 -0.067334 0.032931 0.000625 0.997187
1341845949.651764 0.020670 -0.133451 0.088769 -0.072423 0.031330 0.000091 0.996882
1341845949.683707 0.020670 -0.133451 0.088769 -0.072423 0.031330 0.000091 0.996882
1341845949.719890 0.018878 -0.152645 0.081484 -0.079363 0.033609 -0.008613 0.996242
1341845949.751778 0.014757 -0.138962 0.091910 -0.085551 0.034067 -0.004789 0.995740
1341845949.787857 -0.000312 -0.122492 0.105313 -0.092583 0.032262 0.003226 0.995177
1341845949.819784 -0.000312 -0.122492 0.105313 -0.092583 0.032262 0.003226 0.995177
1341845949.851908 -0.003610 -0.044142 0.140903 -0.090749 0.029030 0.009798 0.995402
1341845949.887758 -0.041100 0.035570 0.200020 -0.089421 0.028911 0.020100 0.995371
1341845949.920013 -0.093750 0.049194 0.219647 -0.088577 0.034197 0.019339 0.995294
1341845949.955673 -0.083592 0.056796 0.216375 -0.089638 0.030692 0.018637 0.995327
1341845949.987737 -0.091017 0.043088 0.223901 -0.096018 0.031675 0.016893 0.994732
1341845950.019789 -0.094692 0.031391 0.231035 -0.100636 0.030090 0.015533 0.994347
1341845950.055847 -0.096373 0.024979 0.227963 -0.102968 0.028524 0.013089 0.994189
1341845950.087728 -0.106486 0.042312 0.245194 -0.101822 0.029082 0.010179 0.994325
1341845950.124078 -0.106486 0.042312 0.245194 -0.101822 0.029082 0.010179 0.994325
1341845950.155757 -0.115344 0.041827 0.249159 -0.102676 0.030133 0.007662 0.994229
1341845950.187677 -0.094457 0.044992 0.240172 -0.104927 0.028553 0.006266 0.994050
1341845950.223782 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.255885 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.287784 -0.107166 0.025115 0.254681 -0.114088 0.033371 0.003542 0.992904
1341845950.323864 -0.117316 0.008470 0.271922 -0.123774 0.038936 0.000857 0.991546
1341845950.355780 -0.117316 0.008470 0.271922 -0.123774 0.038936 0.000857 0.991546
1341845950.387911 -0.117316 0.008470 0.271922 -0.123774 0.038936 0.000857 0.991546
1341845950.424265 -0.124573 0.238430 0.314518 -0.077787 0.043520 -0.010405 0.995965
1341845950.455762 -0.129706 0.338898 0.336791 -0.044927 0.045718 -0.016314 0.997810
1341845950.487870 -0.120028 0.384574 0.333637 -0.028511 0.042234 -0.022032 0.998458
1341845950.523880 -0.120026 0.383972 0.331387 -0.028851 0.042087 -0.022797 0.998437
1341845950.555793 -0.122681 0.386921 0.331724 -0.036026 0.045816 -0.027255 0.997928
1341845950.587742 -0.123982 0.388399 0.331075 -0.048084 0.046575 -0.028928 0.997337
1341845950.623823 -0.122993 0.375755 0.329649 -0.060847 0.045274 -0.027434 0.996742
1341845950.655770 -0.124702 0.363799 0.328968 -0.070982 0.044826 -0.027691 0.996085
1341845950.691815 -0.125494 0.347308 0.328097 -0.079566 0.043241 -0.026756 0.995532
1341845950.756034 -0.125591 0.332587 0.330570 -0.083254 0.044644 -0.024547 0.995225
1341845950.817895 -0.123751 0.313503 0.332274 -0.088686 0.045696 -0.023372 0.994736
1341845950.853851 -0.123524 0.306584 0.332131 -0.090009 0.047322 -0.024218 0.994521
1341845950.885881 -0.122957 0.295945 0.335386 -0.092790 0.049347 -0.026386 0.994112
1341845950.917771 -0.121577 0.284783 0.339895 -0.093045 0.050576 -0.025853 0.994040
1341845950.953822 -0.119577 0.274567 0.341566 -0.092225 0.052270 -0.025048 0.994050
1341845950.985908 -0.120688 0.268504 0.342177 -0.091665 0.054705 -0.026156 0.993942
1341845951.017817 -0.121820 0.266156 0.345921 -0.092740 0.056906 -0.029318 0.993630
1341845951.053777 -0.119074 0.260606 0.351576 -0.095921 0.057570 -0.027523 0.993342
1341845951.085819 -0.120357 0.255501 0.356449 -0.097337 0.060089 -0.024257 0.993140
1341845951.121819 -0.119700 0.248062 0.358200 -0.101191 0.059824 -0.021493 0.992834
1341845951.153788 -0.117127 0.239347 0.365367 -0.103636 0.059509 -0.018607 0.992659
1341845951.185690 -0.118895 0.229245 0.367162 -0.104391 0.058977 -0.016544 0.992648
1341845951.221846 -0.120981 0.219982 0.368498 -0.104202 0.056744 -0.014808 0.992826
1341845951.253677 -0.119081 0.211407 0.372815 -0.103585 0.051988 -0.012519 0.993182
1341845951.289833 -0.118192 0.212845 0.379474 -0.095163 0.047095 -0.010888 0.994287
1341845951.321746 -0.113776 0.207704 0.379212 -0.091580 0.045479 -0.008304 0.994724
1341845951.353781 -0.112619 0.198516 0.378955 -0.094489 0.044294 -0.005562 0.994524
1341845951.389710 -0.106943 0.180079 0.386851 -0.097116 0.039645 -0.001566 0.994482
1341845951.421759 -0.104083 0.174277 0.388701 -0.091079 0.036533 -0.000899 0.995173
1341845951.453714 -0.101000 0.172261 0.388923 -0.086270 0.034285 0.002425 0.995679
1341845951.489750 -0.101917 0.165471 0.389632 -0.085584 0.033261 0.003469 0.995770
1341845951.521791 -0.096907 0.163488 0.397295 -0.084374 0.032468 0.000108 0.995905
1341845951.557734 -0.096061 0.156908 0.395686 -0.085832 0.033518 0.001254 0.995745
1341845951.621927 -0.095678 0.144117 0.403799 -0.086677 0.027510 0.000003 0.995857
1341845951.657740 -0.096524 0.141633 0.404626 -0.088680 0.025491 -0.002060 0.995732
1341845951.689997 -0.093799 0.134168 0.412960 -0.091646 0.021986 -0.001753 0.995547
1341845951.721802 -0.090964 0.127802 0.422478 -0.088472 0.016696 -0.001261 0.995938
1341845951.757837 -0.087122 0.130484 0.417647 -0.086694 0.013510 -0.002350 0.996141
1341845951.789992 -0.086251 0.127759 0.418764 -0.093354 0.015045 -0.006071 0.995501
1341845951.825880 -0.083076 0.115391 0.426320 -0.099351 0.013617 -0.004864 0.994947
1341845951.857655 -0.077874 0.113304 0.430112 -0.099932 0.011281 -0.005498 0.994915
1341845951.889934 -0.077494 0.112965 0.429855 -0.102036 0.011427 -0.005943 0.994697
1341845951.925973 -0.076038 0.105858 0.434834 -0.108618 0.008847 -0.004832 0.994032
1341845951.957775 -0.073541 0.104124 0.438045 -0.110735 0.006384 -0.004184 0.993821
1341845951.989866 -0.074120 0.107475 0.440327 -0.115173 0.005159 -0.006624 0.993310
1341845952.026044 -0.074452 0.095724 0.446599 -0.123896 0.002332 -0.006572 0.992271
