# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.004495 -0.008931 -0.008974 -0.002031 -0.002668 -0.007589 0.999966
1341846434.914148 0.014109 -0.014013 -0.032153 -0.003092 -0.011037 -0.017233 0.999786
1341846434.946443 0.021745 -0.019397 -0.042103 -0.005076 -0.023555 -0.024938 0.999399
1341846434.978088 0.038823 -0.026525 -0.047251 -0.005015 -0.033530 -0.025919 0.999089
1341846435.014019 0.048295 -0.030733 -0.051843 -0.003827 -0.039469 -0.025107 0.998898
1341846435.045942 0.065321 -0.034518 -0.052912 -0.002534 -0.043192 -0.024186 0.998771
1341846435.077985 0.077419 -0.042964 -0.048994 -0.001224 -0.042222 -0.024302 0.998812
1341846435.113961 0.077054 -0.048834 -0.055161 0.002090 -0.040464 -0.024675 0.998874
1341846435.146181 0.081744 -0.052475 -0.057357 0.004933 -0.041247 -0.023956 0.998850
1341846435.182052 0.060379 -0.052559 -0.067142 0.006935 -0.042935 -0.021723 0.998818
1341846435.213955 0.052489 -0.073809 -0.108785 0.007254 -0.048859 -0.015648 0.998657
1341846435.246495 0.047310 -0.075472 -0.119352 0.010371 -0.053119 -0.010947 0.998474
1341846435.281968 0.043613 -0.077556 -0.147809 0.011083 -0.060503 -0.007618 0.998077
1341846435.319946 0.055997 -0.075200 -0.151885 0.010157 -0.069219 -0.007894 0.997519
1341846435.382078 0.095495 -0.088718 -0.129527 0.005666 -0.083455 -0.003352 0.996490
1341846435.414309 0.098551 -0.100535 -0.134232 0.007544 -0.085939 -0.001069 0.996271
1341846435.450323 0.113223 -0.088365 -0.138002 0.011497 -0.092011 0.000448 0.995692
1341846435.482273 0.134142 -0.086382 -0.118159 0.012077 -0.094530 0.000702 0.995448
1341846435.513983 0.144357 -0.079379 -0.118485 0.013034 -0.092569 -0.001120 0.995620
1341846435.550153 0.150645 -0.079290 -0.131789 0.011257 -0.091224 -0.002691 0.995763
1341846435.582003 0.152821 -0.096435 -0.136784 0.008434 -0.092986 -0.005509 0.995616
1341846435.618180 0.146921 -0.092872 -0.117666 0.012572 -0.098543 -0.007038 0.995029
1341846435.650183 0.181377 -0.106393 -0.146921 0.014304 -0.107686 -0.007677 0.994052
1341846435.681920 0.195175 -0.104413 -0.138384 0.016797 -0.108876 -0.007827 0.993883
1341846435.717877 0.207362 -0.099998 -0.149639 0.018410 -0.110065 -0.008430 0.993718
1341846435.750187 0.216854 -0.105293 -0.151336 0.018024 -0.112822 -0.009825 0.993403
1341846435.782022 0.228069 -0.102845 -0.151434 0.019633 -0.117004 -0.010744 0.992879
1341846435.818082 0.245143 -0.103860 -0.145944 0.019899 -0.120858 -0.011733 0.992401
1341846435.849992 0.254107 -0.105906 -0.147311 0.020857 -0.123541 -0.011762 0.992051
1341846435.886101 0.267414 -0.103647 -0.150224 0.021742 -0.127968 -0.012145 0.991466
1341846435.918077 0.276602 -0.103286 -0.152523 0.021517 -0.131453 -0.011023 0.991028
1341846435.950077 0.286457 -0.110774 -0.148636 0.020455 -0.135223 -0.008502 0.990568
1341846435.986080 0.296866 -0.115781 -0.148488 0.021932 -0.139814 -0.007411 0.989907
1341846436.018119 0.305089 -0.109703 -0.151813 0.023446 -0.145555 -0.005599 0.989057
1341846436.050565 0.326614 -0.105583 -0.152256 0.022735 -0.150795 -0.002573 0.988300
