# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009160 0.001215 0.004049 0.001242 -0.002681 0.000038 0.999996
1341846313.721918 0.014159 0.003246 0.003322 0.001233 -0.003649 0.000821 0.999992
1341846313.753994 0.024850 0.000989 0.002306 0.000405 -0.004882 0.002664 0.999984
1341846313.789969 0.031916 0.000169 0.002352 0.001432 -0.005626 0.001130 0.999983
1341846313.822075 0.028602 0.002368 -0.000342 0.001689 -0.003043 0.000397 0.999994
1341846313.853928 0.023962 0.002477 0.003575 0.001090 0.000978 -0.000434 0.999999
1341846313.890011 0.008573 0.002545 -0.000724 0.000846 0.006416 -0.000428 0.999979
1341846313.922055 -0.007970 0.006387 -0.003923 -0.000873 0.010124 0.001023 0.999948
1341846313.957927 -0.012401 0.005322 0.004679 -0.002899 0.015889 0.002615 0.999866
1341846313.990058 -0.034057 0.006114 0.007516 -0.003918 0.027058 0.002836 0.999622
1341846314.022042 -0.039426 0.008371 0.018356 -0.006078 0.029572 0.003140 0.999539
1341846314.057816 -0.041937 0.010760 0.032729 -0.008845 0.033097 0.004641 0.999402
1341846314.089801 -0.056260 0.009063 0.040204 -0.008191 0.041790 0.005183 0.999079
1341846314.122037 -0.086483 0.010113 0.029612 -0.009499 0.051998 0.007235 0.998576
1341846314.157989 -0.086647 0.009221 0.042491 -0.011648 0.055894 0.008533 0.998332
1341846314.190094 -0.102636 0.008698 0.043283 -0.011525 0.063854 0.009446 0.997848
1341846314.225969 -0.116049 0.013342 0.038275 -0.013247 0.068126 0.011256 0.997525
1341846314.257923 -0.112197 0.007561 0.053580 -0.015846 0.070619 0.011192 0.997315
1341846314.290052 -0.106999 0.005923 0.046153 -0.014847 0.071629 0.009543 0.997275
1341846314.325981 -0.099199 0.011313 0.041969 -0.015292 0.072390 0.008358 0.997224
1341846314.357905 -0.088477 0.008425 0.052792 -0.016385 0.074856 0.007648 0.997030
1341846314.389899 -0.089295 0.005886 0.049331 -0.015114 0.078193 0.006390 0.996803
1341846314.427905 -0.078831 0.009964 0.035877 -0.014905 0.079418 0.005321 0.996716
1341846314.493987 -0.069694 0.004710 0.043628 -0.014201 0.089188 -0.003412 0.995908
1341846314.526085 -0.062903 0.008034 0.034630 -0.013833 0.090904 -0.004694 0.995753
1341846314.558292 -0.053648 0.007273 0.042886 -0.015122 0.093536 -0.003195 0.995496
1341846314.594085 -0.046690 -0.000931 0.043774 -0.014692 0.098041 -0.003401 0.995068
1341846314.626096 -0.045164 0.006394 0.030350 -0.013371 0.102105 -0.002615 0.994680
1341846314.658455 -0.037828 0.007503 0.032099 -0.015408 0.103756 -0.003534 0.994477
1341846314.694004 -0.028292 -0.003259 0.048392 -0.016268 0.107678 -0.004463 0.994043
1341846314.725910 -0.027186 -0.007429 0.052036 -0.012327 0.110586 0.000196 0.993790
1341846314.761942 -0.028781 -0.006749 0.041473 -0.008442 0.111707 0.003639 0.993699
1341846314.794030 -0.014523 -0.010071 0.029671 -0.005874 0.113000 0.004238 0.993569
1341846314.826092 -0.007330 -0.006021 0.018287 -0.003181 0.116774 0.004518 0.993143
1341846314.862145 0.000501 -0.003816 0.013812 -0.002861 0.120148 0.005408 0.992737
1341846314.894072 0.005865 -0.004654 0.016245 -0.003138 0.124124 0.007019 0.992237
1341846314.925969 0.009906 -0.004399 0.007607 -0.002984 0.126522 0.010288 0.991906
1341846314.961937 0.015287 0.003738 -0.005980 -0.005115 0.126873 0.016186 0.991774
1341846314.994564 0.018228 0.002173 -0.005561 -0.008426 0.128139 0.014340 0.991617
1341846315.029900 0.032890 0.000601 0.002571 -0.008814 0.130921 0.011637 0.991285
1341846315.061965 0.027359 0.000870 0.002222 -0.009041 0.134093 0.014144 0.990827
1341846315.094388 0.030458 -0.003868 0.001730 -0.009499 0.133107 0.014969 0.990943
1341846315.129851 0.043469 -0.004246 -0.006440 -0.007617 0.132176 0.014247 0.991095
1341846315.161941 0.050292 0.010197 -0.016062 -0.008979 0.131502 0.019385 0.991086
1341846315.197984 0.049081 -0.003549 -0.014865 -0.017211 0.130163 0.014694 0.991234
1341846315.230076 0.059228 -0.012663 -0.013370 -0.021892 0.128321 0.011938 0.991419
1341846315.262069 0.063589 -0.005863 -0.017539 -0.023957 0.125457 0.016390 0.991674
1341846315.298000 0.069307 -0.021920 -0.022635 -0.027627 0.121455 0.017912 0.992051
1341846315.329931 0.077082 -0.034137 -0.019093 -0.024984 0.119848 0.017834 0.992318
1341846315.361981 0.084332 -0.029355 -0.022614 -0.019280 0.118635 0.021512 0.992518
1341846315.397962 0.089199 -0.029239 -0.018529 -0.016455 0.118945 0.024377 0.992465
1341846315.429923 0.100642 -0.025157 -0.022936 -0.013063 0.119657 0.027055 0.992361
1341846315.466047 0.114619 -0.021755 -0.037584 -0.011836 0.121969 0.029413 0.992027
1341846315.497883 0.108763 -0.020901 -0.035402 -0.012469 0.126189 0.032089 0.991409
1341846315.530008 0.115548 -0.021091 -0.035430 -0.012401 0.126829 0.033496 0.991281
1341846315.566108 0.116337 -0.018918 -0.038833 -0.012909 0.128348 0.033995 0.991062
1341846315.597986 0.118127 -0.021357 -0.034091 -0.013361 0.129676 0.033375 0.990905
1341846315.630109 0.118265 -0.022263 -0.037176 -0.013393 0.131107 0.031996 0.990761
1341846315.666042 0.126077 -0.013477 -0.045658 -0.013223 0.131644 0.032312 0.990682
1341846315.698114 0.129213 -0.010259 -0.045397 -0.018118 0.134999 0.030927 0.990197
1341846315.733985 0.120813 -0.019840 -0.040302 -0.021813 0.138569 0.031349 0.989616
1341846315.766041 0.111832 -0.017976 -0.046770 -0.021141 0.137053 0.032474 0.989805
1341846315.798188 0.119878 -0.016700 -0.044380 -0.021983 0.135488 0.031898 0.990021
1341846315.834140 0.118937 -0.027289 -0.037560 -0.022326 0.137682 0.030690 0.989749
1341846315.866751 0.111646 -0.025693 -0.039704 -0.019644 0.139970 0.029192 0.989530
1341846315.898492 0.107906 -0.026667 -0.036115 -0.018579 0.140741 0.028561 0.989460
1341846315.936901 0.105350 -0.032194 -0.028711 -0.016411 0.142136 0.028525 0.989300
1341846315.966572 0.095935 -0.032167 -0.031575 -0.012996 0.144184 0.027593 0.989081
1341846316.034204 0.084643 -0.032360 -0.031076 -0.009215 0.144443 0.025641 0.989138
1341846316.066113 0.073300 -0.034862 -0.030159 -0.007122 0.145316 0.024364 0.989060
1341846316.101867 0.058174 -0.031330 -0.040533 -0.005281 0.145032 0.024991 0.989097
1341846316.134066 0.046608 -0.030223 -0.038923 -0.006220 0.142780 0.022254 0.989485
1341846316.202049 0.037269 -0.036409 -0.031101 -0.006608 0.137876 0.018125 0.990262
1341846316.233979 0.038578 -0.034763 -0.039207 -0.006098 0.135796 0.017335 0.990566
1341846316.270052 0.034167 -0.034693 -0.037253 -0.007545 0.136788 0.014257 0.990469
1341846316.301915 0.027496 -0.041913 -0.030808 -0.007826 0.138006 0.012487 0.990322
1341846316.334208 0.015882 -0.041234 -0.029460 -0.005957 0.137794 0.013783 0.990347
1341846316.370006 0.012183 -0.043503 -0.030749 -0.004131 0.136249 0.014551 0.990559
1341846316.401994 0.005437 -0.040850 -0.032740 -0.001916 0.135546 0.016318 0.990635
1341846316.438069 0.003101 -0.046442 -0.030526 -0.000117 0.134774 0.019220 0.990690
1341846316.470076 -0.009258 -0.047032 -0.032143 0.004838 0.134893 0.021317 0.990619
1341846316.502034 -0.030875 -0.038376 -0.051360 0.007273 0.133664 0.021563 0.990765
1341846316.537975 -0.030593 -0.037167 -0.048419 0.004689 0.130236 0.020472 0.991261
1341846316.570121 -0.033109 -0.047278 -0.037527 0.003285 0.129671 0.018732 0.991375
1341846316.601885 -0.042145 -0.048031 -0.034297 0.005345 0.129493 0.016760 0.991424
1341846316.638009 -0.054139 -0.050648 -0.037839 0.007495 0.128608 0.017720 0.991509
1341846316.669925 -0.058516 -0.056216 -0.041549 0.009372 0.127596 0.018123 0.991616
1341846316.705941 -0.063036 -0.060434 -0.044639 0.013481 0.127349 0.019229 0.991580
1341846316.738062 -0.075937 -0.049000 -0.048142 0.017262 0.127168 0.021097 0.991507
1341846316.770433 -0.082585 -0.047510 -0.045815 0.016189 0.126511 0.022131 0.991586
1341846316.805932 -0.087379 -0.058245 -0.043090 0.015633 0.126491 0.021067 0.991621
1341846316.838029 -0.104761 -0.053872 -0.053898 0.017581 0.125945 0.021730 0.991643
1341846316.870034 -0.111276 -0.056592 -0.046338 0.017937 0.122696 0.023620 0.992001
1341846316.906344 -0.114062 -0.058370 -0.049903 0.018654 0.118927 0.023128 0.992458
1341846316.937940 -0.118555 -0.056966 -0.054879 0.018543 0.117374 0.020769 0.992697
1341846316.973994 -0.132999 -0.055609 -0.052449 0.017886 0.116369 0.019881 0.992846
1341846317.005913 -0.140955 -0.056547 -0.046268 0.016793 0.113930 0.020636 0.993132
1341846317.037936 -0.145641 -0.062104 -0.040100 0.016726 0.111451 0.020259 0.993423
1341846317.073972 -0.148106 -0.060960 -0.038976 0.018231 0.109258 0.021214 0.993620
1341846317.106113 -0.162537 -0.064277 -0.030120 0.020702 0.108610 0.024657 0.993563
1341846317.137887 -0.177354 -0.061950 -0.032458 0.024167 0.102810 0.027959 0.994014
1341846317.173970 -0.182810 -0.059589 -0.042141 0.025435 0.096045 0.030305 0.994590
1341846317.205887 -0.174123 -0.058944 -0.037869 0.025676 0.090771 0.031824 0.995032
1341846317.248131 -0.184634 -0.061230 -0.029520 0.026722 0.089373 0.033252 0.995084
1341846317.306289 -0.187894 -0.058090 -0.036196 0.028887 0.082221 0.038419 0.995454
1341846317.348137 -0.184827 -0.061297 -0.033748 0.029910 0.082629 0.040248 0.995318
1341846317.410120 -0.208511 -0.055752 -0.027503 0.032173 0.083780 0.044762 0.994958
1341846317.442569 -0.208596 -0.072226 -0.024094 0.033417 0.083619 0.047719 0.994793
1341846317.474010 -0.220057 -0.065759 -0.024667 0.040042 0.084261 0.050167 0.994374
1341846317.509927 -0.237681 -0.056351 -0.029889 0.043547 0.083155 0.052652 0.994191
1341846317.542282 -0.237801 -0.051596 -0.022028 0.043105 0.079844 0.053690 0.994427
1341846317.573943 -0.236356 -0.061514 -0.021475 0.042014 0.080165 0.052960 0.994487
1341846317.610159 -0.246413 -0.065774 -0.014293 0.044494 0.082456 0.053646 0.994155
1341846317.643553 -0.266728 -0.056810 -0.014216 0.047850 0.083097 0.055296 0.993855
1341846317.677993 -0.274095 -0.060600 -0.001379 0.048267 0.080364 0.057287 0.993947
1341846317.709996 -0.281165 -0.062077 -0.007321 0.050712 0.077579 0.056597 0.994086
1341846317.741834 -0.294184 -0.055387 -0.014815 0.051052 0.076991 0.056077 0.994144
1341846317.777923 -0.301982 -0.055313 -0.007331 0.049256 0.076044 0.055242 0.994354
1341846317.810021 -0.310069 -0.057983 -0.005167 0.048732 0.074407 0.053500 0.994599
1341846317.841886 -0.318256 -0.052580 -0.008989 0.048314 0.073347 0.051603 0.994798
1341846317.878017 -0.322209 -0.053591 -0.003696 0.045541 0.072911 0.047998 0.995141
1341846317.909910 -0.322535 -0.058374 -0.002762 0.044303 0.073555 0.045099 0.995285
1341846317.946031 -0.339576 -0.059567 0.001332 0.045774 0.075480 0.046137 0.995027
1341846317.978041 -0.345209 -0.062930 0.005550 0.047607 0.074019 0.046523 0.995033
1341846318.009897 -0.349444 -0.061850 0.002541 0.049752 0.074211 0.044075 0.995025
1341846318.045949 -0.361845 -0.055763 0.001182 0.050459 0.075508 0.042814 0.994947
1341846318.078074 -0.378350 -0.059253 0.003432 0.049103 0.075050 0.040806 0.995134
