# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.002170 0.007839 0.010420 -0.002085 -0.002903 -0.001588 0.999992
1305031102.243211 -0.003511 0.008538 0.023402 -0.008033 -0.005549 -0.001100 0.999952
1305031102.275326 -0.003782 0.009909 0.035618 -0.012614 -0.008432 -0.000851 0.999885
1305031102.311267 -0.003577 0.007135 0.049648 -0.017807 -0.010641 -0.000113 0.999785
1305031102.343233 -0.004837 0.008691 0.060930 -0.019425 -0.012205 0.001517 0.999736
1305031102.375329 -0.004676 0.010116 0.073241 -0.021267 -0.014304 0.001649 0.999670
1305031102.411258 -0.009296 0.013211 0.081872 -0.022524 -0.015522 0.000109 0.999626
1305031102.443271 -0.011041 0.021644 0.092566 -0.025520 -0.018412 -0.000159 0.999505
1305031102.475318 -0.007178 0.022041 0.108174 -0.032740 -0.022101 -0.000089 0.999220
1305031102.511219 -0.006948 0.022107 0.121249 -0.037669 -0.021261 -0.001784 0.999062
1305031102.543220 -0.008192 0.021417 0.134173 -0.042531 -0.019530 -0.003779 0.998897
1305031102.575286 -0.007086 0.015558 0.147371 -0.046013 -0.018514 -0.005070 0.998756
1305031102.611233 -0.008866 0.013189 0.159324 -0.043931 -0.015278 -0.004062 0.998909
1305031102.643265 -0.015042 0.021101 0.168169 -0.040044 -0.012555 -0.003487 0.999113
1305031102.675285 -0.014584 0.023588 0.181401 -0.041612 -0.014382 -0.002508 0.999027
1305031102.711263 -0.014933 0.022910 0.195034 -0.042923 -0.014730 -0.001279 0.998969
1305031102.743234 -0.014159 0.031131 0.206750 -0.042112 -0.015309 0.000444 0.998996
1305031102.775472 -0.010918 0.031218 0.220973 -0.044775 -0.014569 -0.000862 0.998890
1305031102.811232 -0.012506 0.034968 0.232655 -0.045443 -0.010965 -0.001877 0.998905
1305031102.843290 -0.011527 0.035317 0.246821 -0.047541 -0.008013 -0.002735 0.998833
1305031102.875363 -0.014865 0.038737 0.258460 -0.046273 -0.004117 -0.005255 0.998907
1305031102.911185 -0.015811 0.041570 0.269688 -0.045793 -0.002573 -0.006527 0.998926
1305031102.943229 -0.022662 0.043056 0.279226 -0.046036 -0.000197 -0.008251 0.998906
1305031102.975203 -0.030702 0.045445 0.286027 -0.046535 -0.003771 -0.009251 0.998867
1305031103.011215 -0.030577 0.048414 0.296951 -0.047681 -0.010015 -0.006126 0.998794
1305031103.043227 -0.031681 0.051872 0.307975 -0.049111 -0.015638 -0.003503 0.998665
1305031103.075319 -0.026663 0.050443 0.318643 -0.050259 -0.020380 -0.000838 0.998528
1305031103.111240 -0.027796 0.058681 0.325816 -0.047178 -0.019607 -0.000028 0.998694
1305031103.143318 -0.026603 0.059918 0.336041 -0.049406 -0.020205 0.001647 0.998573
1305031103.175452 -0.026757 0.066738 0.343331 -0.048505 -0.018815 0.002023 0.998644
1305031103.211220 -0.028421 0.074056 0.351903 -0.051565 -0.018289 0.002876 0.998498
1305031103.243216 -0.027935 0.077279 0.359302 -0.058315 -0.018395 0.006751 0.998106
1305031103.275370 -0.033262 0.080062 0.364362 -0.066828 -0.019186 0.011073 0.997519
1305031103.311210 -0.032604 0.073254 0.371669 -0.075903 -0.029166 0.010728 0.996631
1305031103.343223 -0.026967 0.074895 0.373338 -0.076139 -0.035097 0.010356 0.996426
1305031103.375327 -0.025431 0.074271 0.374043 -0.079603 -0.034089 0.012106 0.996170
1305031103.411260 -0.026454 0.068429 0.373111 -0.083222 -0.033220 0.013950 0.995879
1305031103.443280 -0.027926 0.066977 0.369134 -0.082986 -0.035041 0.013540 0.995842
1305031103.475274 -0.027559 0.062861 0.364545 -0.083182 -0.037831 0.011793 0.995746
1305031103.511333 -0.027542 0.058479 0.358578 -0.081216 -0.039339 0.009708 0.995873
1305031103.543444 -0.027733 0.049748 0.350322 -0.079000 -0.040270 0.006575 0.996039
1305031103.575474 -0.029496 0.049065 0.340476 -0.073534 -0.040950 0.006731 0.996429
1305031103.611223 -0.031686 0.043817 0.330519 -0.071759 -0.043104 0.007592 0.996461
1305031103.643445 -0.030861 0.039084 0.320188 -0.069431 -0.047346 0.008108 0.996430
1305031103.675523 -0.028397 0.035172 0.309522 -0.066918 -0.050546 0.008256 0.996443
1305031103.711610 -0.026487 0.031708 0.298389 -0.064506 -0.051922 0.008070 0.996533
1305031103.743326 -0.024887 0.024983 0.286999 -0.062981 -0.051944 0.007082 0.996637
1305031103.775342 -0.024229 0.023367 0.271697 -0.059257 -0.051378 0.003811 0.996912
1305031103.811242 -0.023472 0.022530 0.258086 -0.058870 -0.050333 0.000748 0.996996
1305031103.843251 -0.027014 0.022868 0.242280 -0.061029 -0.048695 -0.001894 0.996946
1305031103.875361 -0.027805 0.011281 0.231997 -0.069555 -0.051588 -0.004796 0.996232
1305031103.911221 -0.026528 0.002824 0.218906 -0.069909 -0.055830 -0.006241 0.995970
1305031103.943211 -0.024865 0.000207 0.204246 -0.067652 -0.058743 -0.007101 0.995953
1305031103.975373 -0.022457 -0.006022 0.191820 -0.066542 -0.061108 -0.008144 0.995877
1305031104.011232 -0.017620 -0.011367 0.181666 -0.062743 -0.062674 -0.009037 0.996019
1305031104.043249 -0.014602 -0.012911 0.165812 -0.054915 -0.059920 -0.011425 0.996626
1305031104.075425 -0.012050 -0.012479 0.151376 -0.050258 -0.055707 -0.013955 0.997084
1305031104.111235 -0.008748 -0.019004 0.140740 -0.048267 -0.050639 -0.014937 0.997438
1305031104.143230 -0.009540 -0.025228 0.125653 -0.044455 -0.044517 -0.016189 0.997888
1305031104.175424 -0.010432 -0.028462 0.110609 -0.040539 -0.040854 -0.017190 0.998194
1305031104.211283 -0.009010 -0.033711 0.098511 -0.037198 -0.038693 -0.016840 0.998417
1305031104.243196 -0.008275 -0.036152 0.085589 -0.032597 -0.036469 -0.016920 0.998660
1305031104.275546 -0.006973 -0.037683 0.073569 -0.028080 -0.034169 -0.017687 0.998865
1305031104.311219 -0.005756 -0.039556 0.061976 -0.024441 -0.031125 -0.017778 0.999058
1305031104.343342 -0.004458 -0.039274 0.050162 -0.020822 -0.027157 -0.018160 0.999249
1305031104.375837 -0.005007 -0.040382 0.039530 -0.019013 -0.022093 -0.017835 0.999416
1305031104.411509 -0.007652 -0.041379 0.028289 -0.017600 -0.017602 -0.017440 0.999538
1305031104.443288 -0.012379 -0.040989 0.016836 -0.016805 -0.014969 -0.017070 0.999601
1305031104.475456 -0.015944 -0.042466 0.007445 -0.017227 -0.015546 -0.016413 0.999596
1305031104.511329 -0.016519 -0.046483 -0.000670 -0.017064 -0.018176 -0.014967 0.999577
1305031104.543368 -0.013697 -0.048956 -0.009769 -0.014067 -0.020980 -0.014169 0.999581
1305031104.575343 -0.008319 -0.051262 -0.014315 -0.009711 -0.022325 -0.013154 0.999617
1305031104.611336 -0.002484 -0.057140 -0.022289 -0.000851 -0.018980 -0.011334 0.999755
1305031104.643243 -0.000757 -0.054171 -0.034435 0.012106 -0.011600 -0.011582 0.999792
1305031104.675525 0.000926 -0.058505 -0.043311 0.022781 -0.003750 -0.010054 0.999683
1305031104.711277 0.001939 -0.060664 -0.053627 0.036028 0.003445 -0.007706 0.999315
1305031104.743280 0.004479 -0.059622 -0.064210 0.049111 0.009976 -0.005977 0.998726
1305031104.775327 0.005380 -0.058402 -0.073186 0.061487 0.016981 -0.004063 0.997955
1305031104.811465 0.008548 -0.056032 -0.082609 0.072023 0.022662 -0.002117 0.997143
1305031104.843258 0.007867 -0.052595 -0.088969 0.080611 0.029389 0.000301 0.996312
1305031104.875350 0.003757 -0.046945 -0.094771 0.086674 0.033178 0.002210 0.995682
1305031104.911534 0.005983 -0.046751 -0.096446 0.088170 0.033446 0.003978 0.995536
1305031104.943262 0.006662 -0.047703 -0.097500 0.088128 0.034003 0.004225 0.995520
1305031104.975202 0.003014 -0.036705 -0.093978 0.089483 0.034158 0.004861 0.995391
1305031105.011290 0.002639 -0.036811 -0.091935 0.084091 0.034058 0.004549 0.995865
1305031105.043373 0.003682 -0.032242 -0.083607 0.079402 0.033330 0.004056 0.996277
1305031105.075320 0.004328 -0.028062 -0.067763 0.073283 0.031875 0.003172 0.996797
1305031105.111299 0.000968 -0.031303 -0.056857 0.066535 0.031593 0.001648 0.997282
1305031105.143106 -0.003811 -0.019886 -0.044075 0.062601 0.029723 -0.000726 0.997596
1305031105.175159 -0.007188 -0.012507 -0.030128 0.050939 0.027002 -0.004433 0.998327
1305031105.211268 -0.010455 -0.017947 -0.014550 0.037676 0.023272 -0.005260 0.999005
1305031105.243270 -0.015800 -0.015206 -0.000629 0.029652 0.018633 -0.007237 0.999360
1305031105.275288 -0.020523 -0.012904 0.013214 0.019492 0.013069 -0.008845 0.999685
1305031105.311290 -0.023833 -0.014566 0.027300 0.008698 0.006160 -0.009287 0.999900
1305031105.343302 -0.024562 -0.018355 0.042324 -0.000550 -0.000519 -0.009290 0.999957
1305031105.375338 -0.026251 -0.019158 0.055622 -0.004322 -0.005307 -0.009282 0.999933
1305031105.411286 -0.028797 -0.011674 0.068118 -0.008255 -0.009402 -0.010435 0.999867
1305031105.443316 -0.029475 -0.015325 0.083613 -0.016081 -0.013529 -0.010764 0.999721
1305031105.475280 -0.031353 -0.014185 0.096638 -0.019455 -0.016391 -0.011056 0.999615
