# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.001762 -0.005287 0.000838 -0.005281 0.000704 0.001093 0.999985
1341845948.979787 -0.000104 -0.009382 0.004966 -0.011404 0.001201 0.000275 0.999934
1341845949.011787 0.003391 -0.014687 0.010379 -0.017653 0.003643 -0.000596 0.999837
1341845949.047774 0.003557 -0.024571 0.015493 -0.022009 0.005254 0.002499 0.999741
1341845949.079745 0.004820 -0.032324 0.020174 -0.022579 0.004910 0.007022 0.999708
1341845949.115941 0.007571 -0.035581 0.021519 -0.023117 0.006391 0.008932 0.999672
1341845949.147691 0.008156 -0.041595 0.025400 -0.025643 0.009957 0.010406 0.999567
1341845949.179815 0.007464 -0.050638 0.030596 -0.028342 0.012938 0.013015 0.999430
1341845949.215795 0.009867 -0.057632 0.032270 -0.029879 0.014829 0.014088 0.999344
1341845949.247763 0.012994 -0.061115 0.035342 -0.032734 0.018339 0.014208 0.999195
1341845949.283892 0.017415 -0.068774 0.046738 -0.036338 0.022401 0.014486 0.998983
1341845949.315792 0.019342 -0.078853 0.055994 -0.037312 0.026448 0.015348 0.998836
1341845949.347811 0.019708 -0.086824 0.055358 -0.036405 0.029572 0.014395 0.998796
1341845949.383752 0.018470 -0.090718 0.056020 -0.036600 0.033560 0.011880 0.998696
1341845949.415733 0.013990 -0.094984 0.057087 -0.038136 0.036161 0.010326 0.998565
1341845949.451907 0.013461 -0.099644 0.061032 -0.040715 0.036304 0.009776 0.998463
1341845949.483823 0.016976 -0.101981 0.068136 -0.044526 0.036681 0.008088 0.998302
1341845949.515817 0.013386 -0.103164 0.073854 -0.050401 0.038254 0.005637 0.997980
1341845949.551896 0.017293 -0.111867 0.080202 -0.058520 0.034674 0.004298 0.997675
1341845949.583736 0.021063 -0.111005 0.085186 -0.061878 0.032788 0.001941 0.997543
1341845949.619753 0.022603 -0.114256 0.089609 -0.066877 0.032924 0.000562 0.997218
1341845949.651764 0.021827 -0.121447 0.096304 -0.069308 0.031069 0.000470 0.997111
1341845949.683707 0.022562 -0.120303 0.096842 -0.068465 0.027364 -0.000113 0.997278
1341845949.719890 0.022150 -0.118308 0.098120 -0.073057 0.027883 -0.004370 0.996928
1341845949.751778 0.021303 -0.122598 0.101702 -0.081414 0.028750 -0.003821 0.996258
1341845949.787857 0.018885 -0.126855 0.108109 -0.086829 0.026620 -0.001430 0.995866
1341845949.819784 0.017096 -0.125468 0.109743 -0.092388 0.024013 -0.003302 0.995428
1341845949.851908 0.016547 -0.127676 0.115140 -0.104044 0.024172 -0.005883 0.994262
1341845949.887758 0.014683 -0.133738 0.118068 -0.114443 0.022629 -0.004232 0.993163
1341845949.920013 0.015203 -0.138243 0.124445 -0.119449 0.017881 -0.003861 0.992672
1341845949.955673 0.016234 -0.140102 0.127082 -0.122611 0.015902 -0.005112 0.992314
1341845949.987737 0.013666 -0.148143 0.131767 -0.128231 0.015878 -0.006024 0.991599
1341845950.019789 0.010739 -0.153492 0.137179 -0.131289 0.013939 -0.007607 0.991217
1341845950.055847 0.009317 -0.157499 0.139436 -0.133776 0.012098 -0.009566 0.990892
1341845950.087728 0.007851 -0.159248 0.142603 -0.138284 0.012950 -0.012318 0.990231
1341845950.124078 0.006371 -0.166474 0.146992 -0.144256 0.013090 -0.013088 0.989367
1341845950.155757 0.005811 -0.170519 0.151308 -0.146871 0.012315 -0.014242 0.988976
1341845950.187677 0.008006 -0.171022 0.156244 -0.149292 0.013061 -0.016727 0.988565
1341845950.223782 0.004767 -0.178465 0.157650 -0.155635 0.016807 -0.020163 0.987466
1341845950.255885 0.003562 -0.185038 0.165485 -0.159378 0.016183 -0.020590 0.986870
1341845950.287784 0.004598 -0.185577 0.167112 -0.159931 0.015685 -0.020921 0.986782
1341845950.323864 0.003616 -0.178139 0.166917 -0.164579 0.018918 -0.024451 0.985879
1341845950.355780 0.002168 -0.185064 0.171297 -0.179566 0.020977 -0.026883 0.983155
1341845950.387911 0.001150 -0.195823 0.177413 -0.188599 0.019837 -0.029245 0.981418
1341845950.424265 0.006299 -0.202547 0.187079 -0.190183 0.019035 -0.030356 0.981095
1341845950.455762 0.001996 -0.212628 0.187865 -0.189040 0.020960 -0.032410 0.981211
1341845950.487870 0.000736 -0.216535 0.190937 -0.187076 0.020008 -0.034241 0.981545
1341845950.523880 0.000786 -0.218212 0.187865 -0.187551 0.019789 -0.034925 0.981434
1341845950.555793 0.001157 -0.215803 0.185335 -0.194992 0.021982 -0.037469 0.979842
1341845950.587742 -0.002941 -0.218343 0.184729 -0.208027 0.023214 -0.039363 0.977055
1341845950.623823 -0.001877 -0.233245 0.188514 -0.221085 0.022171 -0.038284 0.974251
1341845950.655770 -0.003431 -0.241392 0.192116 -0.229661 0.021659 -0.038494 0.972268
1341845950.691815 -0.004523 -0.250151 0.195862 -0.235385 0.020528 -0.039059 0.970900
1341845950.756034 -0.002886 -0.269011 0.202943 -0.240931 0.021391 -0.035320 0.969663
1341845950.817895 -0.002185 -0.284526 0.211063 -0.245645 0.023004 -0.034997 0.968455
1341845950.853851 -0.000965 -0.291177 0.213873 -0.247013 0.024191 -0.035783 0.968049
1341845950.885881 -0.000357 -0.300290 0.221032 -0.249729 0.025799 -0.038327 0.967213
1341845950.917771 0.000734 -0.309415 0.228968 -0.249977 0.027121 -0.037942 0.967128
1341845950.953822 0.000187 -0.316226 0.233895 -0.248598 0.029705 -0.037693 0.967417
1341845950.985908 -0.000934 -0.323079 0.236172 -0.248360 0.031931 -0.039623 0.967330
1341845951.017817 -0.000485 -0.329461 0.239181 -0.250980 0.032719 -0.041626 0.966543
1341845951.053777 0.001814 -0.334919 0.246833 -0.254606 0.033713 -0.040353 0.965614
1341845951.085819 0.001726 -0.344098 0.252349 -0.257893 0.036059 -0.035851 0.964835
1341845951.121819 0.001657 -0.349716 0.256728 -0.261536 0.036547 -0.032938 0.963939
1341845951.153788 0.005112 -0.356398 0.268662 -0.264417 0.036444 -0.030036 0.963251
1341845951.185690 0.004504 -0.365414 0.273923 -0.265255 0.035843 -0.027474 0.963120
1341845951.221846 0.005496 -0.372227 0.279877 -0.264890 0.033015 -0.024820 0.963394
1341845951.253677 0.004623 -0.380708 0.283511 -0.264450 0.029336 -0.022014 0.963702
1341845951.289833 0.011312 -0.389194 0.293632 -0.259899 0.022898 -0.013373 0.965272
1341845951.321746 0.016631 -0.391984 0.296937 -0.257394 0.021865 -0.012247 0.965981
1341845951.353781 0.016828 -0.397478 0.299703 -0.259009 0.021518 -0.008807 0.965595
1341845951.389710 0.014008 -0.404403 0.302170 -0.255885 0.019473 -0.006706 0.966488
1341845951.421759 0.018012 -0.409116 0.306773 -0.250384 0.016145 -0.005225 0.967998
1341845951.453714 0.018089 -0.408449 0.305582 -0.244965 0.015277 -0.004215 0.969402
1341845951.489750 0.018291 -0.411781 0.311499 -0.244162 0.014084 -0.002929 0.969628
1341845951.521791 0.021869 -0.411103 0.314417 -0.242032 0.013139 -0.005563 0.970163
1341845951.557734 0.019368 -0.413741 0.316572 -0.242913 0.015394 -0.007762 0.969895
1341845951.621927 0.019007 -0.427030 0.328525 -0.244855 0.009277 -0.007824 0.969484
1341845951.657740 0.018228 -0.426190 0.332278 -0.246172 0.007032 -0.009777 0.969151
1341845951.689997 0.019596 -0.436459 0.338985 -0.250466 0.003947 -0.008501 0.968080
1341845951.721802 0.018162 -0.444316 0.345613 -0.248567 0.000298 -0.007381 0.968587
1341845951.757837 0.025733 -0.438733 0.342214 -0.245483 -0.004294 -0.007702 0.969361
1341845951.789992 0.026368 -0.441255 0.345226 -0.252068 -0.003359 -0.011833 0.967631
1341845951.825880 0.029694 -0.450629 0.355675 -0.257818 -0.004669 -0.010425 0.966126
1341845951.857655 0.034876 -0.452835 0.360946 -0.258902 -0.007154 -0.010296 0.965822
1341845951.889934 0.036140 -0.453172 0.361795 -0.261008 -0.007328 -0.010446 0.965252
1341845951.925973 0.037791 -0.458233 0.369094 -0.267523 -0.009798 -0.009046 0.963459
1341845951.957775 0.039550 -0.457720 0.372588 -0.269134 -0.011947 -0.008504 0.962991
1341845951.989866 0.041442 -0.454139 0.376312 -0.273619 -0.014032 -0.009240 0.961691
