# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.003738 0.005797 -0.000865 -0.011033 0.000888 0.003471 0.999933
1305031790.713097 0.008367 0.011671 0.002773 -0.021646 0.000482 0.006620 0.999744
1305031790.745223 0.011453 0.011988 0.001712 -0.032673 0.002795 0.009952 0.999413
1305031790.781258 0.014788 0.024297 0.004451 -0.038922 0.004855 0.016860 0.999088
1305031790.813207 0.022697 0.028382 0.001776 -0.052263 0.005373 0.023985 0.998331
1305031790.845151 0.027936 0.032847 0.004919 -0.065547 0.006676 0.032131 0.997310
1305031790.882094 0.034916 0.035018 0.009600 -0.077056 0.009479 0.038673 0.996231
1305031790.913129 0.037178 0.036530 0.009078 -0.084774 0.016600 0.045190 0.995236
1305031790.945171 0.039315 0.031267 0.007164 -0.094816 0.024204 0.053287 0.993773
1305031790.981159 0.040536 0.032131 0.008822 -0.097167 0.030386 0.062718 0.992825
1305031791.013075 0.066725 0.017014 0.010219 -0.101600 0.025739 0.075277 0.991639
1305031791.045137 0.072730 0.014934 0.008052 -0.090078 0.032844 0.084056 0.991838
1305031791.081293 0.070834 0.023730 0.011229 -0.074059 0.044565 0.096966 0.991528
1305031791.113136 0.098644 -0.007641 0.000978 -0.066209 0.050253 0.096467 0.991859
1305031791.145096 0.098941 -0.013811 -0.009910 -0.039742 0.070734 0.096791 0.991992
1305031791.181287 0.113063 -0.015984 -0.009005 -0.017444 0.084532 0.104322 0.990791
1305031791.213098 0.128425 -0.046954 -0.019845 -0.000281 0.099340 0.101978 0.989814
1305031791.245087 0.133615 -0.041924 -0.031176 0.032497 0.119073 0.105511 0.986728
1305031791.281340 0.127139 -0.054004 -0.027979 0.053370 0.141584 0.106628 0.982719
1305031791.313088 0.143384 -0.051576 -0.026108 0.083936 0.155292 0.123752 0.976486
1305031791.345123 0.135454 -0.062759 -0.071457 0.108783 0.178495 0.113378 0.971314
1305031791.382161 0.131343 -0.070272 -0.075364 0.129767 0.196177 0.119525 0.964567
1305031791.413087 0.130341 -0.075714 -0.081570 0.156887 0.208341 0.126324 0.957091
1305031791.445165 0.133297 -0.070806 -0.073369 0.186158 0.218753 0.133946 0.948447
1305031791.481375 0.137491 -0.065409 -0.101645 0.206397 0.222836 0.139583 0.942476
1305031791.513084 0.138875 -0.069882 -0.105513 0.227616 0.228035 0.140689 0.936161
1305031791.545065 0.124284 -0.076561 -0.113346 0.247485 0.236221 0.143000 0.928710
1305031791.581127 0.119882 -0.077960 -0.119235 0.263209 0.243192 0.143209 0.922534
1305031791.613194 0.123932 -0.081516 -0.118759 0.279926 0.248240 0.143569 0.916191
1305031791.645074 0.121508 -0.076469 -0.133272 0.299495 0.252046 0.137770 0.909833
1305031791.681062 0.132972 -0.046109 -0.100094 0.329762 0.257958 0.132314 0.898448
1305031791.713242 0.137870 -0.055422 -0.126759 0.346712 0.262812 0.133905 0.890387
1305031791.745148 0.123796 -0.044930 -0.117790 0.368421 0.274782 0.127740 0.878887
1305031791.781286 0.125734 -0.071318 -0.152044 0.378670 0.282307 0.126835 0.872253
1305031791.813247 0.109887 -0.061069 -0.110459 0.405212 0.299191 0.121676 0.855268
1305031791.845123 0.070427 -0.041607 -0.080690 0.430057 0.315550 0.124030 0.836717
1305031791.881072 0.015784 -0.022923 -0.080856 0.444832 0.332505 0.126953 0.821856
1305031791.913193 0.066259 -0.043126 -0.095160 0.458193 0.331369 0.119098 0.816131
1305031791.948998 0.019873 -0.024196 -0.047923 0.481282 0.345877 0.119429 0.796538
1305031791.981259 0.033910 -0.015008 -0.039499 0.498197 0.348014 0.114439 0.785869
1305031792.013213 0.017836 -0.023305 -0.047878 0.510001 0.356397 0.111095 0.774944
1305031792.050221 0.006703 -0.028756 -0.052609 0.520275 0.362252 0.105877 0.766079
1305031792.081058 0.057295 -0.000765 0.016959 0.544530 0.361022 0.094787 0.751110
1305031792.113127 0.035647 -0.008245 0.004569 0.548934 0.366677 0.095241 0.745083
1305031792.149109 0.035378 -0.007497 0.019327 0.557962 0.368508 0.093231 0.737691
1305031792.181099 0.036773 -0.008310 0.013500 0.561834 0.370760 0.088072 0.734250
1305031792.213166 0.044584 -0.004217 0.006477 0.566669 0.373180 0.081368 0.730070
1305031792.249088 0.034253 -0.004476 0.006650 0.569599 0.375931 0.079684 0.726556
1305031792.281069 0.021205 -0.008449 0.016930 0.570725 0.379357 0.079930 0.723860
1305031792.313073 0.013383 -0.006017 0.009320 0.569591 0.378578 0.080459 0.725101
1305031792.349198 0.006598 0.000919 0.020941 0.566044 0.379075 0.081585 0.727489
1305031792.381062 -0.010407 0.010735 0.048564 0.561679 0.383746 0.087095 0.727784
1305031792.413074 -0.023422 0.005011 0.049534 0.552257 0.384702 0.096893 0.733231
1305031792.449168 -0.000934 0.020030 0.035621 0.543430 0.377584 0.101133 0.742890
1305031792.481098 -0.008867 0.018833 0.086896 0.539418 0.382494 0.107816 0.742363
1305031792.513052 -0.017068 0.019947 0.121205 0.530827 0.384602 0.117222 0.746031
1305031792.549157 -0.029491 0.018703 0.117981 0.514679 0.383389 0.129937 0.755801
1305031792.581136 0.006468 0.029131 0.120785 0.502791 0.377578 0.134606 0.765844
1305031792.613102 0.025480 0.056000 0.156825 0.494533 0.376666 0.140927 0.770519
1305031792.649254 0.020969 0.063627 0.169426 0.480168 0.379849 0.149331 0.776436
1305031792.681063 0.013454 0.033462 0.102845 0.450218 0.377806 0.161706 0.792728
1305031792.713116 0.034077 0.047260 0.089756 0.434250 0.372320 0.168334 0.802788
1305031792.749097 0.033586 0.043005 0.090882 0.417666 0.371201 0.177163 0.810172
1305031792.781106 0.025534 0.039917 0.129293 0.404516 0.376648 0.184091 0.812781
1305031792.813144 0.054934 0.051633 0.096940 0.386243 0.366869 0.191698 0.824303
1305031792.849022 0.063752 0.071172 0.117475 0.376334 0.366325 0.197285 0.827803
1305031792.881064 0.059684 0.054776 0.116073 0.357268 0.368744 0.208261 0.832475
1305031792.913316 0.082656 0.072679 0.103615 0.344016 0.362032 0.214866 0.839297
1305031792.949047 0.082152 0.062754 0.109703 0.328436 0.359891 0.227374 0.843154
1305031792.981139 0.087908 0.064718 0.110805 0.314009 0.354178 0.240960 0.847287
1305031793.013059 0.090821 0.086574 0.138862 0.306455 0.349835 0.252605 0.848465
1305031793.049115 0.099673 0.083113 0.141126 0.294028 0.346985 0.262843 0.850919
1305031793.081172 0.094308 0.087531 0.155607 0.284375 0.348871 0.273382 0.850107
1305031793.113126 0.097887 0.106047 0.166505 0.277671 0.351106 0.281936 0.848608
1305031793.149098 0.105228 0.122218 0.174976 0.270609 0.353545 0.288912 0.847530
1305031793.181113 0.111039 0.123540 0.175355 0.260044 0.356964 0.296462 0.846796
