# timestamp tx ty tz qx qy qz qw
1305031790.645155 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031790.681208 0.004352 0.006621 0.001296 -0.010431 0.000255 0.002873 0.999941
1305031790.713097 0.009657 0.011676 0.003124 -0.021430 -0.000172 0.006257 0.999751
1305031790.745223 0.014875 0.016673 0.005423 -0.030672 0.000396 0.011301 0.999466
1305031790.781258 0.019525 0.024555 0.005137 -0.038874 0.002365 0.017765 0.999083
1305031790.813207 0.023636 0.032470 0.004015 -0.050309 0.004378 0.024973 0.998412
1305031790.845151 0.029769 0.036614 0.005570 -0.063443 0.005413 0.032568 0.997439
1305031790.882094 0.036966 0.036838 0.007484 -0.076104 0.008322 0.039643 0.996277
1305031790.913129 0.079079 0.016050 0.026682 -0.088124 -0.006634 0.027504 0.995708
1305031790.945171 0.083607 0.016882 0.027107 -0.094946 -0.000656 0.034667 0.994878
1305031790.981159 0.085802 0.012794 0.029430 -0.100300 0.005381 0.043537 0.993990
1305031791.013075 0.091416 0.001543 0.034009 -0.102356 0.009284 0.055567 0.993151
1305031791.045137 0.108824 -0.009657 0.034218 -0.095969 0.011149 0.063782 0.993276
1305031791.081293 0.112179 -0.012992 0.029470 -0.085271 0.022085 0.074175 0.993347
1305031791.113136 0.127111 -0.037855 0.032963 -0.074895 0.030622 0.078008 0.993664
1305031791.145096 0.141350 -0.050557 0.024782 -0.051815 0.045404 0.079412 0.994458
1305031791.181287 0.133089 -0.046871 0.011397 -0.025143 0.068910 0.084728 0.993700
1305031791.213098 0.161356 -0.088906 0.019912 -0.008185 0.066232 0.061522 0.995872
1305031791.245087 0.161576 -0.091076 0.003019 0.022809 0.086824 0.060114 0.994147
1305031791.281340 0.155027 -0.088084 -0.007094 0.051554 0.107762 0.063508 0.990806
1305031791.313088 0.155027 -0.088084 -0.007094 0.051554 0.107762 0.063508 0.990806
1305031791.345123 0.154761 -0.091621 -0.023761 0.080295 0.126626 0.066502 0.986456
1305031791.382161 0.143264 -0.101441 -0.030871 0.101198 0.144843 0.074821 0.981418
1305031791.413087 0.143264 -0.101441 -0.030871 0.101198 0.144843 0.074821 0.981418
1305031791.445165 0.139048 -0.107415 -0.040510 0.127123 0.155234 0.084157 0.976043
1305031791.481375 0.141422 -0.132213 -0.049234 0.143293 0.162874 0.094440 0.971607
1305031791.513084 0.131962 -0.144427 -0.053739 0.163091 0.170028 0.098618 0.966833
1305031791.545065 0.127054 -0.150498 -0.061155 0.183601 0.176058 0.101473 0.961768
1305031791.581127 0.118847 -0.163193 -0.063073 0.195803 0.184187 0.105712 0.957372
