# timestamp tx ty tz qx qy qz qw
1305032353.993165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032354.025237 0.000260 -0.009704 -0.001100 -0.011038 0.003051 -0.004366 0.999925
1305032354.057249 -0.001349 -0.023735 0.000080 -0.021034 0.004125 -0.007615 0.999741
1305032354.093194 -0.002214 -0.035676 -0.001846 -0.030052 0.001920 -0.009009 0.999506
1305032354.125261 -0.001851 -0.048000 -0.001961 -0.045011 0.003829 -0.012391 0.998902
1305032354.157308 -0.002730 -0.063112 -0.002339 -0.062840 0.007787 -0.010155 0.997942
1305032354.193245 -0.003267 -0.078990 -0.003141 -0.078335 0.009506 -0.004514 0.996872
1305032354.225326 -0.003000 -0.093690 -0.004744 -0.092633 0.011777 -0.000250 0.995631
1305032354.257317 -0.003127 -0.111075 -0.004805 -0.108302 0.014146 -0.000073 0.994017
1305032354.293299 -0.003254 -0.130598 -0.003845 -0.116678 0.015786 -0.000692 0.993044
1305032354.325326 -0.003923 -0.149247 -0.005961 -0.121376 0.015080 -0.003907 0.992484
1305032354.357420 -0.003621 -0.168713 -0.007677 -0.127273 0.014668 -0.009336 0.991715
1305032354.394078 -0.003665 -0.192861 -0.010260 -0.131998 0.014276 -0.015153 0.991031
1305032354.425381 -0.003665 -0.192861 -0.010260 -0.131998 0.014276 -0.015153 0.991031
1305032354.457427 -0.002375 -0.227479 -0.012203 -0.143481 0.013566 -0.024608 0.989254
1305032354.493265 -0.001813 -0.244811 -0.014399 -0.153953 0.015485 -0.026228 0.987609
1305032354.525430 -0.000408 -0.260494 -0.016651 -0.164997 0.019126 -0.025974 0.985766
1305032354.557471 -0.000174 -0.273548 -0.018852 -0.180079 0.024619 -0.022836 0.983079
1305032354.593446 0.000644 -0.289690 -0.017784 -0.197917 0.029173 -0.015784 0.979658
1305032354.625455 0.001100 -0.303915 -0.017510 -0.211125 0.033354 -0.007470 0.976861
1305032354.657511 0.001437 -0.316591 -0.016711 -0.222753 0.036195 -0.001320 0.974202
1305032354.693491 0.001689 -0.329301 -0.016211 -0.233996 0.036959 0.004685 0.971524
1305032354.725481 0.001690 -0.341915 -0.015255 -0.245283 0.035142 0.008229 0.968780
1305032354.757506 0.002841 -0.354481 -0.012056 -0.255837 0.031334 0.008615 0.966174
1305032354.793541 0.004912 -0.368591 -0.008808 -0.263057 0.027260 0.005878 0.964377
1305032354.825638 0.007425 -0.382892 -0.006706 -0.268662 0.022446 0.001487 0.962972
1305032354.857806 0.010463 -0.397234 -0.007895 -0.274856 0.018487 -0.003231 0.961302
1305032354.893584 0.012024 -0.411379 -0.005999 -0.282105 0.014241 -0.008840 0.959237
1305032354.925606 0.014700 -0.424222 -0.007730 -0.288854 0.008410 -0.013047 0.957247
1305032354.957696 0.018391 -0.438367 -0.004779 -0.300299 0.002048 -0.020630 0.953620
1305032354.993644 0.022385 -0.451232 -0.002667 -0.305608 -0.003311 -0.029638 0.951690
1305032355.025740 0.027276 -0.463941 -0.008366 -0.317016 -0.009529 -0.038061 0.947608
1305032355.057739 0.029555 -0.475193 -0.000684 -0.329880 -0.016137 -0.048933 0.942616
1305032355.093693 0.029893 -0.487639 0.008992 -0.338492 -0.025068 -0.060665 0.938677
1305032355.126036 0.029015 -0.501277 0.013615 -0.346263 -0.036284 -0.071191 0.934729
1305032355.157776 0.031310 -0.514909 0.013002 -0.355771 -0.049305 -0.077517 0.930047
1305032355.193731 0.033227 -0.528851 0.023474 -0.368830 -0.063370 -0.083966 0.923525
1305032355.226048 0.030634 -0.540062 0.032168 -0.377377 -0.076966 -0.090069 0.918450
1305032355.258300 0.027927 -0.550729 0.042433 -0.384951 -0.093264 -0.095038 0.913281
