# timestamp tx ty tz qx qy qz qw
1305032353.993165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032354.025237 -0.000218 -0.011319 -0.001838 -0.011679 0.003114 -0.004808 0.999915
1305032354.057249 -0.001632 -0.023503 -0.000136 -0.020884 0.004200 -0.007181 0.999747
1305032354.093194 -0.002074 -0.035063 -0.004227 -0.029579 0.001783 -0.008772 0.999522
1305032354.125261 -0.001921 -0.047349 -0.004695 -0.045050 0.003781 -0.013348 0.998888
1305032354.157308 -0.002792 -0.062922 -0.005779 -0.062492 0.007492 -0.011856 0.997947
1305032354.193245 -0.002959 -0.078259 -0.007586 -0.077820 0.009215 -0.005327 0.996911
1305032354.225326 -0.002774 -0.091776 -0.009694 -0.091564 0.011490 -0.001040 0.995732
1305032354.257317 -0.003103 -0.106059 -0.009562 -0.106133 0.013994 -0.001399 0.994252
1305032354.293299 -0.003490 -0.121193 -0.010549 -0.112353 0.015613 -0.002034 0.993544
1305032354.325326 -0.003604 -0.138526 -0.012549 -0.116874 0.014818 -0.005403 0.993021
1305032354.357420 -0.003238 -0.158661 -0.014287 -0.123098 0.014417 -0.010996 0.992229
1305032354.394078 -0.003368 -0.178509 -0.015303 -0.126820 0.014156 -0.016095 0.991694
1305032354.425381 -0.002570 -0.197968 -0.019095 -0.131153 0.012809 -0.021076 0.991055
1305032354.457427 -0.001258 -0.215288 -0.024745 -0.139021 0.013205 -0.025555 0.989872
1305032354.493265 -0.000159 -0.233551 -0.028538 -0.149679 0.014898 -0.027561 0.988238
1305032354.525430 0.001723 -0.249087 -0.032114 -0.160599 0.018438 -0.027192 0.986473
1305032354.557471 0.002093 -0.263539 -0.035370 -0.176608 0.023893 -0.024616 0.983683
1305032354.593446 0.002560 -0.277324 -0.035261 -0.193085 0.028448 -0.017601 0.980612
1305032354.625455 0.003496 -0.290817 -0.035891 -0.205493 0.032455 -0.008399 0.978084
1305032354.657511 0.003856 -0.303211 -0.037576 -0.216448 0.035357 -0.002221 0.975651
1305032354.693491 0.004313 -0.314435 -0.037465 -0.227033 0.036049 0.004374 0.973210
1305032354.725481 0.005021 -0.324935 -0.037958 -0.237328 0.034086 0.009632 0.970784
