# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.012632 0.001118 0.002095 0.005205 -0.001789 -0.008820 0.999946
1305031910.835208 -0.021686 -0.002128 0.007608 0.005922 -0.006995 -0.015098 0.999844
1305031910.865025 -0.028982 -0.004113 0.011399 0.007483 -0.013761 -0.022521 0.999624
1305031910.897222 -0.032774 -0.008373 0.017868 0.006933 -0.024025 -0.031218 0.999200
1305031910.935211 -0.028431 -0.018871 0.028734 0.007740 -0.033298 -0.037419 0.998715
1305031910.965249 -0.046938 -0.020950 0.027996 0.013421 -0.034214 -0.041283 0.998471
1305031910.997325 -0.059111 -0.012569 0.032276 0.017218 -0.042417 -0.049664 0.997716
1305031911.035050 -0.072115 -0.021419 0.035234 0.012668 -0.051867 -0.058698 0.996847
1305031911.065269 -0.086087 -0.015257 0.048083 0.015920 -0.067683 -0.069325 0.995168
1305031911.097196 -0.087433 -0.019621 0.053967 0.013420 -0.088770 -0.080092 0.992736
1305031911.135664 -0.085589 -0.029048 0.059935 0.014618 -0.105642 -0.092986 0.989939
1305031911.165177 -0.101409 -0.025660 0.056617 0.019698 -0.114898 -0.100069 0.988128
1305031911.197213 -0.099452 -0.023945 0.065385 0.023200 -0.130629 -0.107031 0.985364
1305031911.235651 -0.105221 -0.026017 0.071005 0.025653 -0.142295 -0.114232 0.982876
1305031911.265104 -0.108588 -0.022764 0.075830 0.029144 -0.154628 -0.123147 0.979834
1305031911.297334 -0.114581 -0.026966 0.079273 0.028762 -0.163952 -0.130350 0.977395
1305031911.333191 -0.120048 -0.030465 0.081625 0.030639 -0.174085 -0.136511 0.974741
1305031911.365235 -0.113520 -0.033321 0.087664 0.033832 -0.185373 -0.141999 0.971766
1305031911.397333 -0.127266 -0.038974 0.088912 0.036434 -0.187788 -0.146560 0.970530
1305031911.433256 -0.137794 -0.034647 0.091921 0.042244 -0.193213 -0.148960 0.968863
1305031911.465250 -0.150531 -0.037094 0.088545 0.042711 -0.198988 -0.149067 0.967656
1305031911.497291 -0.152338 -0.039458 0.090857 0.044586 -0.212411 -0.149571 0.964636
1305031911.533251 -0.153701 -0.039424 0.097269 0.047119 -0.225395 -0.150241 0.961460
1305031911.565335 -0.163189 -0.047309 0.098219 0.047138 -0.233827 -0.148485 0.959716
1305031911.597302 -0.171093 -0.046642 0.102596 0.053467 -0.246319 -0.150933 0.955870
1305031911.633337 -0.170284 -0.041730 0.109992 0.058860 -0.259263 -0.157361 0.951081
1305031911.665124 -0.171696 -0.035163 0.113957 0.063406 -0.268840 -0.164622 0.946892
1305031911.697167 -0.186790 -0.038153 0.118629 0.062858 -0.274875 -0.174081 0.943498
1305031911.733203 -0.190106 -0.035643 0.123514 0.063838 -0.282726 -0.183198 0.939377
1305031911.765284 -0.192942 -0.030226 0.130113 0.064818 -0.289671 -0.192504 0.935324
1305031911.797297 -0.192915 -0.026325 0.138141 0.064645 -0.296020 -0.199072 0.931968
1305031911.833338 -0.203641 -0.024511 0.135532 0.060679 -0.298949 -0.207453 0.929468
1305031911.865269 -0.208808 -0.021511 0.133430 0.055965 -0.305987 -0.213658 0.926062
1305031911.897159 -0.212025 -0.018902 0.137687 0.051020 -0.315144 -0.218189 0.922212
1305031911.933063 -0.216660 -0.017921 0.140717 0.044513 -0.326529 -0.223875 0.917212
1305031911.965140 -0.225190 -0.014806 0.135627 0.037611 -0.338151 -0.230502 0.911651
1305031911.997252 -0.231088 -0.011797 0.125620 0.028441 -0.351867 -0.236753 0.905168
1305031912.033135 -0.224293 -0.016040 0.142423 0.018311 -0.369853 -0.240633 0.897201
1305031912.065365 -0.225888 -0.016875 0.144674 0.010869 -0.380192 -0.242612 0.892454
1305031912.096953 -0.217095 -0.028124 0.156262 0.003989 -0.391582 -0.248507 0.885941
1305031912.133282 -0.224734 -0.025717 0.146685 0.003653 -0.392403 -0.257129 0.883114
1305031912.165138 -0.219717 -0.038521 0.153958 0.004540 -0.401096 -0.269557 0.875466
1305031912.197357 -0.227208 -0.035733 0.149173 0.008383 -0.401042 -0.282913 0.871238
1305031912.233265 -0.220837 -0.025493 0.158780 0.017043 -0.405466 -0.292163 0.865996
1305031912.265090 -0.218852 -0.040738 0.156231 0.017965 -0.407444 -0.301482 0.861844
1305031912.297250 -0.221973 -0.051531 0.158264 0.025910 -0.411174 -0.305721 0.858370
1305031912.333274 -0.215482 -0.044021 0.154702 0.039634 -0.415377 -0.305775 0.855799
1305031912.365250 -0.213271 -0.043860 0.154531 0.045424 -0.418980 -0.305996 0.853674
1305031912.397198 -0.211607 -0.043956 0.155531 0.049914 -0.425931 -0.307937 0.849274
1305031912.433290 -0.208579 -0.044552 0.157884 0.051190 -0.433565 -0.314236 0.843005
1305031912.465142 -0.205289 -0.043272 0.158852 0.052826 -0.440784 -0.320122 0.836923
1305031912.497123 -0.202218 -0.045725 0.157366 0.049662 -0.445822 -0.326176 0.832097
1305031912.533113 -0.200429 -0.047517 0.161680 0.045577 -0.450146 -0.330098 0.828448
1305031912.565146 -0.199899 -0.046761 0.158286 0.042020 -0.454277 -0.332316 0.825489
1305031912.597090 -0.196265 -0.053335 0.157468 0.035475 -0.459143 -0.333150 0.822764
1305031912.633132 -0.191285 -0.052107 0.168739 0.035280 -0.465283 -0.334240 0.818872
1305031912.665220 -0.190883 -0.052910 0.165547 0.032437 -0.468587 -0.338795 0.815225
1305031912.697182 -0.190330 -0.052393 0.170359 0.030520 -0.475899 -0.344448 0.808668
1305031912.733125 -0.188656 -0.054546 0.171628 0.027985 -0.483312 -0.351740 0.801190
1305031912.765193 -0.186240 -0.059843 0.173129 0.026334 -0.488001 -0.358132 0.795552
1305031912.797155 -0.182503 -0.057906 0.173902 0.027315 -0.488180 -0.361678 0.793803
1305031912.833077 -0.180656 -0.059155 0.175822 0.026652 -0.486186 -0.363908 0.794030
1305031912.865153 -0.179746 -0.057442 0.174957 0.028800 -0.482167 -0.366160 0.795369
1305031912.897198 -0.177538 -0.060454 0.176440 0.030675 -0.478713 -0.366020 0.797447
1305031912.933115 -0.177093 -0.064248 0.181697 0.031664 -0.474589 -0.363986 0.800797
1305031912.965034 -0.177564 -0.066026 0.178495 0.036294 -0.471118 -0.365632 0.801900
1305031912.997049 -0.172088 -0.064183 0.177653 0.044420 -0.467684 -0.365296 0.803653
1305031913.033133 -0.172773 -0.070109 0.180646 0.045744 -0.466002 -0.362081 0.806007
1305031913.065209 -0.168040 -0.063044 0.176407 0.050596 -0.463087 -0.357095 0.809613
1305031913.097038 -0.165632 -0.066182 0.175394 0.050337 -0.459203 -0.347655 0.815926
1305031913.133146 -0.161694 -0.065695 0.179964 0.052847 -0.452788 -0.338259 0.823269
1305031913.165211 -0.159968 -0.063767 0.179192 0.054539 -0.441793 -0.324841 0.834460
1305031913.197113 -0.159943 -0.060735 0.188463 0.056211 -0.433344 -0.311272 0.843898
1305031913.233126 -0.157562 -0.058606 0.184628 0.056487 -0.421587 -0.295685 0.855362
1305031913.265022 -0.154995 -0.057085 0.189554 0.057110 -0.411053 -0.278525 0.866139
1305031913.297160 -0.155621 -0.055618 0.191573 0.057428 -0.397449 -0.262380 0.877435
