# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.010465 -0.000100 0.002613 0.004623 -0.002801 -0.008419 0.999950
1305031910.835208 -0.017721 -0.003463 0.007345 0.005331 -0.008556 -0.014588 0.999843
1305031910.865025 -0.026470 -0.005389 0.012369 0.006988 -0.015010 -0.022261 0.999615
1305031910.897222 -0.031208 -0.010036 0.018012 0.006296 -0.024759 -0.031193 0.999187
1305031910.935211 -0.034373 -0.020908 0.026099 0.006892 -0.030877 -0.037455 0.998797
1305031910.965249 -0.048088 -0.021447 0.030290 0.013234 -0.034021 -0.041429 0.998474
1305031910.997325 -0.056685 -0.013840 0.032437 0.016830 -0.043771 -0.050273 0.997634
1305031911.035050 -0.069197 -0.021056 0.038821 0.013097 -0.053580 -0.059647 0.996695
1305031911.065269 -0.085470 -0.019850 0.043017 0.014008 -0.067937 -0.069819 0.995145
1305031911.097196 -0.088254 -0.025632 0.047837 0.011125 -0.088809 -0.082050 0.992601
1305031911.135664 -0.094327 -0.032543 0.053070 0.012578 -0.102878 -0.093266 0.990232
1305031911.165177 -0.104651 -0.032961 0.054701 0.016898 -0.114445 -0.100741 0.988164
1305031911.197213 -0.108847 -0.032154 0.056595 0.019631 -0.127223 -0.107441 0.985843
1305031911.235651 -0.117240 -0.036930 0.059185 0.020681 -0.138083 -0.114361 0.983579
1305031911.265104 -0.121573 -0.034751 0.062139 0.023569 -0.150006 -0.123224 0.980693
1305031911.297334 -0.147156 -0.036377 0.065115 0.024337 -0.147642 -0.125688 0.980720
1305031911.333191 -0.153931 -0.039669 0.069273 0.026186 -0.157368 -0.131786 0.978357
1305031911.365235 -0.156408 -0.044441 0.074589 0.028253 -0.165601 -0.138052 0.976074
1305031911.397333 -0.165025 -0.047604 0.077982 0.032024 -0.169691 -0.142225 0.974654
1305031911.433256 -0.173781 -0.044980 0.079545 0.037175 -0.175666 -0.144686 0.973050
1305031911.465250 -0.184093 -0.045216 0.081966 0.038926 -0.182674 -0.145070 0.971632
1305031911.497291 -0.193381 -0.045465 0.086127 0.041374 -0.193563 -0.145190 0.969403
1305031911.533251 -0.195887 -0.047108 0.091006 0.043303 -0.206171 -0.146017 0.966591
1305031911.565335 -0.205005 -0.051099 0.096405 0.045029 -0.215029 -0.145405 0.964672
1305031911.597302 -0.212377 -0.050836 0.099841 0.051062 -0.227403 -0.147455 0.961217
1305031911.633337 -0.213915 -0.048088 0.105348 0.055491 -0.239566 -0.153988 0.956983
1305031911.665124 -0.220092 -0.047046 0.110138 0.057862 -0.248255 -0.162118 0.953278
1305031911.697167 -0.225904 -0.045757 0.114538 0.059044 -0.257112 -0.170894 0.949317
1305031911.733203 -0.229347 -0.043360 0.119694 0.059818 -0.265075 -0.180153 0.945358
1305031911.765284 -0.233464 -0.040136 0.124587 0.059670 -0.271473 -0.189246 0.941769
1305031911.797297 -0.236752 -0.037176 0.129375 0.058767 -0.276541 -0.196792 0.938799
1305031911.833338 -0.244509 -0.032340 0.130582 0.056039 -0.280800 -0.204075 0.936144
1305031911.865269 -0.249018 -0.027897 0.133809 0.052079 -0.288965 -0.209901 0.932592
1305031911.897159 -0.254348 -0.026817 0.136556 0.046323 -0.297430 -0.214712 0.929133
1305031911.933063 -0.260201 -0.023496 0.137963 0.040454 -0.308058 -0.220520 0.924573
1305031911.965140 -0.264754 -0.020320 0.140754 0.033718 -0.322810 -0.226584 0.918323
1305031911.997252 -0.264834 -0.015770 0.143281 0.026369 -0.340196 -0.231916 0.910926
1305031912.033135 -0.265558 -0.018475 0.146988 0.015468 -0.353803 -0.235454 0.905067
1305031912.065365 -0.263879 -0.022543 0.154754 0.007635 -0.365976 -0.237642 0.899739
1305031912.096953 -0.247823 -0.040920 0.171844 0.002835 -0.369928 -0.244724 0.896245
1305031912.133282 -0.250051 -0.047123 0.175466 0.000389 -0.375576 -0.254178 0.891255
1305031912.165138 -0.248007 -0.046608 0.177835 0.004929 -0.381727 -0.265517 0.885303
1305031912.197357 -0.246995 -0.048175 0.179638 0.007856 -0.385279 -0.278334 0.879789
1305031912.233265 -0.245098 -0.049964 0.181559 0.011999 -0.387784 -0.289332 0.875081
1305031912.265090 -0.246136 -0.056189 0.182784 0.015577 -0.389549 -0.298365 0.871199
1305031912.297250 -0.243394 -0.056315 0.184766 0.028709 -0.393877 -0.302998 0.867312
1305031912.333274 -0.241999 -0.058676 0.181483 0.037619 -0.397798 -0.303263 0.865086
1305031912.365250 -0.240215 -0.059778 0.181148 0.042796 -0.401394 -0.303460 0.863112
1305031912.397198 -0.239320 -0.054471 0.177127 0.048842 -0.406774 -0.305414 0.859576
1305031912.433290 -0.235383 -0.053270 0.178425 0.050795 -0.414287 -0.311929 0.853514
1305031912.465142 -0.232778 -0.052983 0.178828 0.052130 -0.421521 -0.318356 0.847498
1305031912.497123 -0.206757 -0.068958 0.196257 0.050301 -0.425491 -0.324047 0.843458
1305031912.533113 -0.206409 -0.073100 0.198455 0.045261 -0.429447 -0.328307 0.840084
1305031912.565146 -0.203899 -0.072826 0.199925 0.041585 -0.435236 -0.329585 0.836788
1305031912.597090 -0.201509 -0.077805 0.203566 0.035536 -0.440685 -0.330194 0.833970
1305031912.633132 -0.198528 -0.080186 0.206865 0.033137 -0.445318 -0.331740 0.830989
1305031912.665220 -0.197559 -0.079899 0.206921 0.030869 -0.449425 -0.336223 0.827054
1305031912.697182 -0.199048 -0.080155 0.206959 0.028161 -0.455314 -0.342108 0.821497
1305031912.733125 -0.197040 -0.080565 0.208781 0.026049 -0.463146 -0.349180 0.814181
1305031912.765193 -0.195018 -0.085460 0.212896 0.024318 -0.468493 -0.355484 0.808427
1305031912.797155 -0.190629 -0.084871 0.215311 0.024642 -0.469339 -0.358375 0.806648
1305031912.833077 -0.189323 -0.088599 0.218283 0.023299 -0.467610 -0.360956 0.806541
1305031912.865153 -0.188968 -0.093962 0.222483 0.023078 -0.465373 -0.363052 0.806900
1305031912.897198 -0.188079 -0.093423 0.221772 0.025840 -0.460725 -0.362807 0.809590
1305031912.933115 -0.187170 -0.095044 0.221821 0.027180 -0.455514 -0.360875 0.813350
1305031912.965034 -0.187485 -0.100702 0.222602 0.030908 -0.453133 -0.362878 0.813656
1305031912.997049 -0.183400 -0.101189 0.223051 0.037855 -0.449998 -0.362145 0.815427
1305031913.033133 -0.180938 -0.100482 0.220442 0.041674 -0.446835 -0.359434 0.818174
