# timestamp tx ty tz qx qy qz qw
1305031910.765238 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031910.797230 -0.013527 0.001327 0.000563 0.005129 -0.001350 -0.008402 0.999951
1305031910.835208 -0.020302 -0.003314 0.005447 0.005320 -0.007401 -0.014538 0.999853
1305031910.865025 -0.032014 -0.007261 0.006494 0.006370 -0.012515 -0.022838 0.999641
1305031910.897222 -0.036039 -0.011431 0.013772 0.005861 -0.022564 -0.031596 0.999229
1305031910.935211 -0.033547 -0.021031 0.023628 0.006847 -0.031289 -0.037462 0.998785
1305031910.965249 -0.051015 -0.022145 0.024212 0.013040 -0.032590 -0.042079 0.998497
1305031910.997325 -0.064985 -0.017322 0.022228 0.015426 -0.039833 -0.050776 0.997796
1305031911.035050 -0.076939 -0.024182 0.029138 0.011762 -0.050026 -0.060211 0.996862
1305031911.065269 -0.094027 -0.023810 0.029954 0.012223 -0.064024 -0.070572 0.995375
1305031911.097196 -0.096942 -0.027936 0.039620 0.010170 -0.085078 -0.082480 0.992902
1305031911.135664 -0.096862 -0.033661 0.045556 0.012211 -0.101507 -0.093506 0.990355
1305031911.165177 -0.105342 -0.034480 0.040229 0.016081 -0.113391 -0.101589 0.988212
1305031911.197213 -0.113698 -0.034516 0.043222 0.018446 -0.124797 -0.108293 0.986082
1305031911.235651 -0.124090 -0.038312 0.047598 0.019982 -0.134823 -0.115034 0.983967
1305031911.265104 -0.127622 -0.037898 0.046648 0.021982 -0.146430 -0.123592 0.981224
1305031911.297334 -0.137484 -0.041555 0.052448 0.021853 -0.155080 -0.131052 0.978927
1305031911.333191 -0.142528 -0.044933 0.054371 0.023601 -0.165196 -0.136936 0.976423
1305031911.365235 -0.142082 -0.047753 0.061485 0.026559 -0.174564 -0.143078 0.973833
1305031911.397333 -0.151387 -0.049735 0.064003 0.030804 -0.178541 -0.147822 0.972277
1305031911.433256 -0.160675 -0.046550 0.064587 0.035951 -0.184124 -0.149992 0.970726
1305031911.465250 -0.171390 -0.046378 0.066243 0.037774 -0.190941 -0.150346 0.969284
1305031911.497291 -0.181319 -0.048999 0.066667 0.039044 -0.201399 -0.150759 0.967050
1305031911.533251 -0.185071 -0.049723 0.071564 0.041203 -0.213424 -0.151299 0.964293
