# timestamp tx ty tz qx qy qz qw
1305032180.416768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032180.449191 0.001676 0.027388 -0.005988 0.014921 -0.001942 -0.005350 0.999872
1305032180.480837 0.005568 0.058757 -0.008556 0.024871 -0.002391 -0.013202 0.999601
1305032180.516840 0.005462 0.084863 -0.010949 0.027130 -0.001219 -0.018976 0.999451
1305032180.548937 0.004555 0.115301 -0.010752 0.026163 -0.001606 -0.022426 0.999405
1305032180.581332 0.006602 0.137720 -0.010349 0.020298 -0.002465 -0.026205 0.999447
1305032180.616763 0.009547 0.155031 -0.008296 0.017314 -0.000866 -0.025627 0.999521
1305032180.648962 0.010475 0.168266 -0.003621 0.021231 0.002455 -0.022685 0.999514
1305032180.680825 0.009574 0.183101 -0.003413 0.031635 0.004013 -0.020302 0.999285
1305032180.717342 0.011695 0.216549 -0.003108 0.046504 0.004400 -0.020619 0.998696
1305032180.748819 0.014899 0.239053 -0.007951 0.051584 0.005810 -0.021481 0.998421
1305032180.780850 0.020518 0.263830 -0.012372 0.054762 0.008405 -0.021485 0.998233
1305032180.816787 0.021700 0.284197 -0.013828 0.055286 0.013423 -0.020626 0.998167
1305032180.848954 0.023492 0.302093 -0.012182 0.056526 0.017707 -0.020903 0.998025
1305032180.880917 0.021759 0.317084 -0.009482 0.061166 0.020673 -0.019743 0.997718
1305032180.916865 0.019667 0.335363 -0.008875 0.071481 0.020861 -0.020332 0.997016
1305032180.948907 0.022086 0.356321 -0.013495 0.080487 0.020454 -0.022633 0.996289
1305032180.980907 0.023291 0.373314 -0.013879 0.090399 0.021828 -0.027454 0.995288
1305032181.016753 0.023442 0.392642 -0.016523 0.100961 0.022570 -0.033432 0.994072
1305032181.048957 0.020975 0.409010 -0.017398 0.109971 0.021427 -0.040361 0.992884
1305032181.080911 0.019019 0.426803 -0.019162 0.121087 0.016081 -0.047668 0.991366
1305032181.116902 0.021090 0.445449 -0.021606 0.129349 0.010141 -0.060974 0.989671
1305032181.148803 0.021090 0.461012 -0.021588 0.136553 0.007425 -0.071429 0.988026
1305032181.181078 0.018476 0.487036 -0.022817 0.140322 0.002968 -0.075100 0.987249
1305032181.216791 0.020215 0.504538 -0.025314 0.133643 -0.003235 -0.078120 0.987940
1305032181.248831 0.022920 0.524521 -0.022050 0.125956 -0.005861 -0.076528 0.989062
1305032181.280978 0.023880 0.535770 -0.020366 0.114814 -0.006230 -0.072303 0.990733
1305032181.316657 0.029380 0.543673 -0.015032 0.105890 -0.003367 -0.065922 0.992185
1305032181.348799 0.028063 0.552649 -0.012219 0.099804 0.003821 -0.057575 0.993333
1305032181.380787 0.028350 0.567834 -0.013179 0.094219 0.007532 -0.052013 0.994163
1305032181.416712 0.028166 0.575081 -0.012149 0.085206 0.011859 -0.052097 0.994930
1305032181.448767 0.027517 0.581285 -0.007790 0.081851 0.015960 -0.052558 0.995130
1305032181.480888 0.028513 0.595078 -0.011019 0.076898 0.018866 -0.055318 0.995324
1305032181.517110 0.027414 0.602165 -0.008855 0.068899 0.021704 -0.056777 0.995770
1305032181.549041 0.027359 0.611190 -0.008279 0.062476 0.023054 -0.057064 0.996147
1305032181.580857 0.028033 0.618814 -0.009132 0.054291 0.025204 -0.059239 0.996448
1305032181.616881 0.029918 0.628724 -0.009498 0.044813 0.028082 -0.061380 0.996712
1305032181.648916 0.032488 0.636117 -0.010081 0.031813 0.032550 -0.062175 0.997027
1305032181.681016 0.034418 0.640947 -0.008222 0.019916 0.040605 -0.060019 0.997172
1305032181.716843 0.033611 0.645841 -0.008638 0.011049 0.047954 -0.056561 0.997186
1305032181.748990 0.033611 0.645841 -0.008638 0.011049 0.047954 -0.056561 0.997186
1305032181.780875 0.032638 0.648943 -0.006367 0.006072 0.048809 -0.052826 0.997392
1305032181.816836 0.032672 0.651765 -0.006058 0.003649 0.047076 -0.051756 0.997543
1305032181.848912 0.030672 0.653994 -0.006484 0.000408 0.043518 -0.053458 0.997621
1305032181.880877 0.026928 0.654325 -0.000376 -0.001044 0.041085 -0.053689 0.997712
1305032181.916917 0.025060 0.657078 -0.000019 0.002785 0.037777 -0.049055 0.998078
1305032181.950114 0.029910 0.654408 -0.013702 -0.001033 0.030695 -0.044063 0.998557
1305032181.980850 0.027653 0.651822 -0.009736 -0.007612 0.028500 -0.039542 0.998782
1305032182.016837 0.024410 0.650302 -0.003488 -0.006567 0.029183 -0.037901 0.998834
1305032182.049261 0.022181 0.645160 -0.003378 -0.002146 0.028294 -0.039378 0.998821
1305032182.081072 0.020098 0.639650 -0.004177 -0.000094 0.026417 -0.043710 0.998695
1305032182.116839 0.014709 0.628348 -0.003702 0.004795 0.025920 -0.046339 0.998578
1305032182.148903 0.011157 0.618390 -0.003820 0.009241 0.023893 -0.045255 0.998647
1305032182.180809 0.007234 0.605879 -0.003289 0.011385 0.021435 -0.045308 0.998678
1305032182.216846 0.004087 0.593291 -0.001412 0.018856 0.019178 -0.045772 0.998590
1305032182.248838 0.000269 0.578133 -0.003424 0.024865 0.017348 -0.046541 0.998456
1305032182.280886 -0.003360 0.561943 -0.006250 0.028376 0.015983 -0.048959 0.998270
1305032182.316854 -0.007136 0.546241 -0.006766 0.031504 0.014792 -0.050532 0.998116
1305032182.348809 -0.011555 0.527728 -0.006270 0.035516 0.013638 -0.052570 0.997892
1305032182.380837 -0.014822 0.509706 -0.006290 0.040936 0.013132 -0.053775 0.997627
1305032182.417061 -0.019151 0.490445 -0.007795 0.047119 0.012370 -0.054290 0.997336
1305032182.449002 -0.022779 0.471277 -0.013903 0.049239 0.012306 -0.054538 0.997221
1305032182.480855 -0.025689 0.452448 -0.016373 0.048542 0.012956 -0.051756 0.997395
1305032182.516842 -0.030993 0.431461 -0.017392 0.050149 0.013643 -0.049922 0.997400
1305032182.548795 -0.035185 0.410455 -0.023303 0.051295 0.015160 -0.048506 0.997390
1305032182.580911 -0.037436 0.392176 -0.033027 0.047194 0.017801 -0.047535 0.997595
1305032182.616769 -0.041670 0.371837 -0.036902 0.039083 0.021383 -0.047644 0.997870
1305032182.648743 -0.047645 0.349771 -0.040769 0.032277 0.022985 -0.048875 0.998019
1305032182.680940 -0.052555 0.326439 -0.044192 0.025184 0.023104 -0.054828 0.997911
1305032182.716969 -0.057237 0.301100 -0.044361 0.019127 0.024571 -0.059691 0.997731
1305032182.749019 -0.064001 0.276455 -0.045924 0.014580 0.024781 -0.062896 0.997606
1305032182.781052 -0.068999 0.248505 -0.047164 0.008863 0.022502 -0.067329 0.997438
1305032182.816828 -0.074272 0.220501 -0.046622 0.006704 0.021917 -0.069248 0.997336
1305032182.848783 -0.080317 0.189474 -0.044157 0.010034 0.019196 -0.068552 0.997412
1305032182.881107 -0.083257 0.165874 -0.051313 0.004123 0.017782 -0.069932 0.997385
1305032182.916860 -0.075773 0.148805 -0.051775 0.000149 0.017053 -0.072278 0.997239
1305032182.948825 -0.079978 0.124417 -0.054754 -0.011434 0.022620 -0.081594 0.996343
1305032182.981101 -0.085522 0.108206 -0.054994 -0.029934 0.026077 -0.091496 0.995014
1305032183.016793 -0.092575 0.083453 -0.049632 -0.054520 0.026216 -0.105156 0.992614
1305032183.048822 -0.099986 0.041581 -0.039590 -0.074689 0.026259 -0.121482 0.989431
1305032183.080929 -0.107337 -0.009566 -0.030528 -0.082295 0.027723 -0.133874 0.987186
1305032183.118077 -0.112500 -0.033762 -0.030124 -0.061043 0.031693 -0.145759 0.986926
1305032183.148943 -0.117775 -0.056917 -0.032539 -0.048373 0.042329 -0.146821 0.987072
1305032183.180752 -0.122128 -0.074250 -0.038289 -0.042619 0.053906 -0.142327 0.987431
1305032183.217065 -0.113607 -0.067996 -0.045919 -0.050285 0.065091 -0.130403 0.988043
1305032183.249343 -0.123518 -0.055701 -0.053811 -0.060865 0.082119 -0.117712 0.987773
1305032183.280841 -0.176171 -0.080733 -0.047471 -0.078599 0.100662 -0.114883 0.985135
1305032183.317034 -0.182953 -0.078941 -0.050522 -0.101963 0.113868 -0.090700 0.984079
1305032183.348643 -0.226627 -0.098463 -0.036832 -0.120319 0.130161 -0.093379 0.979725
1305032183.380784 -0.235994 -0.114337 -0.028443 -0.122481 0.133563 -0.084295 0.979823
