# timestamp tx ty tz qx qy qz qw
1305032180.416768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305032180.449191 -0.000065 0.022795 -0.006168 0.012770 -0.001346 -0.005984 0.999900
1305032180.480837 -0.000919 0.044552 -0.009426 0.019573 -0.000461 -0.016558 0.999671
1305032180.516840 0.000261 0.069689 -0.013905 0.021427 0.000381 -0.021615 0.999537
1305032180.548937 -0.000069 0.095981 -0.014850 0.019260 -0.000191 -0.024815 0.999506
1305032180.581332 0.001993 0.122098 -0.014303 0.014158 -0.001005 -0.029164 0.999474
1305032180.616763 0.003033 0.139228 -0.008984 0.011686 0.001158 -0.029994 0.999481
1305032180.648962 0.003259 0.156567 -0.003706 0.017173 0.004653 -0.027259 0.999470
1305032180.680825 0.004702 0.177076 -0.005034 0.030487 0.005388 -0.024683 0.999216
1305032180.717342 0.007201 0.198061 -0.011215 0.040120 0.005766 -0.023461 0.998903
1305032180.748819 0.009354 0.223874 -0.013818 0.047086 0.007497 -0.025758 0.998531
1305032180.780850 0.015986 0.248199 -0.024096 0.049752 0.009884 -0.024924 0.998402
1305032180.816787 0.018338 0.268850 -0.026028 0.050319 0.014740 -0.023900 0.998338
1305032180.848954 0.018569 0.287675 -0.019831 0.051923 0.019336 -0.024541 0.998162
1305032180.880917 0.012065 0.305161 0.001451 0.057933 0.024505 -0.024307 0.997724
1305032180.916865 0.012855 0.324053 0.000264 0.068556 0.023728 -0.023640 0.997085
1305032180.948907 0.014481 0.343711 -0.002528 0.077243 0.023490 -0.026158 0.996392
1305032180.980907 0.015405 0.360850 -0.003174 0.087083 0.024953 -0.030896 0.995409
1305032181.016753 0.016259 0.378955 -0.007737 0.096949 0.025476 -0.036539 0.994292
1305032181.048957 0.015946 0.394417 -0.010360 0.105400 0.023438 -0.041543 0.993285
1305032181.080911 0.016319 0.411273 -0.019141 0.115798 0.017465 -0.049164 0.991902
1305032181.116902 0.017929 0.428944 -0.021841 0.123740 0.011652 -0.062958 0.990247
1305032181.148803 0.018430 0.444658 -0.023385 0.130842 0.008588 -0.072955 0.988678
1305032181.181078 0.024352 0.470507 -0.054797 0.132855 0.003025 -0.077012 0.988134
1305032181.216791 0.025778 0.488376 -0.057990 0.126225 -0.003156 -0.079988 0.988767
1305032181.248831 0.027214 0.505917 -0.053691 0.118252 -0.005484 -0.078805 0.989836
1305032181.280978 0.028014 0.516265 -0.052125 0.106949 -0.005703 -0.075001 0.991415
1305032181.316657 0.030677 0.527613 -0.050434 0.099264 -0.001451 -0.072471 0.992417
1305032181.348799 0.029666 0.534304 -0.046482 0.092237 0.005307 -0.061656 0.993812
1305032181.380787 0.030111 0.550249 -0.047955 0.086990 0.008995 -0.056126 0.994586
1305032181.416712 0.030450 0.559608 -0.045494 0.078571 0.013348 -0.055876 0.995252
1305032181.448767 0.029159 0.566737 -0.041654 0.075220 0.017558 -0.056206 0.995427
1305032181.480888 0.029618 0.578411 -0.045527 0.069758 0.020546 -0.058445 0.995638
1305032181.517110 0.030051 0.589093 -0.041628 0.062136 0.023166 -0.059417 0.996028
1305032181.549041 0.029900 0.597925 -0.041705 0.055543 0.024472 -0.059609 0.996375
1305032181.580857 0.030296 0.605782 -0.041134 0.047433 0.026800 -0.061871 0.996596
1305032181.616881 0.031077 0.613498 -0.041903 0.037627 0.029897 -0.064452 0.996763
1305032181.648916 0.033668 0.623938 -0.042105 0.025798 0.034556 -0.066275 0.996869
1305032181.681016 0.034123 0.625844 -0.039224 0.013303 0.042991 -0.066045 0.996801
1305032181.716843 0.034247 0.629396 -0.042048 0.003752 0.050047 -0.061068 0.996871
1305032181.748990 0.035609 0.637164 -0.043188 -0.003388 0.053088 -0.054802 0.997079
1305032181.780875 0.037580 0.645073 -0.046316 -0.006967 0.053013 -0.049921 0.997321
1305032181.816836 0.036515 0.648111 -0.048222 -0.009200 0.051589 -0.047369 0.997502
1305032181.848912 0.036121 0.647550 -0.047258 -0.013760 0.047697 -0.045934 0.997710
1305032181.880877 0.036918 0.654553 -0.047876 -0.012946 0.043930 -0.048273 0.997784
1305032181.916917 0.035993 0.655458 -0.049936 -0.009634 0.040406 -0.044242 0.998157
1305032181.950114 0.037402 0.655372 -0.063929 -0.012283 0.034735 -0.038871 0.998565
1305032181.980850 0.035709 0.652343 -0.058404 -0.019178 0.032010 -0.033931 0.998727
1305032182.016837 0.032212 0.650987 -0.048814 -0.018051 0.032693 -0.032115 0.998786
1305032182.049261 0.031471 0.646735 -0.051486 -0.013502 0.031527 -0.033588 0.998847
1305032182.081072 0.028821 0.640225 -0.051554 -0.011653 0.029750 -0.037384 0.998790
1305032182.116839 0.026376 0.633018 -0.051915 -0.005773 0.028582 -0.039824 0.998781
1305032182.148903 0.022995 0.620955 -0.053798 -0.001701 0.026499 -0.039745 0.998857
1305032182.180809 0.019614 0.609197 -0.052922 0.000702 0.023881 -0.039813 0.998922
1305032182.216846 0.016208 0.595067 -0.052214 0.007999 0.021852 -0.040738 0.998899
1305032182.248838 0.012196 0.577599 -0.053689 0.013371 0.020143 -0.041653 0.998840
1305032182.280886 0.008830 0.561703 -0.054835 0.016945 0.018792 -0.044292 0.998698
1305032182.316854 0.005185 0.544695 -0.055704 0.019708 0.017536 -0.045739 0.998605
1305032182.348809 0.001532 0.526363 -0.055528 0.023759 0.016223 -0.048230 0.998422
1305032182.380837 -0.001988 0.507767 -0.056356 0.029198 0.015957 -0.049631 0.998213
1305032182.417061 -0.005875 0.488557 -0.058885 0.035369 0.015142 -0.050065 0.998005
1305032182.449002 -0.009056 0.468812 -0.063349 0.036819 0.014995 -0.049794 0.997968
