# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.001614 0.010913 0.023820 -0.001080 -0.004497 -0.002017 0.999987
1305031102.243211 -0.002404 0.005046 0.022936 -0.009431 -0.005939 -0.001045 0.999937
1305031102.275326 -0.002672 0.007723 0.035170 -0.013540 -0.008771 -0.000556 0.999870
1305031102.311267 -0.002446 0.005929 0.049096 -0.018453 -0.010976 0.000176 0.999769
1305031102.343233 -0.003275 0.007450 0.061300 -0.020170 -0.012749 0.001948 0.999713
1305031102.375329 -0.003521 0.008763 0.073754 -0.022122 -0.014761 0.002097 0.999644
1305031102.411258 -0.007273 0.012547 0.084198 -0.023260 -0.016459 0.000919 0.999594
1305031102.443271 -0.007781 0.018383 0.092950 -0.027158 -0.019755 0.000618 0.999436
1305031102.475318 -0.004746 0.018928 0.107298 -0.034433 -0.022998 0.000737 0.999142
1305031102.511219 -0.013443 0.021758 0.134307 -0.042455 -0.019528 0.002969 0.998903
1305031102.543220 -0.003900 0.018447 0.134027 -0.044401 -0.021196 -0.002317 0.998786
1305031102.575286 -0.010541 0.020114 0.146156 -0.048407 -0.017023 0.001272 0.998682
1305031102.611233 -0.016810 0.018861 0.168284 -0.047285 -0.011776 0.002173 0.998810
1305031102.643265 -0.019600 0.019512 0.169359 -0.046191 -0.010504 0.003254 0.998872
1305031102.675285 -0.020174 0.027383 0.179308 -0.044216 -0.011948 0.003373 0.998945
1305031102.711263 -0.020550 0.028044 0.193167 -0.045060 -0.012250 0.004733 0.998898
1305031102.743234 -0.020122 0.033433 0.204074 -0.045427 -0.012656 0.006350 0.998867
1305031102.775472 -0.014922 0.034797 0.218218 -0.047582 -0.012729 0.005397 0.998772
1305031102.811232 -0.015810 0.038469 0.230437 -0.048447 -0.009466 0.004618 0.998770
1305031102.843290 -0.015221 0.039036 0.244203 -0.050441 -0.006294 0.003558 0.998701
1305031102.875363 -0.018563 0.042289 0.256356 -0.049398 -0.002431 0.001102 0.998776
1305031102.911185 -0.023471 0.049367 0.278347 -0.047228 0.000853 -0.001999 0.998882
1305031102.943229 -0.026795 0.047656 0.278694 -0.048639 0.001459 -0.002142 0.998813
1305031102.975203 -0.036347 0.051739 0.288142 -0.048364 -0.001893 -0.003347 0.998822
1305031103.011215 -0.032892 0.059231 0.310092 -0.048293 -0.011729 0.001152 0.998764
1305031103.043227 -0.037825 0.057824 0.310072 -0.050852 -0.013567 0.001782 0.998612
1305031103.075319 -0.033065 0.058726 0.322782 -0.051158 -0.018188 0.005159 0.998512
1305031103.111240 -0.032135 0.064699 0.330525 -0.049366 -0.018633 0.006445 0.998586
1305031103.143318 -0.029643 0.067052 0.340289 -0.050133 -0.020464 0.006782 0.998510
1305031103.175452 -0.030100 0.070888 0.348516 -0.051184 -0.018835 0.008123 0.998479
1305031103.211220 -0.030839 0.079114 0.367332 -0.054253 -0.019992 0.008879 0.998288
1305031103.243216 -0.030839 0.079114 0.367332 -0.054253 -0.019992 0.008879 0.998288
1305031103.275370 -0.029517 0.082104 0.374786 -0.061776 -0.021328 0.010846 0.997803
1305031103.311210 -0.034473 0.078218 0.386309 -0.078457 -0.031284 0.016422 0.996291
1305031103.343223 -0.032814 0.079207 0.386189 -0.078598 -0.034599 0.015480 0.996186
1305031103.375327 -0.029320 0.078680 0.387850 -0.081883 -0.034952 0.017382 0.995877
1305031103.411260 -0.029587 0.075404 0.389503 -0.084495 -0.034827 0.019029 0.995633
