# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.002046 0.007717 0.010433 -0.002120 -0.002971 -0.001681 0.999992
1305031102.243211 -0.003393 0.008613 0.023467 -0.007988 -0.005622 -0.001191 0.999952
1305031102.275326 -0.003713 0.010034 0.035642 -0.012545 -0.008477 -0.000935 0.999885
1305031102.311267 -0.003523 0.007352 0.049756 -0.017704 -0.010698 -0.000219 0.999786
1305031102.343233 -0.004737 0.008831 0.061018 -0.019355 -0.012273 0.001428 0.999736
1305031102.375329 -0.004646 0.010293 0.073275 -0.021174 -0.014338 0.001558 0.999672
1305031102.411258 -0.009267 0.013389 0.081906 -0.022431 -0.015555 0.000019 0.999627
1305031102.443271 -0.011011 0.021819 0.092602 -0.025427 -0.018446 -0.000250 0.999506
1305031102.475318 -0.007149 0.022213 0.108210 -0.032647 -0.022134 -0.000180 0.999222
1305031102.511219 -0.006919 0.022276 0.121286 -0.037577 -0.021293 -0.001875 0.999065
1305031102.543220 -0.008164 0.021584 0.134209 -0.042438 -0.019562 -0.003870 0.998900
1305031102.575286 -0.007061 0.015722 0.147406 -0.045920 -0.018545 -0.005161 0.998760
1305031102.611233 -0.008842 0.013351 0.159359 -0.043838 -0.015310 -0.004153 0.998913
1305031102.643265 -0.015017 0.021262 0.168205 -0.039951 -0.012587 -0.003577 0.999116
1305031102.675285 -0.014559 0.023747 0.181437 -0.041518 -0.014414 -0.002599 0.999030
1305031102.711263 -0.014910 0.023066 0.195070 -0.042830 -0.014762 -0.001370 0.998972
1305031102.743234 -0.014135 0.031285 0.206787 -0.042019 -0.015340 0.000353 0.998999
1305031102.775472 -0.010895 0.031369 0.221011 -0.044681 -0.014601 -0.000954 0.998894
1305031102.811232 -0.012483 0.035117 0.232693 -0.045349 -0.010996 -0.001968 0.998909
1305031102.843290 -0.011505 0.035462 0.246859 -0.047447 -0.008044 -0.002826 0.998837
1305031102.875363 -0.014843 0.038882 0.258499 -0.046179 -0.004148 -0.005345 0.998910
1305031102.911185 -0.015790 0.041712 0.269728 -0.045699 -0.002604 -0.006617 0.998930
1305031102.943229 -0.022641 0.043198 0.279265 -0.045941 -0.000228 -0.008341 0.998909
1305031102.975203 -0.030682 0.045587 0.286066 -0.046441 -0.003801 -0.009341 0.998870
1305031103.011215 -0.030557 0.048554 0.296991 -0.047588 -0.010046 -0.006217 0.998797
1305031103.043227 -0.031660 0.052010 0.308015 -0.049018 -0.015669 -0.003594 0.998669
1305031103.075319 -0.026644 0.050578 0.318682 -0.050166 -0.020411 -0.000930 0.998532
1305031103.111240 -0.027776 0.058815 0.325857 -0.047086 -0.019638 -0.000119 0.998698
1305031103.143318 -0.026583 0.060050 0.336083 -0.049313 -0.020236 0.001555 0.998577
1305031103.175452 -0.026736 0.066868 0.343373 -0.048413 -0.018847 0.001931 0.998648
1305031103.211220 -0.028400 0.074185 0.351947 -0.051472 -0.018321 0.002784 0.998502
1305031103.243216 -0.027914 0.077406 0.359347 -0.058223 -0.018426 0.006659 0.998111
1305031103.275370 -0.033241 0.080190 0.364407 -0.066736 -0.019217 0.010981 0.997525
1305031103.311210 -0.032584 0.073380 0.371713 -0.075812 -0.029196 0.010634 0.996638
1305031103.343223 -0.026947 0.075020 0.373383 -0.076048 -0.035127 0.010262 0.996432
1305031103.375327 -0.025412 0.074395 0.374088 -0.079512 -0.034118 0.012012 0.996177
1305031103.411260 -0.026435 0.068554 0.373154 -0.083132 -0.033250 0.013856 0.995887
1305031103.443280 -0.027907 0.067102 0.369177 -0.082895 -0.035071 0.013446 0.995850
1305031103.475274 -0.027540 0.062987 0.364587 -0.083091 -0.037861 0.011698 0.995754
1305031103.511333 -0.027524 0.058607 0.358619 -0.081125 -0.039368 0.009614 0.995880
1305031103.543444 -0.027716 0.049877 0.350362 -0.078910 -0.040299 0.006480 0.996046
1305031103.575474 -0.029479 0.049197 0.340515 -0.073443 -0.040980 0.006636 0.996435
1305031103.611223 -0.031669 0.043950 0.330557 -0.071669 -0.043134 0.007497 0.996467
1305031103.643445 -0.030844 0.039219 0.320225 -0.069341 -0.047376 0.008013 0.996435
1305031103.675523 -0.028380 0.035308 0.309558 -0.066829 -0.050576 0.008161 0.996448
1305031103.711610 -0.026469 0.031847 0.298425 -0.064417 -0.051952 0.007975 0.996538
1305031103.743326 -0.024870 0.025123 0.287033 -0.062892 -0.051974 0.006987 0.996642
1305031103.775342 -0.024211 0.023510 0.271731 -0.059167 -0.051409 0.003716 0.996917
1305031103.811242 -0.023453 0.022675 0.258120 -0.058781 -0.050363 0.000653 0.996999
1305031103.843251 -0.026994 0.023017 0.242314 -0.060939 -0.048725 -0.001989 0.996950
1305031103.875361 -0.027787 0.011433 0.232029 -0.069465 -0.051617 -0.004891 0.996236
1305031103.911221 -0.026515 0.002988 0.218941 -0.069815 -0.055857 -0.006336 0.995975
1305031103.943211 -0.024851 0.000374 0.204280 -0.067558 -0.058771 -0.007196 0.995957
1305031103.975373 -0.022444 -0.005853 0.191853 -0.066448 -0.061135 -0.008240 0.995881
1305031104.011232 -0.017606 -0.011198 0.181691 -0.062649 -0.062701 -0.009133 0.996022
1305031104.043249 -0.014587 -0.012739 0.165837 -0.054821 -0.059947 -0.011520 0.996628
1305031104.075425 -0.012034 -0.012305 0.151401 -0.050163 -0.055735 -0.014049 0.997086
1305031104.111235 -0.008733 -0.018829 0.140764 -0.048172 -0.050667 -0.015031 0.997440
1305031104.143230 -0.009524 -0.025050 0.125675 -0.044359 -0.044545 -0.016283 0.997889
1305031104.175424 -0.010415 -0.028280 0.110631 -0.040443 -0.040882 -0.017283 0.998196
1305031104.211283 -0.008994 -0.033527 0.098532 -0.037102 -0.038722 -0.016933 0.998417
1305031104.243196 -0.008259 -0.035966 0.085609 -0.032501 -0.036498 -0.017013 0.998660
1305031104.275546 -0.006956 -0.037494 0.073589 -0.027983 -0.034199 -0.017779 0.998865
1305031104.311219 -0.005829 -0.039241 0.061949 -0.024284 -0.031116 -0.017885 0.999061
1305031104.343342 -0.004399 -0.039112 0.050202 -0.020739 -0.027205 -0.018248 0.999248
1305031104.375837 -0.005103 -0.040033 0.039498 -0.018842 -0.022075 -0.017945 0.999418
1305031104.411509 -0.007812 -0.040991 0.028191 -0.017414 -0.017553 -0.017548 0.999540
1305031104.443288 -0.012599 -0.040667 0.016642 -0.016641 -0.014887 -0.017181 0.999603
1305031104.475456 -0.016377 -0.042025 0.007138 -0.017013 -0.015376 -0.016532 0.999600
1305031104.511329 -0.016863 -0.046121 -0.000803 -0.016908 -0.018044 -0.015048 0.999581
1305031104.543368 -0.014049 -0.048759 -0.009796 -0.013993 -0.020866 -0.014252 0.999583
1305031104.575343 -0.008731 -0.050682 -0.013742 -0.009543 -0.022285 -0.013201 0.999619
1305031104.611336 -0.003189 -0.056916 -0.022078 -0.000883 -0.018900 -0.011556 0.999754
1305031104.643243 -0.001503 -0.053772 -0.034166 0.012137 -0.011514 -0.011791 0.999791
1305031104.675525 0.000270 -0.057945 -0.043009 0.022877 -0.003719 -0.010333 0.999678
1305031104.711277 0.001503 -0.060545 -0.053265 0.035955 0.003377 -0.008028 0.999315
1305031104.743280 0.003788 -0.058900 -0.063928 0.049262 0.009991 -0.006303 0.998716
1305031104.775327 0.004706 -0.057897 -0.072872 0.061591 0.017011 -0.004358 0.997947
