# timestamp tx ty tz qx qy qz qw
1311868164.363181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.399026 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.430940 0.001742 0.002174 -0.002713 -0.001789 -0.002870 -0.001324 0.999993
1311868164.463055 0.006073 0.004042 -0.005383 -0.003819 -0.004258 -0.004050 0.999975
1311868164.499130 0.010271 0.002828 -0.007554 -0.006270 -0.003170 -0.006838 0.999952
1311868164.531025 0.013518 0.002528 -0.009611 -0.006890 -0.000383 -0.008724 0.999938
1311868164.563004 0.014175 0.001993 -0.012320 -0.006646 0.002324 -0.010548 0.999920
1311868164.599061 0.017151 0.000923 -0.015362 -0.005646 0.003053 -0.012318 0.999904
1311868164.631140 0.019878 0.001255 -0.019134 -0.003720 0.003806 -0.013344 0.999897
1311868164.663105 0.022227 0.003463 -0.022831 -0.002109 0.003112 -0.013891 0.999896
1311868164.698987 0.027572 0.003962 -0.026351 -0.002254 0.000651 -0.013725 0.999903
1311868164.731046 0.032047 0.001228 -0.028586 -0.002574 -0.001125 -0.012415 0.999919
1311868164.763098 0.040214 -0.001147 -0.030830 -0.000952 -0.003774 -0.012133 0.999919
1311868164.799138 0.047283 -0.004133 -0.033345 0.000693 -0.004877 -0.012040 0.999915
1311868164.831006 0.054714 -0.004778 -0.035787 0.004563 -0.005335 -0.012701 0.999895
1311868164.863058 0.054714 -0.004778 -0.035787 0.004563 -0.005335 -0.012701 0.999895
1311868164.899132 0.054716 -0.004778 -0.035788 0.007759 -0.004475 -0.013035 0.999875
1311868164.930933 0.054717 -0.004778 -0.035788 0.011390 -0.003349 -0.015062 0.999816
1311868164.963119 0.054719 -0.004776 -0.035789 0.012274 -0.003571 -0.017386 0.999767
1311868164.999037 0.054720 -0.004777 -0.035789 0.009610 -0.005870 -0.017563 0.999782
1311868165.031122 0.054722 -0.004777 -0.035789 0.008866 -0.010238 -0.016740 0.999768
1311868165.063108 0.054725 -0.004777 -0.035790 0.009221 -0.015309 -0.018199 0.999675
1311868165.099162 0.054727 -0.004777 -0.035790 0.008500 -0.019468 -0.021175 0.999550
1311868165.131014 0.054730 -0.004778 -0.035790 0.009891 -0.022963 -0.022779 0.999428
1311868165.163146 0.054732 -0.004777 -0.035791 0.012652 -0.026339 -0.025369 0.999251
1311868165.199145 0.054735 -0.004776 -0.035792 0.014827 -0.028755 -0.028399 0.999073
1311868165.231193 0.054737 -0.004775 -0.035792 0.015179 -0.030602 -0.030033 0.998965
1311868165.263005 0.054739 -0.004774 -0.035793 0.014655 -0.033099 -0.031502 0.998848
1311868165.299103 0.054741 -0.004774 -0.035793 0.012626 -0.037740 -0.032939 0.998665
1311868165.331226 0.054744 -0.004773 -0.035793 0.009894 -0.043329 -0.034218 0.998426
1311868165.363060 0.054746 -0.004774 -0.035793 0.007046 -0.047817 -0.034264 0.998243
1311868165.399160 0.054749 -0.004772 -0.035793 0.008406 -0.050418 -0.035556 0.998060
1311868165.430962 0.054749 -0.004772 -0.035793 0.008406 -0.050418 -0.035556 0.998060
1311868165.463114 0.054749 -0.004772 -0.035793 0.008406 -0.050418 -0.035556 0.998060
1311868165.499179 0.054749 -0.004772 -0.035793 0.008406 -0.050418 -0.035556 0.998060
1311868165.531124 0.065050 -0.003938 -0.036192 0.003771 -0.052963 -0.033995 0.998011
1311868165.563054 0.073919 -0.005115 -0.037307 0.000294 -0.053788 -0.032680 0.998017
1311868165.599188 0.081697 -0.008122 -0.038993 -0.001425 -0.054111 -0.033547 0.997970
1311868165.631159 0.088776 -0.006318 -0.041994 0.000219 -0.053705 -0.035590 0.997922
1311868165.663251 0.095544 -0.004987 -0.045015 0.001374 -0.052013 -0.036524 0.997977
1311868165.699187 0.100588 -0.004715 -0.048938 0.002788 -0.049841 -0.037338 0.998055
1311868165.731234 0.103981 0.001080 -0.053541 0.005364 -0.047771 -0.038385 0.998106
