# timestamp tx ty tz qx qy qz qw
1311870427.199132 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870427.231132 -0.000215 -0.000327 -0.001067 0.002053 -0.000033 0.000453 0.999998
1311870427.263210 0.000615 0.000875 -0.002590 0.002791 -0.000617 0.001073 0.999995
1311870427.299143 0.000019 0.000190 -0.003542 0.003070 -0.001096 0.001930 0.999993
1311870427.331187 -0.002031 -0.000641 -0.006258 0.002434 -0.001435 0.002821 0.999992
1311870427.363116 0.000960 0.000031 -0.004406 0.002237 -0.002244 0.003130 0.999990
1311870427.399237 0.000574 -0.000609 -0.004181 0.002374 -0.001663 0.003077 0.999991
1311870427.431127 0.001003 -0.001167 -0.006323 0.002639 -0.001445 0.002952 0.999991
1311870427.463385 -0.000609 -0.000483 -0.005005 0.002620 -0.001344 0.003444 0.999990
1311870427.499447 -0.001344 -0.000542 -0.008212 0.001827 -0.002218 0.003863 0.999988
1311870427.531159 -0.000396 -0.001370 -0.007941 0.001282 -0.003141 0.003137 0.999989
1311870427.563190 -0.000786 -0.000743 -0.008322 0.001162 -0.003312 0.002598 0.999990
1311870427.599086 0.000295 -0.000564 -0.007792 0.001214 -0.003836 0.003017 0.999987
1311870427.631114 -0.000499 -0.002319 -0.007321 0.001002 -0.004072 0.003126 0.999986
1311870427.663429 0.000570 -0.001428 -0.009494 0.001803 -0.004181 0.002335 0.999987
1311870427.699151 0.000096 -0.001914 -0.009977 0.002049 -0.003836 0.002309 0.999988
1311870427.731118 -0.000970 -0.001474 -0.008275 0.002568 -0.004131 0.002116 0.999986
1311870427.763327 -0.000834 -0.001161 -0.010006 0.002917 -0.004737 0.002336 0.999982
1311870427.799196 0.001166 -0.002775 -0.011711 0.002476 -0.005385 0.001815 0.999981
1311870427.831457 -0.000239 -0.002776 -0.011066 0.003571 -0.004770 0.002406 0.999979
1311870427.863134 0.000494 -0.001564 -0.013847 0.003630 -0.005257 0.001980 0.999978
1311870427.899231 -0.000515 -0.000104 -0.010482 0.002945 -0.006062 0.002157 0.999975
1311870427.931111 0.000524 -0.001404 -0.011172 0.001775 -0.007801 0.000575 0.999968
1311870427.963137 -0.000245 -0.003689 -0.013907 0.000681 -0.008550 -0.001448 0.999962
1311870427.999083 0.001577 -0.003624 -0.012351 0.001232 -0.008246 -0.001947 0.999963
1311870428.031250 0.001260 -0.002212 -0.013109 0.002061 -0.007295 -0.001928 0.999969
1311870428.063193 0.000197 -0.003099 -0.014048 0.002126 -0.006732 -0.001370 0.999974
1311870428.099167 0.000626 -0.002372 -0.012977 0.002569 -0.006639 -0.001060 0.999974
1311870428.131267 0.001677 -0.002570 -0.012447 0.002984 -0.006767 -0.001033 0.999972
1311870428.163279 0.000549 -0.002329 -0.010881 0.003215 -0.006638 -0.001195 0.999972
1311870428.199270 0.001524 -0.002874 -0.013505 0.003180 -0.007171 -0.001616 0.999968
1311870428.231191 0.000227 -0.002195 -0.012308 0.003446 -0.007083 -0.001344 0.999968
1311870428.263420 0.001773 -0.003343 -0.013255 0.003347 -0.007884 -0.000975 0.999963
1311870428.299170 0.002701 -0.002973 -0.013612 0.003149 -0.008032 -0.001018 0.999962
1311870428.331174 0.002692 -0.003585 -0.014483 0.003277 -0.007959 -0.001026 0.999962
1311870428.363160 0.000916 -0.003382 -0.015013 0.003986 -0.007546 -0.001562 0.999962
1311870428.399340 0.001669 -0.003547 -0.013744 0.003798 -0.007504 -0.002711 0.999961
