# timestamp tx ty tz qx qy qz qw
1311870427.199132 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311870427.231132 0.000061 0.000632 -0.001981 0.002274 -0.000197 0.000456 0.999997
1311870427.263210 -0.000218 0.001302 -0.003206 0.002786 -0.000342 0.000719 0.999996
1311870427.299143 -0.000370 0.000571 -0.003789 0.003049 -0.000925 0.001608 0.999994
1311870427.331187 -0.000067 0.001653 -0.004966 0.002945 -0.001644 0.002317 0.999992
1311870427.363116 0.000350 -0.000075 -0.004405 0.002041 -0.001934 0.002841 0.999992
1311870427.399237 0.000548 -0.000458 -0.004758 0.002353 -0.001589 0.002696 0.999992
1311870427.431127 0.000277 -0.000348 -0.005347 0.002709 -0.001211 0.002710 0.999992
1311870427.463385 -0.000630 0.000265 -0.006324 0.002730 -0.001313 0.003141 0.999990
1311870427.499447 -0.000771 0.000032 -0.006501 0.001940 -0.002183 0.003364 0.999990
1311870427.531159 -0.000761 -0.000764 -0.006612 0.001492 -0.002903 0.003043 0.999990
1311870427.563190 -0.000158 -0.000243 -0.007822 0.001314 -0.003452 0.002498 0.999990
1311870427.599086 -0.000541 -0.000929 -0.007592 0.001097 -0.003606 0.002715 0.999989
1311870427.631114 -0.000526 -0.001664 -0.007706 0.001169 -0.003952 0.002625 0.999988
1311870427.663429 -0.000216 -0.001670 -0.008454 0.001627 -0.003817 0.001969 0.999989
1311870427.699151 -0.000375 -0.001587 -0.008991 0.002017 -0.003693 0.001864 0.999989
1311870427.731118 -0.000562 -0.002726 -0.009168 0.002183 -0.004169 0.002386 0.999986
1311870427.763327 -0.000003 -0.001308 -0.010577 0.002885 -0.004977 0.002472 0.999980
1311870427.799196 0.000509 -0.002927 -0.009904 0.002467 -0.005083 0.002412 0.999981
1311870427.831457 0.000496 -0.002972 -0.011033 0.003565 -0.004870 0.002427 0.999979
1311870427.863134 0.000097 -0.001271 -0.012192 0.003632 -0.005230 0.001958 0.999978
1311870427.899231 -0.000423 -0.001682 -0.012252 0.002563 -0.006001 0.001713 0.999977
1311870427.931111 -0.000571 -0.001403 -0.012512 0.001698 -0.007513 0.000349 0.999970
1311870427.963137 0.000107 -0.002682 -0.012086 0.000793 -0.008501 -0.001712 0.999962
1311870427.999083 0.001266 -0.002859 -0.012619 0.001369 -0.008081 -0.002104 0.999964
1311870428.031250 0.000747 -0.002574 -0.012708 0.002008 -0.007005 -0.001789 0.999972
1311870428.063193 0.000639 -0.002580 -0.012941 0.002203 -0.006708 -0.001651 0.999974
1311870428.099167 0.001021 -0.002723 -0.012831 0.002397 -0.006667 -0.001528 0.999974
1311870428.131267 0.001024 -0.002905 -0.012936 0.002871 -0.006599 -0.001311 0.999973
1311870428.163279 0.001168 -0.002809 -0.013269 0.003129 -0.006816 -0.001436 0.999971
1311870428.199270 0.000932 -0.002713 -0.013522 0.003295 -0.006953 -0.001707 0.999969
1311870428.231191 0.000714 -0.002906 -0.013442 0.003244 -0.007114 -0.001579 0.999968
1311870428.263420 0.000832 -0.002771 -0.013684 0.003383 -0.007509 -0.001679 0.999965
1311870428.299170 0.001301 -0.002578 -0.014106 0.003320 -0.007711 -0.001683 0.999963
1311870428.331174 0.001106 -0.003560 -0.013322 0.003247 -0.007372 -0.001303 0.999967
1311870428.363160 0.000955 -0.003374 -0.013672 0.003894 -0.007387 -0.001718 0.999964
1311870428.399340 0.001040 -0.002487 -0.014100 0.003999 -0.007287 -0.003004 0.999961
1311870428.431153 0.000481 -0.002714 -0.013478 0.003870 -0.006938 -0.003241 0.999963
1311870428.463176 0.000362 -0.001707 -0.014353 0.004211 -0.007405 -0.002874 0.999960
1311870428.499303 0.000620 -0.001674 -0.013687 0.003415 -0.007892 -0.003022 0.999958
1311870428.531230 0.000894 -0.003433 -0.013006 0.003423 -0.007919 -0.003229 0.999958
1311870428.563181 0.001222 -0.002094 -0.013994 0.004135 -0.007876 -0.003273 0.999955
1311870428.599270 0.000481 -0.002676 -0.013449 0.003978 -0.008006 -0.002635 0.999957
1311870428.631378 0.000259 -0.002798 -0.013468 0.004163 -0.008872 -0.002514 0.999949
1311870428.663196 0.001241 -0.002840 -0.013843 0.004254 -0.009332 -0.003193 0.999942
