# timestamp tx ty tz qx qy qz qw
1311868164.363181 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1311868164.399026 -0.001135 0.001856 -0.002124 -0.001731 -0.000795 -0.001334 0.999997
1311868164.430940 0.000318 0.003229 -0.004822 -0.003862 -0.003531 -0.002813 0.999982
1311868164.463055 0.004790 0.004710 -0.008061 -0.005981 -0.005024 -0.005387 0.999955
1311868164.499130 0.008406 0.004420 -0.010194 -0.008065 -0.003758 -0.008273 0.999926
1311868164.531025 0.011381 0.003911 -0.012631 -0.008737 -0.000925 -0.010391 0.999907
1311868164.563004 0.012546 0.003366 -0.015282 -0.008491 0.001689 -0.011975 0.999891
1311868164.599061 0.014965 0.002303 -0.018345 -0.007496 0.002576 -0.013798 0.999873
1311868164.631140 0.018241 0.002597 -0.021807 -0.005561 0.003182 -0.014758 0.999871
1311868164.663105 0.020489 0.004990 -0.025004 -0.003921 0.002530 -0.015262 0.999873
1311868164.698987 0.025377 0.005600 -0.028813 -0.003898 0.000205 -0.014995 0.999880
1311868164.731046 0.031250 0.001724 -0.030628 -0.004706 -0.002012 -0.014018 0.999889
1311868164.763098 0.038228 0.000785 -0.033611 -0.002610 -0.004274 -0.013362 0.999898
1311868164.799138 0.045465 -0.002049 -0.036133 -0.000938 -0.005505 -0.013444 0.999894
1311868164.831006 0.053180 -0.002950 -0.037733 0.002936 -0.006052 -0.013936 0.999880
1311868164.863058 0.062043 -0.002806 -0.039993 0.006191 -0.005688 -0.014955 0.999853
1311868164.899132 0.070039 -0.003664 -0.041563 0.009543 -0.004557 -0.015509 0.999824
1311868164.930933 0.077097 0.001033 -0.044459 0.013534 -0.003751 -0.017317 0.999751
1311868164.963119 0.084280 0.007255 -0.046714 0.014695 -0.003902 -0.019613 0.999692
1311868164.999037 0.091694 0.005244 -0.046535 0.012113 -0.006223 -0.019859 0.999710
1311868165.031122 0.101403 0.003830 -0.047998 0.011688 -0.010458 -0.019238 0.999692
1311868165.063108 0.112756 0.005082 -0.050604 0.011882 -0.015246 -0.020754 0.999598
1311868165.099162 0.126307 0.002679 -0.052399 0.010772 -0.019791 -0.023676 0.999466
1311868165.131014 0.137592 0.000198 -0.054792 0.012213 -0.022870 -0.025445 0.999340
1311868165.163146 0.150133 0.003417 -0.057603 0.015226 -0.026078 -0.028074 0.999150
