# timestamp tx ty tz qx qy qz qw
1341840839.329412 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341840839.361439 0.000286 -0.001293 0.000042 -0.000278 -0.000134 0.000090 1.000000
1341840839.393461 0.000021 -0.002412 -0.000258 0.000358 -0.000051 -0.000055 1.000000
1341840839.429312 0.000513 -0.001697 -0.000360 0.000520 -0.000207 -0.000002 1.000000
1341840839.461283 -0.000360 -0.001061 -0.000196 0.000636 0.000080 -0.000205 1.000000
1341840839.497390 -0.000300 0.000817 0.000081 0.000169 0.000096 -0.000213 1.000000
1341840839.529496 0.000324 0.002316 0.000185 -0.000311 -0.000083 0.000004 1.000000
1341840839.561316 0.000023 0.002995 0.000126 -0.000117 0.000023 -0.000203 1.000000
1341840839.597405 -0.000334 0.006717 0.000533 -0.000012 0.000471 -0.001914 0.999998
1341840839.629282 -0.008071 0.002038 0.003227 -0.002340 0.002349 -0.003247 0.999989
1341840839.665514 -0.011794 0.002289 0.004420 -0.002273 0.003156 -0.003128 0.999988
1341840839.697361 -0.013419 0.002545 0.006641 -0.003240 0.003725 -0.003043 0.999983
1341840839.729327 -0.017696 -0.007835 0.010644 -0.006182 0.004841 -0.003453 0.999963
1341840839.765445 -0.018264 -0.006771 0.010664 -0.005784 0.004942 -0.003434 0.999965
1341840839.797266 -0.011816 -0.002764 0.010413 -0.005385 0.003520 -0.002487 0.999976
1341840839.833487 -0.015116 -0.010777 0.016456 -0.006110 0.004604 -0.000662 0.999971
1341840839.865409 -0.022623 -0.033923 0.032744 -0.006728 0.006043 0.001045 0.999959
1341840839.897303 -0.022848 -0.030541 0.033341 -0.007647 0.006229 0.001069 0.999951
1341840839.933443 -0.022411 -0.036151 0.035495 -0.009460 0.006222 0.001280 0.999935
1341840839.965343 -0.018549 -0.036411 0.036991 -0.010831 0.005376 0.002278 0.999924
1341840840.001548 -0.014171 -0.039303 0.039986 -0.011835 0.004324 0.002696 0.999917
1341840840.033327 -0.010589 -0.041119 0.041039 -0.011843 0.003744 0.004320 0.999914
1341840840.065272 0.003040 -0.039582 0.041583 -0.009904 0.000160 0.005220 0.999937
1341840840.101431 0.021653 -0.041996 0.046616 -0.009758 -0.003989 0.004974 0.999932
1341840840.133310 0.021799 -0.046089 0.049347 -0.012816 -0.003751 0.005348 0.999897
