# timestamp tx ty tz qx qy qz qw
1341839845.598549 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839845.629819 -0.007040 0.015688 0.001491 0.002569 0.001296 -0.002088 0.999994
1341839845.665955 -0.023791 0.017213 0.005584 0.001065 0.002143 -0.005819 0.999980
1341839845.698027 -0.018520 0.011022 0.006929 -0.001098 -0.001950 -0.007876 0.999966
1341839845.730035 -0.006850 0.004422 0.002714 -0.002752 -0.004696 -0.009268 0.999942
1341839845.766091 -0.018178 0.007353 0.006587 -0.001670 -0.003313 -0.010607 0.999937
1341839845.798274 -0.018055 0.017016 0.002902 -0.001188 -0.005315 -0.012059 0.999912
1341839845.833868 -0.021229 0.006082 0.009034 -0.004543 -0.006409 -0.014427 0.999865
1341839845.865884 -0.014764 -0.000002 0.006743 -0.004013 -0.008932 -0.015328 0.999835
1341839845.897882 -0.011329 0.017845 0.004745 -0.001536 -0.009617 -0.015592 0.999831
1341839845.933769 -0.025780 0.012433 0.012880 -0.004893 -0.007903 -0.017892 0.999797
1341839845.966008 -0.020106 -0.005811 0.011322 -0.006547 -0.010402 -0.018328 0.999756
1341839845.997926 -0.006704 0.012540 0.007823 -0.002681 -0.011882 -0.017576 0.999771
1341839846.033941 -0.014519 0.017250 0.013238 -0.003964 -0.009265 -0.019882 0.999752
1341839846.065923 -0.025312 0.003627 0.012899 -0.006226 -0.008095 -0.020095 0.999746
1341839846.101945 -0.019615 0.012897 0.014387 -0.004338 -0.009805 -0.020048 0.999742
1341839846.133881 -0.010441 0.004450 0.011918 -0.006234 -0.010959 -0.021234 0.999695
1341839846.165870 -0.000939 0.007480 0.009463 -0.005264 -0.010337 -0.021960 0.999692
1341839846.201921 -0.008016 0.013917 0.013611 -0.005208 -0.006623 -0.022551 0.999710
1341839846.233820 -0.021590 0.003766 0.016250 -0.007350 -0.005038 -0.023893 0.999675
1341839846.266171 -0.004979 0.003525 0.012899 -0.006570 -0.008052 -0.022981 0.999682
1341839846.302140 -0.011854 0.014556 0.019102 -0.005313 -0.005513 -0.022079 0.999727
1341839846.333843 -0.023447 0.005467 0.020985 -0.007001 -0.005167 -0.023471 0.999687
1341839846.369840 -0.007180 0.011414 0.017064 -0.006176 -0.009042 -0.025931 0.999604
1341839846.402011 0.002734 0.011295 0.021081 -0.008128 -0.008323 -0.027479 0.999555
1341839846.433900 -0.014436 -0.004265 0.025400 -0.010442 -0.004078 -0.028509 0.999531
1341839846.469927 -0.018789 0.008597 0.028968 -0.006758 -0.004077 -0.027268 0.999597
