# timestamp tx ty tz qx qy qz qw
1341839845.598549 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839845.629819 -0.001092 0.010815 -0.002670 0.001679 0.000048 -0.002082 0.999996
1341839845.665955 -0.015493 0.007692 -0.004173 -0.000543 0.000361 -0.004777 0.999988
1341839845.698027 -0.014860 0.007072 -0.001803 -0.001758 -0.002853 -0.007670 0.999965
1341839845.730035 -0.006420 0.004101 0.000513 -0.002631 -0.004815 -0.009073 0.999944
1341839845.766091 -0.015901 0.004350 0.003320 -0.002198 -0.003890 -0.010299 0.999937
1341839845.798274 -0.016320 0.013414 -0.001250 -0.001815 -0.005747 -0.011718 0.999913
1341839845.833868 -0.017216 0.002151 0.002586 -0.005203 -0.007334 -0.014132 0.999860
1341839845.865884 -0.017880 -0.001167 0.007684 -0.004293 -0.008420 -0.015801 0.999830
1341839845.897882 -0.012056 0.015017 0.000252 -0.002092 -0.009618 -0.015793 0.999827
1341839845.933769 -0.019256 0.004964 0.002337 -0.006107 -0.009387 -0.017203 0.999789
1341839845.966008 -0.019992 -0.005027 0.010843 -0.006428 -0.010599 -0.018221 0.999757
1341839845.997926 -0.005881 0.010424 0.004379 -0.003130 -0.012076 -0.017863 0.999763
1341839846.033941 -0.011549 0.008926 0.004713 -0.005349 -0.010043 -0.019390 0.999747
1341839846.065923 -0.022388 0.000714 0.010421 -0.006627 -0.008765 -0.019671 0.999746
1341839846.101945 -0.015604 0.007003 0.007770 -0.005301 -0.010694 -0.019779 0.999733
1341839846.133881 -0.006740 0.001944 0.007878 -0.006552 -0.011816 -0.021003 0.999688
1341839846.165870 0.000781 0.005425 0.007697 -0.005568 -0.010716 -0.021758 0.999690
1341839846.201921 -0.006541 0.008313 0.007171 -0.006232 -0.007146 -0.022422 0.999704
1341839846.233820 -0.019320 0.001110 0.011985 -0.007786 -0.005637 -0.023809 0.999670
1341839846.266171 -0.008347 0.003329 0.011365 -0.006646 -0.007528 -0.023099 0.999683
1341839846.302140 -0.010824 0.008294 0.011560 -0.006445 -0.005942 -0.021956 0.999721
1341839846.333843 -0.020410 -0.000981 0.015785 -0.008260 -0.005934 -0.023788 0.999665
1341839846.369840 -0.003301 0.008031 0.012317 -0.006780 -0.009864 -0.025727 0.999597
1341839846.402011 0.006584 0.004754 0.012665 -0.009167 -0.009298 -0.027000 0.999550
1341839846.433900 -0.010336 -0.006741 0.022274 -0.010779 -0.004975 -0.028054 0.999536
1341839846.469927 -0.017076 0.003553 0.022584 -0.007740 -0.004635 -0.027193 0.999589
