# timestamp tx ty tz qx qy qz qw
1341839845.598549 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839845.629819 -0.003041 0.014450 -0.000044 0.002284 0.000527 -0.002164 0.999995
1341839845.665955 -0.018541 0.015642 0.005341 0.000794 0.001112 -0.005431 0.999984
1341839845.698027 -0.013104 0.010705 0.003840 -0.001109 -0.003046 -0.007645 0.999966
1341839845.730035 -0.007224 0.007176 0.004858 -0.002114 -0.004559 -0.009242 0.999945
1341839845.766091 -0.017758 0.006993 0.006471 -0.001759 -0.003461 -0.010582 0.999936
1341839845.798274 -0.016041 0.017937 0.003997 -0.001057 -0.005660 -0.011984 0.999912
1341839845.833868 -0.019622 0.007749 0.011064 -0.004234 -0.006660 -0.014468 0.999864
1341839845.865884 -0.018734 -0.001188 0.008036 -0.004318 -0.008237 -0.015906 0.999830
1341839845.897882 -0.011659 0.018734 0.003327 -0.001448 -0.009622 -0.015965 0.999825
1341839845.933769 -0.023929 0.012001 0.012976 -0.004939 -0.008226 -0.017909 0.999794
1341839845.966008 -0.020734 -0.004619 0.011642 -0.006357 -0.010411 -0.018226 0.999759
1341839845.997926 -0.005759 0.011240 0.003607 -0.002987 -0.012160 -0.017838 0.999762
1341839846.033941 -0.014940 0.013817 0.010713 -0.004570 -0.009233 -0.019924 0.999748
1341839846.065923 -0.023750 0.003865 0.014268 -0.006113 -0.008394 -0.019945 0.999747
1341839846.101945 -0.016303 0.009455 0.009811 -0.004881 -0.010530 -0.019900 0.999735
1341839846.133881 -0.009484 0.004233 0.010097 -0.006200 -0.011265 -0.021226 0.999692
1341839846.165870 0.000348 0.005169 0.006366 -0.005629 -0.010703 -0.021841 0.999688
1341839846.201921 -0.009098 0.011674 0.010961 -0.005704 -0.006537 -0.022845 0.999701
1341839846.233820 -0.022417 0.005214 0.017396 -0.007102 -0.004886 -0.024132 0.999672
1341839846.266171 -0.007252 0.004666 0.011688 -0.006385 -0.007769 -0.022947 0.999686
1341839846.302140 -0.011859 0.012581 0.015962 -0.005713 -0.005607 -0.022224 0.999721
1341839846.333843 -0.022881 0.003828 0.021816 -0.007445 -0.005308 -0.024159 0.999666
1341839846.369840 -0.004498 0.010564 0.017162 -0.006317 -0.009523 -0.025776 0.999602
1341839846.402011 0.003755 0.010053 0.020435 -0.008276 -0.008571 -0.027526 0.999550
1341839846.433900 -0.013790 -0.004184 0.027428 -0.010333 -0.004206 -0.028484 0.999532
1341839846.469927 -0.016681 0.004070 0.024307 -0.007587 -0.004618 -0.027356 0.999586
1341839846.501920 -0.023142 0.012725 0.031447 -0.007639 -0.005802 -0.026378 0.999606
1341839846.535053 -0.011927 -0.007378 0.032432 -0.010757 -0.010278 -0.026488 0.999538
1341839846.569928 0.005234 -0.003743 0.028648 -0.008911 -0.012083 -0.025426 0.999564
1341839846.602754 -0.006920 -0.002999 0.036992 -0.009612 -0.008414 -0.025182 0.999601
1341839846.637836 -0.009859 -0.018568 0.041922 -0.011382 -0.009158 -0.026194 0.999550
1341839846.669984 0.010205 -0.012009 0.038216 -0.009212 -0.011987 -0.026475 0.999535
1341839846.701829 0.002749 -0.013192 0.046430 -0.010849 -0.008018 -0.026381 0.999561
1341839846.737910 -0.023093 -0.022815 0.058500 -0.012471 -0.004688 -0.026826 0.999551
1341839846.769925 -0.008735 -0.026826 0.058597 -0.012134 -0.010405 -0.025651 0.999543
1341839846.805852 0.008427 -0.034651 0.060648 -0.013070 -0.012629 -0.025313 0.999514
1341839846.837837 0.000255 -0.044187 0.069190 -0.013548 -0.009157 -0.026247 0.999522
1341839846.869888 -0.000978 -0.039980 0.071648 -0.012160 -0.008673 -0.027060 0.999522
1341839846.906029 -0.001570 -0.050611 0.083371 -0.014569 -0.008126 -0.028570 0.999453
1341839846.938034 -0.005197 -0.071441 0.090872 -0.015249 -0.006609 -0.029410 0.999429
1341839846.969926 -0.011694 -0.057213 0.096485 -0.010498 -0.004969 -0.027193 0.999563
1341839847.006052 -0.018536 -0.071616 0.105409 -0.012653 -0.005633 -0.026199 0.999561
1341839847.037860 0.006448 -0.100959 0.103583 -0.014651 -0.009972 -0.026006 0.999505
1341839847.073971 0.013800 -0.089640 0.106497 -0.010379 -0.006248 -0.024461 0.999627
1341839847.105943 -0.013407 -0.089824 0.128784 -0.010964 -0.000154 -0.021809 0.999702
1341839847.137970 -0.007600 -0.112322 0.134100 -0.012572 -0.003150 -0.020690 0.999702
1341839847.173932 0.018308 -0.107578 0.132967 -0.010540 -0.005234 -0.019839 0.999734
1341839847.206020 0.000858 -0.119445 0.152042 -0.013113 0.001375 -0.020841 0.999696
1341839847.238111 -0.012523 -0.138919 0.157096 -0.014003 0.003833 -0.021086 0.999672
1341839847.273912 -0.017637 -0.124647 0.162620 -0.011003 0.003806 -0.020331 0.999726
1341839847.305944 -0.022478 -0.151548 0.173515 -0.016076 0.001819 -0.020248 0.999664
1341839847.341841 -0.004282 -0.185484 0.175217 -0.017282 -0.002496 -0.019277 0.999662
1341839847.373878 0.000145 -0.169914 0.174137 -0.012290 -0.000375 -0.019538 0.999734
1341839847.405870 -0.012717 -0.176684 0.191519 -0.013952 0.002700 -0.019035 0.999718
1341839847.441942 -0.011839 -0.194131 0.194339 -0.014422 0.001601 -0.018657 0.999721
1341839847.473884 -0.014521 -0.181219 0.200917 -0.011795 0.002320 -0.016479 0.999792
1341839847.505964 -0.036223 -0.203845 0.214253 -0.015548 0.003021 -0.014147 0.999774
1341839847.541985 -0.026473 -0.213678 0.220201 -0.014199 -0.002903 -0.013026 0.999810
1341839847.573837 0.000036 -0.215353 0.223912 -0.013620 -0.006541 -0.013279 0.999798
1341839847.609996 -0.002181 -0.232955 0.232314 -0.014803 -0.002364 -0.014331 0.999785
1341839847.642100 -0.009970 -0.235090 0.235815 -0.012578 0.001802 -0.014104 0.999820
