# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.001771 -0.005315 0.000814 -0.005289 0.000707 0.001093 0.999985
1341845948.979787 -0.000106 -0.009388 0.004966 -0.011405 0.001201 0.000275 0.999934
1341845949.011787 0.003390 -0.014689 0.010380 -0.017654 0.003643 -0.000595 0.999837
1341845949.047774 0.003557 -0.024563 0.015495 -0.022007 0.005254 0.002498 0.999741
1341845949.079745 0.004810 -0.032314 0.020167 -0.022576 0.004912 0.007020 0.999708
1341845949.115941 0.007561 -0.035569 0.021512 -0.023113 0.006393 0.008929 0.999673
1341845949.147691 0.008147 -0.041585 0.025393 -0.025639 0.009960 0.010404 0.999567
1341845949.179815 0.007454 -0.050627 0.030588 -0.028339 0.012941 0.013013 0.999430
1341845949.215795 0.009858 -0.057622 0.032262 -0.029875 0.014831 0.014086 0.999344
1341845949.247763 0.012985 -0.061104 0.035334 -0.032731 0.018341 0.014206 0.999195
1341845949.283892 0.017405 -0.068764 0.046731 -0.036335 0.022404 0.014484 0.998984
1341845949.315792 0.019332 -0.078843 0.055986 -0.037309 0.026451 0.015346 0.998836
1341845949.347811 0.019699 -0.086814 0.055350 -0.036402 0.029574 0.014393 0.998796
1341845949.383752 0.018461 -0.090708 0.056012 -0.036596 0.033563 0.011878 0.998696
1341845949.415733 0.013979 -0.094969 0.057083 -0.038131 0.036164 0.010323 0.998565
1341845949.451907 0.013451 -0.099634 0.061024 -0.040711 0.036307 0.009774 0.998463
1341845949.483823 0.016957 -0.101975 0.068124 -0.044524 0.036686 0.008083 0.998302
1341845949.515817 0.013377 -0.103154 0.073844 -0.050398 0.038256 0.005636 0.997980
1341845949.551896 0.017283 -0.111856 0.080193 -0.058516 0.034677 0.004296 0.997675
1341845949.583736 0.020939 -0.110823 0.085094 -0.061820 0.032821 0.001910 0.997546
1341845949.619753 0.022602 -0.114226 0.089602 -0.066867 0.032925 0.000556 0.997218
1341845949.651764 0.021832 -0.121438 0.096304 -0.069306 0.031068 0.000470 0.997111
1341845949.683707 0.022554 -0.120293 0.096834 -0.068461 0.027366 -0.000116 0.997278
1341845949.719890 0.022140 -0.118297 0.098112 -0.073054 0.027886 -0.004372 0.996929
1341845949.751778 0.021293 -0.122588 0.101693 -0.081410 0.028753 -0.003823 0.996259
1341845949.787857 0.018875 -0.126845 0.108100 -0.086826 0.026623 -0.001432 0.995867
1341845949.819784 0.017097 -0.125510 0.109741 -0.092401 0.024013 -0.003299 0.995427
1341845949.851908 0.016537 -0.127666 0.115131 -0.104040 0.024175 -0.005885 0.994262
1341845949.887758 0.014674 -0.133725 0.118061 -0.114439 0.022632 -0.004236 0.993163
1341845949.920013 0.015193 -0.138233 0.124436 -0.119446 0.017884 -0.003863 0.992672
1341845949.955673 0.016464 -0.140553 0.127227 -0.122752 0.015849 -0.004988 0.992298
1341845949.987737 0.013680 -0.148215 0.131773 -0.128253 0.015875 -0.006007 0.991596
1341845950.019789 0.010754 -0.153565 0.137185 -0.131312 0.013936 -0.007590 0.991214
1341845950.055847 0.009332 -0.157571 0.139442 -0.133798 0.012095 -0.009548 0.990889
1341845950.087728 0.007866 -0.159320 0.142609 -0.138306 0.012946 -0.012301 0.990229
1341845950.124078 0.006385 -0.166546 0.146999 -0.144278 0.013086 -0.013071 0.989364
1341845950.155757 0.005826 -0.170590 0.151315 -0.146893 0.012312 -0.014225 0.988973
1341845950.187677 0.008022 -0.171093 0.156250 -0.149314 0.013057 -0.016710 0.988562
1341845950.223782 0.004783 -0.178536 0.157657 -0.155657 0.016804 -0.020146 0.987463
1341845950.255885 0.003578 -0.185109 0.165492 -0.159400 0.016179 -0.020573 0.986867
1341845950.287784 0.004614 -0.185648 0.167119 -0.159953 0.015681 -0.020903 0.986779
1341845950.323864 0.003632 -0.178209 0.166924 -0.164601 0.018914 -0.024434 0.985876
1341845950.355780 0.002184 -0.185135 0.171304 -0.179588 0.020973 -0.026866 0.983151
1341845950.387911 0.001166 -0.195893 0.177420 -0.188621 0.019832 -0.029228 0.981415
1341845950.424265 0.006316 -0.202617 0.187087 -0.190205 0.019031 -0.030339 0.981091
1341845950.455762 0.002013 -0.212698 0.187873 -0.189062 0.020955 -0.032393 0.981207
1341845950.487870 0.000753 -0.216604 0.190946 -0.187098 0.020004 -0.034224 0.981541
1341845950.523880 0.000804 -0.218282 0.187874 -0.187573 0.019784 -0.034908 0.981431
1341845950.555793 0.001174 -0.215874 0.185344 -0.195014 0.021977 -0.037452 0.979839
1341845950.587742 -0.002924 -0.218413 0.184738 -0.208049 0.023209 -0.039346 0.977051
1341845950.623823 -0.001859 -0.233315 0.188523 -0.221107 0.022166 -0.038267 0.974246
1341845950.655770 -0.003413 -0.241462 0.192126 -0.229682 0.021654 -0.038478 0.972264
