# timestamp tx ty tz qx qy qz qw
1341845948.911866 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845948.947808 -0.001771 -0.005315 0.000814 -0.005289 0.000707 0.001093 0.999985
1341845948.979787 -0.000106 -0.009388 0.004966 -0.011405 0.001201 0.000275 0.999934
1341845949.011787 0.003390 -0.014689 0.010380 -0.017654 0.003643 -0.000595 0.999837
1341845949.047774 0.003557 -0.024563 0.015495 -0.022007 0.005254 0.002498 0.999741
1341845949.079745 0.004810 -0.032314 0.020167 -0.022576 0.004912 0.007020 0.999708
1341845949.115941 0.007561 -0.035569 0.021512 -0.023113 0.006393 0.008929 0.999673
1341845949.147691 0.008147 -0.041585 0.025393 -0.025639 0.009960 0.010404 0.999567
1341845949.179815 0.007454 -0.050627 0.030588 -0.028339 0.012941 0.013013 0.999430
1341845949.215795 0.009858 -0.057622 0.032262 -0.029875 0.014831 0.014086 0.999344
1341845949.247763 0.012985 -0.061104 0.035334 -0.032731 0.018341 0.014206 0.999195
1341845949.283892 0.017405 -0.068764 0.046731 -0.036335 0.022404 0.014484 0.998984
1341845949.315792 0.019332 -0.078843 0.055986 -0.037309 0.026451 0.015346 0.998836
1341845949.347811 0.019699 -0.086814 0.055350 -0.036402 0.029574 0.014393 0.998796
1341845949.383752 0.018461 -0.090708 0.056012 -0.036596 0.033563 0.011878 0.998696
1341845949.415733 0.013979 -0.094969 0.057083 -0.038131 0.036164 0.010323 0.998565
1341845949.451907 0.013451 -0.099634 0.061024 -0.040711 0.036307 0.009774 0.998463
1341845949.483823 0.016957 -0.101975 0.068124 -0.044524 0.036686 0.008083 0.998302
1341845949.515817 0.013377 -0.103154 0.073844 -0.050398 0.038256 0.005636 0.997980
1341845949.551896 0.017283 -0.111856 0.080193 -0.058516 0.034677 0.004296 0.997675
1341845949.583736 0.021108 -0.115314 0.086388 -0.062812 0.032184 0.002687 0.997503
1341845949.619753 0.020399 -0.115097 0.088861 -0.067331 0.032934 0.000624 0.997187
1341845949.651764 0.020660 -0.133440 0.088761 -0.072419 0.031333 0.000089 0.996882
1341845949.683707 0.020660 -0.133440 0.088761 -0.072419 0.031333 0.000089 0.996882
1341845949.719890 0.018868 -0.152634 0.081476 -0.079360 0.033612 -0.008615 0.996242
1341845949.751778 0.014747 -0.138951 0.091902 -0.085548 0.034070 -0.004791 0.995740
1341845949.787857 -0.000322 -0.122481 0.105305 -0.092579 0.032265 0.003224 0.995177
1341845949.819784 -0.000322 -0.122481 0.105305 -0.092579 0.032265 0.003224 0.995177
1341845949.851908 -0.003620 -0.044132 0.140896 -0.090745 0.029033 0.009796 0.995403
1341845949.887758 -0.041109 0.035579 0.200014 -0.089418 0.028913 0.020098 0.995372
1341845949.920013 -0.093760 0.049203 0.219641 -0.088574 0.034200 0.019337 0.995294
1341845949.955673 -0.083601 0.056805 0.216368 -0.089634 0.030695 0.018635 0.995327
1341845949.987737 -0.091027 0.043097 0.223894 -0.096015 0.031677 0.016891 0.994732
1341845950.019789 -0.094701 0.031399 0.231028 -0.100633 0.030093 0.015531 0.994347
1341845950.055847 -0.096384 0.024989 0.227956 -0.102964 0.028527 0.013088 0.994190
1341845950.087728 -0.106495 0.042322 0.245188 -0.101819 0.029085 0.010177 0.994326
1341845950.124078 -0.106495 0.042322 0.245188 -0.101819 0.029085 0.010177 0.994326
1341845950.155757 -0.115357 0.041832 0.249151 -0.102673 0.030137 0.007660 0.994229
1341845950.187677 -0.094466 0.045002 0.240165 -0.104924 0.028556 0.006264 0.994050
1341845950.223782 -0.107177 0.025123 0.254676 -0.114085 0.033374 0.003540 0.992904
1341845950.255885 -0.107177 0.025123 0.254676 -0.114085 0.033374 0.003540 0.992904
1341845950.287784 -0.107177 0.025123 0.254676 -0.114085 0.033374 0.003540 0.992904
1341845950.323864 -0.117328 0.008476 0.271916 -0.123771 0.038939 0.000855 0.991546
1341845950.355780 -0.117328 0.008476 0.271916 -0.123771 0.038939 0.000855 0.991546
1341845950.387911 -0.116076 0.002261 0.275986 -0.130387 0.037195 -0.000163 0.990765
1341845950.424265 -0.113241 -0.006575 0.280073 -0.132629 0.037166 -0.001521 0.990468
1341845950.455762 -0.113662 -0.014904 0.283712 -0.131231 0.038296 -0.002893 0.990608
1341845950.487870 -0.113490 -0.025480 0.286088 -0.131233 0.037115 -0.003943 0.990649
1341845950.523880 -0.113525 -0.027522 0.283237 -0.131855 0.036837 -0.004418 0.990574
1341845950.555793 -0.116225 -0.023692 0.283747 -0.138723 0.039976 -0.009530 0.989478
1341845950.587742 -0.117587 -0.022436 0.282805 -0.150667 0.040293 -0.011309 0.987698
1341845950.623823 -0.116029 -0.035049 0.283978 -0.163274 0.038867 -0.009729 0.985767
1341845950.655770 -0.117204 -0.046959 0.285742 -0.173275 0.038170 -0.009974 0.984083
