# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.004170 0.002936 0.004496 -0.000680 0.000490 -0.000558 0.999999
1341845820.955790 -0.001748 0.003399 0.002905 -0.002050 -0.001214 -0.000421 0.999997
1341845820.987817 0.003086 0.000372 -0.001637 -0.002863 -0.001956 -0.001190 0.999993
1341845821.019783 0.000237 -0.001965 -0.003177 -0.003243 -0.001649 -0.001292 0.999993
1341845821.055706 -0.002641 -0.002164 -0.001138 -0.002856 -0.001974 -0.000053 0.999994
1341845821.087831 0.000618 -0.002514 -0.003633 -0.001422 -0.003680 0.002926 0.999988
1341845821.119871 0.005661 -0.003493 -0.001287 0.000181 -0.003286 0.004715 0.999983
1341845821.155881 0.005286 0.002159 -0.003231 0.000898 -0.000367 0.005726 0.999983
1341845821.188556 0.001150 -0.000235 0.002565 0.000530 0.002000 0.007706 0.999968
1341845821.223751 0.003958 -0.002427 0.005693 0.003473 0.001805 0.010442 0.999938
1341845821.256005 0.008275 0.002942 0.001478 0.004504 0.002927 0.010264 0.999933
1341845821.287883 0.006889 0.002562 0.002282 0.002851 0.005698 0.008853 0.999941
1341845821.323879 0.006592 -0.003016 0.000251 0.002490 0.008175 0.006991 0.999939
1341845821.355690 0.008693 0.000179 0.002142 0.003812 0.009915 0.007327 0.999917
1341845821.388161 0.005808 -0.003479 0.000288 0.003322 0.010977 0.008615 0.999897
1341845821.424470 0.013672 -0.007082 0.000828 0.004734 0.011468 0.010096 0.999872
1341845821.455778 0.012081 0.002137 0.004243 0.006126 0.014028 0.008986 0.999842
1341845821.488014 0.007926 -0.006548 0.001672 0.004901 0.015513 0.008787 0.999829
1341845821.524370 0.011737 -0.006299 0.003474 0.006869 0.015659 0.009615 0.999808
1341845821.555644 0.008725 -0.005338 -0.000154 0.008446 0.017466 0.008704 0.999774
1341845821.587677 0.006001 -0.000501 0.000922 0.008956 0.017514 0.007704 0.999777
1341845821.623761 0.008613 -0.005501 -0.000427 0.007686 0.016334 0.007933 0.999806
1341845821.655725 0.006848 -0.001932 -0.001855 0.008214 0.016695 0.006760 0.999804
1341845821.691884 0.006773 -0.005161 -0.002507 0.006480 0.016586 0.005602 0.999826
1341845821.724228 0.006735 -0.001647 -0.001649 0.007479 0.015635 0.005532 0.999834
1341845821.755681 0.004309 -0.004316 -0.003538 0.007874 0.014881 0.006645 0.999836
