# timestamp tx ty tz qx qy qz qw
1341845820.887882 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341845820.920082 -0.001851 0.003673 -0.001374 -0.000423 0.000001 -0.000698 1.000000
1341845820.955790 -0.001873 0.002394 -0.001706 -0.001889 -0.000966 -0.000845 0.999997
1341845820.987817 -0.000896 0.001082 -0.001690 -0.002791 -0.001296 -0.001021 0.999995
1341845821.019783 -0.002004 0.000135 -0.001419 -0.002942 -0.001380 -0.001234 0.999994
1341845821.055706 -0.003583 0.000041 -0.001637 -0.002304 -0.001678 0.000081 0.999996
1341845821.087831 -0.002471 -0.001938 -0.001168 -0.001519 -0.003366 0.002713 0.999990
1341845821.119871 0.005442 -0.000675 -0.001000 0.000625 -0.003299 0.004918 0.999982
1341845821.155881 0.003974 0.002340 -0.001650 0.000846 -0.000124 0.005778 0.999983
1341845821.188556 0.001465 -0.001479 0.000535 0.000379 0.001978 0.007845 0.999967
1341845821.223751 0.002907 -0.004937 0.000732 0.003152 0.002184 0.010054 0.999942
1341845821.256005 0.006515 0.002518 -0.004136 0.004661 0.003240 0.009567 0.999938
1341845821.287883 0.007348 -0.000051 -0.001964 0.002605 0.005725 0.008222 0.999946
1341845821.323879 0.010091 -0.003774 -0.001585 0.002503 0.007583 0.006908 0.999944
1341845821.355690 0.007284 -0.000927 -0.001074 0.003605 0.010221 0.007085 0.999916
1341845821.388161 0.006489 -0.003070 -0.000796 0.003400 0.010817 0.008729 0.999898
1341845821.424470 0.012759 -0.005935 -0.000845 0.004858 0.011434 0.009441 0.999878
1341845821.455778 0.009329 -0.001582 -0.000936 0.005584 0.014406 0.008364 0.999846
1341845821.488014 0.006433 -0.005355 0.000936 0.005022 0.015680 0.008523 0.999828
1341845821.524370 0.009500 -0.007949 0.001013 0.006592 0.016005 0.009334 0.999807
1341845821.555644 0.006936 -0.005952 0.000578 0.008390 0.017660 0.008839 0.999770
1341845821.587677 0.002989 -0.002862 -0.001443 0.008652 0.017867 0.007912 0.999772
1341845821.623761 0.004659 -0.004883 -0.001398 0.007913 0.016888 0.007233 0.999800
1341845821.655725 0.005711 -0.003548 -0.002827 0.007936 0.016763 0.006166 0.999809
1341845821.691884 0.004013 -0.003034 -0.003338 0.006924 0.016952 0.005203 0.999819
1341845821.724228 0.002249 -0.006918 -0.002165 0.006470 0.016273 0.005462 0.999832
1341845821.755681 0.001623 -0.006386 -0.002056 0.007442 0.015195 0.006431 0.999836
1341845821.791636 0.003835 -0.007899 -0.001018 0.008252 0.014356 0.006777 0.999840
1341845821.823697 0.004479 -0.005018 -0.002708 0.009164 0.014929 0.005355 0.999832
1341845821.855574 0.002225 -0.005909 -0.002441 0.008098 0.015977 0.003731 0.999833
1341845821.891741 0.000820 -0.010157 -0.001648 0.008232 0.015835 0.003640 0.999834
1341845821.923730 0.003100 -0.009424 -0.002265 0.009870 0.015604 0.004397 0.999820
1341845821.955750 0.001547 -0.007160 -0.003689 0.010787 0.016139 0.004274 0.999802
1341845821.991786 0.002047 -0.006238 -0.003407 0.010287 0.016450 0.003517 0.999806
1341845822.023863 -0.001604 -0.009281 -0.002047 0.009924 0.017364 0.003202 0.999795
1341845822.059759 -0.003576 -0.006442 -0.002486 0.010171 0.017494 0.003247 0.999790
1341845822.091719 -0.002587 -0.012414 -0.001122 0.009486 0.017562 0.003358 0.999795
1341845822.123689 -0.002874 -0.012384 -0.001828 0.011346 0.018483 0.002990 0.999760
1341845822.185916 -0.013677 -0.012867 -0.002118 0.010416 0.019409 0.003526 0.999751
1341845822.221838 -0.014136 -0.012614 -0.002380 0.012195 0.017643 0.004517 0.999760
1341845822.254004 -0.016737 -0.007673 -0.002899 0.012163 0.017125 0.004134 0.999771
1341845822.289876 -0.020284 -0.013405 -0.000388 0.010755 0.016665 0.003090 0.999799
1341845822.321804 -0.021559 -0.013817 0.000659 0.011738 0.016191 0.002042 0.999798
1341845822.353784 -0.024589 -0.013772 0.000883 0.012418 0.016408 0.001674 0.999787
1341845822.391662 -0.028345 -0.015075 0.001486 0.013176 0.017069 0.001632 0.999766
1341845822.428074 -0.035776 -0.013621 -0.001064 0.013792 0.017382 0.001396 0.999753
1341845822.459970 -0.038967 -0.013116 0.000005 0.013212 0.016830 0.001447 0.999770
1341845822.495728 -0.042901 -0.015661 0.001956 0.013027 0.016517 0.001608 0.999777
1341845822.527724 -0.048840 -0.013871 0.000087 0.013294 0.016239 0.001482 0.999779
1341845822.559648 -0.053027 -0.012995 0.000647 0.012277 0.015455 0.002267 0.999803
1341845822.595852 -0.053364 -0.015074 0.003535 0.011920 0.015102 0.002636 0.999811
1341845822.627724 -0.061564 -0.012004 0.001185 0.011489 0.016082 0.002296 0.999802
1341845822.663716 -0.072400 -0.020545 0.005932 0.010606 0.015678 0.005574 0.999805
1341845822.695601 -0.070366 -0.023285 0.004510 0.014632 0.012433 0.009274 0.999773
1341845822.731816 -0.072045 -0.018323 0.003546 0.017300 0.012086 0.010095 0.999726
1341845822.789911 -0.078655 -0.018394 0.003344 0.018217 0.013000 0.009869 0.999701
1341845822.825897 -0.086081 -0.019274 0.004273 0.017256 0.014617 0.009785 0.999696
1341845822.859721 -0.094258 -0.025663 0.006255 0.017634 0.014496 0.011699 0.999671
1341845822.889712 -0.097602 -0.026077 0.005165 0.019916 0.012922 0.013293 0.999630
1341845822.925900 -0.097122 -0.024421 0.004647 0.020978 0.011643 0.012802 0.999630
1341845822.957708 -0.097922 -0.025824 0.005354 0.021088 0.012158 0.011215 0.999641
