# timestamp tx ty tz qx qy qz qw
1341836537.823375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341836537.855421 0.001510 0.038165 -0.006439 0.008061 0.000107 -0.005736 0.999951
1341836537.887593 0.001510 0.038165 -0.006439 0.008061 0.000107 -0.005736 0.999951
1341836537.923463 0.001510 0.038165 -0.006439 0.008061 0.000107 -0.005736 0.999951
1341836537.955620 -0.032099 0.048634 -0.023273 0.012028 0.008370 -0.005836 0.999876
1341836537.987525 -0.020770 0.036516 -0.018143 0.008400 0.008710 -0.003342 0.999921
1341836538.023300 -0.020770 0.036516 -0.018143 0.008400 0.008710 -0.003342 0.999921
1341836538.055509 -0.039549 0.038001 -0.019376 0.008856 0.013767 -0.004493 0.999856
1341836538.087628 -0.065216 0.064689 -0.034607 0.017245 0.015962 -0.011891 0.999653
1341836538.123334 -0.026684 0.058936 -0.023924 0.015131 0.007655 -0.010621 0.999800
1341836538.155344 -0.026684 0.058936 -0.023924 0.015131 0.007655 -0.010621 0.999800
1341836538.191519 -0.043255 0.051230 -0.028000 0.013836 0.009879 -0.009252 0.999813
1341836538.223356 -0.038167 0.049581 -0.023131 0.012398 0.008633 -0.006238 0.999866
1341836538.255568 -0.015196 0.014684 -0.013182 0.005531 0.004773 -0.004033 0.999965
1341836538.291700 -0.015196 0.014684 -0.013182 0.005531 0.004773 -0.004033 0.999965
1341836538.323323 -0.017610 0.016915 -0.012430 0.005941 0.004717 -0.002625 0.999968
1341836538.355402 -0.013235 0.016247 -0.010219 0.006961 0.004596 0.001568 0.999964
1341836538.391298 -0.033737 0.013030 -0.018791 0.007069 0.008629 0.001761 0.999936
1341836538.423501 -0.038891 0.024574 -0.021602 0.008493 0.010556 0.003857 0.999901
1341836538.456232 -0.038891 0.024574 -0.021602 0.008493 0.010556 0.003857 0.999901
1341836538.491425 -0.107318 0.042140 -0.059668 0.014779 0.023820 -0.001518 0.999606
1341836538.523417 -0.103051 0.039935 -0.060825 0.014247 0.023156 -0.001057 0.999630
1341836538.556411 -0.096710 0.057516 -0.043690 0.017498 0.020856 -0.001156 0.999629
1341836538.591453 -0.128311 0.035424 -0.062477 0.013584 0.025381 -0.000660 0.999585
1341836538.623386 -0.102416 0.032393 -0.050502 0.012566 0.020985 0.001901 0.999699
1341836538.659232 -0.131459 0.034900 -0.062473 0.013263 0.027235 0.002755 0.999537
1341836538.691411 -0.143247 0.039969 -0.061997 0.014045 0.029406 0.004271 0.999460
1341836538.723365 -0.211354 0.042287 -0.074284 0.014423 0.045216 0.005346 0.998859
1341836538.759383 -0.211354 0.042287 -0.074284 0.014423 0.045216 0.005346 0.998859
1341836538.791663 -0.237990 0.039951 -0.076189 0.014332 0.049055 0.005610 0.998677
1341836538.824233 -0.217081 0.049191 -0.071512 0.016248 0.044102 0.007974 0.998863
1341836538.859625 -0.200646 0.030049 -0.070532 0.009988 0.041587 0.012123 0.999011
1341836538.891338 -0.285855 -0.058277 -0.071649 -0.009050 0.059966 0.016847 0.998017
1341836538.924362 -0.285855 -0.058277 -0.071649 -0.009050 0.059966 0.016847 0.998017
1341836538.959281 -0.272675 -0.056850 -0.066332 -0.008513 0.058881 0.012025 0.998156
1341836538.992295 -0.283060 -0.052965 -0.070199 -0.006709 0.066137 0.018595 0.997615
1341836539.028701 -0.283060 -0.052965 -0.070199 -0.006709 0.066137 0.018595 0.997615
1341836539.059493 -0.283060 -0.052965 -0.070199 -0.006709 0.066137 0.018595 0.997615
1341836539.092314 -0.619609 -0.057202 -0.082406 -0.002126 0.134123 -0.000125 0.990962
1341836539.127236 -0.619609 -0.057202 -0.082406 -0.002126 0.134123 -0.000125 0.990962
1341836539.159608 -0.619609 -0.057202 -0.082406 -0.002126 0.134123 -0.000125 0.990962
1341836539.195388 -0.619609 -0.057202 -0.082406 -0.002126 0.134123 -0.000125 0.990962
1341836539.227456 -0.604236 -0.043683 -0.081129 -0.000774 0.132871 -0.000664 0.991133
1341836539.260399 -0.604236 -0.043683 -0.081129 -0.000774 0.132871 -0.000664 0.991133
1341836539.295519 -0.604236 -0.043683 -0.081129 -0.000774 0.132871 -0.000664 0.991133
1341836539.327434 -0.599285 -0.055142 -0.081578 -0.003730 0.131490 -0.000009 0.991310
1341836539.363371 -0.611119 -0.053881 -0.075883 -0.004066 0.134311 -0.002480 0.990928
1341836539.395523 -0.637001 -0.045559 -0.069580 -0.003266 0.138175 -0.001640 0.990401
1341836539.427397 -0.641276 -0.043153 -0.061198 -0.003274 0.138234 -0.001927 0.990392
1341836539.463424 -0.604785 -0.063249 -0.065470 -0.008919 0.131752 -0.000975 0.991242
1341836539.495503 -0.635738 -0.065027 -0.062748 -0.009132 0.138547 -0.001929 0.990312
1341836539.531399 -0.629998 -0.073902 -0.065016 -0.010966 0.135089 -0.000837 0.990772
1341836539.563358 -0.718368 -0.061355 -0.065948 -0.007707 0.152798 -0.003193 0.988222
1341836539.628437 -0.721846 -0.055628 -0.058911 -0.004355 0.154102 -0.003791 0.988038
1341836539.692462 -0.752179 -0.055994 -0.057432 -0.003198 0.159010 -0.005700 0.987255
1341836539.728498 -0.731258 -0.070507 -0.054040 -0.007057 0.156916 -0.004244 0.987578
1341836539.760370 -0.750187 -0.071623 -0.059266 -0.007534 0.160536 -0.007408 0.986973
1341836539.796542 -0.806380 -0.037922 -0.065022 0.000956 0.170979 -0.012077 0.985200
1341836539.828612 -0.806380 -0.037922 -0.065022 0.000956 0.170979 -0.012077 0.985200
1341836539.860428 -0.770639 -0.046247 -0.062537 -0.000805 0.165523 -0.012375 0.986128
1341836539.896538 -0.769115 -0.057815 -0.062419 -0.003203 0.165365 -0.010694 0.986169
1341836539.928277 -0.778171 -0.072523 -0.048383 -0.006567 0.168279 -0.008934 0.985677
1341836539.967421 -0.779603 -0.069477 -0.068176 -0.002611 0.166644 -0.004310 0.986004
1341836540.028550 -0.797834 -0.069653 -0.044785 -0.004915 0.170669 -0.007496 0.985288
1341836540.064319 -0.799642 -0.063712 -0.037555 -0.005046 0.170840 -0.006008 0.985268
1341836540.096659 -0.799642 -0.063712 -0.037555 -0.005046 0.170840 -0.006008 0.985268
1341836540.128316 -0.804033 -0.062074 -0.036920 -0.006145 0.169915 -0.005328 0.985425
1341836540.164722 -0.815401 -0.061928 -0.037793 -0.007457 0.170838 -0.005405 0.985256
1341836540.196409 -0.812140 -0.065870 -0.032612 -0.008589 0.171726 -0.003189 0.985102
1341836540.232442 -0.834084 -0.049276 -0.016991 -0.005537 0.177085 -0.000064 0.984180
1341836540.264342 -0.858255 -0.040344 -0.004765 -0.004642 0.182085 0.001294 0.983271
1341836540.296462 -0.884569 -0.075830 -0.003908 -0.010854 0.186375 0.000995 0.982418
1341836540.332431 -0.884569 -0.075830 -0.003908 -0.010854 0.186375 0.000995 0.982418
1341836540.364486 -0.884569 -0.075830 -0.003908 -0.010854 0.186375 0.000995 0.982418
1341836540.396559 -0.885216 -0.075837 0.004372 -0.011215 0.185675 0.001197 0.982546
1341836540.432557 -0.885216 -0.075837 0.004372 -0.011215 0.185675 0.001197 0.982546
1341836540.464302 -0.970636 -0.078647 0.034554 -0.012192 0.200142 -0.001999 0.979689
1341836540.500473 -0.987977 -0.083971 0.036629 -0.014906 0.200314 -0.004129 0.979610
1341836540.532753 -1038503032262.834351 -2741062580288.206055 374645095049.712036 -0.157152 0.850072 0.491035 0.107546
1341836540.564528 -1038503032262.815186 -2741062580288.220703 374645095049.681396 -0.159713 0.844998 0.499510 0.104690
