# timestamp tx ty tz qx qy qz qw
1341836537.823375 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341836537.855421 0.000967 0.000840 -0.000655 -0.000692 0.000258 -0.002534 0.999997
1341836537.887593 0.004426 -0.005328 -0.002641 -0.001745 0.001421 -0.005368 0.999983
1341836537.923463 0.001364 -0.004935 -0.005059 0.000246 0.004629 -0.004448 0.999979
1341836537.955620 -0.006972 -0.002020 -0.006837 0.001692 0.008601 -0.000548 0.999961
1341836537.987525 -0.006435 -0.001119 -0.007796 0.001653 0.010264 -0.000556 0.999946
1341836538.023300 -0.006142 0.000180 -0.008565 0.001970 0.013456 -0.003032 0.999903
1341836538.055509 -0.012053 -0.001213 -0.010963 0.001913 0.016252 -0.003946 0.999858
1341836538.087628 -0.009136 0.001925 -0.011725 0.003161 0.013113 -0.004690 0.999898
1341836538.123334 -0.015348 0.001290 -0.012333 0.002514 0.013595 -0.007732 0.999875
1341836538.155344 -0.018499 -0.000525 -0.014069 0.002658 0.015370 -0.009685 0.999831
1341836538.191519 -0.022732 0.000607 -0.015628 0.003633 0.015403 -0.007700 0.999845
1341836538.223356 -0.025956 0.002212 -0.016430 0.003671 0.015357 -0.006285 0.999856
1341836538.255568 -0.025225 -0.001479 -0.016955 0.003947 0.015706 -0.006363 0.999849
1341836538.291700 -0.030221 0.001024 -0.018140 0.005105 0.016679 -0.005258 0.999834
1341836538.323323 -0.035086 0.002098 -0.019331 0.005342 0.017089 -0.003480 0.999834
1341836538.355402 -0.043049 0.002297 -0.021324 0.006816 0.018915 -0.001695 0.999796
1341836538.391298 -0.052288 0.006960 -0.022773 0.008292 0.020823 0.000006 0.999749
1341836538.423501 -0.056446 0.008991 -0.023786 0.007693 0.022393 0.001785 0.999718
1341836538.456232 -0.058285 0.010909 -0.024114 0.007430 0.022518 0.004262 0.999710
1341836538.491425 -0.062676 0.012157 -0.024485 0.007139 0.022689 0.005602 0.999701
1341836538.523417 -0.064689 0.011152 -0.025111 0.006768 0.023376 0.005805 0.999687
1341836538.556411 -0.069004 0.012332 -0.025386 0.006876 0.023634 0.006297 0.999677
1341836538.591453 -0.080708 0.010432 -0.026579 0.006886 0.023860 0.006310 0.999672
1341836538.623386 -0.085127 0.009769 -0.026960 0.007421 0.025396 0.006563 0.999628
1341836538.659232 -0.093634 0.012832 -0.027307 0.007648 0.027714 0.009353 0.999543
1341836538.691411 -0.096096 0.014681 -0.027054 0.007630 0.027794 0.011752 0.999515
1341836538.723365 -0.096822 0.013684 -0.026632 0.006717 0.029368 0.015528 0.999425
