# timestamp tx ty tz qx qy qz qw
1341839113.793718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839113.861553 -0.002558 0.003725 -0.000420 0.001045 -0.001328 -0.002368 0.999996
1341839113.894400 -0.002263 0.004083 -0.000069 -0.000060 -0.000500 -0.001496 0.999999
1341839113.925550 -0.004124 0.001700 0.000185 -0.001123 -0.000243 0.000502 0.999999
1341839113.961614 -0.004105 0.006739 -0.000520 -0.000378 -0.001073 0.000220 0.999999
1341839113.993616 -0.004253 0.002692 0.001052 -0.002011 -0.001409 -0.001758 0.999995
1341839114.025642 -0.006403 0.002924 0.000974 -0.001488 -0.002007 -0.002277 0.999994
1341839114.061534 -0.006003 0.005922 0.000223 -0.002008 -0.002268 -0.002611 0.999992
1341839114.093617 -0.007440 0.005695 -0.000008 -0.005139 -0.001642 -0.001726 0.999984
1341839114.129556 -0.006730 0.003197 0.003982 -0.006895 -0.003021 -0.001570 0.999970
1341839114.161678 -0.006132 0.005600 0.002017 -0.005663 -0.004016 -0.004253 0.999967
1341839114.229673 -0.011068 0.004326 0.004375 -0.008420 -0.004671 -0.006066 0.999935
1341839114.261690 -0.011406 0.010305 0.002425 -0.006276 -0.003656 -0.005519 0.999958
1341839114.293564 -0.012223 0.006444 0.000398 -0.008979 -0.002865 -0.004642 0.999945
1341839114.329671 -0.015633 0.003940 0.001725 -0.010456 -0.004093 -0.004621 0.999926
1341839114.361622 -0.017339 0.009308 0.002163 -0.008618 -0.005212 -0.006243 0.999930
1341839114.397666 -0.020389 0.011654 -0.000827 -0.008327 -0.004492 -0.006794 0.999932
1341839114.429583 -0.023031 0.010412 -0.001093 -0.010599 -0.004012 -0.005673 0.999920
1341839114.461610 -0.025922 0.012359 -0.000156 -0.011498 -0.003578 -0.002950 0.999923
1341839114.497561 -0.025201 0.015238 -0.000515 -0.011597 -0.003678 -0.002708 0.999922
1341839114.529492 -0.027515 0.014646 0.000080 -0.011908 -0.003463 -0.003700 0.999916
1341839114.565482 -0.030396 0.016798 -0.000622 -0.011816 -0.003605 -0.004081 0.999915
1341839114.597648 -0.028416 0.017536 -0.001047 -0.013463 -0.003635 -0.003911 0.999895
1341839114.629596 -0.031093 0.019178 -0.001204 -0.013903 -0.001949 -0.003670 0.999895
1341839114.665607 -0.031893 0.020049 -0.002855 -0.014550 -0.001613 -0.003828 0.999886
1341839114.697721 -0.033923 0.021154 -0.002915 -0.014573 -0.001334 -0.006369 0.999873
1341839114.730054 -0.037331 0.020451 -0.005398 -0.014241 0.000582 -0.006710 0.999876
1341839114.765560 -0.040768 0.022224 -0.009551 -0.015121 0.001775 -0.005534 0.999869
1341839114.797510 -0.042349 0.021131 -0.008394 -0.016096 0.002852 -0.004984 0.999854
1341839114.833570 -0.047341 0.023483 -0.013835 -0.014701 0.004638 -0.004224 0.999872
1341839114.865530 -0.052434 0.023754 -0.018010 -0.015838 0.005304 -0.004277 0.999851
1341839114.897742 -0.054086 0.024789 -0.018555 -0.016099 0.006074 -0.004120 0.999843
1341839114.933721 -0.060729 0.023995 -0.022105 -0.015554 0.007884 -0.003488 0.999842
1341839114.965565 -0.068485 0.028638 -0.028364 -0.014719 0.009074 -0.001934 0.999849
1341839114.997678 -0.069466 0.033098 -0.032236 -0.015022 0.008456 -0.001875 0.999850
1341839115.033675 -0.073664 0.035628 -0.033428 -0.014857 0.011562 -0.001890 0.999821
1341839115.065634 -0.083128 0.034282 -0.039754 -0.015371 0.015420 0.002791 0.999759
1341839115.101577 -0.086278 0.036610 -0.043158 -0.015805 0.014563 0.004782 0.999758
1341839115.133455 -0.087937 0.041791 -0.044981 -0.014867 0.014426 0.002180 0.999783
1341839115.165699 -0.095797 0.040018 -0.048788 -0.014439 0.016916 0.001607 0.999751
1341839115.201542 -0.104176 0.043976 -0.058097 -0.014556 0.017820 0.004281 0.999726
1341839115.233600 -0.103794 0.046675 -0.060272 -0.017733 0.016480 0.004616 0.999696
1341839115.265499 -0.108456 0.048183 -0.060677 -0.017700 0.017530 0.003934 0.999682
1341839115.301699 -0.116295 0.050600 -0.068786 -0.018119 0.018092 0.003569 0.999666
1341839115.333616 -0.119955 0.053327 -0.073051 -0.021240 0.016721 0.002282 0.999632
1341839115.369483 -0.121958 0.054600 -0.070908 -0.022315 0.017081 0.000868 0.999605
1341839115.401613 -0.130606 0.057326 -0.075694 -0.021343 0.019403 0.001748 0.999582
1341839115.469819 -0.135710 0.058666 -0.078643 -0.026156 0.019798 0.002241 0.999459
1341839115.533671 -0.149860 0.063837 -0.087454 -0.025658 0.023209 0.006494 0.999380
1341839115.569633 -0.149618 0.060467 -0.085024 -0.028811 0.022342 0.004854 0.999323
1341839115.601623 -0.155233 0.065087 -0.085167 -0.026223 0.024169 0.003438 0.999358
1341839115.637954 -0.167095 0.065305 -0.088621 -0.024708 0.027694 0.005929 0.999293
1341839115.669467 -0.169922 0.065936 -0.090781 -0.026859 0.028176 0.008417 0.999207
1341839115.701635 -0.171620 0.063072 -0.086978 -0.028946 0.028839 0.008471 0.999129
1341839115.737552 -0.178361 0.069184 -0.087700 -0.024309 0.030645 0.008667 0.999197
1341839115.769579 -0.185880 0.068985 -0.091369 -0.023651 0.031618 0.008163 0.999187
1341839115.805533 -0.190806 0.064225 -0.085797 -0.027274 0.032677 0.007853 0.999063
1341839115.837641 -0.198130 0.067941 -0.083558 -0.024954 0.035041 0.010013 0.999024
1341839115.869594 -0.202141 0.066495 -0.084813 -0.025229 0.036039 0.012277 0.998956
1341839115.905464 -0.211236 0.067235 -0.084100 -0.027472 0.038078 0.014046 0.998798
1341839115.937926 -0.218603 0.067743 -0.081206 -0.026362 0.040842 0.015935 0.998691
1341839115.976772 -0.229211 0.074177 -0.086176 -0.022758 0.044680 0.018817 0.998565
1341839116.037844 -0.245667 0.066607 -0.087791 -0.027795 0.049167 0.024760 0.998097
1341839116.073614 -0.253128 0.069823 -0.087027 -0.024632 0.050818 0.025301 0.998083
1341839116.105551 -0.263682 0.072367 -0.091081 -0.022245 0.053341 0.025308 0.998008
1341839116.137629 -0.272839 0.069675 -0.092191 -0.023936 0.054947 0.026791 0.997843
1341839116.173741 -0.276902 0.067846 -0.089915 -0.023851 0.055729 0.027568 0.997780
1341839116.205705 -0.287305 0.069417 -0.090229 -0.021510 0.059156 0.027282 0.997644
1341839116.237744 -0.299341 0.068225 -0.094112 -0.021880 0.062419 0.029258 0.997381
1341839116.273644 -0.305204 0.069556 -0.094569 -0.022107 0.063591 0.031578 0.997231
1341839116.305590 -0.309546 0.072188 -0.095961 -0.022382 0.065928 0.032045 0.997058
1341839116.341693 -0.322357 0.069015 -0.094648 -0.023091 0.070657 0.033832 0.996659
1341839116.374159 -0.336828 0.070459 -0.098379 -0.022436 0.073805 0.038385 0.996281
1341839116.405626 -0.340087 0.072248 -0.098104 -0.022475 0.074169 0.041010 0.996149
1341839116.441448 -0.347436 0.070286 -0.097174 -0.022287 0.076160 0.043245 0.995908
1341839116.473792 -0.357027 0.071246 -0.100358 -0.021252 0.076858 0.045066 0.995796
1341839116.505559 -0.362361 0.074152 -0.100503 -0.020219 0.076906 0.044679 0.995831
1341839116.541530 -0.374142 0.076632 -0.104439 -0.020392 0.079608 0.046488 0.995533
1341839116.573449 -0.379047 0.076090 -0.104267 -0.022094 0.079316 0.047705 0.995462
1341839116.609629 -0.382978 0.076919 -0.103852 -0.021695 0.079107 0.045308 0.995600
1341839116.642092 -0.386831 0.075575 -0.105400 -0.021013 0.079958 0.042626 0.995665
1341839116.673494 -0.398183 0.074043 -0.110817 -0.022301 0.081393 0.043678 0.995475
1341839116.709491 -0.395526 0.074171 -0.110368 -0.023962 0.079364 0.042044 0.995670
1341839116.741798 -0.400330 0.076513 -0.108576 -0.023092 0.080918 0.038153 0.995723
1341839116.777780 -0.409532 0.070845 -0.111021 -0.023602 0.082378 0.036206 0.995664
1341839116.809493 -0.414965 0.072728 -0.113787 -0.024553 0.081313 0.035789 0.995743
1341839116.841577 -0.414495 0.068175 -0.110944 -0.026475 0.081113 0.033558 0.995788
1341839116.877541 -0.419596 0.069484 -0.109732 -0.023656 0.082687 0.032155 0.995776
1341839116.909607 -0.433692 0.072883 -0.116879 -0.022200 0.085236 0.032528 0.995582
1341839116.941574 -0.434763 0.066165 -0.117880 -0.026795 0.085264 0.032761 0.995459
1341839116.977669 -0.438030 0.066176 -0.115890 -0.027459 0.086018 0.032193 0.995395
1341839117.009692 -0.447423 0.074711 -0.119555 -0.023495 0.087067 0.029808 0.995479
1341839117.045446 -0.452875 0.069812 -0.120900 -0.025568 0.087706 0.028283 0.995417
1341839117.077581 -0.454840 0.075620 -0.121081 -0.026338 0.088618 0.026755 0.995358
1341839117.109633 -0.466971 0.076560 -0.123647 -0.026999 0.091952 0.028842 0.994979
1341839117.145451 -0.473548 0.078811 -0.126953 -0.026349 0.093995 0.027805 0.994835
1341839117.177591 -0.488068 0.077791 -0.129944 -0.027112 0.097020 0.027916 0.994521
1341839117.209585 -0.495096 0.076073 -0.128855 -0.027137 0.097412 0.028586 0.994463
1341839117.245753 -0.502644 0.081138 -0.132124 -0.024473 0.099779 0.028676 0.994295
1341839117.278976 -0.516286 0.080526 -0.137145 -0.024692 0.103196 0.030674 0.993881
1341839117.313580 -0.529563 0.077709 -0.139001 -0.025182 0.104833 0.033799 0.993596
1341839117.345623 -0.538824 0.081742 -0.143105 -0.024195 0.106186 0.035496 0.993418
1341839117.377641 -0.550742 0.076775 -0.147418 -0.027150 0.107633 0.036661 0.993143
1341839117.413568 -0.562862 0.085750 -0.151969 -0.026798 0.108263 0.034865 0.993149
1341839117.445717 -0.576309 0.089522 -0.155011 -0.027077 0.109930 0.035847 0.992924
1341839117.477601 -0.586282 0.091877 -0.161395 -0.031001 0.111205 0.037251 0.992615
1341839117.513635 -0.596007 0.091923 -0.160165 -0.032106 0.112897 0.039957 0.992284
1341839117.545603 -0.610216 0.097898 -0.166233 -0.031077 0.114276 0.041454 0.992097
1341839117.581707 -0.620239 0.098537 -0.170465 -0.032888 0.114380 0.041611 0.992020
1341839117.613653 -0.630126 0.100222 -0.173145 -0.033046 0.115028 0.042419 0.991906
1341839117.645887 -0.644262 0.104329 -0.176154 -0.032432 0.116725 0.043829 0.991667
1341839117.681569 -0.653809 0.103690 -0.181993 -0.034138 0.116679 0.044879 0.991568
1341839117.713639 -0.658109 0.102456 -0.183665 -0.035493 0.115247 0.043237 0.991760
1341839117.745712 -0.670858 0.104258 -0.183999 -0.034046 0.116529 0.041839 0.991721
1341839117.781725 -0.684551 0.104561 -0.186470 -0.033677 0.118329 0.042555 0.991490
1341839117.813499 -0.689781 0.097050 -0.190293 -0.037743 0.118366 0.045672 0.991201
1341839117.849617 -0.702014 0.104899 -0.192400 -0.038169 0.118597 0.046448 0.991121
1341839117.881610 -0.711906 0.110397 -0.193940 -0.035501 0.118110 0.044108 0.991385
1341839117.913581 -0.725496 0.115679 -0.202127 -0.035315 0.117719 0.041952 0.991532
1341839117.949521 -0.734017 0.113680 -0.202083 -0.038908 0.117212 0.041255 0.991487
1341839117.981586 -0.741528 0.119010 -0.201620 -0.038582 0.117195 0.042255 0.991459
1341839118.017504 -0.744613 0.118700 -0.204751 -0.040789 0.116239 0.041153 0.991530
1341839118.049478 -0.751134 0.116733 -0.201409 -0.042110 0.117163 0.039104 0.991449
1341839118.081566 -0.765928 0.118609 -0.202911 -0.041073 0.118915 0.039339 0.991274
1341839118.117532 -0.772601 0.116334 -0.203847 -0.042770 0.118888 0.040294 0.991167
1341839118.149476 -0.774641 0.113662 -0.200303 -0.043196 0.118603 0.040836 0.991161
1341839118.182394 -0.781875 0.116438 -0.199195 -0.040890 0.118825 0.039433 0.991289
1341839118.217697 -0.789440 0.116232 -0.201386 -0.041246 0.119631 0.038354 0.991220
1341839118.249595 -0.792824 0.109281 -0.196483 -0.042815 0.120547 0.040070 0.990974
1341839118.285581 -0.801017 0.110369 -0.193161 -0.040425 0.121744 0.041092 0.990886
1341839118.317574 -0.806003 0.109088 -0.192226 -0.039357 0.122295 0.040962 0.990867
1341839118.349685 -0.811947 0.104295 -0.189746 -0.038971 0.123125 0.041249 0.990767
1341839118.385618 -0.823293 0.108142 -0.188721 -0.036218 0.124878 0.042178 0.990613
1341839118.417611 -0.831205 0.108434 -0.188688 -0.035828 0.125708 0.044022 0.990442
1341839118.449697 -0.834254 0.105251 -0.186505 -0.036531 0.125467 0.045048 0.990401
1341839118.485493 -0.839285 0.105195 -0.182771 -0.035689 0.125866 0.044170 0.990421
1341839118.517623 -0.848550 0.106258 -0.180667 -0.034537 0.127380 0.044228 0.990265
1341839118.554050 -0.860134 0.109064 -0.182987 -0.034952 0.128499 0.045025 0.990070
1341839118.585668 -0.861830 0.104433 -0.177160 -0.038021 0.126968 0.045646 0.990126
1341839118.617700 -0.866669 0.107502 -0.171247 -0.035929 0.127649 0.043710 0.990204
1341839118.653714 -0.879182 0.110845 -0.173154 -0.034763 0.129000 0.044011 0.990057
1341839118.717504 -0.887715 0.103927 -0.161998 -0.039684 0.129913 0.046216 0.989652
1341839118.753742 -0.896764 0.109417 -0.162941 -0.036660 0.131388 0.045803 0.989593
1341839118.785566 -0.905546 0.097532 -0.162289 -0.040066 0.133226 0.047514 0.989135
1341839118.821695 -0.911840 0.097504 -0.161859 -0.042776 0.133201 0.050290 0.988888
1341839118.853833 -0.917989 0.106431 -0.160641 -0.042264 0.133580 0.049206 0.988913
1341839118.921740 -0.947701 0.107615 -0.158708 -0.039812 0.137764 0.047640 0.988517
1341839118.953665 -0.946510 0.104859 -0.156085 -0.041776 0.137217 0.049327 0.988430
1341839118.989622 -0.954608 0.103186 -0.150172 -0.041081 0.139927 0.050918 0.987998
1341839119.021687 -0.966302 0.107734 -0.150451 -0.038306 0.142014 0.051336 0.987790
1341839119.054550 -0.974060 0.103948 -0.151514 -0.039235 0.143834 0.052599 0.987424
1341839119.089581 -0.985308 0.100957 -0.150664 -0.041068 0.146379 0.055701 0.986805
1341839119.121679 -0.990149 0.099928 -0.149377 -0.042229 0.146519 0.058029 0.986601
1341839119.153810 -0.997081 0.102306 -0.146991 -0.041509 0.147609 0.057267 0.986514
1341839119.190466 -1.010592 0.103739 -0.147735 -0.041234 0.149381 0.056981 0.986275
1341839119.221601 -1.019056 0.102589 -0.148417 -0.043450 0.150235 0.058473 0.985963
1341839119.257728 -1.022417 0.100720 -0.145218 -0.045040 0.151507 0.059777 0.985618
1341839119.289455 -1.030001 0.104557 -0.142979 -0.043929 0.153173 0.059870 0.985405
1341839119.321569 -1.042878 0.102921 -0.140247 -0.043744 0.155248 0.061075 0.985015
1341839119.357502 -1.048907 0.108732 -0.140642 -0.041922 0.155831 0.063039 0.984878
1341839119.389594 -1.055129 0.110433 -0.140979 -0.041348 0.156234 0.064549 0.984741
1341839119.421517 -1.062925 0.107401 -0.139628 -0.042696 0.156174 0.064526 0.984694
1341839119.457571 -1.069585 0.110931 -0.138805 -0.041498 0.154685 0.062830 0.985090
1341839119.489537 -1.075155 0.115350 -0.139442 -0.041073 0.155320 0.061939 0.985065
1341839119.525734 -1.086263 0.113948 -0.138812 -0.042472 0.157757 0.063626 0.984510
1341839119.557461 -1.092540 0.115073 -0.140822 -0.044562 0.157285 0.065289 0.984385
1341839119.589618 -1.088532 0.111952 -0.138516 -0.047796 0.155686 0.063108 0.984629
1341839119.625979 -1.099322 0.120439 -0.134371 -0.044616 0.157477 0.060579 0.984652
1341839119.657625 -1.108772 0.119937 -0.138252 -0.044215 0.158179 0.060000 0.984594
1341839119.689899 -1.109545 0.113529 -0.141088 -0.049140 0.157108 0.060298 0.984513
1341839119.725735 -1.107555 0.111245 -0.133083 -0.049982 0.156539 0.058771 0.984654
1341839119.757807 -1.117993 0.117135 -0.134982 -0.047244 0.158341 0.056007 0.984662
1341839119.793744 -1.124148 0.111770 -0.138079 -0.049999 0.157944 0.056330 0.984571
1341839119.825500 -1.125937 0.107566 -0.133398 -0.052315 0.157421 0.055821 0.984564
1341839119.857554 -1.130741 0.114489 -0.130186 -0.048848 0.158864 0.055082 0.984552
1341839119.893748 -1.142725 0.115889 -0.132602 -0.047383 0.161204 0.057106 0.984128
1341839119.925601 -1.140863 0.105885 -0.134562 -0.051348 0.160395 0.058238 0.983995
1341839119.957678 -1.148419 0.106598 -0.128292 -0.052022 0.162111 0.059033 0.983630
1341839119.993679 -1.159677 0.109895 -0.126136 -0.048996 0.163613 0.059136 0.983531
1341839120.025666 -1.164800 0.110941 -0.129071 -0.047533 0.163297 0.058414 0.983698
1341839120.061576 -1.173501 0.110749 -0.127298 -0.047146 0.165137 0.059149 0.983366
1341839120.093515 -1.181399 0.109187 -0.125183 -0.047139 0.167311 0.061768 0.982838
1341839120.125657 -1.185655 0.109119 -0.124425 -0.046562 0.168503 0.064801 0.982466
1341839120.161703 -1.192076 0.106804 -0.121836 -0.046023 0.169768 0.065738 0.982211
1341839120.193590 -1.201993 0.106806 -0.117728 -0.043188 0.171650 0.065683 0.982017
1341839120.229713 -1.212015 0.110937 -0.118175 -0.040009 0.174132 0.067208 0.981611
1341839120.261506 -1.224378 0.109694 -0.119102 -0.040065 0.177867 0.071471 0.980638
1341839120.293457 -1.232372 0.105292 -0.117078 -0.040581 0.179381 0.075645 0.980027
1341839120.329588 -1.237254 0.109091 -0.117009 -0.038698 0.179994 0.075523 0.980000
1341839120.361629 -1.253824 0.109912 -0.118696 -0.038722 0.182932 0.075611 0.979449
1341839120.393790 -1.266597 0.106826 -0.118601 -0.041014 0.183784 0.078191 0.978993
1341839120.429559 -1.272404 0.108202 -0.117498 -0.042188 0.183918 0.079085 0.978846
1341839120.461550 -1.281002 0.105811 -0.115653 -0.043536 0.184904 0.079165 0.978595
1341839120.497665 -1.294488 0.105529 -0.113799 -0.043330 0.185611 0.079374 0.978453
1341839120.561630 -1.308322 0.107320 -0.114604 -0.044528 0.186755 0.081667 0.977993
1341839120.597681 -1.320327 0.106646 -0.113183 -0.044905 0.188624 0.083618 0.977452
1341839120.629503 -1.328526 0.108348 -0.114996 -0.045083 0.188667 0.083907 0.977411
1341839120.661993 -1.332104 0.111764 -0.116490 -0.045806 0.188787 0.083426 0.977395
1341839120.697745 -1.346213 0.110233 -0.114778 -0.047800 0.191788 0.083568 0.976703
1341839120.729566 -1.354243 0.109649 -0.115413 -0.048865 0.192092 0.084623 0.976500
1341839120.765550 -1.357097 0.108875 -0.115333 -0.050496 0.191891 0.083451 0.976557
1341839120.797761 -1.365743 0.108213 -0.111714 -0.050333 0.193668 0.081946 0.976342
1341839120.829557 -1.375435 0.111295 -0.112275 -0.049322 0.194877 0.081923 0.976155
1341839120.865525 -1.380087 0.108587 -0.113375 -0.050715 0.196346 0.083467 0.975659
1341839120.897669 -1.389429 0.105149 -0.108514 -0.050733 0.199436 0.085385 0.974865
1341839120.929785 -1.399693 0.104071 -0.106687 -0.048897 0.200720 0.085942 0.974646
1341839120.965555 -1.408314 0.103354 -0.105534 -0.047283 0.200689 0.084841 0.974828
1341839120.997581 -1.417485 0.103182 -0.103896 -0.045955 0.201391 0.084160 0.974806
1341839121.033744 -1.429824 0.101148 -0.101963 -0.045203 0.202363 0.085835 0.974494
1341839121.065604 -1.434267 0.096831 -0.098728 -0.044836 0.201588 0.088021 0.974476
1341839121.097656 -1.440314 0.099060 -0.096286 -0.042594 0.201417 0.087603 0.974650
1341839121.133691 -1.455921 0.097244 -0.092954 -0.042430 0.201818 0.087565 0.974578
1341839121.165530 -1.459973 0.093458 -0.089977 -0.042645 0.198991 0.087862 0.975123
1341839121.201575 -1.463104 0.095402 -0.088138 -0.041051 0.197638 0.086889 0.975553
1341839121.233546 -1.476206 0.091787 -0.082810 -0.041033 0.198388 0.087396 0.975356
1341839121.265498 -1.483933 0.092029 -0.082536 -0.040713 0.196461 0.088610 0.975650
1341839121.301532 -1.484371 0.088277 -0.079660 -0.041916 0.194471 0.088135 0.976041
1341839121.333608 -1.488534 0.087714 -0.074299 -0.041165 0.194018 0.086441 0.976315
1341839121.365570 -1.497667 0.089588 -0.071733 -0.039749 0.194484 0.084961 0.976411
1341839121.401586 -1.503137 0.084994 -0.067109 -0.039242 0.194784 0.086218 0.976261
1341839121.433568 -1.506465 0.086248 -0.067836 -0.037816 0.194193 0.086736 0.976389
1341839121.470470 -1.508687 0.078078 -0.065417 -0.040202 0.193945 0.086169 0.976393
1341839121.501558 -1.511192 0.083195 -0.057097 -0.036807 0.193968 0.083005 0.976797
1341839121.533669 -1.517782 0.083093 -0.055304 -0.031879 0.194801 0.081790 0.976907
1341839121.569551 -1.524619 0.077496 -0.053948 -0.031418 0.195838 0.081937 0.976702
1341839121.601594 -1.527651 0.072617 -0.048990 -0.029611 0.196015 0.082063 0.976712
1341839121.633518 -1.535504 0.075250 -0.046957 -0.026399 0.197310 0.081279 0.976609
1341839121.676759 -1.540941 0.065539 -0.043459 -0.027586 0.198283 0.081732 0.976341
1341839121.737794 -1.551629 0.060888 -0.032592 -0.022424 0.197098 0.080440 0.976821
1341839121.769806 -1.552825 0.056390 -0.029636 -0.021738 0.195818 0.077106 0.977362
1341839121.801610 -1.565556 0.054212 -0.023578 -0.020342 0.197221 0.075013 0.977273
1341839121.837558 -1.571547 0.049115 -0.020719 -0.020500 0.196352 0.075303 0.977423
1341839121.869640 -1.570259 0.046079 -0.013153 -0.020023 0.195613 0.074362 0.977653
1341839121.901603 -1.583224 0.044092 -0.007394 -0.018123 0.196576 0.073377 0.977571
1341839121.937642 -1.589204 0.043430 -0.003585 -0.016950 0.195795 0.072081 0.977845
1341839121.969593 -1.593315 0.042083 -0.001012 -0.016578 0.196408 0.072235 0.977717
1341839122.005447 -1.609425 0.040523 0.003221 -0.016230 0.199169 0.074784 0.976973
1341839122.037577 -1.613468 0.038796 0.005592 -0.017135 0.197629 0.075228 0.977236
1341839122.069508 -1.616020 0.037599 0.008613 -0.017827 0.196612 0.072732 0.977617
1341839122.105677 -1.622318 0.037118 0.012948 -0.017130 0.197096 0.071342 0.977635
1341839122.137560 -1.634036 0.040521 0.016172 -0.016067 0.198431 0.070823 0.977421
1341839122.169506 -1.638091 0.039017 0.016046 -0.018060 0.198471 0.071321 0.977341
1341839122.205699 -1.642940 0.032490 0.025227 -0.020178 0.200236 0.071902 0.976897
1341839122.237714 -1.647818 0.034207 0.028861 -0.018384 0.201034 0.071629 0.976789
1341839122.273692 -1.656361 0.036151 0.030746 -0.017223 0.202864 0.072007 0.976404
1341839122.305536 -1.663531 0.032188 0.033445 -0.018665 0.205150 0.073014 0.975825
1341839122.337539 -1.673098 0.029932 0.040703 -0.018665 0.207101 0.074807 0.975277
1341839122.373595 -1.676656 0.028014 0.041846 -0.019352 0.206844 0.075201 0.975288
1341839122.405534 -1.680000 0.023851 0.047982 -0.019416 0.207964 0.074634 0.975092
1341839122.441566 -1.691305 0.024305 0.057088 -0.016671 0.210093 0.075232 0.974640
1341839122.476666 -1.700157 0.023110 0.057975 -0.015663 0.210422 0.076998 0.974448
1341839122.541642 -1.709283 0.021361 0.069789 -0.012571 0.210778 0.079107 0.974247
1341839122.605781 -1.727146 0.014103 0.076715 -0.010343 0.211706 0.080463 0.973961
