# timestamp tx ty tz qx qy qz qw
1341839113.793718 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341839113.861553 -0.002909 0.007753 -0.002725 0.002071 -0.001333 -0.002555 0.999994
1341839113.894400 -0.003965 0.004000 -0.002563 -0.000299 -0.000162 -0.001486 0.999999
1341839113.925550 -0.003674 0.001510 0.000697 -0.001293 -0.000517 0.000772 0.999999
1341839113.961614 -0.003251 0.005630 -0.002184 -0.000693 -0.001097 -0.000159 0.999999
1341839113.993616 -0.003925 0.003088 0.001768 -0.001936 -0.001527 -0.002221 0.999994
1341839114.025642 -0.004834 0.001477 0.000108 -0.001843 -0.002417 -0.002101 0.999993
1341839114.061534 -0.007379 0.009768 -0.003034 -0.001142 -0.001928 -0.002777 0.999994
1341839114.093617 -0.006862 0.006775 -0.002302 -0.005079 -0.001822 -0.001669 0.999984
1341839114.129556 -0.005652 0.002494 0.003768 -0.007070 -0.003375 -0.001604 0.999968
1341839114.161678 -0.006927 0.007040 0.001546 -0.005261 -0.003927 -0.004537 0.999968
1341839114.229673 -0.010492 0.004316 0.003941 -0.008424 -0.004856 -0.006243 0.999933
1341839114.261690 -0.012895 0.012206 0.000313 -0.005823 -0.003289 -0.005685 0.999961
1341839114.293564 -0.014506 0.007771 -0.002019 -0.008759 -0.002254 -0.004686 0.999948
1341839114.329671 -0.015752 0.003726 0.001378 -0.010529 -0.004021 -0.004582 0.999926
1341839114.361622 -0.017411 0.008699 0.001889 -0.008757 -0.005207 -0.006282 0.999928
1341839114.397666 -0.021100 0.012626 -0.002900 -0.008118 -0.004273 -0.006992 0.999933
1341839114.429583 -0.024768 0.012013 -0.003480 -0.010390 -0.003505 -0.005488 0.999925
1341839114.461610 -0.025757 0.012513 -0.002174 -0.011565 -0.003595 -0.002868 0.999923
1341839114.497561 -0.025554 0.015690 -0.001343 -0.011508 -0.003550 -0.002759 0.999924
1341839114.529492 -0.027603 0.015062 -0.000869 -0.011799 -0.003415 -0.003843 0.999917
1341839114.565482 -0.029718 0.016464 -0.004373 -0.012105 -0.003863 -0.004246 0.999910
1341839114.597648 -0.033048 0.021217 -0.005535 -0.012736 -0.002483 -0.004178 0.999907
1341839114.629596 -0.032464 0.019814 -0.002602 -0.013972 -0.001481 -0.003370 0.999896
1341839114.665607 -0.033432 0.020557 -0.005928 -0.014379 -0.001236 -0.004105 0.999887
1341839114.697721 -0.034993 0.021165 -0.004410 -0.014637 -0.001036 -0.006752 0.999870
1341839114.730054 -0.038996 0.021829 -0.007777 -0.013875 0.001013 -0.007105 0.999878
1341839114.765560 -0.042385 0.023004 -0.013803 -0.015194 0.002238 -0.005517 0.999867
1341839114.797510 -0.043856 0.022025 -0.010090 -0.015943 0.003237 -0.005208 0.999854
1341839114.833570 -0.048514 0.023919 -0.016133 -0.014647 0.004936 -0.004415 0.999871
1341839114.865530 -0.052996 0.025153 -0.020667 -0.015576 0.005503 -0.004394 0.999854
1341839114.897742 -0.056141 0.025447 -0.021074 -0.015808 0.006388 -0.004174 0.999846
1341839114.933721 -0.061056 0.027113 -0.024250 -0.014797 0.007889 -0.003665 0.999853
1341839114.965565 -0.067033 0.028626 -0.032222 -0.014769 0.008850 -0.001915 0.999850
1341839114.997678 -0.071465 0.034606 -0.035800 -0.014792 0.008992 -0.002019 0.999848
1341839115.033675 -0.075348 0.037118 -0.035459 -0.014420 0.011954 -0.001976 0.999823
1341839115.065634 -0.083644 0.034786 -0.043418 -0.015279 0.015673 0.002776 0.999757
1341839115.101577 -0.084417 0.037937 -0.047224 -0.015615 0.014191 0.004731 0.999766
1341839115.133455 -0.088781 0.044942 -0.047646 -0.014058 0.014732 0.001575 0.999791
1341839115.165699 -0.095327 0.041930 -0.051716 -0.013864 0.016898 0.001413 0.999760
1341839115.201542 -0.104044 0.047325 -0.062958 -0.013931 0.017922 0.004033 0.999734
1341839115.233600 -0.108085 0.053620 -0.064790 -0.016008 0.017566 0.004183 0.999709
1341839115.265499 -0.111865 0.052807 -0.065142 -0.016581 0.018414 0.003553 0.999687
1341839115.301699 -0.118344 0.056059 -0.073197 -0.016671 0.018709 0.003040 0.999681
1341839115.333616 -0.122855 0.060358 -0.077208 -0.019469 0.017596 0.001650 0.999654
1341839115.369483 -0.128541 0.062939 -0.075560 -0.020456 0.018570 0.000782 0.999618
1341839115.401613 -0.134479 0.063840 -0.080515 -0.019898 0.020282 0.001580 0.999595
1341839115.469819 -0.143061 0.066584 -0.082690 -0.024618 0.021480 0.002179 0.999464
1341839115.533671 -0.155414 0.074927 -0.091509 -0.023331 0.024594 0.006663 0.999403
1341839115.569633 -0.156117 0.069078 -0.087797 -0.026808 0.023915 0.004632 0.999344
1341839115.601623 -0.160840 0.063758 -0.088065 -0.026145 0.025596 0.003529 0.999324
1341839115.637954 -0.169331 0.072611 -0.091380 -0.023020 0.028283 0.006444 0.999314
1341839115.669467 -0.174694 0.077881 -0.094702 -0.024440 0.029288 0.008492 0.999236
1341839115.701635 -0.173303 0.066923 -0.088766 -0.028311 0.029183 0.008398 0.999138
1341839115.737552 -0.179027 0.062151 -0.085168 -0.025157 0.030901 0.008871 0.999166
1341839115.769579 -0.190147 0.079983 -0.093026 -0.021330 0.032636 0.008171 0.999206
1341839115.805533 -0.193176 0.073691 -0.088547 -0.025256 0.033292 0.007943 0.999095
1341839115.837641 -0.198151 0.068337 -0.084083 -0.024847 0.035141 0.010947 0.999013
1341839115.869594 -0.210963 0.080190 -0.090011 -0.022534 0.038155 0.012571 0.998939
1341839115.905464 -0.217139 0.077417 -0.088319 -0.025670 0.039514 0.013882 0.998793
1341839115.937926 -0.218962 0.068427 -0.080713 -0.026071 0.040901 0.016929 0.998680
1341839115.976772 -0.232584 0.082715 -0.088265 -0.020677 0.045507 0.019188 0.998566
1341839116.037844 -0.246911 0.071093 -0.087678 -0.026679 0.049529 0.025629 0.998087
1341839116.073614 -0.252234 0.068060 -0.084415 -0.024819 0.050673 0.026034 0.998067
1341839116.105551 -0.265489 0.078198 -0.090481 -0.020780 0.053780 0.025940 0.997999
1341839116.137629 -0.277094 0.077303 -0.092803 -0.022158 0.055943 0.027245 0.997816
1341839116.173741 -0.280115 0.068457 -0.087193 -0.023558 0.056473 0.028249 0.997726
1341839116.205705 -0.289964 0.074661 -0.090402 -0.020097 0.059774 0.027835 0.997621
1341839116.237744 -0.303844 0.074351 -0.095493 -0.020357 0.063470 0.029450 0.997341
1341839116.273644 -0.311138 0.076813 -0.096166 -0.020340 0.064935 0.031653 0.997180
1341839116.305590 -0.317165 0.081030 -0.096625 -0.020229 0.067613 0.031849 0.996998
1341839116.341693 -0.328087 0.075900 -0.095184 -0.021287 0.071950 0.033983 0.996602
1341839116.374159 -0.339408 0.075521 -0.100009 -0.021124 0.074440 0.038690 0.996251
1341839116.405626 -0.344242 0.077679 -0.098386 -0.021144 0.075069 0.041406 0.996094
1341839116.441448 -0.351950 0.075443 -0.097005 -0.020885 0.077208 0.043473 0.995848
1341839116.473792 -0.359943 0.074386 -0.100072 -0.020254 0.077629 0.045601 0.995733
1341839116.505559 -0.365683 0.080369 -0.100617 -0.018553 0.077649 0.044896 0.995797
1341839116.541530 -0.378765 0.082828 -0.106279 -0.018722 0.080726 0.046675 0.995467
1341839116.573449 -0.379256 0.076685 -0.105639 -0.021949 0.079491 0.048238 0.995426
1341839116.609629 -0.380478 0.079439 -0.102367 -0.020697 0.078637 0.045096 0.995668
1341839116.642092 -0.391456 0.080985 -0.106658 -0.019444 0.081052 0.042515 0.995613
1341839116.673494 -0.401693 0.079850 -0.112940 -0.020806 0.082237 0.043987 0.995424
1341839116.709491 -0.399792 0.079260 -0.110320 -0.022658 0.080368 0.042141 0.995616
1341839116.741798 -0.401456 0.077265 -0.108095 -0.022576 0.081317 0.037706 0.995719
1341839116.777780 -0.412581 0.076220 -0.111806 -0.022066 0.083163 0.036370 0.995628
1341839116.809493 -0.420366 0.082282 -0.116667 -0.022215 0.082563 0.035656 0.995700
1341839116.841577 -0.419155 0.073399 -0.111255 -0.025119 0.082104 0.033584 0.995741
1341839116.877541 -0.425833 0.070849 -0.111749 -0.022751 0.083978 0.032523 0.995677
1341839116.909607 -0.438389 0.084624 -0.120561 -0.019330 0.086194 0.032521 0.995560
1341839116.941574 -0.443742 0.085712 -0.122996 -0.022486 0.087174 0.032588 0.995406
1341839116.977669 -0.441010 0.069323 -0.116525 -0.026474 0.086654 0.032446 0.995358
1341839117.009692 -0.453338 0.080705 -0.122139 -0.021726 0.088373 0.029791 0.995405
1341839117.045446 -0.464960 0.097444 -0.128312 -0.020193 0.090388 0.026736 0.995343
1341839117.077581 -0.468830 0.084649 -0.125936 -0.025528 0.091730 0.027492 0.995077
1341839117.109633 -0.474346 0.083560 -0.126381 -0.025072 0.093600 0.028762 0.994878
1341839117.145451 -0.481839 0.087805 -0.129586 -0.023998 0.095845 0.027562 0.994725
1341839117.177591 -0.493876 0.086557 -0.133214 -0.024775 0.098311 0.027736 0.994461
1341839117.209585 -0.499849 0.081177 -0.131260 -0.025673 0.098491 0.028801 0.994390
1341839117.245753 -0.509145 0.089350 -0.135154 -0.022098 0.101086 0.028612 0.994221
1341839117.278976 -0.523978 0.087348 -0.141462 -0.022843 0.104979 0.030452 0.993746
1341839117.313580 -0.532528 0.082747 -0.142501 -0.023697 0.105465 0.033933 0.993561
1341839117.345623 -0.545635 0.091975 -0.149356 -0.021539 0.107583 0.035201 0.993339
1341839117.377641 -0.557417 0.095240 -0.154985 -0.023077 0.108964 0.035156 0.993156
1341839117.413568 -0.566486 0.091666 -0.155760 -0.025161 0.109048 0.034945 0.993103
