# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.006179 -0.013663 -0.011643 -0.002607 -0.002883 -0.008738 0.999954
1341846434.914148 -0.021451 0.017471 -0.036305 0.002538 -0.003922 -0.018030 0.999827
1341846434.946443 -0.013035 0.011596 -0.057452 0.000310 -0.016856 -0.026479 0.999507
1341846434.978088 0.018545 0.010907 -0.053628 0.001513 -0.029222 -0.027701 0.999188
1341846435.014019 0.029611 0.006335 -0.056538 0.002572 -0.035594 -0.027235 0.998992
1341846435.045942 0.058447 0.021369 -0.036836 0.006871 -0.041932 -0.027808 0.998710
1341846435.077985 0.063194 0.012230 -0.040326 0.008161 -0.040796 -0.028298 0.998733
1341846435.113961 0.075841 0.021551 -0.021453 0.013221 -0.040197 -0.026826 0.998744
1341846435.146181 0.076685 0.013256 -0.030795 0.015502 -0.040589 -0.027774 0.998670
1341846435.182052 0.085841 0.013682 -0.051450 0.018014 -0.045432 -0.022922 0.998542
1341846435.213955 0.089148 0.000913 -0.067143 0.018872 -0.051716 -0.017715 0.998326
1341846435.246495 0.096056 -0.006273 -0.069994 0.021268 -0.056733 -0.014446 0.998058
1341846435.281968 0.096921 0.015550 -0.059402 0.024803 -0.065126 -0.012654 0.997488
1341846435.319946 0.126957 0.009386 -0.072711 0.022367 -0.076394 -0.010265 0.996774
1341846435.382078 0.153671 -0.012493 -0.051687 0.016758 -0.088010 -0.007890 0.995947
1341846435.414309 0.153786 0.024342 -0.021524 0.024637 -0.091576 -0.000325 0.995493
1341846435.450323 0.169456 0.031538 -0.024690 0.027575 -0.097696 0.000744 0.994834
1341846435.482273 0.194444 0.022774 -0.039081 0.027101 -0.100165 -0.001442 0.994601
1341846435.513983 0.211764 0.052727 -0.022419 0.031136 -0.099713 0.000320 0.994529
1341846435.550153 0.217314 0.061005 -0.017345 0.030185 -0.098716 -0.001610 0.994656
1341846435.582003 0.209232 0.052693 -0.003420 0.028387 -0.099725 -0.002958 0.994606
1341846435.618180 0.189470 0.066249 0.024727 0.033612 -0.103140 -0.003695 0.994092
1341846435.650183 0.212329 0.087825 0.042371 0.039214 -0.111573 -0.004369 0.992973
1341846435.681920 0.237058 0.084732 0.031858 0.041384 -0.113756 -0.004875 0.992634
1341846435.717877 0.259970 0.119130 0.043349 0.047058 -0.117217 -0.000431 0.991991
1341846435.750187 0.286580 0.131195 0.039220 0.049146 -0.122220 0.002488 0.991282
1341846435.782022 0.308973 0.137713 0.035378 0.051308 -0.127701 0.003102 0.990480
1341846435.818082 0.336335 0.148500 0.040020 0.053175 -0.132911 0.003893 0.989693
1341846435.849992 0.372038 0.153254 0.019762 0.055315 -0.138558 0.007733 0.988778
1341846435.886101 0.404118 0.158368 0.013510 0.056625 -0.145396 0.008183 0.987718
1341846435.918077 0.407608 0.176602 0.041913 0.058687 -0.148870 0.011923 0.987042
1341846435.950077 0.425379 0.205400 0.064015 0.062182 -0.155297 0.021199 0.985681
1341846435.986080 0.438246 0.236749 0.078155 0.067961 -0.160731 0.029325 0.984219
1341846436.018119 0.452772 0.249906 0.090131 0.069509 -0.167611 0.034224 0.982804
1341846436.050565 0.443867 0.269871 0.096429 0.070119 -0.168899 0.042507 0.982217
1341846436.085970 0.446390 0.275255 0.113923 0.067873 -0.172654 0.046874 0.981523
1341846436.118116 0.445440 0.256319 0.189066 0.071416 -0.180156 0.029511 0.980598
1341846436.153952 0.440891 0.256105 0.200491 0.072106 -0.181362 0.031186 0.980273
1341846436.185994 0.443718 0.266656 0.217964 0.074673 -0.183914 0.032927 0.979549
1341846436.218096 0.444982 0.271481 0.234712 0.076906 -0.188140 0.035333 0.978489
1341846436.253965 0.464092 0.281559 0.232320 0.077179 -0.189577 0.036359 0.978152
1341846436.286007 0.473701 0.284534 0.231901 0.073275 -0.189534 0.037203 0.978429
1341846436.318164 0.481137 0.282770 0.236145 0.074613 -0.192592 0.037590 0.977716
1341846436.354084 0.482368 0.290339 0.237024 0.074259 -0.194466 0.037540 0.977374
1341846436.385958 0.489982 0.286945 0.243534 0.073196 -0.194545 0.034310 0.977557
1341846436.422052 0.479394 0.309276 0.259726 0.079126 -0.196710 0.030368 0.976792
1341846436.453972 0.477326 0.326314 0.238058 0.084971 -0.199316 0.026816 0.975876
1341846436.485966 0.475468 0.348463 0.206671 0.089543 -0.198564 0.024978 0.975669
1341846436.522075 0.475624 0.346168 0.198451 0.087505 -0.201113 0.021806 0.975408
1341846436.553975 0.463859 0.356824 0.182884 0.089768 -0.203982 0.018566 0.974673
1341846436.590103 0.470748 0.363984 0.177878 0.090658 -0.211151 0.016111 0.973107
1341846436.622042 0.470626 0.378667 0.150716 0.091384 -0.213026 0.010265 0.972709
1341846436.654125 0.463243 0.395036 0.150884 0.094915 -0.214554 0.003214 0.972084
1341846436.690078 0.418014 0.383411 0.143678 0.093860 -0.211889 -0.000809 0.972776
1341846436.722015 0.413571 0.383131 0.137604 0.092926 -0.217276 -0.008487 0.971640
1341846436.754167 0.388784 0.364055 0.161506 0.090711 -0.220460 -0.016230 0.971033
1341846436.790021 0.375917 0.355066 0.161406 0.093066 -0.225922 -0.021601 0.969449
1341846436.822079 0.357187 0.288217 0.155523 0.078373 -0.227380 -0.031535 0.970135
1341846436.858129 0.365006 0.270190 0.157215 0.071758 -0.230945 -0.038281 0.969562
1341846436.889894 0.333828 0.266564 0.188566 0.070135 -0.230751 -0.034959 0.969852
1341846436.922139 0.329464 0.256591 0.183382 0.070142 -0.234384 -0.035040 0.968977
1341846436.958108 0.311510 0.245876 0.178218 0.067212 -0.234717 -0.033480 0.969159
1341846436.990096 0.308703 0.250386 0.173291 0.067214 -0.236683 -0.034715 0.968637
1341846437.058136 0.294641 0.262707 0.159233 0.069716 -0.240087 -0.036856 0.967543
1341846437.096585 0.292068 0.272434 0.156442 0.071066 -0.242705 -0.037941 0.966749
1341846437.126102 0.286334 0.235253 0.173897 0.060934 -0.246675 -0.044739 0.966146
