# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.003269 -0.009914 -0.008901 -0.002236 -0.002450 -0.007749 0.999964
1341846434.914148 0.014510 -0.014448 -0.030616 -0.003233 -0.011342 -0.017617 0.999775
1341846434.946443 0.022388 -0.019818 -0.040587 -0.005210 -0.023904 -0.025295 0.999381
1341846434.978088 0.038238 -0.026712 -0.045511 -0.005112 -0.033656 -0.026169 0.999078
1341846435.014019 0.047858 -0.030891 -0.050308 -0.003909 -0.039625 -0.025311 0.998886
1341846435.045942 0.065021 -0.034561 -0.051452 -0.002590 -0.043362 -0.024336 0.998760
1341846435.077985 0.083076 -0.044229 -0.053094 -0.001363 -0.043133 -0.024202 0.998775
1341846435.113961 0.082319 -0.050218 -0.059368 0.001924 -0.041304 -0.024664 0.998840
1341846435.146181 0.085476 -0.052382 -0.059773 0.004956 -0.041871 -0.023957 0.998823
1341846435.182052 0.064534 -0.054510 -0.071572 0.006701 -0.043516 -0.021673 0.998795
1341846435.213955 0.020005 -0.072117 -0.122652 0.007414 -0.041820 -0.014017 0.998999
1341846435.246495 0.013156 -0.073907 -0.132959 0.010364 -0.045831 -0.010174 0.998844
1341846435.281968 0.007503 -0.077813 -0.161509 0.010926 -0.053179 -0.007031 0.998500
1341846435.319946 0.019310 -0.075045 -0.165594 0.010063 -0.061743 -0.007139 0.998016
1341846435.382078 0.054893 -0.089825 -0.150183 0.005520 -0.074498 -0.002074 0.997204
1341846435.414309 0.060720 -0.094914 -0.150002 0.008201 -0.077257 0.000051 0.996977
1341846435.450323 0.071185 -0.089050 -0.159588 0.011471 -0.082940 0.001453 0.996488
1341846435.482273 0.108491 -0.077958 -0.126871 0.012950 -0.086556 0.001851 0.996161
1341846435.513983 0.121020 -0.071974 -0.129564 0.013802 -0.084668 -0.000065 0.996314
1341846435.550153 0.130744 -0.069377 -0.137546 0.012289 -0.083758 -0.001797 0.996409
1341846435.582003 0.162885 -0.078362 -0.129208 0.010257 -0.087017 -0.005169 0.996141
1341846435.618180 0.181397 -0.085378 -0.137592 0.013450 -0.094806 -0.006493 0.995384
1341846435.650183 0.203274 -0.089299 -0.142576 0.015817 -0.101978 -0.007366 0.994634
1341846435.681920 0.223171 -0.090989 -0.141536 0.017967 -0.103426 -0.007152 0.994449
1341846435.717877 0.232220 -0.082081 -0.145495 0.020146 -0.104692 -0.008242 0.994266
1341846435.750187 0.272434 -0.091493 -0.163525 0.019777 -0.111359 -0.009999 0.993533
1341846435.782022 0.292034 -0.089323 -0.169168 0.021448 -0.116402 -0.010728 0.992913
1341846435.818082 0.326928 -0.108887 -0.198703 0.019990 -0.121721 -0.011488 0.992297
1341846435.849992 0.343904 -0.114833 -0.206620 0.020521 -0.124793 -0.011185 0.991907
1341846435.886101 0.412436 -0.102963 -0.188385 0.023008 -0.140654 -0.010561 0.989735
1341846435.918077 0.429644 -0.103066 -0.190515 0.022705 -0.144750 -0.008858 0.989168
1341846435.950077 0.497525 -0.108313 -0.180075 0.022247 -0.157411 -0.006223 0.987263
1341846435.986080 0.544932 -0.114273 -0.172661 0.023563 -0.168263 -0.004380 0.985451
1341846436.018119 0.579412 -0.115374 -0.183813 0.024069 -0.175306 -0.002378 0.984217
1341846436.050565 0.608001 -0.113146 -0.185449 0.023075 -0.181028 0.000621 0.983207
1341846436.085970 0.713823 -0.119961 -0.151624 0.019253 -0.205798 0.007437 0.978377
1341846436.118116 0.758060 -0.122738 -0.131937 0.017672 -0.217184 0.009965 0.975920
1341846436.153952 0.781127 -0.116717 -0.110929 0.019084 -0.224659 0.012334 0.974172
1341846436.185994 0.803227 -0.111282 -0.097775 0.020886 -0.229698 0.013468 0.972945
1341846436.218096 0.912716 -0.113710 -0.094726 0.021624 -0.250202 0.016570 0.967810
1341846436.253965 0.948688 -0.109309 -0.120905 0.021002 -0.250686 0.019313 0.967648
1341846436.286007 0.974984 -0.113980 -0.108479 0.017863 -0.251596 0.017906 0.967502
1341846436.318164 1.051187 -0.100499 -0.056908 0.020049 -0.270742 0.017774 0.962279
1341846436.354084 1.066824 -0.096474 -0.057212 0.019752 -0.273118 0.018575 0.961598
1341846436.385958 1.151187 -0.083499 0.002088 0.019876 -0.289313 0.017846 0.956862
1341846436.422052 1.184578 -0.087154 0.010712 0.020390 -0.298016 0.016970 0.954192
