# timestamp tx ty tz qx qy qz qw
1341846434.846345 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846434.878202 0.003269 -0.009914 -0.008901 -0.002236 -0.002450 -0.007749 0.999964
1341846434.914148 0.014510 -0.014448 -0.030616 -0.003233 -0.011342 -0.017617 0.999775
1341846434.946443 0.022388 -0.019818 -0.040587 -0.005210 -0.023904 -0.025295 0.999381
1341846434.978088 0.038238 -0.026712 -0.045511 -0.005112 -0.033656 -0.026169 0.999078
1341846435.014019 0.047858 -0.030891 -0.050308 -0.003909 -0.039625 -0.025311 0.998886
1341846435.045942 0.065021 -0.034561 -0.051452 -0.002590 -0.043362 -0.024336 0.998760
1341846435.077985 0.083076 -0.044229 -0.053094 -0.001363 -0.043133 -0.024202 0.998775
1341846435.113961 0.082319 -0.050218 -0.059368 0.001924 -0.041304 -0.024664 0.998840
1341846435.146181 0.085476 -0.052382 -0.059773 0.004956 -0.041871 -0.023957 0.998823
1341846435.182052 0.064534 -0.054510 -0.071572 0.006701 -0.043516 -0.021673 0.998795
1341846435.213955 0.020005 -0.072117 -0.122652 0.007414 -0.041820 -0.014017 0.998999
1341846435.246495 0.013156 -0.073907 -0.132959 0.010364 -0.045831 -0.010174 0.998844
1341846435.281968 0.007503 -0.077813 -0.161509 0.010926 -0.053179 -0.007031 0.998500
1341846435.319946 0.019310 -0.075045 -0.165594 0.010063 -0.061743 -0.007139 0.998016
1341846435.382078 0.054893 -0.089825 -0.150183 0.005520 -0.074498 -0.002074 0.997204
1341846435.414309 0.057705 -0.102273 -0.155419 0.007329 -0.076922 0.000083 0.997010
1341846435.450323 0.073449 -0.088604 -0.158611 0.011518 -0.083212 0.001814 0.996464
1341846435.482273 0.093503 -0.086701 -0.138769 0.012076 -0.085602 0.001977 0.996254
1341846435.513983 0.103596 -0.079447 -0.138926 0.013042 -0.083645 0.000109 0.996410
1341846435.550153 0.111056 -0.078927 -0.152630 0.011319 -0.082493 -0.001360 0.996526
1341846435.582003 0.112462 -0.094516 -0.155085 0.008622 -0.084235 -0.004261 0.996399
1341846435.618180 0.106412 -0.096406 -0.142094 0.012031 -0.089380 -0.005740 0.995908
1341846435.650183 0.140476 -0.110500 -0.173864 0.013792 -0.098656 -0.006337 0.995006
1341846435.681920 0.179572 -0.110403 -0.177422 0.016827 -0.103833 -0.007381 0.994425
1341846435.717877 0.190210 -0.103881 -0.186439 0.018824 -0.104967 -0.007998 0.994265
1341846435.750187 0.198844 -0.109352 -0.188007 0.018274 -0.107518 -0.009470 0.993990
1341846435.782022 0.208783 -0.109403 -0.191351 0.019573 -0.111587 -0.010167 0.993510
1341846435.818082 0.226831 -0.109699 -0.186936 0.019944 -0.115507 -0.011030 0.993045
1341846435.849992 0.234183 -0.113052 -0.190072 0.020804 -0.118001 -0.011276 0.992731
1341846435.886101 0.247399 -0.112785 -0.196879 0.021516 -0.122375 -0.011586 0.992183
1341846435.918077 0.259392 -0.111488 -0.195173 0.021341 -0.126139 -0.010057 0.991732
1341846435.950077 0.269035 -0.119857 -0.193513 0.020204 -0.129814 -0.007728 0.991302
1341846435.986080 0.279322 -0.124293 -0.191082 0.021734 -0.134318 -0.006688 0.990677
1341846436.018119 0.291465 -0.119834 -0.197722 0.023003 -0.139985 -0.004896 0.989874
1341846436.050565 0.308990 -0.113691 -0.192754 0.022556 -0.145154 -0.001922 0.989150
1341846436.085970 0.316319 -0.115839 -0.193875 0.020543 -0.148269 -0.000003 0.988734
1341846436.118116 0.329416 -0.123491 -0.189490 0.018643 -0.154149 0.002013 0.987870
1341846436.153952 0.345840 -0.124199 -0.178893 0.019051 -0.157414 0.004437 0.987339
1341846436.185994 0.351097 -0.129641 -0.181187 0.019545 -0.158511 0.005891 0.987146
1341846436.218096 0.357789 -0.127417 -0.181078 0.021237 -0.162142 0.007921 0.986507
1341846436.253965 0.376027 -0.108105 -0.175386 0.022287 -0.163880 0.010907 0.986168
1341846436.286007 0.378659 -0.125790 -0.180703 0.017654 -0.162915 0.010208 0.986429
1341846436.318164 0.379538 -0.133951 -0.185952 0.017844 -0.165274 0.009923 0.986036
1341846436.354084 0.394949 -0.118755 -0.172233 0.018967 -0.168322 0.010290 0.985496
1341846436.385958 0.398938 -0.125165 -0.170266 0.016996 -0.168294 0.007840 0.985559
1341846436.422052 0.392028 -0.136437 -0.179279 0.016449 -0.169764 0.007341 0.985320
