# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009414 0.001301 0.004109 0.001260 -0.002738 0.000020 0.999995
1341846313.721918 0.014633 0.002130 0.003947 0.001050 -0.003766 0.001009 0.999992
1341846313.753994 0.025398 0.000798 0.002215 0.000368 -0.004991 0.002685 0.999984
1341846313.789969 0.032583 -0.000110 0.002378 0.001379 -0.005758 0.001094 0.999982
1341846313.822075 0.026418 0.002010 -0.001094 0.001613 -0.002531 0.000423 0.999995
1341846313.853928 0.021956 0.002002 0.002719 0.000992 0.001474 -0.000426 0.999998
1341846313.890011 0.009480 0.002141 -0.000718 0.000771 0.006232 -0.000432 0.999980
1341846313.922055 -0.011458 0.004877 -0.005869 -0.001148 0.010915 0.001206 0.999939
1341846313.957927 -0.019647 0.003989 0.002328 -0.003154 0.017711 0.002720 0.999834
1341846313.990058 -0.038632 0.004593 0.005305 -0.004195 0.028106 0.002996 0.999592
1341846314.022042 -0.061189 0.002455 0.002362 -0.007068 0.033802 0.003362 0.999398
1341846314.057816 -0.068355 0.005887 0.014902 -0.009618 0.038437 0.004850 0.999203
1341846314.089801 -0.084677 0.003955 0.021617 -0.008987 0.047728 0.005318 0.998806
1341846314.122037 -0.100018 0.012356 0.018702 -0.008856 0.054013 0.007091 0.998476
1341846314.157989 -0.123568 0.006375 0.018965 -0.011892 0.062614 0.008970 0.997927
1341846314.190094 -0.136651 0.008432 0.017706 -0.011236 0.069065 0.009510 0.997504
1341846314.225969 -0.158116 0.012606 0.009013 -0.013128 0.075216 0.012052 0.997008
1341846314.257923 -0.154971 0.013791 0.020222 -0.014394 0.077575 0.012416 0.996805
1341846314.290052 -0.155534 0.026059 0.021413 -0.010736 0.079567 0.009527 0.996726
1341846314.325981 -0.243390 0.000218 -0.011093 -0.016265 0.094617 0.008794 0.995342
1341846314.357905 -0.236474 0.001049 0.002557 -0.016799 0.097715 0.008449 0.995037
1341846314.389899 -0.234684 0.002474 0.006436 -0.014929 0.100793 0.006996 0.994771
1341846314.427905 -0.286678 -0.015775 -0.043376 -0.017696 0.105476 0.004471 0.994254
1341846314.493987 -0.276202 -0.016945 -0.031504 -0.016575 0.115021 -0.003325 0.993219
1341846314.526085 -0.285856 -0.016643 -0.043743 -0.016596 0.117823 -0.005336 0.992882
1341846314.558292 -0.306985 -0.018401 -0.031635 -0.018101 0.127012 -0.003659 0.991729
1341846314.594085 -0.303343 -0.021896 -0.018814 -0.017023 0.132272 -0.003199 0.991062
1341846314.626096 -0.318056 -0.019004 -0.038252 -0.016246 0.137577 -0.002581 0.990354
1341846314.658455 -0.318507 -0.016381 -0.035880 -0.017985 0.141003 -0.003279 0.989840
1341846314.694004 -0.294277 -0.023581 -0.020266 -0.018564 0.142895 -0.004725 0.989552
1341846314.725910 -0.292944 -0.031103 -0.022103 -0.014731 0.145784 -0.001119 0.989206
1341846314.761942 -0.297186 -0.028507 -0.024734 -0.010624 0.147375 0.002374 0.989021
1341846314.794030 -0.299372 -0.027555 -0.015744 -0.007387 0.152545 0.004309 0.988259
1341846314.826092 -0.306219 -0.028108 -0.033063 -0.005490 0.157700 0.004228 0.987463
1341846314.862145 -0.306863 -0.028747 -0.039635 -0.005602 0.162065 0.005227 0.986750
1341846314.894072 -0.308880 -0.030597 -0.034348 -0.005971 0.167420 0.006901 0.985843
1341846314.925969 -0.312261 -0.030626 -0.043096 -0.005705 0.170861 0.009953 0.985228
1341846314.961937 -0.314301 -0.017422 -0.049226 -0.006402 0.171917 0.014514 0.984984
1341846314.994564 -0.307584 -0.016049 -0.049150 -0.009351 0.172431 0.014678 0.984868
1341846315.029900 -0.291293 -0.008448 -0.042699 -0.007988 0.175197 0.011661 0.984432
1341846315.061965 -0.300086 -0.000677 -0.051198 -0.006500 0.178681 0.013686 0.983790
1341846315.094388 -0.296927 -0.010078 -0.051590 -0.007808 0.177660 0.014846 0.983949
1341846315.129851 -0.274681 -0.021865 -0.047243 -0.008756 0.175701 0.015533 0.984282
1341846315.161941 -0.279667 -0.004779 -0.051149 -0.008690 0.176632 0.017961 0.984075
1341846315.197984 -0.280141 -0.002847 -0.053459 -0.015793 0.175061 0.014911 0.984318
1341846315.230076 -0.272329 -0.011629 -0.055569 -0.020740 0.173462 0.011443 0.984556
1341846315.262069 -0.281922 -0.011960 -0.068288 -0.023473 0.172273 0.013703 0.984674
1341846315.298000 -0.260266 -0.020710 -0.059633 -0.026351 0.166522 0.017315 0.985533
1341846315.329931 -0.244554 -0.021286 -0.054255 -0.021792 0.163736 0.020174 0.986057
1341846315.361981 -0.244695 -0.019068 -0.055977 -0.016317 0.163608 0.021546 0.986155
1341846315.397962 -0.245326 -0.004497 -0.057189 -0.011206 0.164501 0.023240 0.986039
1341846315.429923 -0.262820 -0.018160 -0.060755 -0.011342 0.170645 0.027150 0.984893
