# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009414 0.001301 0.004109 0.001260 -0.002738 0.000020 0.999995
1341846313.721918 0.014633 0.002130 0.003947 0.001050 -0.003766 0.001009 0.999992
1341846313.753994 0.025398 0.000798 0.002215 0.000368 -0.004991 0.002685 0.999984
1341846313.789969 0.032583 -0.000110 0.002378 0.001379 -0.005758 0.001094 0.999982
1341846313.822075 0.026418 0.002010 -0.001094 0.001613 -0.002531 0.000423 0.999995
1341846313.853928 0.021956 0.002002 0.002719 0.000992 0.001474 -0.000426 0.999998
1341846313.890011 0.009480 0.002141 -0.000718 0.000771 0.006232 -0.000432 0.999980
1341846313.922055 -0.011458 0.004877 -0.005869 -0.001148 0.010915 0.001206 0.999939
1341846313.957927 -0.019647 0.003989 0.002328 -0.003154 0.017711 0.002720 0.999834
1341846313.990058 -0.038632 0.004593 0.005305 -0.004195 0.028106 0.002996 0.999592
1341846314.022042 -0.061189 0.002455 0.002362 -0.007068 0.033802 0.003362 0.999398
1341846314.057816 -0.068355 0.005887 0.014902 -0.009618 0.038437 0.004850 0.999203
1341846314.089801 -0.084677 0.003955 0.021617 -0.008987 0.047728 0.005318 0.998806
1341846314.122037 -0.100018 0.012356 0.018702 -0.008856 0.054013 0.007091 0.998476
1341846314.157989 -0.123568 0.006375 0.018965 -0.011892 0.062614 0.008970 0.997927
1341846314.190094 -0.120461 0.006488 0.014004 -0.011578 0.066443 0.009609 0.997677
1341846314.225969 -0.114422 0.011567 0.003408 -0.013338 0.068171 0.013216 0.997497
1341846314.257923 -0.108432 0.008514 0.027637 -0.015609 0.070448 0.012490 0.997315
1341846314.290052 -0.109034 0.004418 0.014654 -0.014813 0.072489 0.011196 0.997196
1341846314.325981 -0.098757 0.011091 0.010168 -0.015143 0.072849 0.009597 0.997182
1341846314.357905 -0.087147 0.007937 0.023568 -0.016333 0.075187 0.008887 0.996996
1341846314.389899 -0.087762 0.005142 0.019994 -0.015111 0.078493 0.007677 0.996771
1341846314.427905 -0.076925 0.009313 0.006559 -0.014896 0.079652 0.006603 0.996690
1341846314.493987 -0.068365 0.004384 0.014254 -0.014147 0.089519 -0.002201 0.995882
1341846314.526085 -0.061229 0.007224 0.005180 -0.013877 0.091186 -0.003384 0.995731
1341846314.558292 -0.052169 0.006499 0.013466 -0.015166 0.093853 -0.001889 0.995469
1341846314.594085 -0.045306 -0.001635 0.014372 -0.014731 0.098384 -0.002076 0.995037
1341846314.626096 -0.043411 0.005579 0.000914 -0.013439 0.102377 -0.001272 0.994654
1341846314.658455 -0.036311 0.007036 0.002921 -0.015420 0.104065 -0.002291 0.994448
1341846314.694004 -0.026242 -0.004111 0.018725 -0.016355 0.107897 -0.003116 0.994023
1341846314.725910 -0.025214 -0.008701 0.022144 -0.012491 0.110830 0.001599 0.993760
1341846314.761942 -0.023942 -0.008019 0.011597 -0.008624 0.111393 0.005009 0.993726
1341846314.794030 -0.012343 -0.010830 0.000031 -0.005958 0.113201 0.005530 0.993539
1341846314.826092 -0.005898 -0.006701 -0.011269 -0.003255 0.117111 0.005820 0.993096
1341846314.862145 0.001990 -0.004467 -0.015736 -0.002939 0.120473 0.006707 0.992690
1341846314.894072 0.007293 -0.005299 -0.013319 -0.003221 0.124460 0.008320 0.992185
1341846314.925969 0.011329 -0.005032 -0.021960 -0.003069 0.126857 0.011589 0.991849
1341846314.961937 0.016665 0.003116 -0.035560 -0.005200 0.127207 0.017487 0.991708
1341846314.994564 0.020345 0.002097 -0.033548 -0.008454 0.128363 0.015681 0.991567
1341846315.029900 0.036665 0.000832 -0.024938 -0.008797 0.130831 0.012955 0.991281
1341846315.061965 0.028830 0.000212 -0.027530 -0.009149 0.134408 0.015459 0.990763
1341846315.094388 0.032957 -0.004560 -0.027417 -0.009635 0.133252 0.016377 0.990900
1341846315.129851 0.045872 -0.004608 -0.035382 -0.007701 0.132334 0.015612 0.991052
1341846315.161941 0.047196 0.009788 -0.051584 -0.008500 0.132504 0.019443 0.990955
1341846315.197984 0.047635 0.007734 -0.049858 -0.015969 0.130813 0.015378 0.991159
1341846315.230076 0.056629 0.005896 -0.046020 -0.019594 0.129121 0.012301 0.991359
1341846315.262069 0.050383 0.004766 -0.049074 -0.022684 0.127957 0.013403 0.991430
1341846315.298000 0.059226 -0.000540 -0.036001 -0.024987 0.123588 0.016165 0.991887
1341846315.329931 0.068834 -0.015005 -0.031864 -0.022764 0.121467 0.017345 0.992183
1341846315.361981 0.115505 -0.020245 -0.064955 -0.018735 0.112860 0.021331 0.993205
1341846315.397962 0.120155 -0.016716 -0.063670 -0.015160 0.113146 0.024113 0.993170
1341846315.429923 0.127560 -0.019644 -0.076286 -0.012978 0.114417 0.025220 0.993028
1341846315.466047 0.144288 -0.017314 -0.088658 -0.012055 0.116726 0.028606 0.992679
