# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.207338 -0.014894 -0.007716 1.364859 0.001879 -0.003784 0.000721 0.999991
0.414692 -0.069149 -0.000254 2.807237 0.003480 -0.007815 0.000027 0.999963
0.622045 -0.116116 -0.020469 4.318412 0.004247 -0.012285 -0.000596 0.999915
0.829420 -0.181266 -0.063751 5.888454 0.003228 -0.016967 -0.001890 0.999849
1.036910 -0.257459 -0.098493 7.507552 0.000152 -0.021060 -0.001430 0.999777
1.244242 -0.355625 -0.117082 9.183501 0.000319 -0.023503 -0.001553 0.999723
1.451596 -0.472123 -0.139573 10.881093 0.000454 -0.024906 -0.001666 0.999688
1.658960 -0.572149 -0.165093 12.603118 0.001767 -0.026495 -0.002577 0.999644
1.866302 -0.680985 -0.178939 14.342329 0.004160 -0.028164 -0.004626 0.999584
2.073666 -0.836949 -0.211287 16.160353 0.003288 -0.028990 -0.004896 0.999562
2.281017 -0.962331 -0.230848 17.967225 0.002388 -0.030180 -0.003984 0.999534
2.488250 -1.090708 -0.232549 19.794005 0.003322 -0.031498 -0.002103 0.999496
2.695832 -1.179746 -0.274628 21.614029 0.000618 -0.032260 -0.003220 0.999474
2.903084 -1.261326 -0.321872 23.416731 -0.003147 -0.031399 -0.003422 0.999496
3.110441 -1.376623 -0.330088 25.307374 -0.001740 -0.030128 -0.004114 0.999536
3.317669 -1.441872 -0.358233 27.147500 0.001986 -0.029559 -0.004564 0.999551
3.524925 -1.521875 -0.395076 29.052776 -0.001228 -0.029830 -0.002852 0.999550
3.732256 -1.649232 -0.388244 30.971754 -0.002803 -0.030541 0.003941 0.999522
3.939488 -1.752767 -0.458371 32.923965 0.000517 -0.032326 0.003686 0.999470
4.146888 -1.911338 -0.506287 34.891491 -0.000008 -0.033593 0.002621 0.999432
4.354202 -2.038004 -0.541572 36.837377 -0.002024 -0.035078 0.000248 0.999383
4.561559 -2.205445 -0.556950 38.816265 -0.004836 -0.035258 -0.000385 0.999366
4.768912 -2.302587 -0.569492 40.746764 -0.005228 -0.036260 -0.004382 0.999319
4.976146 -2.464050 -0.560676 42.750475 -0.002731 -0.036157 -0.005898 0.999325
5.183503 -2.572744 -0.591515 44.737342 -0.003427 -0.037899 -0.005477 0.999261
5.390861 -2.693965 -0.617343 46.677313 -0.001851 -0.039059 -0.007902 0.999204
5.598233 -2.845206 -0.641008 48.597488 0.001093 -0.040124 -0.009474 0.999149
5.805571 -3.015851 -0.668031 50.548575 -0.001835 -0.040031 -0.008877 0.999157
6.012921 -3.141196 -0.700326 52.445138 -0.001623 -0.040728 -0.007361 0.999142
6.220278 -3.292939 -0.729226 54.368341 -0.001337 -0.041830 -0.006353 0.999104
6.427659 -3.425842 -0.755132 56.224984 -0.005854 -0.042769 -0.005021 0.999055
6.634992 -3.621778 -0.752844 58.140917 -0.004772 -0.043847 -0.006274 0.999007
6.842350 -3.814219 -0.757684 59.999987 0.001849 -0.045111 -0.007965 0.998949
7.049705 -4.006602 -0.783450 61.798164 0.000459 -0.046102 -0.011556 0.998870
7.256934 -4.196621 -0.809731 63.600369 -0.000158 -0.047283 -0.012646 0.998801
7.464167 -4.397592 -0.794907 65.272855 -0.000177 -0.048456 -0.013817 0.998730
7.671396 -4.619868 -0.792496 66.899833 -0.000608 -0.049131 -0.013352 0.998703
7.878754 -4.841196 -0.819199 68.444334 -0.003979 -0.049719 -0.015892 0.998629
8.086111 -4.995178 -0.835981 69.955122 -0.002590 -0.051618 -0.018863 0.998485
8.293470 -5.168295 -0.855225 71.395829 0.004002 -0.053017 -0.018652 0.998411
8.500847 -5.339341 -0.894364 72.759760 0.002865 -0.053484 -0.020682 0.998350
8.708175 -5.514240 -0.930479 74.042226 0.003237 -0.054286 -0.019141 0.998337
8.915403 -5.641062 -0.959596 75.256180 0.007951 -0.053817 -0.013419 0.998429
9.122890 -5.796851 -0.994358 76.406514 0.006680 -0.049858 -0.017130 0.998587
9.330247 -5.908131 -1.012865 77.502404 0.003062 -0.044304 -0.014549 0.998907
9.537749 -5.970666 -1.047703 78.542388 0.001383 -0.034908 -0.014229 0.999288
9.745342 -6.032521 -1.071942 79.537330 0.001506 -0.018099 -0.019455 0.999646
9.953059 -5.976728 -1.080890 80.500395 0.001086 0.005548 -0.016616 0.999846
10.160830 -5.872354 -1.097982 81.417839 -0.000042 0.036687 -0.016050 0.999198
10.368670 -5.708079 -1.099197 82.307382 0.000412 0.076719 -0.016798 0.996911
10.576630 -5.484528 -1.130664 83.115079 0.001557 0.124956 -0.017385 0.992009
10.784610 -5.143112 -1.175155 83.853863 0.003527 0.180892 -0.017451 0.983342
10.992720 -4.733374 -1.202273 84.532820 0.005572 0.242978 -0.017324 0.969861
11.200570 -4.252014 -1.226202 85.133986 0.008230 0.306954 -0.016106 0.951552
11.408180 -3.689893 -1.251224 85.643810 0.007380 0.367808 -0.015800 0.929738
11.615530 -3.072902 -1.299254 86.074687 0.008276 0.425504 -0.013365 0.904820
11.822770 -2.409713 -1.329683 86.436462 0.010592 0.477497 -0.011978 0.878488
12.030000 -1.713745 -1.363161 86.745719 0.011289 0.523915 -0.014397 0.851574
12.237100 -0.997062 -1.386375 86.945580 0.017208 0.561507 -0.004475 0.827281
12.444110 -0.298578 -1.419136 87.116328 0.018039 0.590936 -0.003303 0.806510
12.651070 0.437586 -1.471322 87.297806 0.016674 0.615523 -0.011537 0.787858
12.858060 1.280154 -1.510039 87.447406 0.021060 0.635237 -0.009808 0.771968
13.065200 2.121590 -1.533263 87.544948 0.029349 0.650556 -0.010959 0.758812
13.272350 2.820150 -1.606103 87.604834 0.025733 0.663038 -0.010906 0.748064
13.479500 3.730554 -1.672837 87.670087 0.024318 0.673407 -0.007949 0.738829
13.686720 4.742507 -1.718264 87.726060 0.026919 0.681430 -0.005449 0.731368
13.893950 5.797362 -1.781307 87.768514 0.028024 0.686252 -0.004853 0.726808
14.101300 6.922621 -1.839657 87.821454 0.028299 0.690600 -0.005926 0.722659
14.308540 8.107173 -1.909873 87.845138 0.030071 0.692988 -0.003790 0.720312
14.515890 9.333260 -2.022272 87.844698 0.030194 0.694578 -0.001629 0.718781
14.723260 10.665384 -2.082033 87.811872 0.032726 0.693682 0.001243 0.719537
14.930480 12.078978 -2.145200 87.865218 0.034211 0.691436 0.002309 0.721623
15.137840 13.560498 -2.225801 87.915986 0.033224 0.688308 0.001958 0.724655
15.345080 15.033776 -2.293801 87.890700 0.030354 0.684111 0.001147 0.728745
15.552550 16.658517 -2.400657 88.050008 0.028248 0.681599 -0.000796 0.731180
15.759900 18.291263 -2.489180 88.202959 0.028722 0.680157 -0.007326 0.732467
15.967390 19.914226 -2.615788 88.322418 0.026776 0.680123 -0.010490 0.732534
16.174740 21.528477 -2.736625 88.442737 0.024499 0.680117 -0.010359 0.732621
16.382090 23.140252 -2.839360 88.578124 0.022442 0.680153 -0.012342 0.732623
16.589330 24.746370 -2.944548 88.717070 0.020856 0.680665 -0.015170 0.732140
16.796680 26.324797 -3.045602 88.825649 0.017914 0.683093 -0.016884 0.729916
17.004190 27.939366 -3.137594 88.929133 0.014928 0.687211 -0.016982 0.726106
17.211650 29.552935 -3.234593 88.997879 0.015402 0.693012 -0.017512 0.720548
17.419150 31.165467 -3.327516 89.029824 0.015873 0.700187 -0.016818 0.713585
17.626480 32.752673 -3.414439 89.034851 0.015955 0.707871 -0.015771 0.705985
17.833840 34.304483 -3.517694 88.995558 0.016274 0.715487 -0.015883 0.698256
18.041200 35.870070 -3.583060 88.937512 0.018050 0.722708 -0.016272 0.690727
18.248550 37.397475 -3.672872 88.859477 0.019053 0.729553 -0.016130 0.683469
18.455930 38.880390 -3.767354 88.742828 0.019731 0.735664 -0.015367 0.676885
18.663260 40.353849 -3.859385 88.611375 0.020315 0.740103 -0.012733 0.672066
18.870490 41.759199 -3.923658 88.446420 0.021840 0.742116 -0.009598 0.669847
19.077720 43.106460 -3.980367 88.306061 0.022959 0.742905 -0.008838 0.668944
19.285020 44.426409 -4.094986 88.230196 0.023999 0.742479 -0.008710 0.669382
19.492240 45.611674 -4.156311 88.110216 0.024841 0.737823 -0.009268 0.674473
19.699410 46.776464 -4.244815 88.068484 0.024061 0.729851 -0.010222 0.683106
19.906520 47.859101 -4.306320 88.055544 0.025145 0.716545 -0.012725 0.696972
20.113500 48.925895 -4.383782 88.109217 0.025597 0.697909 -0.015986 0.715550
20.320610 49.927143 -4.448958 88.216483 0.023704 0.671608 -0.016463 0.740345
20.527470 50.988534 -4.528528 88.425368 0.018730 0.638204 -0.015637 0.769481
20.734440 51.998883 -4.593586 88.736653 0.013817 0.597433 -0.016909 0.801621
20.941510 52.884316 -4.655922 89.183954 0.014975 0.548971 -0.016356 0.835547
21.148370 53.646497 -4.786837 89.567548 0.016000 0.488586 -0.017242 0.872199
21.355440 54.353503 -4.835510 90.202763 0.016787 0.426456 -0.020745 0.904114
21.562720 54.883420 -4.885482 90.861244 0.015693 0.363618 -0.020493 0.931191
21.770100 55.368538 -4.920682 91.640841 0.008983 0.299783 -0.019202 0.953772
21.977710 55.690772 -4.953808 92.353161 0.001347 0.238774 -0.018382 0.970900
22.185310 55.969762 -4.974353 93.213092 -0.004105 0.186807 -0.020918 0.982165
22.393170 56.205036 -4.983810 94.147566 -0.006151 0.147286 -0.026825 0.988711
22.601290 56.410567 -4.982572 95.084380 -0.005959 0.120045 -0.024411 0.992450
22.809640 56.593030 -4.985537 96.006884 -0.006179 0.105739 -0.025176 0.994056
23.017610 56.763920 -4.976291 97.022790 -0.006307 0.097732 -0.031572 0.994692
23.225710 56.945458 -4.987568 98.089977 -0.003552 0.095958 -0.034946 0.994765
23.433600 57.143996 -4.993873 99.193695 0.001794 0.099760 -0.032932 0.994465
23.641430 57.372695 -5.004634 100.339724 0.003811 0.104148 -0.035535 0.993919
23.848990 57.632120 -5.008106 101.530211 -0.000294 0.109355 -0.035916 0.993354
24.056420 57.920501 -5.027071 102.770927 -0.005209 0.113293 -0.033981 0.992967
24.263960 58.230676 -5.028360 104.055350 -0.003328 0.114954 -0.029847 0.992917
24.471000 58.533649 -5.059846 105.334462 0.003280 0.114143 -0.029775 0.993013
24.678100 58.838618 -5.078392 106.705547 0.002856 0.111556 -0.030900 0.993273
24.885470 59.161026 -5.101046 108.126220 -0.003826 0.109332 -0.029948 0.993547
25.092670 59.455299 -5.115121 109.581997 -0.001477 0.107301 -0.034269 0.993635
25.299900 59.760350 -5.134349 111.082423 0.002691 0.103360 -0.033431 0.994078
25.507250 60.063252 -5.161493 112.631033 0.001198 0.099835 -0.030417 0.994538
25.714630 60.344267 -5.173902 114.245594 -0.001049 0.098851 -0.028274 0.994700
25.921980 60.663245 -5.201010 115.850044 -0.002415 0.098373 -0.026813 0.994785
26.129230 60.963420 -5.222086 117.495049 -0.000297 0.098964 -0.032294 0.994567
26.336550 61.257869 -5.227997 119.183753 -0.000183 0.101046 -0.039112 0.994113
26.544050 61.597844 -5.265425 120.829108 -0.001107 0.103526 -0.040702 0.993793
26.751260 61.956178 -5.296971 122.507411 -0.000174 0.105071 -0.036873 0.993781
26.958500 62.312918 -5.337184 124.185646 0.000929 0.106052 -0.033405 0.993799
27.165870 62.675018 -5.366867 125.896650 -0.003735 0.107230 -0.036001 0.993575
27.373230 63.017669 -5.395013 127.545097 -0.002571 0.108387 -0.036857 0.993422
27.580440 63.388489 -5.434978 129.175190 0.009622 0.107718 -0.032058 0.993618
27.787700 63.746743 -5.472267 130.835281 -0.005122 0.106955 -0.029211 0.993821
27.995100 64.087808 -5.500216 132.474655 -0.010148 0.106294 -0.030634 0.993811
28.202280 64.412988 -5.508502 134.074170 0.001506 0.104708 -0.033657 0.993932
28.409630 64.753168 -5.557016 135.686236 0.001119 0.101999 -0.031501 0.994285
28.616840 65.077183 -5.580441 137.303648 0.002664 0.097307 -0.031763 0.994744
28.824220 65.365790 -5.617071 138.928493 0.002214 0.094580 -0.037466 0.994810
29.031560 65.656861 -5.653153 140.537805 -0.001156 0.092915 -0.037311 0.994974
29.238910 65.953541 -5.689242 142.112992 0.000524 0.090420 -0.035339 0.995276
29.446140 66.238483 -5.712362 143.717182 0.003517 0.084404 -0.031023 0.995942
29.653420 66.489187 -5.728910 145.310250 -0.002867 0.077904 -0.029473 0.996521
29.860880 66.690829 -5.757381 146.941810 -0.009618 0.074380 -0.031402 0.996689
30.068210 66.900200 -5.763327 148.536694 -0.002211 0.067892 -0.032475 0.997162
30.275700 67.092758 -5.771215 150.129974 0.000107 0.061541 -0.030461 0.997640
30.483050 67.236892 -5.786862 151.771069 -0.000912 0.053436 -0.036238 0.997913
30.690400 67.361588 -5.805926 153.383025 0.003246 0.044204 -0.036397 0.998354
30.897640 67.456601 -5.829628 155.013993 -0.001857 0.036621 -0.038179 0.998598
31.105010 67.545842 -5.837570 156.655284 -0.006366 0.028622 -0.039892 0.998774
31.312350 67.605988 -5.845413 158.306207 -0.006593 0.023406 -0.039856 0.998909
31.520060 67.633275 -5.852141 159.934028 -0.000496 0.019510 -0.045425 0.998777
