# timestamp tx ty tz qx qy qz qw
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.208477 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
0.416979 -0.009849 -0.021883 1.124326 0.001545 -0.001914 0.001228 0.999996
0.625476 -0.018423 -0.041551 2.258040 0.002892 -0.003459 0.003069 0.999985
0.833976 -0.036435 -0.067844 3.431123 0.002738 -0.004739 0.003336 0.999979
1.042605 -0.059351 -0.094769 4.632839 0.006075 -0.006003 0.002167 0.999961
1.251125 -0.088047 -0.117422 5.870252 0.007974 -0.007260 0.000571 0.999942
1.459603 -0.122654 -0.137416 7.180985 -0.000652 -0.008187 -0.001031 0.999966
1.668106 -0.161522 -0.165213 8.537253 -0.003581 -0.009172 -0.002615 0.999948
1.876603 -0.204051 -0.167698 9.942280 0.003142 -0.010120 -0.003582 0.999937
2.085105 -0.238931 -0.175892 11.440440 -0.002256 -0.010944 -0.002007 0.999936
2.293607 -0.281735 -0.182820 13.006084 -0.007230 -0.011428 -0.001320 0.999908
2.502107 -0.322356 -0.178584 14.639403 -0.005458 -0.011338 -0.000143 0.999921
2.710606 -0.366835 -0.182813 16.321069 -0.000974 -0.010616 0.000138 0.999943
2.919104 -0.406016 -0.202384 18.073328 0.004869 -0.009783 0.000997 0.999940
3.127481 -0.453694 -0.237420 19.895948 0.004997 -0.009813 0.000234 0.999939
3.335979 -0.504145 -0.279568 21.777823 0.006750 -0.009834 -0.001896 0.999927
3.544357 -0.561118 -0.328864 23.714330 0.007098 -0.009902 -0.004475 0.999916
3.752729 -0.612346 -0.382463 25.679828 0.007114 -0.010157 -0.004856 0.999911
3.961233 -0.666678 -0.435714 27.691105 0.005600 -0.010531 -0.005627 0.999913
4.169606 -0.720109 -0.488823 29.731287 0.005539 -0.010837 -0.005784 0.999909
4.377982 -0.776848 -0.536778 31.802066 0.005626 -0.011206 -0.006243 0.999902
4.586357 -0.834531 -0.584838 33.912395 0.002429 -0.011760 -0.005974 0.999910
4.794755 -0.897682 -0.625231 36.041542 0.001059 -0.012318 -0.006029 0.999905
5.003109 -0.964408 -0.662750 38.197721 0.002094 -0.012970 -0.006084 0.999895
5.211513 -1.035431 -0.704643 40.365411 0.000479 -0.013696 -0.005937 0.999888
5.419858 -1.111962 -0.745930 42.534305 -0.000688 -0.014224 -0.006578 0.999877
5.628235 -1.190957 -0.788306 44.681904 0.003203 -0.014406 -0.007821 0.999861
5.836733 -1.268307 -0.837338 46.848920 0.001934 -0.014266 -0.008136 0.999863
6.045107 -1.341658 -0.880431 49.013537 0.000247 -0.014131 -0.007657 0.999871
6.253481 -1.415593 -0.923045 51.189386 0.001595 -0.013735 -0.007283 0.999878
6.461983 -1.486306 -0.973409 53.374872 0.003900 -0.013522 -0.006789 0.999878
6.670359 -1.551611 -1.033809 55.543048 0.006365 -0.013358 -0.005213 0.999877
6.878731 -1.615046 -1.092284 57.715115 0.002221 -0.013150 -0.003699 0.999904
7.086981 -1.676566 -1.135116 59.894040 -0.001170 -0.013043 -0.002108 0.999912
7.295357 -1.735975 -1.172201 62.067071 0.001913 -0.012979 0.000186 0.999914
7.503734 -1.805737 -1.224832 64.242344 0.006097 -0.012999 -0.000926 0.999896
7.712108 -1.881912 -1.283902 66.436123 0.004619 -0.012278 -0.004339 0.999905
7.920378 -1.950920 -1.337713 68.627366 0.003178 -0.012209 -0.004787 0.999909
8.128736 -2.013050 -1.389612 70.817777 0.002045 -0.012392 -0.003454 0.999915
8.336986 -2.075845 -1.437446 73.011189 0.000129 -0.012898 -0.002124 0.999915
8.545359 -2.146486 -1.485939 75.179014 0.002624 -0.013408 -0.002024 0.999905
