# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg1_360
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	0.13237	0.65997	0.73954	1.44669	0.50072	0.16195	1.72206	0.45927	0.01005	4553	0.83259
PLANE	0	0.05384	0.70661	0.70555	0.70032	-0.26669	-0.06048	1.07350	0.41407	0.01513	7241	0.76769
BOX	0	teddy bear	0.47427	0.13627	-0.57484	1.58920	0.60827	0.41540	0.24331
BOX	0	book	0.36662	-0.33936	0.19765	0.81220	0.32186	0.28621	0.19080
PLANE	5	0.15885	0.58452	0.79567	1.40846	0.45238	0.06171	1.63450	0.47253	0.00907	6012	0.84649
PLANE	5	0.09203	0.61032	0.78679	0.68656	-0.26803	-0.06275	0.95263	0.29796	0.01469	6387	0.77290
PLANE	10	0.17597	0.49024	0.85364	1.39643	0.36639	0.03587	1.53973	0.45915	0.00824	7594	0.85854
PLANE	10	0.10095	0.50895	0.85485	0.68392	-0.28370	-0.10619	0.89677	0.24041	0.01397	5295	0.78163
BOX	10	book	0.75410	-0.37348	0.05614	0.80120	0.24006	0.28699	0.13480
PLANE	15	0.16028	0.54407	0.82359	1.45265	0.31814	0.05464	1.66580	0.49207	0.01004	7715	0.83279
PLANE	15	0.12247	0.56731	0.81435	0.71052	-0.36726	-0.06895	0.97577	0.27286	0.01334	5155	0.78937
BOX	15	dining table	0.39104	0.00376	-0.04386	1.43240	1.76660	1.30629	1.41360
PLANE	20	0.07873	0.73208	0.67665	1.54665	0.16382	0.35767	1.87971	0.48791	0.01066	5378	0.82427
PLANE	20	-0.07445	-0.00700	0.99720	1.66385	-0.24298	-0.32216	1.64812	0.66238	0.02084	1355	0.70578
PLANE	20	-0.04359	0.02246	0.99880	1.76938	0.23713	-0.32090	1.78908	0.64331	0.02256	876	0.68908
PLANE	20	-0.00063	-0.05952	0.99823	2.10407	0.35730	-0.32517	2.08865	0.41086	0.02321	598	0.68295
PLANE	20	0.62967	-0.00258	0.77686	1.83213	0.35750	-0.43494	2.06718	0.47090	0.02350	846	0.68028
PLANE	20	0.00752	-0.00787	0.99994	1.95823	0.44691	-0.41575	1.95171	0.40502	0.02355	588	0.67985
PLANE	25	0.36078	-0.44015	0.82226	1.84152	0.03105	-0.34047	2.04372	0.68576	0.01851	5017	0.72979
PLANE	25	0.08473	0.71914	0.68968	1.92479	0.04190	0.74717	2.00661	0.49147	0.01861	869	0.72880
PLANE	25	0.49608	-0.06223	0.86604	1.67170	-0.41695	-0.05245	2.16535	0.70020	0.02203	984	0.69417
PLANE	25	0.04641	0.00252	0.99892	2.09730	0.04422	0.12273	2.09721	0.64111	0.02228	2211	0.69180
PLANE	25	0.03657	0.04669	0.99824	1.97981	0.38085	0.08005	1.96560	0.48951	0.02272	889	0.68757
PLANE	30	0.22005	-0.20447	0.95382	2.01150	-0.50968	0.08920	2.24560	0.77353	0.01571	1658	0.76097
PLANE	30	0.37063	-0.20585	0.90568	1.81191	-0.34156	-0.12962	2.11092	0.60471	0.01944	5510	0.72007
PLANE	30	0.02544	-0.10516	0.99413	1.92482	0.37047	0.23219	1.95127	0.54958	0.02148	1508	0.69947
PLANE	30	0.10909	-0.07481	0.99121	2.07549	0.02184	0.18110	2.10515	0.76057	0.02196	1790	0.69481
PLANE	30	0.07197	-0.10767	0.99158	1.82848	0.54789	-0.09627	1.79379	0.34271	0.02197	1491	0.69471
PLANE	30	-0.01869	-0.04420	0.99885	1.67311	0.46262	-0.23475	1.67331	0.61191	0.02261	855	0.68858
PLANE	35	0.19377	-0.06289	0.97903	1.96901	-0.62995	0.06260	2.13989	0.66095	0.01254	6682	0.79946
PLANE	35	0.11116	-0.07099	0.99126	1.85678	0.62629	-0.10446	1.79543	0.38934	0.01571	3172	0.76093
PLANE	35	0.14054	-0.05908	0.98831	1.91432	0.17642	0.01430	1.91273	0.49218	0.01852	5449	0.72967
PLANE	40	0.12897	0.10059	0.98653	1.99389	-0.51428	-0.02277	2.09066	0.66672	0.01279	5872	0.79630
PLANE	40	0.09720	0.09838	0.99039	1.92422	0.21369	0.07873	1.91410	0.63845	0.01635	8732	0.75361
BOX	40	refrigerator	0.34296	0.29247	0.30690	1.88280	1.63055	0.98065	0.65222
