# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg1_teddy
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	-0.05186	-0.04298	0.99773	3.41921	0.05316	-0.77126	3.39653	0.60739	0.01757	1241	0.73992
PLANE	0	-0.01526	0.01638	0.99975	2.89004	0.12841	0.32571	2.88739	1.30711	0.01878	915	0.72693
PLANE	0	0.00114	0.01753	0.99985	2.96575	0.82381	-0.03739	2.96592	0.77111	0.01977	2302	0.71667
PLANE	0	0.03592	0.01233	0.99928	3.14925	-0.73982	-0.54303	3.18482	1.14569	0.02084	1038	0.70586
PLANE	0	-0.02098	-0.01454	0.99967	3.31277	-0.85425	-0.47925	3.28895	0.87296	0.02254	3628	0.68925
BOX	0	teddy bear	0.90881	-0.04270	0.22502	1.28860	0.55549	0.63623	0.50640
BOX	0	chair	0.54123	-1.91540	0.59193	3.26320	0.18924	0.98565	0.17920
BOX	0	refrigerator	0.33895	-0.85564	-0.38108	3.26320	1.79149	1.28893	0.71660
PLANE	5	-0.15442	-0.37613	0.91361	0.85219	-0.01184	0.33504	1.06870	0.13280	0.01605	1001	0.75701
PLANE	5	-0.04744	0.03381	0.99830	3.41899	-0.31251	-0.90372	3.44056	0.80265	0.01731	2165	0.74281
PLANE	5	-0.02289	0.08577	0.99605	2.90348	0.04479	0.62823	2.86192	1.11768	0.01913	860	0.72325
PLANE	5	-0.00777	0.05356	0.99853	2.95818	0.91760	-0.00521	2.96994	0.79828	0.02022	2195	0.71210
PLANE	5	-0.00797	-0.01453	0.99986	3.19106	0.44662	-0.48552	3.18800	1.12585	0.02047	623	0.70951
PLANE	5	-0.01403	0.02301	0.99964	3.31408	-0.96800	-0.35816	3.30995	0.76594	0.02100	3388	0.70424
BOX	5	teddy bear	0.86833	-0.05724	0.14987	1.30780	0.55112	0.62545	0.71360
BOX	5	chair	0.56520	-1.91642	0.35797	3.23300	0.14999	0.89515	0.29760
BOX	5	sports ball	0.54354	-0.12238	0.27803	1.03540	0.15812	0.18043	0.18920
BOX	5	book	0.30901	1.21571	-0.82362	3.20280	0.11144	0.25425	0.06040
PLANE	10	-0.03436	0.03580	0.99877	3.49157	0.15074	-1.05111	3.53874	0.35293	0.01413	538	0.77966
PLANE	10	0.05972	0.07435	0.99544	3.13542	-0.21951	-0.15534	3.17455	1.44744	0.01836	1166	0.73137
PLANE	10	-0.02121	0.09202	0.99553	2.91152	0.29046	0.71960	2.86426	0.84598	0.01842	731	0.73080
PLANE	10	-0.01870	0.08837	0.99591	2.96632	0.92249	-0.01805	2.99742	0.77338	0.01920	2098	0.72251
PLANE	10	-0.02874	0.01950	0.99940	3.45803	-0.43682	-0.93686	3.46583	0.79707	0.01928	1670	0.72168
PLANE	10	0.03497	0.05714	0.99775	3.23930	-0.95070	-0.35275	3.30012	0.84025	0.02124	2684	0.70187
BOX	10	teddy bear	0.89966	-0.08566	0.12611	1.29780	0.54942	0.58549	0.69360
BOX	10	chair	0.48286	-0.07633	0.19882	1.28860	0.56296	0.68363	0.85880
BOX	10	book	0.35030	1.01470	-0.72859	3.26320	0.14509	0.25273	0.12240
BOX	10	book	0.33525	0.74517	-0.72750	3.20280	0.08668	0.31007	0.05840
BOX	10	book	0.32220	1.12405	-0.72497	3.23300	0.11874	0.24413	0.06040
BOX	10	refrigerator	0.30714	1.15201	-0.13407	3.03500	1.31419	2.30944	0.52568
PLANE	15	-0.19768	-0.30193	0.93261	0.94043	-0.07021	0.22235	1.06549	0.13335	0.01599	1081	0.75765
PLANE	15	-0.02160	0.13279	0.99091	2.98386	0.60078	0.33027	2.98008	0.62393	0.01889	1547	0.72584
PLANE	15	-0.07437	0.06455	0.99514	3.49841	-0.18877	-1.02010	3.56756	0.54807	0.01922	1291	0.72239
PLANE	15	0.00463	0.04679	0.99889	3.27574	-0.86681	-0.36862	3.30065	0.97140	0.01950	1923	0.71944
PLANE	15	0.03446	0.08701	0.99561	3.15208	0.38212	-0.29382	3.17843	1.38347	0.02038	1970	0.71047
PLANE	15	-0.04327	0.06829	0.99673	3.40773	-0.65606	-0.90469	3.45243	0.83908	0.02137	1269	0.70055
BOX	15	teddy bear	0.87411	-0.12045	0.07517	1.30780	0.58652	0.57228	0.88680
BOX	15	chair	0.66966	-0.12452	0.19608	1.33800	0.63886	0.75647	3.36760
BOX	15	book	0.32638	0.92503	-0.69439	3.32640	0.13503	0.26407	0.06440
PLANE	20	0.00337	0.04415	0.99902	3.40870	-0.52716	-0.63730	3.44199	1.09887	0.01795	1054	0.73582
PLANE	20	0.03290	0.08677	0.99569	3.17119	0.04739	0.19812	3.16610	1.49446	0.02006	1229	0.71363
PLANE	20	-0.01911	0.03223	0.99930	3.57144	-0.72710	-0.95162	3.59074	0.79132	0.02048	1359	0.70947
PLANE	20	0.00982	0.04484	0.99895	3.29309	-0.20904	-0.16532	3.30604	1.38798	0.02169	1646	0.69744
PLANE	20	-0.05637	0.04635	0.99733	3.66041	-0.02309	-1.09156	3.71962	0.62163	0.02185	1180	0.69590
PLANE	20	0.04008	0.11205	0.99289	3.07420	0.34728	0.49695	3.02611	0.86750	0.02256	838	0.68911
BOX	20	teddy bear	0.88943	-0.11159	0.11059	1.33800	0.59230	0.54922	0.99120
BOX	20	refrigerator	0.45067	1.16220	0.16108	3.11740	1.50053	2.31782	0.78800
BOX	20	book	0.31908	0.98555	-0.38942	3.39080	0.17042	0.26261	0.13080
BOX	20	book	0.31049	0.71324	-0.41498	3.35860	0.08440	0.30564	0.19520
PLANE	25	-0.02409	0.20393	0.97869	2.94285	0.47218	0.86841	2.83760	0.71332	0.01533	765	0.76529
PLANE	25	-0.01396	-0.00493	0.99989	3.46210	-0.27619	-0.37653	3.45676	1.26128	0.01811	1025	0.73408
PLANE	25	-0.03568	0.02171	0.99913	3.70866	-0.36011	-1.12453	3.72348	0.78924	0.01985	2083	0.71582
PLANE	25	0.02118	0.06180	0.99786	3.30170	-0.17053	0.08356	3.30722	1.32932	0.01988	1698	0.71548
PLANE	25	-0.02340	0.15900	0.98700	2.98733	0.76542	0.32873	2.99187	0.85244	0.02021	1321	0.71210
PLANE	25	-0.01815	0.06025	0.99802	3.55836	-0.84373	-0.81883	3.59952	0.99409	0.02149	1071	0.69937
BOX	25	teddy bear	0.86073	-0.04360	0.02215	1.39720	0.58070	0.53835	4.68680
PLANE	30	-0.14028	-0.33820	0.93056	1.01185	-0.03864	0.06644	1.10568	0.14684	0.01734	1185	0.74254
PLANE	30	-0.00891	0.16115	0.98689	2.97841	0.61039	0.30441	2.97378	0.65367	0.01936	1401	0.72087
PLANE	30	0.00467	0.00014	0.99999	3.30467	-0.46060	-0.12855	3.30687	1.20455	0.02005	1597	0.71374
PLANE	30	-0.04988	0.07522	0.99592	3.53910	-0.53430	-1.14092	3.61302	0.73822	0.02018	1435	0.71247
PLANE	30	-0.00011	0.03495	0.99939	3.40820	-0.89804	-0.60037	3.43118	0.90387	0.02023	1144	0.71193
PLANE	30	0.05269	0.12808	0.99036	3.14995	0.71497	-0.20841	3.16952	1.23004	0.02040	1173	0.71026
BOX	30	teddy bear	0.73882	-0.09126	-0.16658	1.40320	0.60218	0.53251	4.65880
PLANE	35	-0.09417	0.08311	0.99208	3.45723	-0.09195	-1.24623	3.58051	0.52145	0.01743	627	0.74151
PLANE	35	-0.02448	0.12703	0.99160	2.97214	0.53222	0.09064	2.99885	0.62583	0.01851	1363	0.72983
PLANE	35	-0.00913	0.02660	0.99960	3.31135	-0.95154	-0.46377	3.31631	0.91132	0.01980	2345	0.71634
PLANE	35	0.03901	0.10201	0.99402	3.13043	0.45390	-0.47418	3.18011	1.32218	0.02013	1592	0.71298
PLANE	35	0.05025	0.05631	0.99715	1.33288	-0.16484	0.11139	1.33871	0.46590	0.02072	1086	0.70701
PLANE	35	-0.04746	0.03266	0.99834	3.42953	-0.27020	-0.48426	3.43823	1.15134	0.02075	827	0.70668
BOX	35	teddy bear	0.67621	-0.11293	-0.35379	1.38620	0.60292	0.62537	4.59640
PLANE	40	-0.03310	-0.03412	0.99887	3.32694	-0.68909	-0.28418	3.29816	0.77694	0.01776	854	0.73791
PLANE	40	-0.01371	-0.01208	0.99983	2.21540	0.97233	0.06661	2.22991	0.31931	0.01249	365	0.73015
PLANE	40	-0.00708	0.02363	0.99970	3.01740	0.46483	-0.29254	3.02852	0.52896	0.02046	1127	0.70959
PLANE	40	0.01977	0.02478	0.99950	3.12286	-0.14615	-0.79529	3.14705	1.33717	0.02226	1759	0.69191
PLANE	40	-0.04244	0.00683	0.99908	3.44738	0.19835	-0.40497	3.46177	0.65294	0.02247	677	0.68992
BOX	40	teddy bear	0.37868	-0.16956	-0.39429	1.19920	0.55404	0.38776	0.59080
PLANE	45	0.01942	0.99951	0.02449	0.31513	-0.02871	0.28595	1.22014	0.58394	0.00611	5474	0.89112
PLANE	45	0.01628	-0.00466	0.99986	3.02191	0.26633	-0.47121	3.01581	0.79284	0.01816	1401	0.73354
PLANE	45	-0.11017	-0.06850	0.99155	3.42273	-0.01982	-0.39997	3.42206	0.67769	0.01835	738	0.73157
PLANE	45	-0.05520	-0.08095	0.99519	3.33505	-0.86542	-0.30687	3.27820	0.55728	0.01866	669	0.72823
