# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg2_desk_with_person
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	0.01062	0.90770	0.41948	0.86634	0.12330	0.28355	1.44858	0.44956	0.01193	4911	0.80739
BOX	0	keyboard	0.91940	0.44553	0.23827	1.50840	0.50385	0.17371	0.23440
BOX	0	tv	0.91719	0.34940	-0.07749	1.63440	0.42358	0.42663	0.16943
BOX	0	teddy bear	0.74428	-0.34049	-0.37259	2.76520	0.43529	0.45113	0.60680
BOX	0	mouse	0.51833	-0.21261	0.13470	1.48380	0.15097	0.15379	0.20040
BOX	0	mouse	0.45357	0.81062	0.24540	1.49020	0.12873	0.08295	0.11000
BOX	0	potted plant	0.42146	-0.71417	0.15095	1.71720	0.70216	1.16346	1.06320
BOX	0	potted plant	0.30216	0.06739	-0.20625	1.91200	0.20188	0.31927	0.13760
PLANE	5	0.01653	0.91007	0.41412	0.86585	0.12792	0.28999	1.44845	0.44434	0.01155	4770	0.81235
BOX	5	keyboard	0.92235	0.45294	0.23621	1.51380	0.51147	0.18014	0.27760
BOX	5	tv	0.91489	0.35567	-0.07435	1.63440	0.42358	0.42663	0.16943
BOX	5	teddy bear	0.87519	-0.33765	-0.36465	2.78560	0.42781	0.44376	0.61560
BOX	5	mouse	0.55552	0.82064	0.25112	1.49020	0.12587	0.07723	0.09480
BOX	5	potted plant	0.51073	-0.70758	0.14765	1.71720	0.69557	1.16346	1.13440
BOX	5	potted plant	0.38717	0.07326	-0.19438	1.92160	0.20658	0.31719	0.17840
BOX	5	mouse	0.34846	-0.20781	0.14100	1.49020	0.15162	0.15445	0.25400
PLANE	10	0.01723	0.90951	0.41532	0.86737	0.12941	0.28865	1.45097	0.44343	0.01167	4730	0.81083
