# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_nostructure_notexture_far
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	0.08153	0.47129	0.87820	1.75846	-0.07741	-0.10454	2.06563	0.82469	0.01096	16582	0.82016
PLANE	5	0.07962	0.47303	0.87744	1.75638	-0.07658	-0.10433	2.06490	0.82467	0.01102	16587	0.81937
PLANE	10	0.07345	0.46772	0.88082	1.75387	-0.07531	-0.10264	2.05197	0.81776	0.01104	16592	0.81918
PLANE	15	0.07243	0.46119	0.88434	1.74893	-0.07523	-0.10016	2.03607	0.80972	0.01093	16597	0.82062
PLANE	20	0.07476	0.45111	0.88933	1.74116	-0.07465	-0.09708	2.01336	0.79807	0.01037	16587	0.82824
PLANE	25	0.09095	0.44814	0.88932	1.73440	-0.07874	-0.09653	2.00694	0.79602	0.01031	16584	0.82910
PLANE	30	0.09526	0.44223	0.89183	1.72903	-0.07881	-0.09450	1.99402	0.78950	0.01016	16574	0.83114
PLANE	35	0.10882	0.44768	0.88755	1.72234	-0.08203	-0.09557	1.99882	0.79369	0.00999	16568	0.83347
PLANE	40	0.12390	0.43819	0.89030	1.72473	-0.08664	-0.09442	1.99577	0.79218	0.00951	16573	0.84013
PLANE	45	0.11680	0.45120	0.88475	1.72378	-0.08450	-0.09664	2.00877	0.79924	0.00965	16567	0.83828
PLANE	50	0.10607	0.44964	0.88689	1.72132	-0.08022	-0.09493	1.99857	0.79272	0.00982	16551	0.83580
PLANE	55	0.08748	0.43186	0.89769	1.71999	-0.07395	-0.08977	1.96640	0.77378	0.00927	16541	0.84355
PLANE	60	0.08417	0.44553	0.89130	1.72447	-0.07267	-0.09243	1.98785	0.78448	0.00947	16532	0.84073
PLANE	65	0.08651	0.44300	0.89234	1.72552	-0.07255	-0.09148	1.98615	0.78304	0.00939	16525	0.84196
PLANE	70	0.08830	0.43297	0.89708	1.72441	-0.07240	-0.08905	1.97236	0.77524	0.00930	16518	0.84314
PLANE	75	0.10671	0.43153	0.89576	1.71973	-0.07891	-0.09036	1.97278	0.77775	0.00902	16538	0.84712
PLANE	80	0.11832	0.43174	0.89421	1.71205	-0.08062	-0.08947	1.96847	0.77652	0.00905	16522	0.84670
PLANE	85	0.11443	0.42950	0.89579	1.72246	-0.07977	-0.08921	1.97580	0.77851	0.00911	16523	0.84594
PLANE	90	0.09506	0.45993	0.88285	1.73642	-0.07630	-0.09675	2.02544	0.80366	0.01024	16534	0.82996
PLANE	95	0.08044	0.46685	0.88067	1.73234	-0.06890	-0.09447	2.02343	0.80074	0.01185	16477	0.80838
PLANE	100	0.01469	0.46909	0.88303	1.74396	-0.06071	-0.10153	2.02993	0.80641	0.01070	16624	0.82378
PLANE	105	-0.02449	0.49386	0.86920	1.74477	-0.05227	-0.10741	2.06689	0.82763	0.01133	16640	0.81528
PLANE	110	-0.01545	0.48787	0.87278	1.74510	-0.05350	-0.10605	2.05782	0.82260	0.01138	16639	0.81454
PLANE	115	-0.01220	0.47999	0.87719	1.75285	-0.05435	-0.10384	2.05432	0.81831	0.01237	16629	0.80169
PLANE	120	-0.03855	0.48835	0.87179	1.75182	-0.04949	-0.10550	2.06635	0.82623	0.01228	16652	0.80280
PLANE	125	-0.03321	0.48411	0.87438	1.73386	-0.04896	-0.10429	2.03885	0.81420	0.01135	16655	0.81505
PLANE	130	-0.03729	0.46694	0.88350	1.73357	-0.04851	-0.09996	2.01294	0.79962	0.01139	16662	0.81445
PLANE	135	-0.03988	0.47223	0.88057	1.72835	-0.04776	-0.10089	2.01471	0.80159	0.01128	16656	0.81587
PLANE	140	-0.05059	0.46642	0.88312	1.72628	-0.04498	-0.09915	2.00454	0.79640	0.01121	16660	0.81684
PLANE	145	-0.05991	0.46815	0.88161	1.73322	-0.04296	-0.09944	2.01585	0.80139	0.01166	16662	0.81091
PLANE	150	-0.05717	0.47533	0.87795	1.74071	-0.04332	-0.10201	2.03511	0.81109	0.01169	16673	0.81048
PLANE	155	-0.05578	0.48129	0.87478	1.74622	-0.04371	-0.10340	2.05028	0.81851	0.01212	16667	0.80491
PLANE	160	-0.05084	0.47434	0.87887	1.74687	-0.04499	-0.10166	2.03989	0.81233	0.01175	16665	0.80970
PLANE	165	-0.04969	0.47407	0.87908	1.74401	-0.04516	-0.10170	2.03618	0.81092	0.01160	16667	0.81167
PLANE	170	-0.04677	0.46535	0.88389	1.74377	-0.04566	-0.09986	2.02299	0.80346	0.01158	16669	0.81200
PLANE	175	-0.04259	0.46980	0.88174	1.73842	-0.04690	-0.10062	2.02292	0.80428	0.01128	16661	0.81589
PLANE	180	-0.03966	0.45924	0.88743	1.74405	-0.04751	-0.09859	2.01419	0.79829	0.01105	16665	0.81907
PLANE	185	-0.03945	0.46265	0.88566	1.73915	-0.04732	-0.09897	2.01327	0.79855	0.01126	16661	0.81616
PLANE	190	-0.01602	0.46650	0.88437	1.73502	-0.05403	-0.09964	2.01345	0.79913	0.01150	16644	0.81297
PLANE	195	-0.01054	0.46043	0.88764	1.73430	-0.05570	-0.09819	2.00411	0.79376	0.01169	16638	0.81049
