# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_nostructure_texture_far
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	-0.03322	0.64668	0.76203	1.93484	-0.06132	-0.14018	2.65534	1.12612	0.01686	15549	0.74779
BOX	0	book	0.63181	0.36907	0.43373	2.19800	1.45329	0.97019	0.71600
BOX	0	book	0.41093	-0.52012	-0.19586	2.70100	1.47309	1.10705	1.03400
BOX	0	book	0.35074	0.32832	-0.51972	3.01000	1.37738	0.94342	0.89800
BOX	0	book	0.30635	1.01513	-0.99032	3.39900	0.96498	0.59886	0.67600
PLANE	5	-0.03981	0.64330	0.76458	1.93031	-0.07445	-0.12588	2.62669	1.10469	0.01673	15356	0.74934
BOX	5	book	0.74547	0.39575	0.42965	2.19800	1.44097	0.98649	0.71600
BOX	5	book	0.44938	0.38735	-0.53925	3.01000	1.38300	0.94900	0.96000
BOX	5	book	0.37624	-0.48367	-0.23028	2.72300	1.47492	1.10092	0.99800
BOX	5	book	0.32271	1.08354	-0.98042	3.36500	0.97418	0.58039	0.66200
PLANE	10	-0.04127	0.64275	0.76497	1.92247	-0.06980	-0.13560	2.62332	1.10498	0.01649	15685	0.75195
BOX	10	book	0.61424	0.41423	0.41742	2.19800	1.43687	0.99464	0.71600
BOX	10	book	0.36328	0.43233	-0.55042	3.01000	1.39425	0.96016	0.96000
BOX	10	book	0.30683	-0.44640	-0.26768	2.74400	1.47604	1.10941	1.01400
PLANE	15	-0.04479	0.63626	0.77017	1.92624	-0.06365	-0.13020	2.60492	1.09267	0.01636	15511	0.75350
BOX	15	book	0.68289	0.40602	0.42150	2.19800	1.44508	1.00280	0.70600
BOX	15	book	0.49287	0.44253	-0.54290	2.98400	1.37663	0.94634	0.94200
BOX	15	book	0.39715	-0.32779	-1.26750	3.50300	1.28238	0.68215	0.71800
BOX	15	book	0.39473	1.14794	-0.98037	3.33300	0.98982	0.58105	0.59000
BOX	15	book	0.34022	-0.43535	-0.26311	2.72300	1.45966	1.09587	0.99800
BOX	15	book	0.30985	0.54515	-1.41662	3.65300	1.41917	0.52166	0.56767
PLANE	20	-0.05512	0.63404	0.77133	1.92408	-0.06329	-0.12789	2.59508	1.08722	0.01616	15523	0.75579
BOX	20	book	0.46034	0.39119	0.42692	2.18400	1.41956	0.98021	0.70600
BOX	20	book	0.37540	0.42302	-0.54566	2.98400	1.37106	0.95187	0.94200
BOX	20	book	0.34396	-0.34742	-1.27075	3.50300	1.29547	0.67565	0.64000
PLANE	25	-0.05940	0.63167	0.77296	1.91688	-0.07719	-0.13232	2.58212	1.08340	0.01636	15687	0.75342
BOX	25	book	0.70532	0.37896	0.41274	2.18400	1.44403	1.00046	0.70600
BOX	25	book	0.62219	0.41745	-0.55950	2.98400	1.38220	0.96847	0.98800
BOX	25	book	0.47271	-0.33423	-1.27091	3.46800	1.27605	0.64318	0.64000
BOX	25	book	0.46602	-0.46967	-0.28853	2.70100	1.46300	1.11206	0.98200
BOX	25	book	0.38542	0.55621	-1.40150	3.61400	1.30277	0.51609	0.54200
PLANE	30	-0.05109	0.63181	0.77344	1.91561	-0.07927	-0.12545	2.57399	1.07501	0.01611	15572	0.75635
BOX	30	book	0.51588	0.39071	0.41613	2.17000	1.41451	0.98197	0.69800
BOX	30	book	0.49153	-0.32776	-1.26770	3.46800	1.27605	0.64961	0.64000
BOX	30	book	0.45945	0.42210	-0.54914	2.95800	1.37569	0.96003	0.92800
BOX	30	book	0.36911	0.56296	-1.41490	3.61400	1.31627	0.48928	0.52651
BOX	30	book	0.35439	1.12424	-0.98596	3.30000	0.96769	0.59366	0.65000
PLANE	35	-0.05494	0.62525	0.77849	1.91525	-0.05547	-0.12875	2.55970	1.06917	0.01573	15677	0.76070
BOX	35	book	0.65022	0.39882	0.41412	2.17000	1.43883	0.97795	0.69800
BOX	35	book	0.52650	-0.31804	-1.25490	3.43300	1.27599	0.64305	0.61400
BOX	35	book	0.49982	-0.44002	-0.26925	2.65900	1.44522	1.10463	0.96600
BOX	35	book	0.45452	0.43223	-0.54450	2.93300	1.38049	0.96280	0.91000
BOX	35	book	0.41791	1.15506	-0.98596	3.30000	0.98001	0.59366	0.63800
BOX	35	book	0.34948	0.57983	-1.41825	3.61400	1.28252	0.48258	0.51301
PLANE	40	-0.05814	0.62212	0.78076	1.91125	-0.07307	-0.13122	2.54705	1.06550	0.01619	15715	0.75545
BOX	40	book	0.59307	0.40953	-0.51828	2.90800	1.36329	0.98695	0.93800
BOX	40	book	0.51170	0.36806	0.42144	2.15600	1.45371	0.95165	0.65600
BOX	40	book	0.46133	-0.33076	-1.24248	3.39900	1.26970	0.63668	0.67600
BOX	40	book	0.39129	0.56449	-1.37241	3.53900	1.26251	0.50538	0.50500
BOX	40	book	0.33250	-0.45769	-0.24082	2.61800	1.45227	1.13615	0.97000
PLANE	45	-0.05960	0.63014	0.77419	1.90780	-0.07315	-0.13564	2.56902	1.07508	0.01626	15809	0.75463
BOX	45	book	0.79454	0.36604	0.43544	2.15600	1.47384	0.92366	0.65600
BOX	45	book	0.55628	-0.50029	-0.19562	2.59800	1.46544	1.14674	1.00400
BOX	45	book	0.47103	0.38509	-0.48862	2.90800	1.39045	0.99234	0.93800
BOX	45	book	0.36120	-0.39498	-1.23580	3.43300	1.28882	0.68125	0.61400
BOX	45	book	0.31057	0.47355	-1.37681	3.57600	1.33582	0.53056	0.53433
PLANE	50	-0.06572	0.62294	0.77951	1.91329	-0.05335	-0.13767	2.56001	1.07114	0.01615	15831	0.75591
BOX	50	book	0.77759	0.35383	0.45467	2.14300	1.47696	0.87437	0.61600
BOX	50	book	0.46852	-0.51688	-0.15478	2.56000	1.48226	1.14896	0.95800
BOX	50	book	0.36449	0.35724	-0.44857	2.85900	1.38838	1.00744	0.96200
BOX	50	book	0.34712	1.05474	-0.90138	3.23800	0.99789	0.61853	0.61400
PLANE	55	-0.06335	0.62306	0.77961	1.91443	-0.06406	-0.13613	2.55922	1.07187	0.01620	15762	0.75527
BOX	55	book	0.60354	0.36345	0.47144	2.12900	1.49913	0.83707	0.59965
BOX	55	book	0.41569	0.34349	-0.40469	2.81200	1.37081	1.01174	0.93200
BOX	55	book	0.36143	1.06594	-0.85436	3.20800	0.97067	0.63065	0.65600
BOX	55	book	0.35038	0.44753	-1.31298	3.50300	1.35435	0.59120	0.54174
BOX	55	book	0.32987	-0.49836	-0.09795	2.50300	1.44458	1.14659	0.96200
PLANE	60	-0.04709	0.62394	0.78005	1.91622	-0.07345	-0.12852	2.55489	1.06377	0.01626	15755	0.75462
BOX	60	book	0.66707	0.37111	0.48426	2.11600	1.50973	0.80056	0.60389
BOX	60	book	0.49996	0.36900	-0.35973	2.76700	1.35921	1.02120	0.90000
BOX	60	book	0.44735	-0.49477	-0.06498	2.48500	1.47132	1.18443	0.99200
BOX	60	book	0.39628	0.46061	-1.30323	3.50300	1.39361	0.61069	0.57600
BOX	60	book	0.32662	1.05222	-0.82112	3.14900	0.99987	0.64241	0.63200
PLANE	65	-0.06868	0.62507	0.77754	1.91255	-0.06532	-0.13617	2.56343	1.07258	0.01643	15805	0.75272
BOX	65	book	0.74614	0.31973	0.49211	2.11600	1.47812	0.78487	0.59125
BOX	65	book	0.59305	0.31724	-0.35225	2.78900	1.37523	1.05001	0.95400
BOX	65	book	0.46752	-0.54187	-0.05765	2.46700	1.46066	1.18043	0.97600
BOX	65	book	0.39652	0.39845	-1.29349	3.50300	1.37398	0.63018	0.57600
