# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_structure_notexture_far
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	-0.36722	-0.24283	0.89788	1.42786	0.01918	-0.05619	1.58292	0.44450	0.00753	8400	0.86916
PLANE	0	0.00803	0.95880	0.28397	1.05759	0.19679	0.47165	2.12626	0.95889	0.00888	3379	0.84924
PLANE	0	-0.42163	-0.22538	0.87831	2.38349	-1.00539	-0.24835	2.16735	0.35797	0.01085	2477	0.82171
PLANE	0	0.31214	-0.01322	0.94995	4.16700	1.83911	-0.90385	3.76969	0.34288	0.01839	430	0.73107
PLANE	0	0.29171	-0.01239	0.95643	4.21379	1.67120	-1.02391	3.88279	0.43645	0.02027	541	0.71151
PLANE	5	-0.38583	-0.24115	0.89050	1.43155	-0.00661	-0.05551	1.58969	0.44737	0.00758	8392	0.86838
PLANE	5	0.00202	0.95962	0.28128	1.06160	0.22676	0.47612	2.14825	0.95229	0.00929	3391	0.84331
PLANE	5	-0.44790	-0.22354	0.86569	2.38528	-1.01243	-0.24381	2.16857	0.36495	0.01115	2291	0.81767
PLANE	5	0.31236	-0.01688	0.94981	4.16922	1.83405	-0.87325	3.77085	0.34163	0.01817	401	0.73342
PLANE	5	0.30197	-0.01910	0.95312	4.22630	1.66728	-1.04414	3.88498	0.43757	0.02070	629	0.70726
BOX	5	refrigerator	0.31019	-0.23751	-0.05609	1.67100	1.49185	1.41626	0.79400
PLANE	10	-0.39030	-0.24429	0.88769	1.43334	-0.01020	-0.05350	1.59548	0.44920	0.00785	8355	0.86430
PLANE	10	-0.01796	0.95991	0.27974	1.06321	0.23609	0.47786	2.17613	0.97143	0.00954	3410	0.83979
PLANE	10	-0.44992	-0.22857	0.86333	2.38703	-1.00644	-0.25789	2.17215	0.36961	0.01120	2244	0.81704
PLANE	10	0.42729	-0.00738	0.90409	4.21577	1.80868	-0.93604	3.80056	0.39050	0.01995	448	0.71482
PLANE	10	0.27422	-0.01436	0.96156	4.21418	1.68255	-1.00114	3.88787	0.44360	0.02040	574	0.71026
BOX	10	refrigerator	0.35446	-0.23439	-0.05764	1.67100	1.49809	1.41316	0.82200
PLANE	15	-0.39828	-0.23500	0.88665	1.43183	-0.00110	-0.05254	1.60046	0.44941	0.00769	8290	0.86671
PLANE	15	-0.00730	0.96208	0.27268	1.05909	0.23953	0.48502	2.17913	0.97112	0.00941	3322	0.84167
PLANE	15	-0.46006	-0.21873	0.86052	2.38313	-0.97825	-0.24340	2.18453	0.40297	0.01123	2338	0.81660
PLANE	15	0.27513	-0.00749	0.96138	4.21603	1.69718	-1.01957	3.89175	0.44055	0.02004	645	0.71389
PLANE	20	-0.41282	-0.22618	0.88228	1.42836	0.00525	-0.05588	1.60707	0.44889	0.00785	8154	0.86430
PLANE	20	0.00652	0.96245	0.27137	1.05526	0.22505	0.48819	2.15174	0.94692	0.00934	3309	0.84259
PLANE	20	-0.47265	-0.21036	0.85578	2.37613	-0.94624	-0.23113	2.19716	0.44134	0.01140	2372	0.81431
PLANE	20	0.26190	-0.01023	0.96504	4.21475	1.70993	-1.02782	3.89248	0.41257	0.02042	618	0.71000
BOX	20	refrigerator	0.40635	-0.24939	-0.04884	1.68800	1.51964	1.44632	0.81800
PLANE	25	-0.42323	-0.22423	0.87784	1.41870	0.00340	-0.09456	1.59361	0.42248	0.00665	7585	0.88255
PLANE	25	0.01156	0.96346	0.26762	1.04851	0.22770	0.49715	2.11830	0.88866	0.01023	3761	0.83016
