# wme_scene_export  D:\Program Files\Slam-Model\data\rgbd_dataset_freiburg3_structure_texture_far
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	-0.00008	0.93966	0.34211	1.12019	-0.03630	0.43324	2.08440	0.87691	0.00898	5077	0.84773
PLANE	0	-0.03970	-0.31051	0.94974	1.71021	0.11975	-0.15349	1.75553	0.44513	0.01255	7035	0.79940
PLANE	0	-0.18801	-0.30819	0.93256	2.71567	-1.00804	-0.47521	2.55178	0.39314	0.01375	2947	0.78429
PLANE	5	0.00136	0.93867	0.34480	1.11863	-0.04915	0.42501	2.08742	0.90650	0.00847	4596	0.85518
PLANE	5	-0.03729	-0.30797	0.95067	1.72204	0.10571	0.22369	1.88802	0.36163	0.01157	2931	0.81206
PLANE	5	-0.18582	-0.31367	0.93117	2.71419	-1.00169	-0.48115	2.55285	0.39304	0.01395	2942	0.78190
PLANE	5	-0.04099	-0.26162	0.96430	1.71287	0.12342	-0.29447	1.70164	0.40068	0.01858	4755	0.72910
PLANE	10	-0.02931	-0.33632	0.94129	1.70676	0.14549	-0.19845	1.74683	0.40998	0.00731	6593	0.87239
PLANE	10	-0.00220	0.93579	0.35255	1.11242	-0.05075	0.42135	2.03664	0.82147	0.00899	5847	0.84759
PLANE	10	-0.17806	-0.32264	0.92962	2.71215	-0.99308	-0.50129	2.55328	0.38710	0.01354	2869	0.78685
PLANE	15	-0.02382	-0.33956	0.94028	1.70712	0.15923	-0.20176	1.74672	0.40919	0.00719	6572	0.87435
PLANE	15	-0.00720	0.93479	0.35512	1.11031	-0.07033	0.41866	2.02309	0.80888	0.00889	5890	0.84900
PLANE	15	-0.17237	-0.32583	0.92958	2.71271	-0.97508	-0.51401	2.55723	0.38665	0.01390	2879	0.78245
PLANE	20	-0.02181	-0.34559	0.93813	1.71044	0.17189	-0.21077	1.74959	0.40592	0.00709	6452	0.87576
PLANE	20	-0.00727	0.93242	0.36130	1.10620	-0.07703	0.40494	2.01510	0.80784	0.00898	6109	0.84771
PLANE	20	-0.16749	-0.33503	0.92720	2.71197	-0.96457	-0.52811	2.55984	0.38337	0.01424	2835	0.77838
BOX	20	book	0.39487	-0.16591	0.53092	1.70500	1.70054	0.36364	0.68022
PLANE	25	-0.02547	-0.35109	0.93599	1.71403	0.17635	-0.21971	1.75362	0.40345	0.00692	6350	0.87846
PLANE	25	-0.00491	0.93049	0.36628	1.10025	-0.07828	0.39731	1.99350	0.79064	0.00859	6232	0.85338
PLANE	25	-0.17023	-0.34052	0.92470	2.71413	-0.95998	-0.53639	2.56090	0.38193	0.01419	2816	0.77899
PLANE	30	-0.03307	-0.35520	0.93420	1.72204	0.16796	-0.22645	1.76316	0.40150	0.00691	6218	0.87863
PLANE	30	-0.01181	0.92905	0.36976	1.09933	-0.07047	0.39133	1.98760	0.78710	0.00884	6351	0.84976
PLANE	30	-0.17939	-0.34441	0.92152	2.72035	-0.96747	-0.54149	2.56131	0.37829	0.01375	2780	0.78425
BOX	30	book	0.36599	-0.14203	0.51194	1.70500	1.75468	0.40159	0.70187
PLANE	35	-0.04534	-0.35415	0.93409	1.73822	0.16529	-0.23069	1.78143	0.40281	0.00702	6127	0.87685
PLANE	35	-0.01328	0.92942	0.36877	1.10163	-0.05926	0.39019	2.00174	0.79751	0.00881	6398	0.85013
PLANE	35	-0.18967	-0.34224	0.92027	2.73248	-0.97445	-0.54129	2.56708	0.38060	0.01406	2818	0.78057
PLANE	40	-0.06249	-0.35465	0.93291	1.76005	0.15697	-0.24422	1.80430	0.40168	0.00722	5943	0.87382
PLANE	40	-0.00312	0.92935	0.36918	1.09552	-0.04272	0.38363	2.00132	0.79585	0.00879	6553	0.85052
PLANE	40	-0.20997	-0.33932	0.91694	2.75070	-0.98544	-0.53852	2.57493	0.38359	0.01435	2855	0.77699
BOX	40	book	0.31816	-0.11230	0.50958	1.71300	1.82370	0.41935	0.72948
PLANE	45	-0.06742	-0.35742	0.93151	1.78146	0.16948	-0.25556	1.82666	0.40025	0.00724	5759	0.87352
PLANE	45	-0.00761	0.92790	0.37275	1.09269	-0.05552	0.37639	1.99333	0.78752	0.00885	6720	0.84965
PLANE	45	-0.21423	-0.34335	0.91445	2.76775	-0.97411	-0.55710	2.58930	0.38190	0.01442	2828	0.77619
PLANE	50	-0.06797	-0.36908	0.92691	1.79942	0.18899	-0.27778	1.84457	0.39441	0.00707	5488	0.87611
PLANE	50	-0.01003	0.92425	0.38167	1.08043	-0.05190	0.34758	1.98775	0.79866	0.00872	7204	0.85150
PLANE	50	-0.21514	-0.35774	0.90870	2.78059	-0.95559	-0.58613	2.60297	0.37792	0.01446	2767	0.77569
PLANE	55	-0.07859	-0.37277	0.92459	1.80961	0.18935	-0.28670	1.85771	0.39297	0.00710	5369	0.87567
PLANE	55	-0.01148	0.92100	0.38940	1.08891	-0.04824	0.34607	1.97641	0.78305	0.00883	7281	0.84987
PLANE	55	-0.22576	-0.36046	0.90504	2.78773	-0.95601	-0.59358	2.60534	0.37683	0.01485	2749	0.77099
PLANE	60	-0.09336	-0.36764	0.92527	1.80986	0.18709	-0.28688	1.86093	0.39304	0.00708	5341	0.87597
PLANE	60	-0.00854	0.92414	0.38195	1.07538	-0.04765	0.34698	1.97491	0.78390	0.00886	7271	0.84953
PLANE	60	-0.23991	-0.35300	0.90434	2.78384	-0.96231	-0.58379	2.59514	0.37989	0.01452	2828	0.77500
PLANE	65	-0.11760	-0.36978	0.92165	1.80837	0.17917	-0.29254	1.86760	0.39213	0.00720	5259	0.87415
PLANE	65	0.00092	0.92161	0.38812	1.08235	-0.03422	0.34575	1.96777	0.77560	0.00863	7310	0.85277
PLANE	65	-0.26628	-0.35070	0.89783	2.77769	-0.97171	-0.57121	2.58246	0.38074	0.01432	2878	0.77732
PLANE	70	-0.14683	-0.36184	0.92060	1.81122	0.16576	-0.29274	1.87880	0.39324	0.00733	5203	0.87219
PLANE	70	0.00912	0.92439	0.38133	1.07858	-0.01637	0.35322	1.97258	0.77446	0.00858	7179	0.85358
PLANE	70	-0.29652	-0.34026	0.89236	2.77105	-0.98018	-0.54730	2.57092	0.38550	0.01436	2960	0.77687
BOX	70	book	0.31192	-0.04374	0.46595	1.72200	1.94585	0.50140	0.77834
PLANE	75	-0.17109	-0.36098	0.91675	1.81183	0.16184	-0.29649	1.88984	0.39372	0.00751	5120	0.86942
PLANE	75	0.01345	0.92396	0.38225	1.08342	-0.00265	0.35065	1.98684	0.78343	0.00897	7212	0.84789
PLANE	75	-0.31861	-0.33443	0.88693	2.76466	-0.98646	-0.53851	2.55970	0.38504	0.01460	2957	0.77398
BOX	75	book	0.36989	-0.03589	0.46678	1.73100	1.95279	0.52007	0.78112
PLANE	80	-0.20168	-0.35470	0.91297	1.81711	0.14476	-0.30168	1.90511	0.39406	0.00769	5019	0.86665
PLANE	80	0.02516	0.92378	0.38210	1.08275	0.00613	0.35221	1.98177	0.77604	0.00868	7233	0.85211
PLANE	80	-0.35216	-0.32507	0.87768	2.76156	-1.00128	-0.52072	2.55183	0.38384	0.01422	2921	0.77858
PLANE	80	0.37794	-0.01587	0.92569	4.46995	1.86552	-1.20864	4.04638	0.32644	0.01994	476	0.71488
BOX	80	book	0.39555	-0.03281	0.46410	1.73900	2.00079	0.52570	0.80032
PLANE	85	-0.20839	-0.35341	0.91196	1.82300	0.16383	-0.30905	1.91665	0.39293	0.00761	4917	0.86794
PLANE	85	0.02531	0.92279	0.38447	1.08591	0.00678	0.34947	1.98522	0.77683	0.00912	7269	0.84578
PLANE	85	-0.35731	-0.32626	0.87515	2.76085	-0.99574	-0.52622	2.55200	0.38342	0.01436	2947	0.77689
PLANE	85	0.39777	-0.02277	0.91720	4.49040	1.88100	-1.24517	4.04910	0.32297	0.02054	471	0.70885
BOX	85	book	0.34783	-0.02469	0.46087	1.73900	1.99754	0.53215	0.81200
PLANE	90	-0.20626	-0.35803	0.91064	1.82843	0.18230	-0.31023	1.92716	0.39416	0.00761	4885	0.86786
PLANE	90	0.00679	0.92376	0.38291	1.08515	-0.00350	0.35080	1.98770	0.77734	0.00877	7309	0.85076
PLANE	90	-0.35704	-0.33427	0.87223	2.76238	-0.98643	-0.53881	2.55676	0.38311	0.01451	2949	0.77503
PLANE	90	0.59841	-0.08375	0.79680	4.49869	1.88018	-1.12698	4.11544	0.34636	0.02142	521	0.70012
PLANE	95	-0.20918	-0.36615	0.90674	1.83314	0.19647	-0.31894	1.93821	0.39292	0.00759	4779	0.86823
PLANE	95	-0.00048	0.92218	0.38677	1.08571	-0.01073	0.34573	1.98279	0.77318	0.00886	7440	0.84945
PLANE	95	-0.35693	-0.34062	0.86981	2.76332	-0.98210	-0.55365	2.55709	0.38064	0.01446	2927	0.77573
PLANE	95	0.59649	-0.08302	0.79832	4.52435	1.89961	-1.12325	4.13121	0.33782	0.02139	493	0.70042
PLANE	100	-0.21768	-0.36890	0.90362	1.84321	0.20263	-0.32521	1.95585	0.39342	0.00768	4687	0.86681
PLANE	100	-0.01315	0.92144	0.38831	1.08735	-0.01003	0.34235	1.98751	0.77708	0.00898	7518	0.84778
PLANE	100	-0.36357	-0.34193	0.86654	2.76976	-0.98128	-0.56476	2.56176	0.38114	0.01463	2895	0.77363
PLANE	105	-0.23665	-0.36501	0.90042	1.85473	0.20021	-0.32950	1.97889	0.39557	0.00786	4600	0.86415
PLANE	105	-0.01733	0.92380	0.38249	1.08531	-0.00829	0.34872	1.99486	0.77511	0.00866	7474	0.85233
PLANE	105	-0.38056	-0.33467	0.86207	2.77430	-0.99104	-0.56052	2.56308	0.37994	0.01492	2878	0.77015
BOX	105	book	0.31240	-0.01181	0.45587	1.75700	2.07073	0.55069	0.84200
PLANE	110	-0.24983	-0.36751	0.89584	1.87389	0.22084	-0.35077	2.00946	0.39192	0.00807	4355	0.86108
PLANE	110	-0.01170	0.92294	0.38476	1.07552	-0.01731	0.33984	1.97959	0.76152	0.00862	7701	0.85301
PLANE	110	-0.39482	-0.33752	0.85451	2.78377	-0.98719	-0.57086	2.57612	0.38147	0.01495	2882	0.76983
PLANE	110	0.37648	-0.03256	0.92585	4.63202	1.91578	-1.23488	4.18054	0.33009	0.02070	495	0.70722
BOX	110	book	0.39904	-0.02212	0.42721	1.79400	2.10093	0.65212	1.02200
PLANE	115	-0.26392	-0.37494	0.88869	1.89457	0.23993	-0.37775	2.04376	0.38686	0.00797	4081	0.86254
PLANE	115	-0.00646	0.91748	0.39773	1.07701	-0.02487	0.32338	1.96154	0.75352	0.00862	7938	0.85292
PLANE	115	-0.41126	-0.34494	0.84373	2.79411	-0.98027	-0.59028	2.59247	0.38038	0.01470	2838	0.77282
PLANE	115	0.35332	-0.00898	0.93546	4.62934	1.94117	-1.29945	4.20308	0.31646	0.02041	446	0.71017
BOX	115	book	0.31972	-0.01502	0.42111	1.74800	2.05359	0.61919	0.93200
PLANE	120	-0.26789	-0.37526	0.88736	1.91150	0.27556	-0.38994	2.07242	0.38658	0.00827	3946	0.85813
PLANE	120	-0.00726	0.91816	0.39613	1.07026	-0.02745	0.31558	1.96982	0.76087	0.00856	8142	0.85378
PLANE	120	-0.41844	-0.34627	0.83965	2.80175	-0.95728	-0.60474	2.61037	0.38460	0.01477	2829	0.77192
BOX	120	book	0.32428	-0.01838	0.41514	1.75700	2.06416	0.63867	0.98000
PLANE	125	-0.01265	0.91383	0.40589	1.06728	-0.04733	0.29890	1.95506	0.75737	0.00854	8422	0.85418
PLANE	125	-0.26451	-0.38367	0.88478	1.92343	0.32305	-0.40982	2.09278	0.38133	0.00878	3760	0.85068
PLANE	125	-0.40884	-0.35948	0.83882	2.80874	-0.92200	-0.63727	2.62595	0.38014	0.01513	2761	0.76767
BOX	125	book	0.50466	-0.00689	0.39884	1.75700	2.08713	0.67126	1.00800
PLANE	130	-0.26910	-0.39015	0.88055	1.92459	0.35441	-0.42294	2.10658	0.37861	0.00859	3636	0.85340
PLANE	130	-0.01630	0.91064	0.41288	1.06593	-0.05460	0.28765	1.94510	0.75543	0.00864	8573	0.85266
PLANE	130	-0.40613	-0.36560	0.83749	2.81005	-0.89736	-0.65927	2.63235	0.37577	0.01508	2660	0.76824
BOX	130	book	0.44901	-0.00357	0.38831	1.73900	2.06575	0.67083	1.01000
PLANE	135	-0.27620	-0.38419	0.88097	1.91679	0.37131	-0.41602	2.11076	0.38244	0.00854	3675	0.85416
PLANE	135	-0.01778	0.91222	0.40931	1.07335	-0.05806	0.29485	1.96270	0.76468	0.00888	8445	0.84919
PLANE	135	-0.41131	-0.36346	0.83590	2.79720	-0.88050	-0.65026	2.63035	0.38045	0.01507	2719	0.76843
BOX	135	book	0.45484	-0.00522	0.39680	1.74800	2.07318	0.66134	1.00800
PLANE	140	-0.28635	-0.37541	0.88152	1.90477	0.38416	-0.40831	2.11169	0.38550	0.00860	3699	0.85320
PLANE	140	-0.01312	0.91539	0.40235	1.07307	-0.05926	0.30763	1.96519	0.75492	0.00901	8248	0.84728
PLANE	140	-0.41803	-0.35123	0.83779	2.78273	-0.87782	-0.64160	2.61453	0.38065	0.01480	2740	0.77165
BOX	140	book	0.40625	-0.00525	0.40862	1.75700	2.07729	0.65171	0.99400
PLANE	145	-0.29118	-0.37494	0.88013	1.88969	0.40969	-0.40845	2.10859	0.38505	0.00884	3679	0.84975
PLANE	145	-0.01674	0.91607	0.40068	1.06793	-0.06989	0.31204	1.94896	0.73648	0.00893	8166	0.84853
PLANE	145	-0.42130	-0.35227	0.83571	2.76375	-0.85522	-0.63921	2.60649	0.38233	0.01459	2780	0.77416
BOX	145	book	0.39367	-0.00697	0.40151	1.77600	2.10307	0.67522	1.03000
PLANE	150	-0.01443	0.91456	0.40420	1.05709	-0.06332	0.29704	1.94093	0.74266	0.00851	8398	0.85453
PLANE	150	-0.30178	-0.38148	0.87373	1.88053	0.42201	-0.42095	2.11427	0.38146	0.00914	3563	0.84545
PLANE	150	-0.43016	-0.35629	0.82947	2.74923	-0.84956	-0.64621	2.59630	0.38057	0.01468	2754	0.77298
BOX	150	book	0.36899	-0.00198	0.38287	1.76600	2.09453	0.70417	1.10800
PLANE	155	-0.01408	0.91057	0.41312	1.06491	-0.05986	0.28505	1.94738	0.75598	0.00898	8519	0.84777
PLANE	155	-0.31289	-0.38591	0.86786	1.86778	0.44145	-0.42944	2.12036	0.37865	0.00936	3461	0.84237
PLANE	155	-0.43972	-0.36177	0.82206	2.73338	-0.83045	-0.65032	2.59465	0.37864	0.01492	2720	0.77020
BOX	155	book	0.50961	-0.00361	0.37929	1.75700	2.07401	0.70384	1.09800
PLANE	160	-0.00635	0.91083	0.41273	1.06217	-0.05023	0.28858	1.93591	0.74353	0.00874	8483	0.85115
PLANE	160	-0.33461	-0.37925	0.86267	1.86212	0.43580	-0.43738	2.13530	0.37808	0.00933	3363	0.84280
PLANE	160	-0.46338	-0.35290	0.81286	2.71881	-0.84770	-0.63915	2.58402	0.38059	0.01456	2765	0.77450
BOX	160	book	0.62550	0.43012	0.38124	1.76600	1.24352	0.70745	1.08400
BOX	160	book	0.36473	-0.45601	0.42949	1.63200	0.82606	0.50546	0.71200
PLANE	165	-0.00831	0.90913	0.41643	1.05901	-0.04863	0.27914	1.93270	0.74829	0.00875	8621	0.85106
PLANE	165	-0.34954	-0.38200	0.85551	1.85391	0.44233	-0.44833	2.14756	0.37542	0.00916	3246	0.84520
PLANE	165	-0.47404	-0.35280	0.80673	2.70882	-0.84538	-0.64509	2.57892	0.37896	0.01480	2723	0.77158
BOX	165	book	0.54680	0.43342	0.36813	1.76600	1.22373	0.71400	1.12200
PLANE	170	-0.00202	0.91012	0.41433	1.05560	-0.05685	0.27950	1.93350	0.74647	0.00865	8628	0.85253
PLANE	170	-0.35551	-0.37567	0.85585	1.84617	0.44575	-0.46919	2.13633	0.37232	0.00918	2670	0.84492
PLANE	170	-0.48113	-0.35045	0.80356	2.69367	-0.79756	-0.62471	2.60219	0.37422	0.01438	2596	0.77663
PLANE	170	0.02673	-0.02081	0.99943	2.26335	0.11620	-0.48477	2.25145	0.71490	0.02205	834	0.69394
BOX	170	book	0.40261	-0.00033	0.36363	1.77600	2.08980	0.75098	1.18600
PLANE	175	-0.01000	0.90675	0.42156	1.05384	-0.06743	0.27020	1.91709	0.73793	0.00847	8811	0.85509
PLANE	175	-0.35703	-0.38647	0.85040	1.84454	0.46307	-0.47921	2.14567	0.37050	0.00920	2569	0.84464
PLANE	175	-0.48124	-0.35886	0.79977	2.69082	-0.78173	-0.64521	2.60461	0.36899	0.01413	2499	0.77965
PLANE	175	0.02542	-0.01366	0.99958	2.25990	0.15741	-0.50155	2.24998	0.68914	0.02261	823	0.68857
BOX	175	book	0.33474	0.04090	0.35503	1.76600	2.00217	0.75985	1.17400
PLANE	180	-0.01958	0.90452	0.42597	1.04796	-0.06504	0.25497	1.91575	0.74820	0.00853	9047	0.85419
PLANE	180	-0.35282	-0.39537	0.84806	1.84473	0.48044	-0.49380	2.14491	0.36141	0.00985	2463	0.83535
