# wme_scene_export  data\kitti_00
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
PLANE	0	0.00000	0.00000	1.00000	22.71484	-7.04569	-0.85875	22.71484	9.30723	0.00000	257	0.64250
BOX	0	car	0.90888	2.71285	0.78865	7.68359	2.52252	1.49641	2.59375
BOX	0	car	0.72552	-8.60068	0.86561	24.13281	4.09568	1.47713	4.71875
BOX	0	car	0.49399	-7.14337	0.74130	29.14453	1.62172	1.33792	3.78125
BOX	0	car	0.37804	-2.18860	0.68097	24.13281	0.80571	1.04071	0.32228
BOX	4	car	0.90620	3.25580	0.79209	4.77344	1.87921	0.88316	6.00000
BOX	4	car	0.85782	-7.61717	1.02732	18.33203	4.15677	1.55560	4.22656
BOX	4	car	0.56858	-6.07910	0.96040	22.79688	1.74420	1.30022	2.44531
BOX	8	car	0.87038	-7.24570	1.06442	11.99609	4.57245	1.60202	2.28125
BOX	8	car	0.77631	-6.00765	0.94896	16.13281	2.93995	1.41387	3.94531
BOX	8	car	0.69616	-6.61384	0.86962	25.74219	3.18708	1.61145	6.00000
BOX	8	car	0.39543	-6.99908	0.72866	44.44922	3.46266	1.23667	6.00000
BOX	8	person	0.30867	-1.09397	0.47778	31.84766	0.93037	1.86074	0.99219
BOX	12	car	0.78809	-5.93524	1.05655	9.51953	3.15174	1.50966	1.61719
BOX	12	car	0.75569	-6.65025	0.89741	13.78906	2.51284	1.15092	6.00000
BOX	12	car	0.71707	-6.29369	0.96385	18.83594	3.24913	1.62456	2.09375
BOX	12	car	0.42607	3.04994	0.53640	20.52734	2.34156	1.88467	2.91406
BOX	12	car	0.39949	-6.72472	0.82099	38.61328	3.54518	1.45030	2.42969
BOX	16	car	0.91303	-6.80104	0.98648	11.03125	4.66505	1.67267	1.86602
BOX	16	car	0.81857	2.94192	0.56014	12.87109	2.48879	1.91583	2.60938
BOX	16	car	0.65126	-6.99105	0.83815	29.70312	3.80144	1.44620	5.84375
BOX	16	car	0.40013	2.98496	0.73908	30.73828	1.88144	1.58212	6.00000
BOX	16	traffic light	0.38256	-11.50934	-0.67329	29.84766	0.49825	1.49476	0.86719
PLANE	20	0.00000	0.00000	1.00000	20.87109	-12.54325	-0.63715	20.87109	1.27744	0.00000	159	0.39750
BOX	20	car	0.70012	2.67345	0.40029	4.69531	2.90658	1.61332	3.89844
BOX	20	car	0.48033	3.11089	0.70161	22.63281	2.01501	1.47977	6.00000
BOX	24	car	0.80717	-6.96022	0.78908	14.81641	4.22527	1.25728	3.25781
BOX	24	car	0.51328	3.29337	0.72937	15.29297	2.25505	1.51046	4.10938
BOX	24	car	0.46738	-5.88894	0.53303	32.51562	2.62348	1.44744	6.00000
BOX	24	car	0.39933	3.01904	0.31457	25.74219	2.25603	1.57564	4.42969
BOX	24	car	0.34024	-6.73917	0.61895	25.74219	2.72156	1.53983	3.60938
BOX	28	car	0.89334	3.34239	0.78323	7.28516	2.89843	1.44922	4.32031
BOX	28	car	0.87736	-5.75842	1.18389	7.85938	1.76024	1.60718	1.51562
BOX	28	car	0.69910	-6.21381	0.90723	9.55078	3.12223	1.42161	2.39844
BOX	28	car	0.68915	-6.95074	0.78822	17.55078	4.22377	1.48931	4.48438
BOX	28	car	0.35092	3.02435	0.32715	17.70312	2.65969	1.84701	5.77344
BOX	28	car	0.34136	-5.23154	0.56292	25.63672	4.24392	1.35520	6.00000
PLANE	32	0.00000	0.00000	1.00000	35.10547	-12.52750	-5.15386	35.10547	3.00681	0.00000	150	0.37500
BOX	32	car	0.79774	-5.52437	0.61215	17.06641	3.48994	1.23454	2.87500
BOX	32	car	0.79564	-6.59946	0.94737	10.04688	3.77357	1.48148	1.50943
BOX	32	car	0.68778	3.36455	0.37316	17.55078	1.85553	1.58697	5.65625
BOX	32	car	0.64074	-6.82192	0.35573	35.10547	3.46730	1.31855	2.04688
BOX	32	car	0.40435	4.04685	-0.14497	38.37500	2.02857	1.12105	0.95312
BOX	32	car	0.39146	-5.96209	0.67553	11.48438	2.49224	1.35795	4.96094
