# wme_scene_export  D:\Program Files\Slam-Model\data\kitti_04
# 좌표계는 카메라 좌표계. 뷰어가 각 시스템의 추정 포즈로 옮긴다.
# PLANE	frame	nx	ny	nz	d	cx	cy	cz	extent	rms	inliers	conf
# BOX	frame	class	conf	cx	cy	cz	sx	sy	sz
BOX	0	car	0.86186	-8.90977	0.77919	22.58984	2.74749	1.56543	3.11719
BOX	0	car	0.46439	-0.04384	0.23351	22.34375	1.80117	1.67478	0.72047
BOX	5	car	0.61150	-8.78258	0.54625	46.03906	2.21376	1.36732	3.51562
BOX	5	car	0.57526	-0.04384	0.28091	22.34375	1.99077	1.89597	0.79631
BOX	10	car	0.88793	-8.81320	0.94987	16.42578	3.64712	1.67257	5.22656
BOX	10	car	0.48890	-0.01180	0.04235	21.55078	1.85916	1.61534	1.69531
BOX	15	car	0.44697	-0.01156	0.25037	21.10156	1.88009	1.82041	0.75204
BOX	25	car	0.54307	-0.01095	0.25134	19.99219	1.95090	1.80953	0.78036
BOX	25	truck	0.35780	0.00319	0.22307	19.99219	1.86607	1.75298	0.74643
BOX	30	car	0.64015	-0.08164	0.22307	19.99219	1.80953	1.80953	0.72381
BOX	30	truck	0.34599	-0.08164	0.18066	19.99219	1.75298	1.72470	0.70119
BOX	35	car	0.67277	0.00319	0.22307	19.99219	1.75298	1.75298	0.70119
BOX	35	truck	0.30995	0.01732	0.22307	19.99219	1.72470	1.75298	0.68988
BOX	40	car	0.52236	-0.05612	0.19001	21.02734	1.84374	1.75453	0.73750
BOX	40	person	0.45574	-11.48183	1.21513	18.92969	0.48188	1.09762	1.45312
BOX	45	car	0.45794	-0.33417	0.27285	21.70312	1.78022	1.78022	1.56250
BOX	45	car	0.42863	-7.04250	0.19402	47.47656	1.88002	1.34287	0.75201
BOX	50	car	0.82720	-6.67146	0.78191	16.55859	2.95066	1.47533	5.03125
BOX	50	car	0.46219	-0.50572	0.26705	22.50781	1.78257	2.00539	2.06250
BOX	50	truck	0.40034	-0.48980	0.28297	22.50781	1.81440	1.97356	2.06250
BOX	55	car	0.46657	-0.19765	0.23130	23.73828	1.81287	1.88002	0.72515
BOX	55	truck	0.45168	-0.16408	0.21451	23.73828	1.74573	1.84645	0.69829
BOX	60	car	0.76679	-6.46853	0.45817	41.06250	2.03253	1.50988	5.90625
BOX	60	car	0.53136	-0.17501	0.13928	25.32031	1.79046	1.79046	0.71618
BOX	60	truck	0.33648	-0.19291	0.10347	25.32031	1.75465	1.79046	0.70186
BOX	65	car	0.91113	-5.80331	1.03718	8.74219	3.27635	1.78036	3.53125
BOX	65	car	0.49536	-0.16758	0.24405	27.00781	2.02437	1.56602	0.80975
BOX	70	car	0.42448	0.04269	0.20678	27.12891	1.99508	1.64978	0.79803
BOX	75	car	0.71369	-0.22047	0.17964	28.93750	2.16901	1.84161	1.10156
BOX	80	car	0.66699	0.00466	0.18136	29.21484	1.98321	1.85926	0.79329
BOX	85	car	0.70086	0.10795	0.11939	29.21484	1.85926	1.65268	1.44531
BOX	90	car	0.85885	-8.88516	0.78771	21.93750	2.88532	1.58227	3.64062
BOX	90	car	0.56078	0.12986	0.12055	29.50000	1.83569	1.66881	1.44531
BOX	90	person	0.38505	2.79539	0.79255	15.19141	0.25781	0.94531	0.10312
BOX	100	car	0.64807	-0.21540	0.25958	31.16406	1.93924	1.58665	1.89844
BOX	100	car	0.40884	-9.30422	0.38137	42.20312	2.14868	1.37277	1.17188
BOX	105	car	0.65267	-0.23866	0.26091	31.32422	2.25931	1.94920	1.29688
BOX	110	car	0.54160	-0.01648	0.20805	30.08594	1.91470	1.78705	3.64844
BOX	110	person	0.34292	10.07786	0.22390	18.87109	0.66721	2.00163	4.47656
BOX	115	car	0.58737	-0.01608	0.05770	29.35938	1.78542	1.78542	1.14844
BOX	115	traffic light	0.47615	2.38140	-1.59099	11.89062	0.45404	1.16032	0.18162
BOX	120	car	0.46313	0.10795	0.09873	29.21484	1.94190	1.85926	1.42188
BOX	125	car	0.73287	-8.88750	1.01770	18.99219	3.06199	1.55786	4.61719
BOX	125	car	0.66406	-8.88004	0.19817	41.33984	2.80630	2.16319	3.85938
BOX	125	car	0.64693	-5.43446	0.61553	35.12891	1.83819	1.14266	5.05469
BOX	125	car	0.62380	0.43848	0.09873	29.21484	1.94190	1.85926	0.77676
BOX	130	car	0.64885	-9.52021	0.71094	33.76172	2.72160	1.71890	5.75000
BOX	130	car	0.62668	-5.65189	0.65517	28.26562	2.03870	1.23921	3.92969
BOX	130	car	0.45104	0.51868	0.22164	29.07812	1.85056	1.52157	0.74022
BOX	135	car	0.84827	-9.13440	0.75946	20.74219	3.08013	1.64273	4.28906
BOX	135	car	0.59339	0.49337	0.15843	28.80078	1.79218	1.71072	1.36719
