# WorldVision-SLAM 벤치마크 뷰어 매니페스트
# 지표는 python/tools/bench_run.py 가 계산한 값 그대로다.
# SEQ	name	dataset	seq_dir	gt_file	identity_ate_cm
# RUN	name	system	label	kind	ate_cm	rpe_mm	ms_per_frame	frames	status	traj_file
SEQ	kitti_00	kitti	D:/Program Files/Slam-Model/data/kitti_00	D:/Program Files/Slam-Model/data/kitti_00/groundtruth.txt	11123.38
RUN	kitti_00	baseline	ORB + PnP (classical)	descriptor	129.03	35.80	33.8	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_00_baseline.txt
RUN	kitti_00	wme	WME ECDA (Tier 0)	descriptor-free	94.32	25.90	46.9	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_00_wme.txt
SEQ	kitti_04	kitti	D:/Program Files/Slam-Model/data/kitti_04	D:/Program Files/Slam-Model/data/kitti_04/groundtruth.txt	11353.10
RUN	kitti_04	baseline	ORB + PnP (classical)	descriptor	5056.93	422.15	38.7	136	ok	D:/Program Files/Slam-Model/results/bench/kitti_04_baseline.txt
RUN	kitti_04	wme	WME ECDA (Tier 0)	descriptor-free	954.78	38.31	39.3	136	ok	D:/Program Files/Slam-Model/results/bench/kitti_04_wme.txt
SEQ	kitti_05	kitti	D:/Program Files/Slam-Model/data/kitti_05	D:/Program Files/Slam-Model/data/kitti_05/groundtruth.txt	8818.45
RUN	kitti_05	baseline	ORB + PnP (classical)	descriptor	160.25	34.21	30.1	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_05_baseline.txt
RUN	kitti_05	wme	WME ECDA (Tier 0)	descriptor-free	141.48	16.17	43.0	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_05_wme.txt
SEQ	kitti_07	kitti	D:/Program Files/Slam-Model/data/kitti_07	D:/Program Files/Slam-Model/data/kitti_07/groundtruth.txt	8430.02
RUN	kitti_07	baseline	ORB + PnP (classical)	descriptor	304.09	29.63	30.0	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_07_baseline.txt
RUN	kitti_07	wme	WME ECDA (Tier 0)	descriptor-free	107.93	15.77	40.3	400	ok	D:/Program Files/Slam-Model/results/bench/kitti_07_wme.txt
SEQ	freiburg1_360	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_360	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_360/groundtruth.txt	16.44
RUN	freiburg1_360	baseline	ORB + PnP (classical)	descriptor	13.62	12.15	44.6	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_360_baseline.txt
RUN	freiburg1_360	wme	WME ECDA (Tier 0)	descriptor-free	10.37	8.63	52.7	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_360_wme.txt
RUN	freiburg1_360	wme_masked	WME + token mask (YOLO)	descriptor-free	10.37	8.63	152.7	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_360_wme_masked.txt
SEQ	freiburg1_desk	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_desk	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_desk/groundtruth.txt	57.64
RUN	freiburg1_desk	baseline	ORB + PnP (classical)	descriptor	3.55	6.90	33.9	164	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_desk_baseline.txt
RUN	freiburg1_desk	wme	WME ECDA (Tier 0)	descriptor-free	2.53	5.65	49.1	164	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_desk_wme.txt
RUN	freiburg1_desk	wme_masked	WME + token mask (YOLO)	descriptor-free	2.53	5.65	169.3	164	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_desk_wme_masked.txt
SEQ	freiburg1_plant	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_plant	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_plant/groundtruth.txt	40.70
RUN	freiburg1_plant	baseline	ORB + PnP (classical)	descriptor	3.37	6.93	42.8	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_plant_baseline.txt
RUN	freiburg1_plant	wme	WME ECDA (Tier 0)	descriptor-free	4.51	4.12	45.7	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_plant_wme.txt
RUN	freiburg1_plant	wme_masked	WME + token mask (YOLO)	descriptor-free	4.61	4.26	167.1	165	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_plant_wme_masked.txt
SEQ	freiburg1_room	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_room	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg1_room/groundtruth.txt	101.65
RUN	freiburg1_room	baseline	ORB + PnP (classical)	descriptor	48.06	5.60	42.7	1362	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_room_baseline.txt
RUN	freiburg1_room	wme	WME ECDA (Tier 0)	descriptor-free	21.72	4.24	57.4	1362	ok	D:/Program Files/Slam-Model/results/bench/freiburg1_room_wme.txt
