# timestamp tx ty tz qx qy qz qw
1341846313.654184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1341846313.686156 0.009391 -0.003435 -0.001927 0.000538 -0.002612 -0.000374 0.999996
1341846313.721918 0.018840 0.003200 -0.001556 0.001174 -0.004301 0.000597 0.999990
1341846313.753994 0.024555 0.000949 0.002319 0.000350 -0.004778 0.002015 0.999986
1341846313.789969 0.031014 -0.003493 0.001377 0.000701 -0.005396 0.000102 0.999985
1341846313.822075 0.042665 0.000584 -0.005357 0.001245 -0.005108 -0.000736 0.999986
1341846313.853928 0.049943 -0.001493 -0.003880 0.000253 -0.002860 -0.001517 0.999995
1341846313.890011 0.052580 0.001108 -0.007179 0.000452 -0.000864 -0.001278 0.999999
1341846313.922055 0.063355 0.006819 -0.007194 -0.001033 -0.001461 0.000537 0.999998
1341846313.957927 0.097253 0.008037 0.000560 -0.002857 -0.000877 0.002070 0.999993
1341846313.990058 0.099632 0.007071 -0.002835 -0.004049 0.004998 0.002639 0.999976
1341846314.022042 0.080796 0.012070 -0.003105 -0.005660 0.009667 0.003300 0.999932
1341846314.057816 0.105423 0.013255 0.010811 -0.009278 0.011069 0.005621 0.999880
1341846314.089801 0.119190 0.007684 0.010506 -0.009125 0.015140 0.006461 0.999823
1341846314.122037 0.112185 0.016805 -0.001991 -0.009120 0.020024 0.009304 0.999715
1341846314.157989 0.130213 0.015060 0.012258 -0.011562 0.022033 0.010003 0.999640
1341846314.190094 0.133935 0.015089 0.007165 -0.011283 0.025813 0.010740 0.999545
1341846314.225969 0.141016 0.019900 -0.004109 -0.013220 0.027504 0.014344 0.999431
1341846314.257923 0.144883 0.017243 0.022093 -0.015427 0.029835 0.013437 0.999345
1341846314.290052 0.144502 0.013106 0.008872 -0.014585 0.032023 0.012139 0.999307
1341846314.325981 0.155161 0.019808 0.005330 -0.014864 0.032378 0.010420 0.999311
1341846314.357905 0.166193 0.016772 0.019957 -0.016018 0.034632 0.009690 0.999225
