# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 -0.001130 0.006293 -0.005974 0.000248 0.007944 0.011304 0.999905
1305031453.423683 0.002789 -0.002442 -0.021360 -0.003799 0.012538 0.020985 0.999694
1305031453.459685 0.013579 0.012355 -0.025067 0.004813 0.015100 0.030472 0.999410
1305031453.491698 0.017366 0.017147 -0.035679 0.009170 0.021303 0.040945 0.998892
1305031453.523684 0.017131 0.024785 -0.047349 0.016894 0.026463 0.051493 0.998180
1305031453.559753 0.015691 0.029482 -0.057797 0.023754 0.029942 0.057489 0.997614
1305031453.591640 0.013877 0.033242 -0.076631 0.029759 0.033327 0.061932 0.997080
1305031453.627706 0.010285 0.042306 -0.089005 0.038208 0.034139 0.066732 0.996454
1305031453.659600 0.005721 0.044427 -0.107166 0.044122 0.030404 0.065596 0.996407
1305031453.691678 -0.001982 0.054083 -0.119703 0.050968 0.026445 0.060718 0.996502
1305031453.727652 -0.003530 0.053683 -0.135736 0.052290 0.019399 0.059104 0.996693
1305031453.759694 -0.007193 0.058161 -0.141401 0.055937 0.008321 0.050843 0.997104
1305031453.791716 -0.031045 0.072908 -0.164287 0.062759 0.005725 0.042801 0.997094
1305031453.827773 -0.042155 0.079262 -0.173307 0.065495 -0.001069 0.037318 0.997154
1305031453.859705 -0.042991 0.062234 -0.182322 0.058018 -0.017293 0.030679 0.997694
1305031453.891710 -0.069692 0.114140 -0.165840 0.076774 -0.027234 0.025748 0.996344
1305031453.927723 -0.078750 0.112352 -0.169706 0.072659 -0.046072 0.021253 0.996065
1305031453.959641 -0.073568 0.108822 -0.204133 0.065910 -0.068475 0.010182 0.995421
1305031453.991624 -0.071631 0.114897 -0.209244 0.066302 -0.084599 -0.002937 0.994202
1305031454.027662 -0.087792 0.114331 -0.223466 0.067825 -0.094947 -0.011626 0.993101
1305031454.059654 -0.086755 0.106120 -0.231825 0.063416 -0.111847 -0.027232 0.991326
1305031454.091651 -0.104274 0.108460 -0.230529 0.065246 -0.121917 -0.041485 0.989524
1305031454.127701 -0.140827 0.103892 -0.239490 0.066235 -0.128476 -0.055665 0.987931
1305031454.159672 -0.140827 0.103892 -0.239490 0.066235 -0.128476 -0.055665 0.987931
1305031454.191658 -0.140827 0.103892 -0.239490 0.066235 -0.128476 -0.055665 0.987931
1305031454.227671 -0.140827 0.103892 -0.239490 0.066235 -0.128476 -0.055665 0.987931
1305031454.259627 -0.178757 0.103497 -0.238118 0.072812 -0.133929 -0.076811 0.985323
1305031454.291639 -0.178757 0.103497 -0.238118 0.072812 -0.133929 -0.076811 0.985323
1305031454.327699 -0.178144 0.107454 -0.248762 0.069357 -0.147166 -0.079520 0.983468
1305031454.359636 -0.178144 0.107454 -0.248762 0.069357 -0.147166 -0.079520 0.983468
1305031454.391677 -0.181219 0.113838 -0.245614 0.073265 -0.158356 -0.092359 0.980319
1305031454.427465 -0.208029 0.107216 -0.266643 0.071230 -0.160511 -0.115426 0.977670
1305031454.459913 -0.192248 0.097723 -0.279588 0.071852 -0.176681 -0.135647 0.972225
1305031454.491617 -0.204482 0.108023 -0.272623 0.076820 -0.183458 -0.157258 0.967322
1305031454.527700 -0.207665 0.107108 -0.287824 0.073211 -0.185937 -0.173968 0.964263
1305031454.559575 -0.207665 0.107108 -0.287824 0.073211 -0.185937 -0.173968 0.964263
1305031454.591635 -0.205049 0.102585 -0.303184 0.067430 -0.198993 -0.189443 0.959149
1305031454.627580 -0.209312 0.107411 -0.308845 0.068159 -0.210535 -0.207834 0.952803
1305031454.659528 -0.209312 0.107411 -0.308845 0.068159 -0.210535 -0.207834 0.952803
1305031454.691884 -0.206468 0.113816 -0.338516 0.060710 -0.225902 -0.209455 0.949427
1305031454.727659 -0.205464 0.120213 -0.329481 0.059557 -0.240145 -0.218398 0.943973
1305031454.759732 -0.205464 0.120213 -0.329481 0.059557 -0.240145 -0.218398 0.943973
1305031454.791641 -0.201127 0.126087 -0.331747 0.054797 -0.243552 -0.210113 0.945268
1305031454.827570 -0.200409 0.146297 -0.328823 0.059148 -0.243006 -0.209227 0.945343
1305031454.859620 -0.148577 0.102274 -0.363854 0.030448 -0.260251 -0.198347 0.944458
1305031454.891764 -0.140997 0.117487 -0.360513 0.030078 -0.258376 -0.188357 0.947026
1305031454.927567 -0.151384 0.111403 -0.377298 0.019292 -0.245114 -0.187551 0.950984
1305031454.959648 -0.147808 0.116375 -0.378453 0.013924 -0.242637 -0.178069 0.953533
1305031454.991937 -0.151493 0.131496 -0.379143 0.015130 -0.239970 -0.173323 0.955063
1305031455.027799 -0.144445 0.138198 -0.374777 0.011028 -0.246607 -0.158886 0.955939
1305031455.059636 -0.158002 0.149173 -0.385943 0.013558 -0.236434 -0.166976 0.957097
1305031455.091700 -0.171829 0.155376 -0.399154 0.014284 -0.227867 -0.168101 0.958965
1305031455.127695 -0.171948 0.163523 -0.395575 0.014802 -0.227725 -0.164942 0.959540
1305031455.159720 -0.182062 0.172839 -0.410751 0.015023 -0.219670 -0.162731 0.961789
1305031455.191655 -0.198640 0.185595 -0.385365 0.011045 -0.220821 -0.151077 0.963479
1305031455.227581 -0.214662 0.195850 -0.388296 0.013794 -0.214596 -0.150333 0.964966
1305031455.259631 -0.204988 0.198129 -0.399844 0.008082 -0.216857 -0.141578 0.965849
1305031455.291831 -0.216677 0.213163 -0.388914 0.003835 -0.214134 -0.125017 0.968763
1305031455.327766 -0.237535 0.225154 -0.389350 0.002633 -0.205846 -0.119186 0.971296
1305031455.359630 -0.233070 0.227489 -0.386696 -0.010234 -0.215275 -0.105520 0.970782
1305031455.391665 -0.249905 0.229400 -0.401869 -0.019675 -0.202134 -0.096945 0.974349
1305031455.427642 -0.270372 0.227260 -0.393957 -0.030907 -0.195479 -0.085452 0.976489
1305031455.459589 -0.274379 0.240760 -0.404809 -0.028052 -0.194400 -0.074267 0.977705
1305031455.491637 -0.278957 0.229517 -0.414239 -0.036832 -0.194846 -0.068706 0.977731
1305031455.527610 -0.300422 0.223982 -0.424059 -0.043231 -0.187953 -0.057077 0.979565
1305031455.559669 -0.297232 0.209523 -0.417224 -0.053914 -0.198882 -0.031989 0.978016
1305031455.591645 -0.338744 0.232388 -0.436382 -0.042498 -0.185618 -0.029798 0.981250
1305031455.627617 -0.353140 0.230366 -0.435842 -0.046829 -0.185706 -0.016684 0.981347
1305031455.659615 -0.364488 0.223885 -0.441998 -0.045016 -0.185442 -0.008551 0.981586
1305031455.691605 -0.381608 0.213775 -0.453304 -0.045265 -0.182046 -0.010222 0.982194
1305031455.727628 -0.396862 0.211231 -0.460167 -0.042455 -0.178374 -0.015236 0.982928
1305031455.759683 -0.411116 0.198459 -0.471023 -0.045142 -0.172767 -0.016940 0.983782
1305031455.791666 -0.424417 0.181116 -0.475554 -0.048567 -0.168439 -0.014104 0.984414
1305031455.827590 -0.441452 0.174950 -0.500181 -0.045082 -0.161652 -0.019834 0.985618
1305031455.859526 -0.454350 0.166012 -0.506270 -0.046433 -0.160499 -0.020033 0.985740
1305031455.891657 -0.466768 0.165528 -0.523887 -0.043239 -0.155673 -0.024472 0.986558
1305031455.927955 -0.479124 0.158820 -0.533825 -0.044307 -0.151532 -0.026042 0.987115
1305031455.959716 -0.490345 0.157390 -0.531030 -0.044498 -0.149708 -0.024311 0.987429
1305031455.991694 -0.487262 0.156096 -0.538021 -0.044062 -0.149666 -0.029770 0.987306
1305031456.027770 -0.508880 0.158016 -0.557647 -0.046878 -0.137085 -0.033482 0.988883
1305031456.059713 -0.516047 0.151907 -0.558884 -0.056014 -0.134292 -0.040263 0.988538
1305031456.091707 -0.520998 0.146530 -0.548109 -0.060237 -0.133228 -0.043314 0.988304
1305031456.127645 -0.533045 0.131336 -0.566630 -0.065270 -0.127759 -0.050538 0.988364
1305031456.159731 -0.539860 0.121892 -0.570857 -0.066486 -0.122565 -0.054027 0.988756
1305031456.191658 -0.544746 0.111077 -0.568233 -0.064014 -0.115632 -0.047683 0.990080
1305031456.227678 -0.555263 0.129224 -0.570108 -0.052173 -0.104984 -0.044315 0.992115
1305031456.259614 -0.564318 0.098593 -0.587853 -0.063138 -0.092769 -0.046983 0.992573
1305031456.291675 -0.537916 0.060167 -0.593230 -0.075520 -0.100571 -0.051423 0.990726
1305031456.327718 -0.542181 0.052240 -0.589021 -0.072935 -0.091691 -0.042927 0.992185
1305031456.359846 -0.549004 0.040713 -0.586170 -0.075657 -0.081435 -0.038108 0.993072
1305031456.391619 -0.538885 0.037976 -0.564153 -0.075037 -0.077644 -0.025652 0.993822
1305031456.427662 -0.569493 0.027883 -0.585246 -0.071053 -0.057233 -0.023322 0.995556
1305031456.459610 -0.586084 0.044152 -0.574025 -0.065364 -0.050192 -0.016432 0.996463
1305031456.491677 -0.586084 0.044152 -0.574025 -0.065364 -0.050192 -0.016432 0.996463
1305031456.527641 -0.600885 0.079965 -0.544316 -0.065641 -0.056012 0.000470 0.996270
1305031456.559608 -0.621640 0.060593 -0.540653 -0.075492 -0.051237 0.004948 0.995817
1305031456.591651 -0.599466 0.068065 -0.525040 -0.075485 -0.060761 0.014204 0.995193
1305031456.627612 -0.599466 0.068065 -0.525040 -0.075485 -0.060761 0.014204 0.995193
1305031456.659665 -0.614894 0.069315 -0.496701 -0.084877 -0.055123 0.021432 0.994635
1305031456.691612 -0.622483 0.065586 -0.495872 -0.086184 -0.052851 0.023497 0.994599
1305031456.727693 -0.645593 0.071682 -0.482203 -0.089896 -0.048303 0.042086 0.993888
1305031456.759615 -0.652459 0.055316 -0.466023 -0.102067 -0.054991 0.050645 0.991964
1305031456.791649 -0.664672 0.050320 -0.458768 -0.099626 -0.061749 0.057293 0.991453
1305031456.827603 -0.678065 0.070646 -0.456336 -0.094509 -0.063990 0.064690 0.991357
1305031456.859634 -0.676957 0.067485 -0.442594 -0.103443 -0.068413 0.073402 0.989561
1305031456.891672 -0.665363 0.046826 -0.423734 -0.116958 -0.075831 0.082522 0.986793
1305031456.927690 -0.679885 0.061072 -0.415229 -0.107895 -0.069511 0.089283 0.987702
1305031456.959667 -0.706325 0.067964 -0.421603 -0.107596 -0.056627 0.091014 0.988399
1305031456.991709 -0.714579 0.060166 -0.410225 -0.119451 -0.054448 0.094919 0.986791
1305031457.027648 -0.732581 0.055592 -0.415148 -0.122786 -0.045718 0.093624 0.986949
