# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 -0.002721 -0.000086 -0.010859 -0.002692 0.008473 0.010439 0.999906
1305031453.423683 0.000003 -0.001640 -0.024269 -0.003344 0.012937 0.019044 0.999729
1305031453.459685 0.004336 -0.004886 -0.048015 -0.003170 0.018553 0.027616 0.999441
1305031453.491698 0.002858 -0.002133 -0.083319 0.001180 0.025238 0.036090 0.999029
1305031453.523684 0.004011 -0.006449 -0.122389 0.004291 0.029333 0.046160 0.998494
1305031453.559753 0.010740 -0.013021 -0.152591 0.006228 0.028750 0.053056 0.998158
1305031453.591640 0.013263 -0.020496 -0.179625 0.007579 0.029998 0.056942 0.997898
1305031453.627706 0.019789 -0.023644 -0.181123 0.011068 0.027952 0.061890 0.997630
1305031453.659600 0.033935 -0.039708 -0.202150 0.008705 0.017040 0.063864 0.997775
1305031453.691678 0.058276 -0.050610 -0.226999 0.006234 0.001744 0.067423 0.997704
1305031453.727652 0.074294 -0.070990 -0.271196 -0.000295 -0.014556 0.065421 0.997752
1305031453.759694 0.069272 -0.067751 -0.294687 0.004154 -0.025089 0.058481 0.997965
1305031453.791716 0.066088 -0.062244 -0.305523 0.007782 -0.034810 0.052322 0.997993
1305031453.827773 0.071699 -0.068583 -0.326130 0.006603 -0.047357 0.049780 0.997615
1305031453.859705 0.071084 -0.054676 -0.363721 0.010111 -0.057943 0.040078 0.997464
1305031453.891710 0.053455 -0.044115 -0.428598 0.011537 -0.060266 0.038830 0.997360
1305031453.927723 0.047082 -0.036451 -0.447178 0.010562 -0.082237 0.032056 0.996041
1305031453.959641 0.043058 -0.040574 -0.453229 0.006133 -0.100191 0.027453 0.994570
1305031453.991624 0.029331 -0.032183 -0.455351 0.006146 -0.115175 0.019957 0.993126
1305031454.027662 0.045564 -0.041402 -0.468916 0.003487 -0.134694 0.012925 0.990797
1305031454.059654 0.048499 -0.027520 -0.451125 0.011639 -0.156162 0.000914 0.987662
1305031454.091651 0.062491 -0.037074 -0.466956 0.007549 -0.173169 -0.010202 0.984810
1305031454.127701 0.054238 -0.037058 -0.469257 0.012605 -0.189368 -0.024070 0.981530
1305031454.159672 0.062930 -0.034941 -0.475134 0.014452 -0.209855 -0.034044 0.977033
1305031454.191658 0.069934 -0.023483 -0.491660 0.016658 -0.231012 -0.043467 0.971837
1305031454.227671 -0.054347 -0.006588 -0.488565 0.025815 -0.211812 -0.070800 0.974401
1305031454.259627 -0.115016 -0.003258 -0.530456 0.028917 -0.202745 -0.082087 0.975356
1305031454.291639 -0.155046 0.032450 -0.536632 0.038920 -0.198817 -0.091079 0.975019
1305031454.327699 -0.205023 0.033115 -0.540096 0.038691 -0.194933 -0.112933 0.973525
1305031454.359636 -0.223814 0.039259 -0.543282 0.045976 -0.202982 -0.127647 0.969737
1305031454.391677 -0.194998 0.036967 -0.546668 0.047319 -0.224538 -0.137770 0.963516
1305031454.427465 -0.198626 0.032414 -0.552172 0.047187 -0.236550 -0.149535 0.958883
1305031454.459913 -0.214495 0.044420 -0.556960 0.053312 -0.243627 -0.166180 0.954038
1305031454.491617 -0.217732 0.064405 -0.533141 0.063462 -0.255274 -0.184504 0.946977
1305031454.527700 -0.220226 0.078378 -0.537248 0.066862 -0.261523 -0.198791 0.942135
1305031454.559575 -0.223196 0.076065 -0.538429 0.062335 -0.268725 -0.212867 0.937331
1305031454.591635 -0.232688 0.081600 -0.547178 0.060065 -0.276470 -0.230006 0.931157
1305031454.627580 -0.233435 0.084574 -0.557886 0.057918 -0.288750 -0.243733 0.924047
1305031454.659528 -0.226236 0.095920 -0.561447 0.055474 -0.302402 -0.248414 0.918567
1305031454.691884 -0.253603 0.139221 -0.565665 0.061145 -0.303066 -0.252849 0.916777
1305031454.727659 -0.247121 0.151562 -0.557404 0.060017 -0.318649 -0.253020 0.911505
1305031454.759732 -0.244605 0.178097 -0.536724 0.062385 -0.329529 -0.245183 0.909617
1305031454.791641 -0.238805 0.181927 -0.536311 0.057214 -0.333706 -0.238858 0.910117
1305031454.827570 -0.232248 0.197211 -0.525124 0.055029 -0.338435 -0.230611 0.910633
1305031454.859620 -0.221173 0.218021 -0.504811 0.053629 -0.343070 -0.216660 0.912406
1305031454.891764 -0.213178 0.224413 -0.500871 0.049270 -0.341696 -0.209001 0.914951
1305031454.927567 -0.137963 0.211443 -0.557645 0.043592 -0.343039 -0.210558 0.914379
1305031454.959648 -0.128117 0.212616 -0.555966 0.040288 -0.344502 -0.207428 0.914696
1305031454.991937 -0.136118 0.229878 -0.566984 0.037988 -0.335572 -0.197366 0.920323
1305031455.027799 -0.114956 0.257037 -0.561362 0.046001 -0.343549 -0.186631 0.919254
1305031455.059636 -0.119291 0.265583 -0.564887 0.045654 -0.340513 -0.184995 0.920730
1305031455.091700 -0.124207 0.272621 -0.569372 0.047157 -0.337163 -0.184295 0.922027
1305031455.127695 -0.127123 0.266324 -0.590963 0.046340 -0.328964 -0.190853 0.923694
1305031455.159720 -0.135648 0.276333 -0.597092 0.045190 -0.324137 -0.186065 0.926430
1305031455.191655 -0.144053 0.284434 -0.602534 0.042218 -0.320589 -0.181153 0.928775
1305031455.227581 -0.152519 0.286253 -0.605894 0.039281 -0.318541 -0.176430 0.930517
1305031455.259631 -0.158992 0.301322 -0.612308 0.038520 -0.313636 -0.169727 0.933457
1305031455.291831 -0.163961 0.313576 -0.632179 0.044111 -0.305556 -0.170907 0.935671
1305031455.327766 -0.174643 0.321589 -0.648470 0.040095 -0.299939 -0.163348 0.939014
1305031455.359630 -0.173914 0.350606 -0.671730 0.047943 -0.293359 -0.161224 0.941089
1305031455.391665 -0.173800 0.352094 -0.672034 0.048453 -0.293095 -0.161426 0.941111
1305031455.427642 -0.182119 0.376636 -0.671367 0.043050 -0.288458 -0.143394 0.945715
1305031455.459589 -0.187062 0.401300 -0.695233 0.057511 -0.283539 -0.149657 0.945463
1305031455.491637 -0.198538 0.407503 -0.704841 0.053285 -0.279940 -0.139325 0.948358
1305031455.527610 -0.213900 0.403503 -0.715565 0.046212 -0.276653 -0.128849 0.951171
1305031455.559669 -0.234577 0.404139 -0.734264 0.042436 -0.272715 -0.118045 0.953882
1305031455.591645 -0.244345 0.412055 -0.747676 0.040655 -0.275035 -0.103415 0.954991
1305031455.627617 -0.259777 0.409140 -0.758512 0.034003 -0.273379 -0.091292 0.956961
1305031455.659615 -0.277449 0.410318 -0.772173 0.038022 -0.270177 -0.086746 0.958141
1305031455.691605 -0.291048 0.414225 -0.789387 0.042869 -0.266446 -0.087803 0.958884
1305031455.727628 -0.303084 0.407493 -0.801544 0.042562 -0.263310 -0.092975 0.959277
1305031455.759683 -0.309582 0.404690 -0.810945 0.042699 -0.260626 -0.093689 0.959934
1305031455.791666 -0.319625 0.400571 -0.823700 0.045004 -0.257112 -0.092158 0.960924
1305031455.827590 -0.328431 0.402704 -0.841940 0.049632 -0.254419 -0.090111 0.961607
1305031455.859526 -0.340668 0.400747 -0.859364 0.050296 -0.250626 -0.091677 0.962420
1305031455.891657 -0.348787 0.398825 -0.875453 0.050354 -0.247472 -0.092035 0.963199
1305031455.927955 -0.356305 0.396984 -0.886617 0.050627 -0.244644 -0.092811 0.963832
1305031455.959716 -0.369243 0.397646 -0.903137 0.051973 -0.238146 -0.094907 0.965183
1305031455.991694 -0.371158 0.401031 -0.909174 0.052881 -0.236450 -0.095940 0.965448
1305031456.027770 -0.360228 0.413115 -0.913797 0.054383 -0.238681 -0.095710 0.964839
1305031456.059713 -0.353454 0.451426 -0.917315 0.067822 -0.239017 -0.099631 0.963507
1305031456.091707 -0.354082 0.456687 -0.919650 0.069068 -0.238552 -0.100910 0.963400
1305031456.127645 -0.356696 0.454940 -0.922384 0.068894 -0.237556 -0.099402 0.963815
1305031456.159731 -0.341392 0.444596 -0.912784 0.066435 -0.241444 -0.100249 0.962934
1305031456.191658 -0.388854 0.426191 -0.942149 0.065479 -0.216454 -0.101179 0.968826
1305031456.227678 -0.394339 0.434381 -0.953978 0.071527 -0.206664 -0.098202 0.970840
1305031456.259614 -0.399992 0.441371 -0.956666 0.076363 -0.196753 -0.093462 0.972996
1305031456.291675 -0.377203 0.444450 -0.932093 0.081601 -0.205824 -0.092946 0.970741
1305031456.327718 -0.380787 0.460681 -0.929570 0.097519 -0.196415 -0.068904 0.973223
