# timestamp tx ty tz qx qy qz qw
1305031453.359684 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031453.391690 -0.002411 0.001638 -0.009967 -0.001887 0.008174 0.011413 0.999900
1305031453.423683 0.001135 0.006566 -0.012796 0.000646 0.012432 0.021163 0.999699
1305031453.459685 0.010895 0.007467 -0.028607 0.002722 0.016387 0.029038 0.999440
1305031453.491698 0.011421 0.010595 -0.041106 0.006314 0.023860 0.039176 0.998927
1305031453.523684 0.009307 0.016209 -0.052361 0.013483 0.029928 0.048400 0.998288
1305031453.559753 0.012002 0.018267 -0.065311 0.019621 0.032039 0.055219 0.997767
1305031453.591640 0.010021 0.026994 -0.079863 0.028043 0.035415 0.059790 0.997188
1305031453.627706 -0.001370 0.031342 -0.094209 0.034483 0.039562 0.063091 0.996627
1305031453.659600 -0.010642 0.035996 -0.109297 0.041684 0.037392 0.061902 0.996510
1305031453.691678 -0.017599 0.048642 -0.124252 0.049884 0.032755 0.057242 0.996575
1305031453.727652 -0.027295 0.055664 -0.140121 0.053688 0.028607 0.052638 0.996759
1305031453.759694 -0.044334 0.057384 -0.155142 0.056537 0.022994 0.044533 0.997142
1305031453.791716 -0.047090 0.068299 -0.168982 0.061862 0.011959 0.037068 0.997324
1305031453.827773 -0.059906 0.075352 -0.182334 0.064553 0.005789 0.030972 0.997417
1305031453.859705 -0.076783 0.082547 -0.194788 0.066499 -0.004543 0.023747 0.997494
1305031453.891710 -0.078659 0.093995 -0.202264 0.067862 -0.023796 0.017901 0.997250
1305031453.927723 -0.090234 0.098123 -0.214660 0.064816 -0.041740 0.014072 0.996925
1305031453.959641 -0.095346 0.096860 -0.226078 0.060299 -0.059982 0.005180 0.996363
1305031453.991624 -0.109102 0.097033 -0.231774 0.057926 -0.070712 -0.005765 0.995797
1305031454.027662 -0.122589 0.098315 -0.240532 0.059709 -0.082057 -0.015209 0.994721
1305031454.059654 -0.134988 0.102486 -0.245252 0.060659 -0.093135 -0.027101 0.993434
1305031454.091651 -0.150513 0.100650 -0.247730 0.060004 -0.103362 -0.040441 0.992008
1305031454.127701 -0.161900 0.101612 -0.251880 0.063104 -0.117207 -0.054060 0.989625
1305031454.159672 -0.185470 0.110670 -0.253506 0.065454 -0.128481 -0.067233 0.987263
1305031454.191658 -0.192772 0.110466 -0.257333 0.062334 -0.145932 -0.081221 0.983983
1305031454.227671 -0.204485 0.106465 -0.250953 0.063485 -0.163950 -0.098432 0.979490
1305031454.259627 -0.220510 0.108984 -0.260176 0.068725 -0.173725 -0.116475 0.975464
1305031454.291639 -0.229826 0.114467 -0.262733 0.068064 -0.180285 -0.129309 0.972699
1305031454.327699 -0.241115 0.107285 -0.266857 0.065838 -0.190578 -0.143564 0.968883
1305031454.359636 -0.249907 0.114058 -0.263746 0.074158 -0.201876 -0.158943 0.963579
1305031454.391677 -0.258947 0.120558 -0.267316 0.076401 -0.208496 -0.171722 0.959794
1305031454.427465 -0.266371 0.118365 -0.274252 0.076143 -0.220979 -0.187558 0.954040
1305031454.459913 -0.269863 0.126690 -0.265909 0.081517 -0.232322 -0.203809 0.947546
1305031454.491617 -0.272405 0.131686 -0.262276 0.080790 -0.238853 -0.213854 0.943763
1305031454.527700 -0.283356 0.145018 -0.270830 0.084832 -0.241120 -0.234485 0.937914
1305031454.559575 -0.289407 0.154357 -0.275606 0.082949 -0.245465 -0.247392 0.933629
1305031454.591635 -0.298474 0.160852 -0.280350 0.080155 -0.254074 -0.265166 0.926665
1305031454.627580 -0.296349 0.163659 -0.284679 0.078713 -0.267626 -0.279781 0.918642
1305031454.659528 -0.297192 0.178798 -0.279356 0.075646 -0.280245 -0.285469 0.913372
1305031454.691884 -0.298760 0.186833 -0.279181 0.069603 -0.293943 -0.291960 0.907476
1305031454.727659 -0.290387 0.185564 -0.275479 0.064513 -0.310069 -0.297624 0.900619
1305031454.759732 -0.287005 0.195608 -0.262404 0.060921 -0.319127 -0.293685 0.898997
1305031454.791641 -0.276655 0.191512 -0.277288 0.051620 -0.320905 -0.286686 0.901203
1305031454.827570 -0.270432 0.206649 -0.260435 0.049839 -0.326370 -0.278432 0.901928
1305031454.859620 -0.266410 0.212003 -0.259144 0.043440 -0.323874 -0.271520 0.905260
1305031454.891764 -0.262564 0.220806 -0.257800 0.040265 -0.319577 -0.264097 0.909121
1305031454.927567 -0.260833 0.230868 -0.261623 0.037155 -0.312833 -0.258200 0.913284
1305031454.959648 -0.261070 0.239066 -0.264800 0.033361 -0.307114 -0.251898 0.917123
1305031454.991937 -0.265533 0.247069 -0.270904 0.029689 -0.302766 -0.245799 0.920345
1305031455.027799 -0.266095 0.261116 -0.276068 0.030930 -0.301200 -0.242624 0.921659
1305031455.059636 -0.269481 0.267450 -0.277254 0.029029 -0.298692 -0.240750 0.923028
1305031455.091700 -0.275229 0.278088 -0.281362 0.031756 -0.294665 -0.239523 0.924550
1305031455.127695 -0.279807 0.288416 -0.286510 0.033195 -0.289851 -0.238318 0.926331
1305031455.159720 -0.289728 0.298644 -0.294122 0.032584 -0.283698 -0.234956 0.929112
1305031455.191655 -0.297867 0.307234 -0.298408 0.029198 -0.279902 -0.229537 0.931727
1305031455.227581 -0.308869 0.314539 -0.302072 0.028181 -0.276208 -0.223386 0.934352
1305031455.259631 -0.314829 0.330268 -0.305723 0.028015 -0.271683 -0.216988 0.937187
1305031455.291831 -0.326368 0.333531 -0.310078 0.018102 -0.265726 -0.207817 0.941209
1305031455.327766 -0.339100 0.345620 -0.323182 0.013582 -0.260071 -0.197397 0.945099
1305031455.359630 -0.345643 0.356650 -0.323519 0.006295 -0.259159 -0.190534 0.946834
1305031455.391665 -0.357220 0.358642 -0.323876 -0.004399 -0.252413 -0.183550 0.950041
1305031455.427642 -0.371024 0.362048 -0.332323 -0.012941 -0.244054 -0.173036 0.954111
1305031455.459589 -0.385698 0.361870 -0.339203 -0.019378 -0.239562 -0.164191 0.956700
1305031455.491637 -0.397819 0.369065 -0.344929 -0.022557 -0.235760 -0.153661 0.959321
1305031455.527610 -0.414183 0.367332 -0.352259 -0.029336 -0.231678 -0.139916 0.962231
1305031455.559669 -0.435296 0.367266 -0.369678 -0.032721 -0.228272 -0.126992 0.964725
1305031455.591645 -0.449194 0.371833 -0.380485 -0.034746 -0.228473 -0.113589 0.966277
1305031455.627617 -0.464635 0.370107 -0.381278 -0.040582 -0.227644 -0.100459 0.967698
1305031455.659615 -0.482088 0.366030 -0.393343 -0.039438 -0.224303 -0.093520 0.969220
1305031455.691605 -0.497854 0.369000 -0.404683 -0.034423 -0.221749 -0.094857 0.969868
1305031455.727628 -0.511475 0.365972 -0.414959 -0.032728 -0.218488 -0.099354 0.970217
1305031455.759683 -0.524566 0.365847 -0.423612 -0.030759 -0.213450 -0.102162 0.971111
1305031455.791666 -0.540022 0.358312 -0.434716 -0.030162 -0.207772 -0.100849 0.972497
1305031455.827590 -0.556112 0.354911 -0.453003 -0.027796 -0.202604 -0.100602 0.973683
1305031455.859526 -0.568259 0.350754 -0.463870 -0.027672 -0.200807 -0.101660 0.973949
1305031455.891657 -0.579869 0.346706 -0.475614 -0.027717 -0.197541 -0.102219 0.974557
1305031455.927955 -0.590890 0.341099 -0.483642 -0.029055 -0.194325 -0.102742 0.975109
1305031455.959716 -0.601506 0.341965 -0.495023 -0.027131 -0.190076 -0.104776 0.975785
1305031455.991694 -0.612006 0.337448 -0.506352 -0.029529 -0.184378 -0.107677 0.976493
1305031456.027770 -0.621689 0.344864 -0.518431 -0.030975 -0.176952 -0.111595 0.977382
1305031456.059713 -0.638849 0.333903 -0.525516 -0.042336 -0.169538 -0.120734 0.977184
1305031456.091707 -0.651721 0.323868 -0.530157 -0.049042 -0.164688 -0.126292 0.976997
1305031456.127645 -0.661799 0.316612 -0.534384 -0.051059 -0.160631 -0.127657 0.977392
1305031456.159731 -0.670005 0.305845 -0.534885 -0.053446 -0.156022 -0.128560 0.977892
1305031456.191658 -0.675691 0.297819 -0.532254 -0.049340 -0.150254 -0.124733 0.979506
1305031456.227678 -0.686929 0.303553 -0.540719 -0.043385 -0.138316 -0.122474 0.981828
1305031456.259614 -0.696246 0.290829 -0.539545 -0.047754 -0.127730 -0.119695 0.983401
1305031456.291675 -0.710142 0.281480 -0.540487 -0.046607 -0.115736 -0.115454 0.985446
1305031456.327718 -0.720178 0.276513 -0.534831 -0.042586 -0.105910 -0.108258 0.987547
1305031456.359846 -0.728649 0.283280 -0.540229 -0.036184 -0.093284 -0.102083 0.989731
1305031456.391619 -0.741138 0.271223 -0.530238 -0.038087 -0.081110 -0.098943 0.991050
1305031456.427662 -0.765155 0.269951 -0.533204 -0.032125 -0.065563 -0.091405 0.993134
1305031456.459610 -0.789881 0.281217 -0.538039 -0.029201 -0.054489 -0.085974 0.994378
1305031456.491677 -0.804391 0.279749 -0.532478 -0.036964 -0.053035 -0.079904 0.994704
1305031456.527641 -0.817036 0.278615 -0.522633 -0.043774 -0.054503 -0.074381 0.994777
1305031456.559608 -0.827922 0.269411 -0.509596 -0.049220 -0.054556 -0.069913 0.994843
1305031456.591651 -0.842142 0.288615 -0.504635 -0.042684 -0.048367 -0.064207 0.995849
1305031456.627612 -0.848792 0.301315 -0.500643 -0.052836 -0.043297 -0.056549 0.996060
1305031456.659665 -0.862780 0.273394 -0.484902 -0.073820 -0.038252 -0.051899 0.995185
1305031456.691612 -0.879781 0.270556 -0.478414 -0.073731 -0.032530 -0.042203 0.995854
1305031456.727693 -0.900316 0.289402 -0.473740 -0.073522 -0.027424 -0.032639 0.996382
1305031456.759615 -0.921837 0.264782 -0.466487 -0.089038 -0.027806 -0.025112 0.995323
1305031456.791649 -0.933560 0.268988 -0.457642 -0.083696 -0.034909 -0.017612 0.995724
