# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.003185 0.009978 0.011680 -0.001397 -0.002630 -0.000797 0.999995
1305031102.243211 -0.002745 0.008347 0.025259 -0.008206 -0.006052 -0.000980 0.999948
1305031102.275326 -0.003029 0.011161 0.039049 -0.012270 -0.009161 -0.000543 0.999883
1305031102.311267 -0.003270 0.009874 0.053088 -0.016922 -0.011276 -0.000148 0.999793
1305031102.343233 -0.004866 0.010745 0.062791 -0.018696 -0.012535 0.001418 0.999746
1305031102.375329 -0.003508 0.012402 0.076710 -0.020688 -0.015212 0.002405 0.999667
1305031102.411258 -0.007703 0.016459 0.086009 -0.021501 -0.016634 0.000883 0.999630
1305031102.443271 -0.010911 0.025046 0.095116 -0.024230 -0.018916 0.000185 0.999527
1305031102.475318 -0.006286 0.023756 0.111453 -0.032290 -0.023091 0.000420 0.999212
1305031102.511219 -0.005694 0.024191 0.125532 -0.037145 -0.022527 -0.000977 0.999055
1305031102.543220 -0.007208 0.024925 0.138815 -0.041486 -0.020754 -0.002980 0.998919
1305031102.575286 -0.004509 0.020706 0.155157 -0.044440 -0.020742 -0.003657 0.998790
1305031102.611233 -0.006476 0.019727 0.167556 -0.041770 -0.017384 -0.002502 0.998973
1305031102.643265 -0.010680 0.025636 0.175227 -0.038664 -0.015343 -0.001573 0.999133
1305031102.675285 -0.010862 0.028224 0.188569 -0.040133 -0.017022 -0.001009 0.999049
1305031102.711263 -0.011709 0.028040 0.202477 -0.041217 -0.017240 -0.000093 0.999001
1305031102.743234 -0.011242 0.037564 0.215550 -0.039824 -0.017956 0.002110 0.999043
1305031102.775472 -0.008740 0.038075 0.231457 -0.042374 -0.017047 0.000543 0.998956
1305031102.811232 -0.011111 0.040798 0.243353 -0.043281 -0.013209 -0.000922 0.998975
1305031102.843290 -0.009481 0.042547 0.258027 -0.044947 -0.010512 -0.001471 0.998933
1305031102.875363 -0.013210 0.046254 0.269041 -0.043637 -0.006322 -0.003183 0.999022
1305031102.911185 -0.013735 0.049380 0.280765 -0.042905 -0.005033 -0.004365 0.999057
1305031102.943229 -0.019946 0.048905 0.286795 -0.044073 -0.002590 -0.006191 0.999006
1305031102.975203 -0.026177 0.051362 0.294485 -0.044669 -0.006966 -0.006401 0.998957
1305031103.011215 -0.024049 0.055412 0.308300 -0.045325 -0.014678 -0.003229 0.998859
1305031103.043227 -0.025568 0.059721 0.319744 -0.046275 -0.020255 -0.000677 0.998723
1305031103.075319 -0.022436 0.060958 0.335087 -0.046061 -0.024796 0.001796 0.998629
1305031103.111240 -0.023515 0.066731 0.341049 -0.043844 -0.023835 0.001747 0.998753
1305031103.143318 -0.023132 0.068895 0.352734 -0.045768 -0.024329 0.003736 0.998649
1305031103.175452 -0.023902 0.073675 0.357955 -0.045685 -0.022244 0.003344 0.998703
1305031103.211220 -0.024280 0.080734 0.365241 -0.048982 -0.022360 0.004761 0.998538
1305031103.243216 -0.026132 0.079872 0.370253 -0.057409 -0.020842 0.006959 0.998109
1305031103.275370 -0.032003 0.078154 0.368807 -0.067908 -0.020369 0.010226 0.997431
1305031103.311210 -0.030336 0.075741 0.381201 -0.075312 -0.031621 0.011535 0.996592
1305031103.343223 -0.025499 0.079403 0.386704 -0.074367 -0.037648 0.011213 0.996457
1305031103.375327 -0.024091 0.079616 0.388962 -0.077845 -0.036869 0.013721 0.996189
1305031103.411260 -0.025249 0.073953 0.386385 -0.081180 -0.035505 0.015410 0.995948
1305031103.443280 -0.025676 0.071714 0.380794 -0.081192 -0.037900 0.014633 0.995870
1305031103.475274 -0.025446 0.067940 0.377423 -0.081264 -0.040751 0.013384 0.995769
1305031103.511333 -0.024668 0.063788 0.371502 -0.078943 -0.042654 0.010993 0.995905
1305031103.543444 -0.024372 0.059323 0.364090 -0.074940 -0.044037 0.009313 0.996172
1305031103.575474 -0.024966 0.055568 0.351442 -0.070813 -0.045023 0.008971 0.996433
1305031103.611223 -0.024991 0.050620 0.341602 -0.069265 -0.048116 0.010935 0.996377
1305031103.643445 -0.023971 0.046506 0.331570 -0.066724 -0.052560 0.011884 0.996315
1305031103.675523 -0.022833 0.043447 0.321986 -0.063854 -0.055211 0.011606 0.996363
1305031103.711610 -0.021796 0.040599 0.311167 -0.061144 -0.056199 0.011197 0.996483
1305031103.743326 -0.018968 0.034186 0.300061 -0.059515 -0.056818 0.010417 0.996555
1305031103.775342 -0.019025 0.031773 0.284964 -0.056209 -0.055691 0.007058 0.996840
1305031103.811242 -0.018162 0.029375 0.270353 -0.056352 -0.054476 0.003383 0.996918
1305031103.843251 -0.020076 0.028807 0.254350 -0.058838 -0.053293 0.000621 0.996844
1305031103.875361 -0.019569 0.016891 0.240849 -0.067574 -0.056256 -0.002099 0.996125
1305031103.911221 -0.018823 0.012623 0.231518 -0.066108 -0.060603 -0.003313 0.995965
1305031103.943211 -0.017366 0.005919 0.214513 -0.065657 -0.063211 -0.004633 0.995827
1305031103.975373 -0.014121 0.000468 0.202744 -0.064472 -0.066049 -0.005060 0.995718
1305031104.011232 -0.009999 -0.003107 0.193427 -0.059782 -0.067307 -0.006353 0.995919
1305031104.043249 -0.006001 -0.006009 0.178974 -0.052689 -0.065020 -0.008249 0.996458
1305031104.075425 -0.003787 -0.007113 0.164725 -0.048621 -0.060671 -0.011158 0.996911
1305031104.111235 0.000170 -0.012340 0.153935 -0.046094 -0.055785 -0.012308 0.997302
1305031104.143230 -0.000851 -0.017351 0.138128 -0.042023 -0.049287 -0.012924 0.997817
1305031104.175424 -0.000394 -0.020698 0.122507 -0.038218 -0.045929 -0.013665 0.998120
1305031104.211283 0.002479 -0.027738 0.110495 -0.035592 -0.044141 -0.013311 0.998302
1305031104.243196 0.001528 -0.026468 0.098432 -0.029600 -0.041420 -0.013101 0.998617
1305031104.275546 0.002493 -0.027979 0.085757 -0.025019 -0.038814 -0.013931 0.998836
1305031104.311219 0.003776 -0.029607 0.074186 -0.021321 -0.035792 -0.014124 0.999032
1305031104.343342 0.004453 -0.029233 0.064165 -0.017648 -0.031704 -0.014736 0.999233
1305031104.375837 0.005523 -0.029686 0.053710 -0.015740 -0.027225 -0.014018 0.999407
1305031104.411509 0.003042 -0.032203 0.042233 -0.014938 -0.022625 -0.013650 0.999539
1305031104.443288 -0.000809 -0.032615 0.028010 -0.014312 -0.019790 -0.012921 0.999618
1305031104.475456 -0.003185 -0.035223 0.017673 -0.015219 -0.020718 -0.012197 0.999595
1305031104.511329 -0.002323 -0.039929 0.008203 -0.015387 -0.023652 -0.010204 0.999550
1305031104.543368 0.000495 -0.039585 0.002712 -0.011551 -0.026811 -0.008977 0.999533
1305031104.575343 0.002433 -0.042716 -0.008135 -0.007395 -0.026476 -0.008690 0.999584
1305031104.611336 0.007797 -0.047255 -0.015875 0.002108 -0.022904 -0.007664 0.999706
1305031104.643243 0.010041 -0.044776 -0.025017 0.015198 -0.015748 -0.007703 0.999731
1305031104.675525 0.009592 -0.047222 -0.032010 0.026090 -0.007219 -0.005586 0.999618
1305031104.711277 0.015080 -0.049759 -0.039846 0.038568 -0.001832 -0.002556 0.999251
1305031104.743280 0.016651 -0.046408 -0.048225 0.052464 0.005066 -0.000515 0.998610
1305031104.775327 0.017994 -0.047665 -0.057512 0.063818 0.012056 0.001582 0.997887
1305031104.811465 0.020239 -0.041754 -0.065808 0.075846 0.018388 0.004634 0.996939
1305031104.843258 0.020952 -0.046794 -0.072609 0.081070 0.024630 0.006661 0.996382
1305031104.875350 0.019398 -0.039146 -0.077429 0.087893 0.027755 0.009085 0.995702
1305031104.911534 0.020302 -0.039383 -0.079437 0.089345 0.028486 0.010829 0.995534
1305031104.943262 0.015879 -0.035630 -0.074791 0.090809 0.030615 0.011231 0.995334
1305031104.975202 0.018390 -0.029238 -0.073736 0.090767 0.028692 0.012043 0.995386
1305031105.011290 0.018888 -0.028948 -0.071542 0.085595 0.028501 0.011767 0.995853
1305031105.043373 0.017126 -0.025464 -0.059587 0.080313 0.027944 0.010501 0.996323
1305031105.075320 0.016633 -0.026900 -0.049528 0.072508 0.027177 0.008220 0.996964
1305031105.111299 0.013755 -0.028977 -0.037182 0.066176 0.026683 0.006696 0.997429
1305031105.143106 0.010342 -0.015024 -0.025270 0.062991 0.024345 0.004887 0.997705
1305031105.175159 0.008428 -0.003900 -0.012787 0.052969 0.020939 0.001370 0.998376
1305031105.211268 0.006780 -0.014334 0.002303 0.038179 0.016547 -0.000219 0.999134
1305031105.243270 0.004733 -0.008783 0.020638 0.030992 0.010392 -0.001400 0.999465
1305031105.275288 -0.001710 -0.004361 0.033787 0.021640 0.005284 -0.002908 0.999748
1305031105.311290 -0.001609 -0.008594 0.048352 0.010038 -0.003001 -0.003746 0.999938
1305031105.343302 0.000042 -0.014321 0.065014 -0.000299 -0.010871 -0.003631 0.999934
1305031105.375338 -0.002469 -0.013560 0.078141 -0.003319 -0.015595 -0.003850 0.999865
1305031105.411286 -0.003780 -0.006960 0.092474 -0.007659 -0.020436 -0.004320 0.999752
1305031105.443316 -0.005157 -0.010224 0.108359 -0.015371 -0.024442 -0.005066 0.999570
1305031105.475280 -0.007990 -0.007923 0.121712 -0.018278 -0.027259 -0.005382 0.999447
1305031105.511332 -0.006681 -0.004422 0.137444 -0.022062 -0.030702 -0.005679 0.999269
