# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 -0.001135 0.007277 0.012830 -0.002351 -0.003730 -0.001963 0.999988
1305031102.243211 -0.005649 0.013196 0.021799 -0.005764 -0.004660 -0.001524 0.999971
1305031102.275326 -0.003687 0.011020 0.034996 -0.011975 -0.008411 -0.000854 0.999893
1305031102.311267 -0.001451 0.008536 0.050796 -0.017243 -0.011586 0.000391 0.999784
1305031102.343233 -0.001208 0.007595 0.062906 -0.020047 -0.013841 0.002045 0.999701
1305031102.375329 -0.001963 0.010652 0.074810 -0.021182 -0.015564 0.002407 0.999652
1305031102.411258 -0.007020 0.014849 0.083144 -0.021915 -0.016497 0.001066 0.999623
1305031102.443271 -0.009252 0.023872 0.092851 -0.024368 -0.019179 0.000458 0.999519
1305031102.475318 -0.005097 0.023076 0.109527 -0.032336 -0.023091 0.000678 0.999210
1305031102.511219 -0.000293 0.025267 0.124079 -0.036509 -0.024411 -0.000097 0.999035
1305031102.543220 -0.002537 0.023045 0.137020 -0.042120 -0.022226 -0.001967 0.998863
1305031102.575286 -0.003021 0.016805 0.147957 -0.045843 -0.020513 -0.003414 0.998732
1305031102.611233 -0.003054 0.015899 0.160733 -0.043229 -0.018172 -0.002085 0.998898
1305031102.643265 -0.008330 0.023075 0.169827 -0.039683 -0.015946 -0.001645 0.999084
1305031102.675285 -0.010256 0.025785 0.182109 -0.040888 -0.016549 -0.000895 0.999026
1305031102.711263 -0.010321 0.025564 0.195759 -0.041995 -0.017092 0.000410 0.998972
1305031102.743234 -0.008665 0.035121 0.207905 -0.040457 -0.018238 0.001994 0.999013
1305031102.775472 -0.006597 0.034335 0.221963 -0.043522 -0.016888 0.000645 0.998910
1305031102.811232 -0.007931 0.039130 0.233860 -0.043662 -0.013480 -0.000293 0.998955
1305031102.843290 -0.007454 0.038581 0.247780 -0.046210 -0.010307 -0.001102 0.998878
1305031102.875363 -0.010988 0.041967 0.259460 -0.044984 -0.006369 -0.003669 0.998961
1305031102.911185 -0.011401 0.045537 0.270900 -0.044110 -0.005139 -0.004806 0.999002
1305031102.943229 -0.018114 0.046699 0.278737 -0.044416 -0.002626 -0.006374 0.998989
