# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 0.000398 0.015444 0.022468 0.000331 -0.004587 -0.001235 0.999989
1305031102.243211 -0.003436 0.010082 0.021503 -0.007053 -0.005551 -0.001848 0.999958
1305031102.275326 -0.002744 0.008857 0.031716 -0.012916 -0.008687 -0.001361 0.999878
1305031102.311267 -0.006296 0.009334 0.045904 -0.016550 -0.009671 -0.000938 0.999816
1305031102.343233 -0.009171 0.011199 0.058123 -0.018112 -0.010635 0.000866 0.999779
1305031102.375329 -0.010681 0.008502 0.066464 -0.021700 -0.011959 0.000321 0.999693
1305031102.411258 -0.015205 0.012015 0.075108 -0.022805 -0.013151 -0.001080 0.999653
1305031102.443271 -0.016841 0.020603 0.085691 -0.025639 -0.016079 -0.001438 0.999541
1305031102.475318 -0.013238 0.020648 0.101252 -0.033078 -0.019601 -0.001380 0.999260
1305031102.511219 -0.011804 0.021450 0.114553 -0.037739 -0.019239 -0.002726 0.999099
1305031102.543220 -0.012890 0.020134 0.127706 -0.042899 -0.017581 -0.004712 0.998914
1305031102.575286 -0.012398 0.015758 0.140560 -0.045761 -0.016315 -0.005989 0.998801
1305031102.611233 -0.013385 0.014168 0.152998 -0.043375 -0.013453 -0.004853 0.998956
1305031102.643265 -0.018420 0.021716 0.162261 -0.039695 -0.011285 -0.004259 0.999139
1305031102.675285 -0.019560 0.024148 0.174883 -0.041125 -0.012308 -0.003558 0.999072
1305031102.711263 -0.022126 0.030998 0.194008 -0.038944 -0.012030 -0.003027 0.999164
1305031102.743234 -0.018761 0.032261 0.200335 -0.041293 -0.013414 -0.000707 0.999057
1305031102.775472 -0.013973 0.038319 0.215025 -0.040250 -0.013681 -0.004574 0.999085
1305031102.811232 -0.015313 0.042534 0.226910 -0.040634 -0.010192 -0.005541 0.999107
1305031102.843290 -0.014424 0.042311 0.240959 -0.042952 -0.007161 -0.006313 0.999032
1305031102.875363 -0.017721 0.045474 0.252331 -0.041754 -0.003317 -0.008896 0.999083
1305031102.911185 -0.032930 0.060247 0.282732 -0.034987 0.002791 -0.012312 0.999308
1305031102.943229 -0.028915 0.055892 0.287594 -0.037125 0.000275 -0.015010 0.999198
1305031102.975203 -0.032656 0.052539 0.280182 -0.041825 -0.003252 -0.012697 0.999039
1305031103.011215 -0.032279 0.055451 0.291131 -0.042960 -0.009598 -0.009546 0.998985
1305031103.043227 -0.033941 0.058972 0.301933 -0.044247 -0.014892 -0.007065 0.998885
1305031103.075319 -0.028674 0.056942 0.312282 -0.045656 -0.019842 -0.004493 0.998750
1305031103.111240 -0.040706 0.065966 0.315206 -0.041365 -0.013534 -0.003933 0.999045
