# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 0.000468 0.015190 0.022162 0.000242 -0.004621 -0.001123 0.999989
1305031102.243211 -0.003466 0.009713 0.021606 -0.007225 -0.005532 -0.001791 0.999957
1305031102.275326 -0.002950 0.008752 0.031863 -0.012949 -0.008600 -0.001334 0.999878
1305031102.311267 -0.006605 0.010718 0.046094 -0.015992 -0.009536 -0.000906 0.999826
1305031102.343233 -0.008670 0.010628 0.058231 -0.018365 -0.010798 0.000917 0.999773
1305031102.375329 -0.009374 0.008091 0.066808 -0.021821 -0.012385 0.000448 0.999685
1305031102.411258 -0.013906 0.011605 0.075447 -0.022926 -0.013578 -0.000954 0.999645
1305031102.443271 -0.015553 0.020196 0.086026 -0.025759 -0.016506 -0.001312 0.999531
1305031102.475318 -0.011963 0.020245 0.101590 -0.033198 -0.020029 -0.001257 0.999247
1305031102.511219 -0.010541 0.021051 0.114892 -0.037859 -0.019668 -0.002605 0.999086
1305031102.543220 -0.011637 0.019738 0.128044 -0.043018 -0.018010 -0.004593 0.998901
1305031102.575286 -0.011155 0.015365 0.140900 -0.045879 -0.016746 -0.005871 0.998789
1305031102.611233 -0.012152 0.013778 0.153338 -0.043494 -0.013883 -0.004735 0.998946
1305031102.643265 -0.017198 0.021326 0.162594 -0.039815 -0.011714 -0.004140 0.999130
1305031102.675285 -0.018348 0.023761 0.175215 -0.041245 -0.012737 -0.003439 0.999062
1305031102.711263 -0.019881 0.028821 0.193829 -0.039976 -0.012954 -0.002643 0.999113
1305031102.743234 -0.017573 0.031881 0.200665 -0.041414 -0.013843 -0.000588 0.999046
1305031102.775472 -0.013442 0.036185 0.215496 -0.041402 -0.013755 -0.003878 0.999040
1305031102.811232 -0.014788 0.040426 0.227370 -0.041788 -0.010267 -0.004849 0.999062
1305031102.843290 -0.013900 0.040237 0.241420 -0.044108 -0.007239 -0.005624 0.998985
1305031102.875363 -0.017202 0.043422 0.252785 -0.042912 -0.003397 -0.008212 0.999039
1305031102.911185 -0.027290 0.057181 0.281074 -0.036981 0.000784 -0.011152 0.999253
1305031102.943229 -0.026789 0.053945 0.286902 -0.038838 -0.000373 -0.013352 0.999156
1305031102.975203 -0.032149 0.050531 0.280618 -0.042983 -0.003336 -0.012013 0.998998
1305031103.011215 -0.031777 0.053470 0.291560 -0.044114 -0.009680 -0.008854 0.998940
1305031103.043227 -0.033445 0.057012 0.302354 -0.045397 -0.014972 -0.006367 0.998837
1305031103.075319 -0.028176 0.055015 0.312708 -0.046803 -0.019919 -0.003790 0.998698
1305031103.111240 -0.036708 0.063216 0.316296 -0.043117 -0.015239 -0.003387 0.998948
1305031103.143318 -0.027837 0.064313 0.330220 -0.045971 -0.019926 -0.001299 0.998743
1305031103.175452 -0.029025 0.068689 0.331059 -0.046050 -0.018104 -0.002647 0.998772
1305031103.211220 -0.028971 0.077901 0.346501 -0.048441 -0.018343 0.000062 0.998658
1305031103.243216 -0.028562 0.081004 0.353785 -0.055162 -0.018382 0.003855 0.998301
1305031103.275370 -0.033203 0.084644 0.358854 -0.063068 -0.019594 0.008163 0.997783
1305031103.311210 -0.033015 0.077334 0.366437 -0.072333 -0.029474 0.007308 0.996918
