# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1305031102.211214 0.003580 0.025377 0.021548 0.004028 -0.006409 0.001461 0.999970
1305031102.243211 0.003192 0.025308 0.021355 0.003916 -0.006346 0.001450 0.999971
1305031102.275326 -0.003814 0.042826 0.040562 0.001639 -0.008450 0.004644 0.999952
1305031102.311267 0.000508 0.033610 0.056621 -0.006883 -0.012778 0.004356 0.999885
1305031102.343233 0.005830 0.036974 0.069127 -0.008088 -0.016996 0.007859 0.999792
1305031102.375329 0.004612 0.038034 0.082632 -0.010529 -0.018602 0.009368 0.999728
1305031102.411258 0.014230 0.068549 0.108796 -0.004196 -0.027728 0.018355 0.999438
1305031102.443271 0.007736 0.085675 0.111593 -0.001524 -0.027647 0.018346 0.999448
1305031102.475318 -0.014241 0.116690 0.107046 0.010872 -0.019495 0.010602 0.999695
1305031102.511219 -0.012519 0.139293 0.114748 0.018501 -0.019229 0.009792 0.999596
1305031102.543220 -0.000054 0.186937 0.125221 0.037850 -0.024255 0.006418 0.998968
1305031102.575286 0.022077 0.221965 0.129499 0.055759 -0.033901 0.012607 0.997789
1305031102.611233 0.027861 0.218771 0.145001 0.058266 -0.035291 0.013819 0.997581
1305031102.643265 0.034914 0.222313 0.149491 0.060701 -0.038117 0.015161 0.997313
1305031102.675285 0.030418 0.219447 0.151700 0.057688 -0.036384 0.015020 0.997558
1305031102.711263 0.019085 0.216695 0.172825 0.057527 -0.033051 0.015186 0.997681
1305031102.743234 0.019637 0.223041 0.184851 0.058837 -0.034086 0.016659 0.997546
1305031102.775472 0.026814 0.228435 0.198627 0.060428 -0.035969 0.016969 0.997380
1305031102.811232 0.040583 0.229109 0.204075 0.059580 -0.041350 0.019160 0.997183
1305031102.843290 0.052559 0.226464 0.204617 0.057380 -0.044953 0.022027 0.997097
1305031102.875363 0.053676 0.228928 0.213968 0.058753 -0.043591 0.022106 0.997075
1305031102.911185 0.049913 0.241053 0.236156 0.066131 -0.040746 0.018221 0.996812
1305031102.943229 0.049550 0.241108 0.236673 0.066111 -0.040577 0.017917 0.996826
1305031102.975203 0.032114 0.242799 0.244024 0.066019 -0.038519 0.017008 0.996930
1305031103.011215 0.036976 0.243224 0.264128 0.065751 -0.050306 0.017766 0.996409
1305031103.043227 0.036260 0.240978 0.260925 0.064200 -0.050534 0.018904 0.996477
1305031103.075319 0.036837 0.242292 0.284880 0.064489 -0.059607 0.021035 0.995914
1305031103.111240 0.036031 0.246488 0.292787 0.066342 -0.059774 0.022241 0.995757
1305031103.143318 0.035323 0.249546 0.310996 0.067088 -0.061474 0.023824 0.995566
1305031103.175452 0.034070 0.254380 0.318805 0.068048 -0.060055 0.024096 0.995581
1305031103.211220 0.033920 0.257304 0.328069 0.063245 -0.061106 0.025252 0.995805
1305031103.243216 0.034841 0.261081 0.332884 0.058771 -0.062218 0.025822 0.995996
1305031103.275370 0.033658 0.254367 0.333660 0.045269 -0.064751 0.027084 0.996506
